Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670984930.418866,,Eye Tracker,24.0,31.0,Valid,Valid,Saccade
1670984930.43552,,Eye Tracker,28.0,25.0,Valid,Valid,Fixation
1670984930.452175,,Eye Tracker,29.0,27.0,Valid,Valid,Fixation
1670984930.46883,,Eye Tracker,34.0,33.0,Valid,Valid,Fixation
1670984930.485484,,Eye Tracker,37.0,34.0,Valid,Valid,Fixation
1670984930.502139,,Eye Tracker,32.0,36.0,Valid,Valid,Fixation
1670984930.518794,,Eye Tracker,29.0,29.0,Valid,Valid,Fixation
1670984930.535448,,Eye Tracker,12.0,48.0,Valid,Valid,Fixation
1670984930.552103,,Eye Tracker,-1.0,84.0,Valid,Valid,Saccade
1670984930.568759,,Eye Tracker,0.0,100.0,Valid,Valid,Fixation
1670984930.585413,,Eye Tracker,-1.0,99.0,Valid,Valid,Fixation
1670984930.602068,,Eye Tracker,1.0,99.0,Valid,Valid,Fixation
1670984930.618723,,Eye Tracker,2.0,97.0,Valid,Valid,Fixation
1670984930.635377,,Eye Tracker,1.0,97.0,Valid,Valid,Fixation
1670984930.652032,,Eye Tracker,0.0,100.0,Valid,Valid,Fixation
1670984930.668687,,Eye Tracker,0.0,93.0,Valid,Valid,Fixation
1670984930.685342,,Eye Tracker,0.0,94.0,Valid,Valid,Fixation
1670984930.701996,,Eye Tracker,1.0,103.0,Valid,Valid,Fixation
1670984930.718651,,Eye Tracker,3.0,97.0,Valid,Valid,Fixation
1670984930.735306,,Eye Tracker,5.0,93.0,Valid,Valid,Fixation
1670984930.75196,,Eye Tracker,6.0,98.0,Valid,Valid,Fixation
1670984930.768616,,Eye Tracker,2.0,89.0,Valid,Valid,Fixation
1670984930.785271,,Eye Tracker,-1.0,83.0,Valid,Valid,Fixation
1670984930.801925,,Eye Tracker,-3.0,88.0,Valid,Valid,Fixation
1670984930.81858,,Eye Tracker,0.0,84.0,Valid,Valid,Fixation
1670984930.835235,,Eye Tracker,-4.0,95.0,Valid,Valid,Fixation
1670984930.851889,,Eye Tracker,-5.0,98.0,Valid,Valid,Fixation
1670984930.868544,,Eye Tracker,3.0,96.0,Valid,Valid,Fixation
1670984930.885199,,Eye Tracker,2.0,101.0,Valid,Valid,Fixation
1670984930.901853,,Eye Tracker,7.0,102.0,Valid,Valid,Fixation
1670984930.918508,,Eye Tracker,8.0,104.0,Valid,Valid,Fixation
1670984930.935163,,Eye Tracker,4.0,105.0,Valid,Valid,Fixation
1670984930.951818,,Eye Tracker,3.0,106.0,Valid,Valid,Fixation
1670984930.968472,,Eye Tracker,4.0,99.0,Valid,Valid,Fixation
1670984930.985128,,Eye Tracker,11.0,101.0,Valid,Valid,Fixation
1670984931.001783,,Eye Tracker,11.0,106.0,Valid,Valid,Fixation
1670984931.018437,,Eye Tracker,10.0,105.0,Valid,Valid,Fixation
1670984931.035092,,Eye Tracker,17.0,105.0,Valid,Valid,Fixation
1670984931.051747,,Eye Tracker,15.0,105.0,Valid,Valid,Fixation
1670984931.068401,,Eye Tracker,13.0,103.0,Valid,Valid,Fixation
1670984931.085056,,Eye Tracker,19.0,103.0,Valid,Valid,Fixation
1670984931.101711,,Eye Tracker,20.0,104.0,Valid,Valid,Fixation
1670984931.118365,,Eye Tracker,22.0,100.0,Valid,Valid,Fixation
1670984931.13502,,Eye Tracker,25.0,94.0,Valid,Valid,Fixation
1670984931.151675,,Eye Tracker,29.0,95.0,Valid,Valid,Fixation
1670984931.168329,,Eye Tracker,31.0,95.0,Valid,Valid,Fixation
1670984931.184985,,Eye Tracker,29.0,93.0,Valid,Valid,Fixation
1670984931.20164,,Eye Tracker,26.0,99.0,Valid,Valid,Fixation
1670984931.218295,,Eye Tracker,30.0,98.0,Valid,Valid,Fixation
1670984931.234949,,Eye Tracker,32.0,94.0,Valid,Valid,Fixation
1670984931.251604,,Eye Tracker,36.0,95.0,Valid,Valid,Fixation
1670984931.268259,,Eye Tracker,37.0,93.0,Valid,Valid,Fixation
1670984931.284913,,Eye Tracker,36.0,88.0,Valid,Valid,Fixation
1670984931.301568,,Eye Tracker,41.0,87.0,Valid,Valid,Fixation
1670984931.318223,,Eye Tracker,45.0,89.0,Valid,Valid,Fixation
1670984931.334877,,Eye Tracker,50.0,95.0,Valid,Valid,Fixation
1670984931.351532,,Eye Tracker,50.0,95.0,Valid,Valid,Fixation
1670984931.368187,,Eye Tracker,49.0,87.0,Valid,Valid,Fixation
1670984931.384841,,Eye Tracker,49.0,90.0,Valid,Valid,Fixation
1670984931.401497,,Eye Tracker,69.0,91.0,Valid,Valid,Fixation
1670984931.418152,,Eye Tracker,101.0,91.0,Valid,Valid,Saccade
1670984931.434806,,Eye Tracker,119.0,86.0,Valid,Valid,Fixation
1670984931.451461,,Eye Tracker,123.0,77.0,Valid,Valid,Fixation
1670984931.468116,,Eye Tracker,124.0,76.0,Valid,Valid,Fixation
1670984931.484771,,Eye Tracker,130.0,80.0,Valid,Valid,Fixation
1670984931.501425,,Eye Tracker,131.0,83.0,Valid,Valid,Fixation
1670984931.51808,,Eye Tracker,135.0,89.0,Valid,Valid,Fixation
1670984931.534735,,Eye Tracker,138.0,90.0,Valid,Valid,Fixation
1670984931.551389,,Eye Tracker,142.0,91.0,Valid,Valid,Fixation
1670984931.568044,,Eye Tracker,148.0,90.0,Valid,Valid,Fixation
1670984931.584699,,Eye Tracker,147.0,88.0,Valid,Valid,Fixation
