Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-14 10:18:32.256833,,,,MouseEvent,"Down, Left"
2022-12-14 10:18:32.256833,Mouse,44.0,96.0,,
2022-12-14 10:18:32.337794,Mouse,44.0,95.0,,
2022-12-14 10:18:32.368759,Mouse,44.0,95.0,,
2022-12-14 10:18:32.387853,Mouse,46.0,95.0,,
2022-12-14 10:18:32.408718,Mouse,54.0,92.0,,
2022-12-14 10:18:32.427714,Mouse,55.0,92.0,,
2022-12-14 10:18:32.448746,Mouse,61.0,92.0,,
2022-12-14 10:18:32.467676,Mouse,64.0,92.0,,
2022-12-14 10:18:32.477711,Mouse,66.0,92.0,,
2022-12-14 10:18:32.488715,Mouse,68.0,92.0,,
2022-12-14 10:18:32.498730,Mouse,69.0,92.0,,
2022-12-14 10:18:32.580006,Mouse,69.0,92.0,,
2022-12-14 10:18:32.598751,Mouse,75.0,92.0,,
2022-12-14 10:18:32.620010,Mouse,87.0,92.0,,
2022-12-14 10:18:32.638881,Mouse,109.0,92.0,,
2022-12-14 10:18:32.659698,Mouse,135.0,92.0,,
2022-12-14 10:18:32.678764,Mouse,161.0,92.0,,
2022-12-14 10:18:32.688827,Mouse,173.0,92.0,,
2022-12-14 10:18:32.699782,Mouse,185.0,94.0,,
2022-12-14 10:18:32.718741,Mouse,209.0,96.0,,
2022-12-14 10:18:32.728782,Mouse,219.0,96.0,,
2022-12-14 10:18:32.749852,Mouse,235.0,98.0,,
2022-12-14 10:18:32.768744,Mouse,241.0,98.0,,
2022-12-14 10:18:32.789787,Mouse,244.0,98.0,,
2022-12-14 10:18:32.808724,Mouse,249.0,98.0,,
2022-12-14 10:18:32.829679,Mouse,261.0,98.0,,
2022-12-14 10:18:32.839821,Mouse,268.0,98.0,,
2022-12-14 10:18:32.859706,Mouse,281.0,98.0,,
2022-12-14 10:18:32.870716,Mouse,290.0,98.0,,
2022-12-14 10:18:32.880775,Mouse,297.0,97.0,,
2022-12-14 10:18:32.899686,Mouse,316.0,95.0,,
2022-12-14 10:18:32.910838,Mouse,326.0,95.0,,
2022-12-14 10:18:32.929758,Mouse,347.0,95.0,,
2022-12-14 10:18:32.950003,Mouse,376.0,95.0,,
2022-12-14 10:18:32.960758,Mouse,386.0,95.0,,
2022-12-14 10:18:32.979713,Mouse,407.0,95.0,,
2022-12-14 10:18:33.000716,Mouse,433.0,95.0,,
2022-12-14 10:18:33.010839,Mouse,444.0,95.0,,
2022-12-14 10:18:33.021072,Mouse,456.0,95.0,,
2022-12-14 10:18:33.041703,Mouse,473.0,95.0,,
2022-12-14 10:18:33.060706,Mouse,479.0,95.0,,
2022-12-14 10:18:33.070719,Mouse,480.0,95.0,,
2022-12-14 10:18:33.081751,Mouse,480.0,95.0,,
2022-12-14 10:18:33.140908,Mouse,482.0,95.0,,
2022-12-14 10:18:33.160744,Mouse,491.0,95.0,,
2022-12-14 10:18:33.172089,Mouse,500.0,95.0,,
2022-12-14 10:18:33.190731,Mouse,517.0,95.0,,
2022-12-14 10:18:33.211710,Mouse,533.0,99.0,,
2022-12-14 10:18:33.221712,Mouse,540.0,100.0,,
2022-12-14 10:18:33.240754,Mouse,546.0,104.0,,
2022-12-14 10:18:33.251790,Mouse,548.0,104.0,,
2022-12-14 10:18:33.270725,Mouse,550.0,106.0,,
2022-12-14 10:18:33.290733,Mouse,551.0,107.0,,
2022-12-14 10:18:33.301769,Mouse,551.0,107.0,,
2022-12-14 10:18:33.320705,Mouse,554.0,110.0,,
2022-12-14 10:18:33.330718,Mouse,556.0,113.0,,
2022-12-14 10:18:33.341713,Mouse,559.0,117.0,,
2022-12-14 10:18:33.351993,Mouse,562.0,122.0,,
2022-12-14 10:18:33.371717,Mouse,569.0,135.0,,
2022-12-14 10:18:33.382710,Mouse,573.0,141.0,,
2022-12-14 10:18:33.401703,Mouse,583.0,157.0,,
2022-12-14 10:18:33.411980,Mouse,587.0,165.0,,
2022-12-14 10:18:33.422739,Mouse,592.0,176.0,,
2022-12-14 10:18:33.432907,Mouse,597.0,186.0,,
2022-12-14 10:18:33.451744,Mouse,606.0,208.0,,
2022-12-14 10:18:33.461747,Mouse,611.0,220.0,,
2022-12-14 10:18:33.472914,Mouse,615.0,231.0,,
2022-12-14 10:18:33.491699,Mouse,621.0,251.0,,
2022-12-14 10:18:33.501812,Mouse,624.0,260.0,,
2022-12-14 10:18:33.513110,Mouse,626.0,269.0,,
2022-12-14 10:18:33.532737,Mouse,632.0,285.0,,
2022-12-14 10:18:33.543006,Mouse,632.0,292.0,,
2022-12-14 10:18:33.553730,Mouse,635.0,298.0,,
2022-12-14 10:18:33.563921,Mouse,636.0,303.0,,
2022-12-14 10:18:33.582756,Mouse,639.0,313.0,,
2022-12-14 10:18:33.593659,Mouse,640.0,318.0,,
2022-12-14 10:18:33.603668,Mouse,641.0,322.0,,
2022-12-14 10:18:33.606511,,,,MouseEvent,"Up, Left"
2022-12-14 10:18:33.606511,Mouse,641.0,322.0,,
2022-12-14 10:18:33.622674,Mouse,643.0,330.0,,
