Recording timestamp,Position X,Position Y
1670980785.030582,18.0,977.5
1670980785.230855,18.0,976.5
1670980785.241093,19.0,976.5
1670980785.261023,20.0,976.5
1670980785.271371,21.0,976.5
1670980785.281443,22.0,976.5
1670980785.291865,23.0,976.5
1670980785.301352,24.0,976.5
1670980785.31101,25.0,976.5
1670980785.320815,28.0,976.5
1670980785.332029,29.0,976.5
1670980785.341295,33.0,976.5
1670980785.351575,34.0,976.5
1670980785.360967,37.0,976.5
1670980785.371968,39.0,976.5
1670980785.382531,40.0,976.5
1670980785.392532,42.0,976.5
1670980785.402014,43.0,976.5
1670980785.412046,45.0,976.5
1670980785.422659,48.0,976.5
1670980785.432337,50.0,976.5
1670980785.442429,53.0,976.5
1670980785.452126,55.0,976.5
1670980785.463454,58.0,976.5
1670980785.472492,61.0,976.5
1670980785.48197,65.0,976.5
1670980785.492343,68.0,976.5
1670980785.503073,73.0,976.5
1670980785.512361,77.0,976.5
1670980785.522057,78.0,976.5
1670980785.532063,82.0,976.5
1670980785.542933,84.0,976.5
1670980785.552146,86.0,976.5
1670980785.562468,87.0,976.5
1670980785.572489,89.0,976.5
1670980785.582686,90.0,976.5
1670980785.592686,93.0,976.5
1670980785.602685,96.0,976.5
1670980785.612427,99.0,976.5
1670980785.622306,102.0,976.5
1670980785.633329,107.0,976.5
1670980785.641653,112.0,976.5
1670980785.651848,116.0,976.5
1670980785.661849,122.0,976.5
1670980785.673104,128.0,976.5
1670980785.68259,134.0,976.5
1670980785.691982,140.0,976.5
1670980785.701981,146.0,976.5
1670980785.712923,154.0,976.5
1670980785.72326,161.0,976.5
1670980785.733583,168.0,976.5
1670980785.743201,174.0,976.5
1670980785.752978,182.0,976.5
1670980785.763946,189.0,976.5
1670980785.772801,197.0,976.5
1670980785.783198,203.0,976.5
1670980785.793224,210.0,976.5
1670980785.804549,218.0,976.5
1670980785.81356,223.0,976.5
1670980785.823562,229.0,976.5
1670980785.83334,233.0,976.5
1670980785.845327,238.0,975.5
1670980785.852594,242.0,975.5
1670980785.862594,245.0,975.5
1670980785.873137,251.0,973.5
1670980785.88443,255.0,972.5
1670980785.894424,260.0,972.5
1670980785.904587,264.0,972.5
1670980785.914585,269.0,971.5
1670980785.924614,274.0,971.5
1670980785.934996,279.0,971.5
1670980785.944473,286.0,971.5
1670980785.954115,291.0,971.5
1670980785.964099,298.0,971.5
1670980785.974568,303.0,971.5
1670980785.98457,311.0,971.5
1670980785.994263,315.0,971.5
1670980786.004467,322.0,971.5
1670980786.014687,330.0,971.5
1670980786.023686,336.0,971.5
1670980786.034077,343.0,971.5
1670980786.043862,350.0,971.5
1670980786.054854,358.0,971.5
1670980786.064071,363.0,971.5
1670980786.074363,369.0,971.5
1670980786.084002,376.0,971.5
1670980786.095511,382.0,971.5
1670980786.104833,388.0,971.5
1670980786.113824,392.0,971.5
1670980786.124324,396.0,971.5
1670980786.133684,401.0,971.5
1670980786.145357,404.0,971.5
1670980786.154385,408.0,971.5
1670980786.164383,412.0,971.5
1670980786.173792,416.0,971.5
1670980786.184829,421.0,971.5
