Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-14 11:06:25.656706,,Eye Tracker,1417.0,392.0,Valid,Valid,Fixation
2022-12-14 11:06:25.673361,,Eye Tracker,1428.0,386.0,Valid,Valid,Fixation
2022-12-14 11:06:25.690016,,Eye Tracker,1428.0,381.0,Valid,Valid,Fixation
2022-12-14 11:06:25.706670,,Eye Tracker,1420.0,384.0,Valid,Valid,Fixation
2022-12-14 11:06:25.723325,,Eye Tracker,1425.0,387.0,Valid,Valid,Fixation
2022-12-14 11:06:25.739980,,Eye Tracker,1427.0,379.0,Valid,Valid,Fixation
2022-12-14 11:06:25.756634,,Eye Tracker,1420.0,387.0,Valid,Valid,Fixation
2022-12-14 11:06:25.773289,,Eye Tracker,1414.0,396.0,Valid,Valid,Fixation
2022-12-14 11:06:25.789944,,Eye Tracker,1415.0,390.0,Valid,Valid,Fixation
2022-12-14 11:06:25.806598,,Eye Tracker,1428.0,378.0,Valid,Valid,Fixation
2022-12-14 11:06:25.823253,,Eye Tracker,1425.0,379.0,Valid,Valid,Fixation
2022-12-14 11:06:25.839908,,Eye Tracker,1414.0,394.0,Valid,Valid,Fixation
2022-12-14 11:06:25.856563,,Eye Tracker,1418.0,401.0,Valid,Valid,Fixation
2022-12-14 11:06:25.873218,,Eye Tracker,1413.0,396.0,Valid,Valid,Fixation
2022-12-14 11:06:25.889873,,Eye Tracker,1409.0,391.0,Valid,Valid,Fixation
2022-12-14 11:06:25.906528,,Eye Tracker,1411.0,390.0,Valid,Valid,Fixation
2022-12-14 11:06:25.923182,,Eye Tracker,1410.0,398.0,Valid,Valid,Fixation
2022-12-14 11:06:25.939837,,Eye Tracker,1404.0,403.0,Valid,Valid,Fixation
2022-12-14 11:06:25.956492,,Eye Tracker,1405.0,404.0,Valid,Valid,Fixation
2022-12-14 11:06:25.973146,,Eye Tracker,1413.0,397.0,Valid,Valid,Fixation
2022-12-14 11:06:25.989801,,Eye Tracker,1410.0,397.0,Valid,Valid,Fixation
2022-12-14 11:06:26.006456,,Eye Tracker,1394.0,416.0,Valid,Valid,Fixation
2022-12-14 11:06:26.023110,,Eye Tracker,1387.0,418.0,Valid,Valid,Fixation
2022-12-14 11:06:26.039765,,Eye Tracker,1410.0,412.0,Valid,Valid,Fixation
2022-12-14 11:06:26.056420,,Eye Tracker,1406.0,417.0,Valid,Valid,Fixation
2022-12-14 11:06:26.073074,,Eye Tracker,1328.0,429.0,Valid,Valid,Saccade
2022-12-14 11:06:26.089729,,Eye Tracker,1232.0,467.0,Valid,Valid,Saccade
2022-12-14 11:06:26.106384,,Eye Tracker,1199.0,501.0,Valid,Valid,Saccade
2022-12-14 11:06:26.123039,,Eye Tracker,1206.0,510.0,Valid,Valid,Fixation
2022-12-14 11:06:26.139693,,Eye Tracker,1208.0,514.0,Valid,Valid,Fixation
2022-12-14 11:06:26.156348,,Eye Tracker,1206.0,512.0,Valid,Valid,Fixation
2022-12-14 11:06:26.173003,,Eye Tracker,1199.0,509.0,Valid,Valid,Fixation
2022-12-14 11:06:26.189657,,Eye Tracker,1194.0,515.0,Valid,Valid,Fixation
2022-12-14 11:06:26.206312,,Eye Tracker,1193.0,510.0,Valid,Valid,Fixation
2022-12-14 11:06:26.222968,,Eye Tracker,1193.0,507.0,Valid,Valid,Fixation
2022-12-14 11:06:26.239622,,Eye Tracker,1184.0,509.0,Valid,Valid,Fixation
2022-12-14 11:06:26.256277,,Eye Tracker,1177.0,508.0,Valid,Valid,Fixation
2022-12-14 11:06:26.272932,,Eye Tracker,1188.0,511.0,Valid,Valid,Fixation
2022-12-14 11:06:26.289586,,Eye Tracker,1187.0,526.0,Valid,Valid,Fixation
2022-12-14 11:06:26.306241,,Eye Tracker,1184.0,533.0,Valid,Valid,Fixation
2022-12-14 11:06:26.322896,,Eye Tracker,1187.0,525.0,Valid,Valid,Fixation
2022-12-14 11:06:26.339550,,Eye Tracker,1191.0,525.0,Valid,Valid,Fixation
2022-12-14 11:06:26.356205,,Eye Tracker,1187.0,533.0,Valid,Valid,Fixation
2022-12-14 11:06:26.372860,,Eye Tracker,1182.0,531.0,Valid,Valid,Fixation
2022-12-14 11:06:26.389515,,Eye Tracker,1180.0,526.0,Valid,Valid,Fixation
2022-12-14 11:06:26.406169,,Eye Tracker,1186.0,527.0,Valid,Valid,Fixation
2022-12-14 11:06:26.422824,,Eye Tracker,1180.0,538.0,Valid,Valid,Fixation
2022-12-14 11:06:26.439479,,Eye Tracker,1150.0,582.0,Valid,Valid,Saccade
2022-12-14 11:06:26.456133,,Eye Tracker,1137.0,632.0,Valid,Valid,Saccade
2022-12-14 11:06:26.472788,,Eye Tracker,1139.0,638.0,Valid,Valid,Fixation
2022-12-14 11:06:26.489443,,Eye Tracker,1138.0,637.0,Valid,Valid,Fixation
2022-12-14 11:06:26.506097,,Eye Tracker,1138.0,638.0,Valid,Valid,Fixation
2022-12-14 11:06:26.522752,,Eye Tracker,1129.0,640.0,Valid,Valid,Fixation
2022-12-14 11:06:26.539407,,Eye Tracker,1131.0,643.0,Valid,Valid,Fixation
2022-12-14 11:06:26.556061,,Eye Tracker,1129.0,648.0,Valid,Valid,Fixation
2022-12-14 11:06:26.572717,,Eye Tracker,1120.0,645.0,Valid,Valid,Fixation
2022-12-14 11:06:26.589372,,Eye Tracker,1129.0,645.0,Valid,Valid,Fixation
2022-12-14 11:06:26.606026,,Eye Tracker,1134.0,650.0,Valid,Valid,Fixation
2022-12-14 11:06:26.622681,,Eye Tracker,1127.0,654.0,Valid,Valid,Fixation
2022-12-14 11:06:26.639336,,Eye Tracker,1127.0,654.0,Valid,Valid,Fixation
2022-12-14 11:06:26.655991,,Eye Tracker,1125.0,654.0,Valid,Valid,Fixation
2022-12-14 11:06:26.672645,,Eye Tracker,1127.0,659.0,Valid,Valid,Fixation
2022-12-14 11:06:26.689300,,Eye Tracker,1123.0,658.0,Valid,Valid,Fixation
2022-12-14 11:06:26.705955,,Eye Tracker,1121.0,653.0,Valid,Valid,Fixation
2022-12-14 11:06:26.722609,,Eye Tracker,1119.0,653.0,Valid,Valid,Fixation
2022-12-14 11:06:26.739264,,Eye Tracker,1106.0,665.0,Valid,Valid,Fixation
2022-12-14 11:06:26.755919,,Eye Tracker,1103.0,672.0,Valid,Valid,Fixation
2022-12-14 11:06:26.772573,,Eye Tracker,1088.0,691.0,Valid,Valid,Fixation
2022-12-14 11:06:26.789228,,Eye Tracker,1086.0,692.0,Valid,Valid,Fixation
2022-12-14 11:06:26.805883,,Eye Tracker,1105.0,669.0,Valid,Valid,Saccade
2022-12-14 11:06:26.822537,,Eye Tracker,1114.0,663.0,Valid,Valid,Fixation
2022-12-14 11:06:26.839192,,Eye Tracker,1107.0,666.0,Valid,Valid,Fixation
2022-12-14 11:06:26.855847,,Eye Tracker,1100.0,667.0,Valid,Valid,Fixation
2022-12-14 11:06:26.872501,,Eye Tracker,1110.0,669.0,Valid,Valid,Fixation
2022-12-14 11:06:26.889156,,Eye Tracker,1110.0,675.0,Valid,Valid,Fixation
2022-12-14 11:06:26.905811,,Eye Tracker,1095.0,685.0,Valid,Valid,Fixation
2022-12-14 11:06:26.922467,,Eye Tracker,1085.0,690.0,Valid,Valid,Fixation
2022-12-14 11:06:26.939121,,Eye Tracker,1089.0,642.0,Valid,Valid,Saccade
2022-12-14 11:06:26.955776,,Eye Tracker,1082.0,648.0,Valid,Valid,Fixation
2022-12-14 11:06:26.972431,,Eye Tracker,1085.0,656.0,Valid,Valid,Fixation
2022-12-14 11:06:26.989085,,Eye Tracker,1082.0,652.0,Valid,Valid,Fixation
2022-12-14 11:06:27.005740,,Eye Tracker,1092.0,653.0,Valid,Valid,Fixation
2022-12-14 11:06:27.022395,,Eye Tracker,1082.0,665.0,Valid,Valid,Fixation
2022-12-14 11:06:27.039049,,Eye Tracker,1072.0,635.0,Valid,Valid,Fixation
2022-12-14 11:06:27.055704,,Eye Tracker,1076.0,637.0,Valid,Valid,Fixation
2022-12-14 11:06:27.072359,,Eye Tracker,1085.0,702.0,Valid,Valid,Saccade
2022-12-14 11:06:27.089013,,Eye Tracker,1092.0,696.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.105668,,Eye Tracker,1055.0,671.0,Valid,Valid,Saccade
2022-12-14 11:06:27.122323,,Eye Tracker,1039.0,681.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.138977,,Eye Tracker,1124.0,692.0,Valid,Valid,Saccade
2022-12-14 11:06:27.155632,,Eye Tracker,1119.0,692.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.172287,,Eye Tracker,1092.0,689.0,Valid,Valid,Saccade
2022-12-14 11:06:27.188942,,Eye Tracker,1093.0,697.0,Valid,Valid,Fixation
2022-12-14 11:06:27.205596,,Eye Tracker,1104.0,699.0,Valid,Valid,Fixation
2022-12-14 11:06:27.222251,,Eye Tracker,1100.0,698.0,Valid,Valid,Fixation
2022-12-14 11:06:27.238906,,Eye Tracker,1066.0,712.0,Valid,Valid,Fixation
2022-12-14 11:06:27.255560,,Eye Tracker,1080.0,701.0,Valid,Valid,Fixation
2022-12-14 11:06:27.272216,,Eye Tracker,1068.0,661.0,Valid,Valid,Saccade
2022-12-14 11:06:27.288871,,Eye Tracker,1055.0,669.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.305525,,Eye Tracker,1042.0,687.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.322180,,Eye Tracker,1044.0,689.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.338835,,Eye Tracker,1071.0,708.0,Valid,Valid,Saccade
2022-12-14 11:06:27.355489,,Eye Tracker,1082.0,710.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.372144,,Eye Tracker,1089.0,724.0,Valid,Valid,Unclassified
2022-12-14 11:06:27.388799,,Eye Tracker,1073.0,771.0,Valid,Valid,Saccade
2022-12-14 11:06:27.405453,,Eye Tracker,1064.0,775.0,Valid,Valid,Fixation
2022-12-14 11:06:27.422108,,Eye Tracker,1060.0,775.0,Valid,Valid,Fixation
2022-12-14 11:06:27.438763,,Eye Tracker,1062.0,772.0,Valid,Valid,Fixation
2022-12-14 11:06:27.455418,,Eye Tracker,1065.0,776.0,Valid,Valid,Fixation
