Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-16 10:34:55.252851,,Eye Tracker,-19.0,59.0,Valid,Valid,Fixation
2022-12-16 10:34:55.269506,,Eye Tracker,-20.0,60.0,Valid,Valid,Fixation
2022-12-16 10:34:55.286161,,Eye Tracker,-30.0,62.0,Valid,Valid,Fixation
2022-12-16 10:34:55.302815,,Eye Tracker,-32.0,56.0,Valid,Valid,Fixation
2022-12-16 10:34:55.319471,,Eye Tracker,-36.0,66.0,Valid,Valid,Fixation
2022-12-16 10:34:55.336126,,Eye Tracker,32.0,67.0,Valid,Valid,Saccade
2022-12-16 10:34:55.352780,,Eye Tracker,99.0,39.0,Valid,Valid,Saccade
2022-12-16 10:34:55.369435,,Eye Tracker,96.0,29.0,Valid,Valid,Fixation
2022-12-16 10:34:55.386090,,Eye Tracker,98.0,24.0,Valid,Valid,Fixation
2022-12-16 10:34:55.402744,,Eye Tracker,100.0,26.0,Valid,Valid,Fixation
2022-12-16 10:34:55.419399,,Eye Tracker,103.0,30.0,Valid,Valid,Fixation
2022-12-16 10:34:55.436054,,Eye Tracker,103.0,30.0,Valid,Valid,Fixation
2022-12-16 10:34:55.452708,,Eye Tracker,108.0,32.0,Valid,Valid,Fixation
2022-12-16 10:34:55.469363,,Eye Tracker,103.0,36.0,Valid,Valid,Fixation
2022-12-16 10:34:55.486018,,Eye Tracker,86.0,27.0,Valid,Valid,Fixation
2022-12-16 10:34:55.502673,,Eye Tracker,90.0,21.0,Valid,Valid,Fixation
2022-12-16 10:34:55.519327,,Eye Tracker,105.0,28.0,Valid,Valid,Fixation
2022-12-16 10:34:55.535982,,Eye Tracker,103.0,33.0,Valid,Valid,Fixation
2022-12-16 10:34:55.552638,,Eye Tracker,93.0,38.0,Valid,Valid,Fixation
2022-12-16 10:34:55.569292,,Eye Tracker,93.0,38.0,Valid,Valid,Fixation
2022-12-16 10:34:55.585947,,Eye Tracker,103.0,44.0,Valid,Valid,Fixation
2022-12-16 10:34:55.602602,,Eye Tracker,101.0,47.0,Valid,Valid,Fixation
2022-12-16 10:34:55.619256,,Eye Tracker,101.0,43.0,Valid,Valid,Fixation
2022-12-16 10:34:55.635911,,Eye Tracker,105.0,46.0,Valid,Valid,Fixation
2022-12-16 10:34:55.652566,,Eye Tracker,102.0,39.0,Valid,Valid,Fixation
2022-12-16 10:34:55.669220,,Eye Tracker,102.0,33.0,Valid,Valid,Fixation
2022-12-16 10:34:55.685875,,Eye Tracker,105.0,37.0,Valid,Valid,Fixation
2022-12-16 10:34:55.702530,,Eye Tracker,109.0,43.0,Valid,Valid,Fixation
2022-12-16 10:34:55.719184,,Eye Tracker,111.0,40.0,Valid,Valid,Fixation
2022-12-16 10:34:55.735839,,Eye Tracker,111.0,39.0,Valid,Valid,Fixation
2022-12-16 10:34:55.752494,,Eye Tracker,118.0,51.0,Valid,Valid,Fixation
2022-12-16 10:34:55.769149,,Eye Tracker,123.0,51.0,Valid,Valid,Fixation
2022-12-16 10:34:55.785803,,Eye Tracker,118.0,53.0,Valid,Valid,Fixation
2022-12-16 10:34:55.802459,,Eye Tracker,118.0,52.0,Valid,Valid,Fixation
2022-12-16 10:34:55.819114,,Eye Tracker,101.0,53.0,Valid,Valid,Fixation
2022-12-16 10:34:55.835768,,Eye Tracker,36.0,60.0,Valid,Valid,Saccade
2022-12-16 10:34:55.852423,,Eye Tracker,-21.0,67.0,Valid,Valid,Saccade
2022-12-16 10:34:55.869078,,Eye Tracker,-22.0,68.0,Valid,Valid,Fixation
2022-12-16 10:34:55.885732,,Eye Tracker,-12.0,72.0,Valid,Valid,Fixation
2022-12-16 10:34:55.902387,,Eye Tracker,-9.0,70.0,Valid,Valid,Fixation
2022-12-16 10:34:55.919042,,Eye Tracker,-15.0,70.0,Valid,Valid,Fixation
2022-12-16 10:34:55.935696,,Eye Tracker,-9.0,70.0,Valid,Valid,Fixation
2022-12-16 10:34:55.952351,,Eye Tracker,-1.0,68.0,Valid,Valid,Fixation
2022-12-16 10:34:55.969006,,Eye Tracker,2.0,72.0,Valid,Valid,Fixation
2022-12-16 10:34:55.985660,,Eye Tracker,4.0,77.0,Valid,Valid,Fixation
2022-12-16 10:34:56.002315,,Eye Tracker,5.0,84.0,Valid,Valid,Fixation
2022-12-16 10:34:56.018970,,Eye Tracker,12.0,92.0,Valid,Valid,Fixation
2022-12-16 10:34:56.035625,,Eye Tracker,15.0,90.0,Valid,Valid,Fixation
2022-12-16 10:34:56.052280,,Eye Tracker,19.0,94.0,Valid,Valid,Fixation
2022-12-16 10:34:56.068935,,Eye Tracker,23.0,93.0,Valid,Valid,Fixation
2022-12-16 10:34:56.085590,,Eye Tracker,21.0,88.0,Valid,Valid,Fixation
