Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-16 10:36:18.523856,,,,MouseEvent,"Up, Left"
2022-12-16 10:36:18.523856,Mouse,35.0,990.0,,
2022-12-16 10:36:18.559387,Mouse,35.0,989.0,,
2022-12-16 10:36:18.910624,Mouse,35.0,989.0,,
2022-12-16 10:36:18.930626,Mouse,35.0,986.0,,
2022-12-16 10:36:18.950383,Mouse,35.0,978.0,,
2022-12-16 10:36:18.961442,Mouse,35.0,974.0,,
2022-12-16 10:36:18.981372,Mouse,35.0,968.0,,
2022-12-16 10:36:18.991328,Mouse,35.0,966.0,,
2022-12-16 10:36:19.362966,,,,MouseEvent,"Up, Left"
2022-12-16 10:36:19.362966,Mouse,35.0,966.0,,
2022-12-16 10:36:19.372465,Mouse,35.0,966.0,,
2022-12-16 10:36:19.402470,Mouse,35.0,966.0,,
2022-12-16 10:36:19.432500,Mouse,33.0,967.0,,
2022-12-16 10:36:19.473378,Mouse,32.0,968.0,,
2022-12-16 10:36:19.483378,Mouse,31.0,968.0,,
2022-12-16 10:36:19.493624,Mouse,30.0,968.0,,
2022-12-16 10:36:19.514326,Mouse,28.0,967.0,,
2022-12-16 10:36:19.533378,Mouse,27.0,965.0,,
2022-12-16 10:36:19.554652,Mouse,24.0,962.0,,
2022-12-16 10:36:19.573552,Mouse,16.0,960.0,,
2022-12-16 10:36:19.593637,Mouse,9.0,958.0,,
2022-12-16 10:36:19.623502,Mouse,6.0,957.0,,
2022-12-16 10:36:19.694458,Mouse,5.0,957.0,,
2022-12-16 10:36:19.714467,Mouse,3.0,959.0,,
2022-12-16 10:36:19.725363,Mouse,3.0,961.0,,
2022-12-16 10:36:19.744349,Mouse,2.0,963.0,,
2022-12-16 10:36:19.765394,Mouse,1.0,967.0,,
2022-12-16 10:36:19.784371,Mouse,1.0,969.0,,
2022-12-16 10:36:19.794377,Mouse,1.0,970.0,,
2022-12-16 10:36:19.814369,Mouse,1.0,974.0,,
2022-12-16 10:36:19.824372,Mouse,1.0,976.0,,
2022-12-16 10:36:19.834427,Mouse,1.0,981.0,,
2022-12-16 10:36:19.855448,Mouse,1.0,988.0,,
2022-12-16 10:36:19.874327,Mouse,1.0,993.0,,
2022-12-16 10:36:19.895606,Mouse,1.0,995.0,,
2022-12-16 10:36:19.914384,Mouse,1.0,996.0,,
2022-12-16 10:36:19.924387,Mouse,1.0,997.0,,
2022-12-16 10:36:19.944319,Mouse,1.0,999.0,,
2022-12-16 10:36:19.964323,Mouse,1.0,1000.0,,
2022-12-16 10:36:19.985654,Mouse,1.0,1001.0,,
