Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671156346.287256,,,,MouseEvent,"Down, Left"
1671156346.287256,Mouse,569.0,554.0,,
1671156346.709149,Mouse,569.0,554.0,,
1671156346.720044,Mouse,569.0,555.0,,
1671156346.73007,Mouse,569.0,556.0,,
1671156346.77016,Mouse,569.0,556.0,,
1671156346.789083,Mouse,569.0,557.0,,
1671156346.810119,Mouse,569.0,558.0,,
1671156346.850101,Mouse,569.0,560.0,,
1671156346.870025,Mouse,569.0,560.0,,
1671156346.890137,Mouse,569.0,561.0,,
1671156346.900399,Mouse,569.0,562.0,,
1671156346.919116,Mouse,569.0,563.0,,
1671156346.930195,Mouse,569.0,564.0,,
1671156346.940245,Mouse,569.0,564.0,,
1671156346.959106,Mouse,569.0,565.0,,
1671156346.98005,Mouse,569.0,566.0,,
1671156346.990207,Mouse,569.0,567.0,,
1671156347.010046,Mouse,569.0,570.0,,
1671156347.021106,Mouse,569.0,571.0,,
1671156347.031233,Mouse,569.0,572.0,,
1671156347.050079,Mouse,569.0,575.0,,
1671156347.061233,Mouse,569.0,577.0,,
1671156347.081042,Mouse,569.0,582.0,,
1671156347.101357,Mouse,569.0,586.0,,
1671156347.121343,Mouse,569.0,592.0,,
1671156347.141096,Mouse,569.0,595.0,,
1671156347.161331,Mouse,569.0,599.0,,
1671156347.171369,Mouse,569.0,600.0,,
1671156347.192174,Mouse,569.0,601.0,,
1671156347.202213,Mouse,569.0,602.0,,
1671156347.221143,Mouse,569.0,604.0,,
1671156347.23211,Mouse,569.0,604.0,,
1671156347.242231,Mouse,569.0,605.0,,
1671156347.261352,Mouse,569.0,606.0,,
1671156347.282174,Mouse,569.0,606.0,,
1671156347.292281,Mouse,569.0,607.0,,
1671156347.312075,Mouse,569.0,609.0,,
1671156347.322085,Mouse,569.0,611.0,,
1671156347.332377,Mouse,569.0,612.0,,
1671156347.351106,Mouse,569.0,615.0,,
1671156347.36237,Mouse,569.0,618.0,,
1671156347.382134,Mouse,568.0,623.0,,
1671156347.402175,Mouse,568.0,627.0,,
1671156347.422105,Mouse,567.0,635.0,,
1671156347.442102,Mouse,567.0,639.0,,
1671156347.452182,Mouse,567.0,641.0,,
1671156347.462213,Mouse,566.0,644.0,,
1671156347.482073,Mouse,566.0,646.0,,
1671156347.492372,Mouse,566.0,648.0,,
1671156347.505195,Mouse,566.0,650.0,,
1671156347.522076,Mouse,565.0,655.0,,
1671156347.533084,Mouse,565.0,657.0,,
1671156347.543125,Mouse,565.0,658.0,,
1671156347.553127,Mouse,565.0,660.0,,
1671156347.573108,Mouse,565.0,663.0,,
1671156347.58318,Mouse,564.0,664.0,,
1671156347.593512,Mouse,564.0,665.0,,
1671156347.613302,Mouse,564.0,667.0,,
1671156347.633096,Mouse,563.0,670.0,,
1671156347.653081,Mouse,563.0,673.0,,
1671156347.663215,Mouse,563.0,675.0,,
1671156347.683091,Mouse,563.0,678.0,,
1671156347.694171,Mouse,563.0,679.0,,
1671156347.714127,Mouse,562.0,682.0,,
1671156347.724127,Mouse,562.0,683.0,,
1671156347.744066,Mouse,562.0,685.0,,
1671156347.754124,Mouse,562.0,686.0,,
1671156347.764399,Mouse,562.0,686.0,,
1671156347.794344,Mouse,562.0,688.0,,
1671156347.85317,Mouse,562.0,690.0,,
1671156347.964314,Mouse,562.0,691.0,,
1671156347.983081,Mouse,562.0,692.0,,
1671156347.994196,Mouse,562.0,693.0,,
1671156348.014086,Mouse,563.0,694.0,,
1671156348.024245,Mouse,563.0,695.0,,
1671156348.045113,Mouse,564.0,697.0,,
1671156348.055326,Mouse,565.0,698.0,,
1671156348.074079,Mouse,566.0,699.0,,
