Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671152602.318655,MouseEvent,,248.33333333333334,44.0,,,Fixation,,,MouseEvent,"Down, Left"
1671152602.318655,,Mouse,253.66666666666666,44.0,,,Fixation,41.0,90.0,,
1671152602.320065,,Eye Tracker,259.0,44.0,Valid,Valid,Fixation,,,,
1671152602.33672,,Eye Tracker,260.0,47.0,Valid,Valid,Fixation,,,,
1671152602.353375,,Eye Tracker,265.0,49.0,Valid,Valid,Fixation,,,,
1671152602.370029,,Eye Tracker,10.0,51.0,Valid,Valid,Saccade,,,,
1671152602.386685,,Eye Tracker,4.0,58.0,Valid,Valid,Fixation,,,,
1671152602.4033399,,Eye Tracker,1.0,54.0,Valid,Valid,Fixation,,,,
1671152602.4199939,,Eye Tracker,4.0,54.0,Valid,Valid,Fixation,,,,
1671152602.4366488,,Eye Tracker,1.0,52.0,Valid,Valid,Fixation,,,,
1671152602.453304,,Eye Tracker,-3.0,51.0,Valid,Valid,Fixation,,,,
1671152602.46996,,Eye Tracker,-4.0,52.0,Valid,Valid,Fixation,,,,
1671152602.486614,,Eye Tracker,-8.0,50.0,Valid,Valid,Fixation,,,,
1671152602.503269,,Eye Tracker,-6.0,48.0,Valid,Valid,Fixation,,,,
1671152602.519924,,Eye Tracker,-2.0,45.0,Valid,Valid,Fixation,,,,
1671152602.536578,,Eye Tracker,-3.0,50.0,Valid,Valid,Fixation,,,,
1671152602.553233,,Eye Tracker,-5.0,51.0,Valid,Valid,Fixation,,,,
1671152602.5698879,,Eye Tracker,-3.0,52.0,Valid,Valid,Fixation,,,,
1671152602.586542,,Eye Tracker,1.0,55.0,Valid,Valid,Fixation,,,,
1671152602.6031969,,Eye Tracker,-3.0,55.0,Valid,Valid,Fixation,,,,
1671152602.609577,,Mouse,-4.666666666666667,59.666666666666664,,,Fixation,41.0,90.0,,
1671152602.619587,,Mouse,-6.333333333333334,64.33333333333333,,,Fixation,42.0,89.0,,
1671152602.6198518,,Eye Tracker,-8.0,69.0,Valid,Valid,Fixation,,,,
1671152602.6365058,,Eye Tracker,-4.0,69.0,Valid,Valid,Fixation,,,,
1671152602.6385849,,Mouse,-0.5,63.5,,,Fixation,43.0,89.0,,
1671152602.653161,,Eye Tracker,3.0,58.0,Valid,Valid,Fixation,,,,
1671152602.65956,,Mouse,3.0,59.0,,,Fixation,43.0,88.0,,
1671152602.669816,,Eye Tracker,3.0,60.0,Valid,Valid,Fixation,,,,
1671152602.678552,,Mouse,2.5,62.0,,,Fixation,45.0,88.0,,
1671152602.68647,,Eye Tracker,2.0,64.0,Valid,Valid,Fixation,,,,
1671152602.699558,,Mouse,0.5,61.5,,,Fixation,49.0,87.0,,
1671152602.703125,,Eye Tracker,-1.0,59.0,Valid,Valid,Fixation,,,,
1671152602.7096028,,Mouse,-3.0,56.0,,,Fixation,49.0,87.0,,
1671152602.71978,,Eye Tracker,-5.0,53.0,Valid,Valid,Fixation,,,,
1671152602.728499,,Mouse,-3.0,53.0,,,Fixation,52.0,86.0,,
1671152602.736435,,Eye Tracker,-1.0,53.0,Valid,Valid,Fixation,,,,
1671152602.739558,,Mouse,3.0,54.0,,,Fixation,54.0,86.0,,
1671152602.753089,,Eye Tracker,7.0,55.0,Valid,Valid,Fixation,,,,
1671152602.759553,,Mouse,7.666666666666667,54.333333333333336,,,Fixation,57.0,85.0,,
1671152602.7695658,,Mouse,8.333333333333334,53.666666666666664,,,Fixation,58.0,85.0,,
1671152602.769744,,Eye Tracker,9.0,53.0,Valid,Valid,Fixation,,,,
1671152602.7863998,,Eye Tracker,13.0,58.0,Valid,Valid,Fixation,,,,
1671152602.7905378,,Mouse,14.333333333333334,57.0,,,Fixation,59.0,85.0,,
1671152602.800561,,Mouse,15.666666666666666,56.0,,,Fixation,59.0,85.0,,
1671152602.8030539,,Eye Tracker,17.0,55.0,Valid,Valid,Fixation,,,,
1671152602.8197088,,Eye Tracker,18.0,49.0,Valid,Valid,Fixation,,,,
1671152602.8205528,,Mouse,20.0,49.0,,,Fixation,60.0,85.0,,
1671152602.8305569,,Mouse,22.0,49.0,,,Fixation,61.0,85.0,,
1671152602.836364,,Eye Tracker,24.0,49.0,Valid,Valid,Fixation,,,,
1671152602.840579,,Mouse,28.5,48.0,,,Fixation,62.0,85.0,,
1671152602.853019,,Eye Tracker,33.0,47.0,Valid,Valid,Fixation,,,,
1671152602.859585,,Mouse,35.5,48.0,,,Fixation,67.0,85.0,,
1671152602.869674,,Eye Tracker,38.0,49.0,Valid,Valid,Fixation,,,,
1671152602.870529,,Mouse,40.0,50.0,,,Fixation,70.0,84.0,,
1671152602.880553,,Mouse,42.0,51.0,,,Fixation,72.0,84.0,,
1671152602.886329,,Eye Tracker,44.0,52.0,Valid,Valid,Fixation,,,,
1671152602.8995268,,Mouse,45.0,52.5,,,Fixation,77.0,84.0,,
1671152602.902983,,Eye Tracker,46.0,53.0,Valid,Valid,Fixation,,,,
