Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671152704.883,MouseEvent,,140.0,957.0,,,Saccade
1671152704.899849,,Mouse,122.0,964.0,,,Saccade
1671152704.916504,,Eye Tracker,104.0,971.0,Valid,Valid,Saccade
1671152704.9466808,,Eye Tracker,112.0,966.0,Valid,Valid,Fixation
1671152704.963337,,Eye Tracker,114.0,976.0,Valid,Valid,Fixation
1671152704.979991,,Eye Tracker,118.0,978.0,Valid,Valid,Fixation
1671152704.988257,,Eye Tracker,112.0,971.0,Valid,Valid,Fixation
1671152704.996646,,Eye Tracker,107.0,969.0,Valid,Valid,Fixation
1671152705.013301,,Eye Tracker,113.0,966.0,Valid,Valid,Fixation
1671152705.029955,,Eye Tracker,113.0,970.0,Valid,Valid,Fixation
1671152705.0466099,,Eye Tracker,107.0,967.0,Valid,Valid,Fixation
1671152705.0632648,,Eye Tracker,107.0,967.0,Valid,Valid,Fixation
1671152705.1132288,,Eye Tracker,106.0,972.0,Valid,Valid,Fixation
1671152705.1298828,,Mouse,105.0,970.5,,,Fixation
1671152705.1465378,,Eye Tracker,104.0,969.0,Valid,Valid,Fixation
1671152705.163193,,Mouse,105.5,968.5,,,Fixation
1671152705.179848,,Eye Tracker,107.0,968.0,Valid,Valid,Fixation
1671152705.196502,,Eye Tracker,105.0,970.0,Valid,Valid,Fixation
1671152705.246466,,Mouse,102.5,970.0,,,Fixation
1671152705.260257,,Eye Tracker,100.0,970.0,Valid,Valid,Fixation
1671152705.263121,,Mouse,100.5,970.5,,,Fixation
1671152705.2762828,,Eye Tracker,101.0,971.0,Valid,Valid,Fixation
1671152705.2923138,,Mouse,102.0,972.0,,,Fixation
1671152705.297374,,Eye Tracker,103.0,973.0,Valid,Valid,Fixation
1671152705.308286,,Mouse,105.0,972.0,,,Fixation
1671152705.314029,,Eye Tracker,107.0,971.0,Valid,Valid,Fixation
1671152705.324313,,Mouse,108.0,968.0,,,Fixation
1671152705.330683,,Eye Tracker,109.0,965.0,Valid,Valid,Fixation
1671152705.340252,,Mouse,107.0,965.5,,,Fixation
1671152705.347338,,Eye Tracker,105.0,966.0,Valid,Valid,Fixation
1671152705.3562438,,Mouse,101.0,968.5,,,Fixation
1671152705.363993,,Eye Tracker,97.0,971.0,Valid,Valid,Fixation
1671152705.380648,,Mouse,97.5,970.5,,,Fixation
1671152705.397302,,Eye Tracker,98.0,970.0,Valid,Valid,Fixation
1671152705.4139578,,Mouse,99.0,968.0,,,Fixation
1671152705.4306128,,Eye Tracker,100.0,966.0,Valid,Valid,Fixation
1671152705.4472668,,Mouse,100.66666666666667,966.0,,,Fixation
1671152705.4639218,,Mouse,101.33333333333333,966.0,,,Fixation
1671152705.480577,,Eye Tracker,102.0,966.0,Valid,Valid,Fixation
1671152705.497231,,Mouse,104.0,967.0,,,Fixation
1671152705.513886,,Eye Tracker,106.0,968.0,Valid,Valid,Fixation
1671152705.530541,,Eye Tracker,109.0,968.0,Valid,Valid,Fixation
1671152705.547195,,Mouse,111.0,970.0,,,Fixation
1671152705.56385,,Eye Tracker,113.0,972.0,Valid,Valid,Fixation
1671152705.580505,,Mouse,113.5,971.5,,,Fixation
1671152705.597159,,Eye Tracker,114.0,971.0,Valid,Valid,Fixation
1671152705.6138139,,Mouse,121.5,969.5,,,Fixation
