Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671152724.436497,,,,MouseEvent,"Down, Left"
1671152724.436497,Mouse,37.0,988.0,,
1671152724.62748,Mouse,37.0,988.0,,
1671152724.647226,Mouse,38.0,988.0,,
1671152724.666208,Mouse,39.0,988.0,,
1671152724.687432,Mouse,40.0,988.0,,
1671152724.706237,Mouse,40.0,988.0,,
1671152724.727408,Mouse,42.0,988.0,,
1671152724.746275,Mouse,43.0,987.0,,
1671152724.757509,Mouse,45.0,986.0,,
1671152724.777182,Mouse,47.0,986.0,,
1671152724.787442,Mouse,47.0,985.0,,
1671152724.807232,Mouse,49.0,985.0,,
1671152724.817243,Mouse,49.0,985.0,,
1671152724.827379,Mouse,50.0,985.0,,
1671152724.847216,Mouse,51.0,985.0,,
1671152724.867239,Mouse,52.0,985.0,,
1671152724.887319,Mouse,53.0,985.0,,
1671152724.907211,Mouse,55.0,985.0,,
1671152724.928228,Mouse,56.0,984.0,,
1671152724.95827,Mouse,57.0,984.0,,
1671152724.978237,Mouse,60.0,984.0,,
1671152724.998166,Mouse,66.0,983.0,,
1671152725.008293,Mouse,70.0,982.0,,
1671152725.018303,Mouse,74.0,982.0,,
1671152725.038239,Mouse,85.0,982.0,,
1671152725.058236,Mouse,96.0,982.0,,
1671152725.078459,Mouse,106.0,980.0,,
1671152725.088472,Mouse,110.0,980.0,,
1671152725.099224,Mouse,116.0,979.0,,
1671152725.109231,Mouse,119.0,979.0,,
1671152725.129242,Mouse,129.0,978.0,,
1671152725.149185,Mouse,141.0,976.0,,
1671152725.169149,Mouse,153.0,976.0,,
1671152725.17922,Mouse,158.0,975.0,,
1671152725.199207,Mouse,170.0,974.0,,
1671152725.209463,Mouse,177.0,972.0,,
1671152725.229256,Mouse,187.0,971.0,,
1671152725.249162,Mouse,201.0,971.0,,
1671152725.26925,Mouse,214.0,971.0,,
1671152725.28917,Mouse,226.0,970.0,,
1671152725.299175,Mouse,233.0,970.0,,
1671152725.309181,Mouse,237.0,970.0,,
1671152725.319252,Mouse,240.0,970.0,,
1671152725.339374,Mouse,250.0,970.0,,
1671152725.359239,Mouse,259.0,970.0,,
1671152725.379202,Mouse,269.0,970.0,,
1671152725.399205,Mouse,278.0,970.0,,
1671152725.409234,Mouse,285.0,970.0,,
1671152725.429214,Mouse,295.0,970.0,,
1671152725.440166,Mouse,301.0,970.0,,
1671152725.450382,Mouse,307.0,970.0,,
1671152725.470282,Mouse,319.0,970.0,,
1671152725.480473,Mouse,324.0,970.0,,
1671152725.500207,Mouse,340.0,970.0,,
1671152725.510452,Mouse,349.0,970.0,,
1671152725.530218,Mouse,367.0,970.0,,
1671152725.550224,Mouse,385.0,970.0,,
1671152725.570204,Mouse,400.0,970.0,,
1671152725.58033,Mouse,407.0,970.0,,
1671152725.600488,Mouse,423.0,967.0,,
1671152725.611193,Mouse,433.0,966.0,,
1671152725.631159,Mouse,453.0,966.0,,
1671152725.641236,Mouse,465.0,966.0,,
1671152725.651308,Mouse,474.0,966.0,,
1671152725.671453,Mouse,492.0,966.0,,
1671152725.69123,Mouse,510.0,966.0,,
1671152725.711483,Mouse,529.0,966.0,,
1671152725.73014,Mouse,543.0,964.0,,
1671152725.74124,Mouse,549.0,964.0,,
1671152725.761117,Mouse,556.0,964.0,,
1671152725.871227,Mouse,557.0,964.0,,
1671152725.900198,Mouse,557.0,964.0,,
1671152726.022236,Mouse,558.0,963.0,,
1671152726.042244,Mouse,558.0,963.0,,
1671152726.062283,Mouse,559.0,961.0,,
1671152726.082216,Mouse,560.0,958.0,,
1671152726.102235,Mouse,562.0,952.0,,
1671152726.11235,Mouse,563.0,949.0,,
1671152726.123176,Mouse,563.0,946.0,,
1671152726.133311,Mouse,564.0,940.0,,
1671152726.153228,Mouse,566.0,932.0,,
1671152726.173444,Mouse,569.0,922.0,,
1671152726.193182,Mouse,572.0,913.0,,
1671152726.203327,Mouse,572.0,909.0,,
1671152726.223173,Mouse,573.0,900.0,,
1671152726.233225,Mouse,574.0,898.0,,
1671152726.253191,Mouse,575.0,891.0,,
1671152726.273235,Mouse,575.0,885.0,,
1671152726.293139,Mouse,576.0,881.0,,
1671152726.303202,Mouse,576.0,879.0,,
1671152726.323166,Mouse,577.0,873.0,,
1671152726.333286,Mouse,578.0,869.0,,
1671152726.353181,Mouse,579.0,861.0,,
1671152726.363191,Mouse,580.0,854.0,,
1671152726.37353,Mouse,581.0,851.0,,
1671152726.393184,Mouse,581.0,841.0,,
1671152726.403188,Mouse,582.0,835.0,,
1671152726.423234,Mouse,583.0,824.0,,
1671152726.433447,Mouse,583.0,818.0,,
1671152726.443469,Mouse,583.0,812.0,,
1671152726.46445,Mouse,583.0,802.0,,
1671152726.484169,Mouse,583.0,791.0,,
1671152726.494189,Mouse,583.0,785.0,,
1671152726.504366,Mouse,583.0,780.0,,
1671152726.5243,Mouse,583.0,765.0,,
1671152726.544248,Mouse,583.0,752.0,,
1671152726.564478,Mouse,583.0,738.0,,
1671152726.583221,Mouse,583.0,726.0,,
1671152726.594401,Mouse,583.0,720.0,,
1671152726.614242,Mouse,583.0,706.0,,
1671152726.635316,Mouse,583.0,694.0,,
1671152726.655195,Mouse,583.0,683.0,,
1671152726.665439,Mouse,583.0,681.0,,
1671152726.675449,Mouse,583.0,679.0,,
1671152726.695185,Mouse,583.0,674.0,,
1671152726.705489,Mouse,583.0,673.0,,
1671152726.725481,Mouse,583.0,671.0,,
1671152726.745442,Mouse,583.0,670.0,,
1671152726.765421,Mouse,583.0,669.0,,
1671152726.785263,Mouse,583.0,667.0,,
1671152726.805429,Mouse,583.0,664.0,,
1671152726.825186,Mouse,583.0,659.0,,
1671152726.835218,Mouse,583.0,656.0,,
1671152726.845232,Mouse,583.0,653.0,,
1671152726.855392,Mouse,583.0,650.0,,
1671152726.865443,Mouse,583.0,645.0,,
1671152726.885174,Mouse,583.0,637.0,,
1671152726.895449,Mouse,583.0,632.0,,
1671152726.915228,Mouse,583.0,622.0,,
1671152726.935192,Mouse,583.0,613.0,,
1671152726.945223,Mouse,583.0,609.0,,
1671152726.965216,Mouse,583.0,604.0,,
1671152726.976375,Mouse,583.0,602.0,,
1671152726.996374,Mouse,583.0,602.0,,
1671152727.147269,Mouse,583.0,601.0,,
1671152727.16747,Mouse,583.0,601.0,,
1671152727.187169,Mouse,582.0,601.0,,
1671152727.207195,Mouse,581.0,601.0,,
1671152727.237463,Mouse,579.0,601.0,,
1671152727.257471,Mouse,577.0,602.0,,
1671152727.287123,Mouse,576.0,602.0,,
1671152727.31717,Mouse,574.0,603.0,,
1671152727.347249,Mouse,573.0,603.0,,
1671152727.367442,Mouse,572.0,605.0,,
1671152727.387467,Mouse,568.0,606.0,,
1671152727.407183,Mouse,565.0,606.0,,
1671152727.417228,Mouse,564.0,607.0,,
1671152727.437241,Mouse,561.0,608.0,,
1671152727.447479,Mouse,560.0,608.0,,
1671152727.467205,Mouse,556.0,609.0,,
1671152727.488185,Mouse,554.0,610.0,,
1671152727.508163,Mouse,552.0,611.0,,
1671152727.528157,Mouse,550.0,611.0,,
1671152727.538161,Mouse,550.0,612.0,,
1671152727.558275,Mouse,546.0,612.0,,
1671152727.578207,Mouse,539.0,612.0,,
1671152727.588421,Mouse,536.0,612.0,,
1671152727.608252,Mouse,530.0,612.0,,
1671152727.62821,Mouse,527.0,612.0,,
1671152727.64828,Mouse,523.0,612.0,,
1671152727.6592,Mouse,522.0,612.0,,
1671152727.679167,Mouse,518.0,613.0,,
1671152727.689245,Mouse,516.0,613.0,,
1671152727.709177,Mouse,509.0,614.0,,
1671152727.71919,Mouse,506.0,614.0,,
1671152727.739168,Mouse,499.0,615.0,,
1671152727.749186,Mouse,494.0,617.0,,
1671152727.759237,Mouse,489.0,617.0,,
1671152727.769239,Mouse,484.0,617.0,,
1671152727.779254,Mouse,479.0,618.0,,
1671152727.789276,Mouse,476.0,618.0,,
1671152727.80923,Mouse,464.0,618.0,,
1671152727.829235,Mouse,452.0,618.0,,
1671152727.849209,Mouse,442.0,619.0,,
1671152727.859269,Mouse,438.0,619.0,,
1671152727.879215,Mouse,432.0,619.0,,
1671152727.889263,Mouse,428.0,619.0,,
1671152727.909173,Mouse,422.0,619.0,,
1671152727.929166,Mouse,417.0,619.0,,
1671152727.948222,Mouse,412.0,619.0,,
1671152727.959249,Mouse,407.0,619.0,,
1671152727.979246,Mouse,395.0,619.0,,
1671152728.000212,Mouse,382.0,619.0,,
1671152728.010229,Mouse,378.0,619.0,,
1671152728.020409,Mouse,371.0,619.0,,
1671152728.040182,Mouse,362.0,619.0,,
1671152728.060158,Mouse,351.0,619.0,,
1671152728.07016,Mouse,347.0,619.0,,
1671152728.080236,Mouse,343.0,619.0,,
1671152728.090446,Mouse,338.0,619.0,,
1671152728.110457,Mouse,330.0,619.0,,
1671152728.130223,Mouse,322.0,618.0,,
1671152728.15052,Mouse,312.0,618.0,,
1671152728.171172,Mouse,305.0,616.0,,
1671152728.1812,Mouse,299.0,616.0,,
1671152728.191231,Mouse,291.0,614.0,,
1671152728.211122,Mouse,286.0,613.0,,
1671152728.221448,Mouse,282.0,613.0,,
1671152728.2412,Mouse,278.0,612.0,,
1671152728.251451,Mouse,276.0,612.0,,
1671152728.27119,Mouse,271.0,612.0,,
1671152728.281352,Mouse,267.0,610.0,,
1671152728.301139,Mouse,255.0,609.0,,
1671152728.311168,Mouse,246.0,608.0,,
1671152728.321468,Mouse,238.0,606.0,,
1671152728.34118,Mouse,223.0,605.0,,
1671152728.351474,Mouse,215.0,604.0,,
1671152728.37138,Mouse,195.0,600.0,,
1671152728.391295,Mouse,177.0,598.0,,
1671152728.411453,Mouse,158.0,595.0,,
1671152728.42155,Mouse,151.0,595.0,,
1671152728.441434,Mouse,137.0,592.0,,
1671152728.461234,Mouse,123.0,591.0,,
1671152728.48145,Mouse,113.0,588.0,,
1671152728.501184,Mouse,105.0,588.0,,
1671152728.51248,Mouse,101.0,587.0,,
1671152728.532227,Mouse,96.0,585.0,,
1671152728.552268,Mouse,89.0,585.0,,
1671152728.572184,Mouse,79.0,584.0,,
1671152728.582315,Mouse,76.0,584.0,,
1671152728.602205,Mouse,72.0,583.0,,
1671152728.612341,Mouse,70.0,582.0,,
1671152728.622489,Mouse,70.0,582.0,,
1671152728.693482,Mouse,70.0,582.0,,
1671152728.733166,Mouse,70.0,581.0,,
1671152728.743173,Mouse,70.0,580.0,,
1671152728.763166,Mouse,70.0,578.0,,
1671152728.783152,Mouse,70.0,575.0,,
1671152728.793155,Mouse,70.0,573.0,,
1671152728.803174,Mouse,70.0,571.0,,
1671152728.813208,Mouse,70.0,569.0,,
1671152728.833185,Mouse,70.0,565.0,,
1671152728.853289,Mouse,70.0,560.0,,
1671152728.873152,Mouse,70.0,557.0,,
1671152728.883449,Mouse,70.0,554.0,,
1671152728.903232,Mouse,70.0,550.0,,
1671152728.923195,Mouse,70.0,545.0,,
1671152728.943443,Mouse,70.0,538.0,,
1671152728.953454,Mouse,70.0,535.0,,
1671152728.97325,Mouse,70.0,529.0,,
1671152728.983306,Mouse,70.0,525.0,,
1671152729.003186,Mouse,70.0,517.0,,
1671152729.013217,Mouse,70.0,510.0,,
1671152729.024221,Mouse,70.0,505.0,,
1671152729.034306,Mouse,70.0,496.0,,
1671152729.054154,Mouse,70.0,480.0,,
1671152729.064161,Mouse,70.0,473.0,,
1671152729.074254,Mouse,70.0,463.0,,
1671152729.094176,Mouse,68.0,446.0,,
1671152729.104222,Mouse,66.0,439.0,,
1671152729.124164,Mouse,63.0,420.0,,
1671152729.134174,Mouse,63.0,414.0,,
1671152729.14438,Mouse,62.0,408.0,,
1671152729.164214,Mouse,60.0,396.0,,
1671152729.17447,Mouse,59.0,391.0,,
1671152729.184484,Mouse,59.0,385.0,,
1671152729.195187,Mouse,59.0,380.0,,
1671152729.205351,Mouse,59.0,375.0,,
1671152729.215451,Mouse,59.0,370.0,,
1671152729.235449,Mouse,59.0,358.0,,
1671152729.255164,Mouse,59.0,348.0,,
1671152729.265172,Mouse,59.0,342.0,,
1671152729.275271,Mouse,59.0,339.0,,
1671152729.295222,Mouse,59.0,328.0,,
1671152729.315171,Mouse,59.0,321.0,,
1671152729.325174,Mouse,59.0,316.0,,
1671152729.335247,Mouse,59.0,313.0,,
1671152729.354228,Mouse,59.0,306.0,,
1671152729.365321,Mouse,59.0,301.0,,
1671152729.37551,Mouse,58.0,297.0,,
1671152729.395208,Mouse,58.0,293.0,,
1671152729.405423,Mouse,57.0,289.0,,
1671152729.425188,Mouse,57.0,280.0,,
1671152729.435205,Mouse,57.0,276.0,,
1671152729.445435,Mouse,57.0,273.0,,
1671152729.465187,Mouse,57.0,265.0,,
1671152729.475225,Mouse,57.0,261.0,,
1671152729.485399,Mouse,57.0,257.0,,
1671152729.495423,Mouse,57.0,253.0,,
1671152729.515252,Mouse,57.0,246.0,,
1671152729.526218,Mouse,57.0,242.0,,
1671152729.54623,Mouse,57.0,236.0,,
1671152729.566435,Mouse,56.0,229.0,,
1671152729.58615,Mouse,54.0,221.0,,
1671152729.596194,Mouse,54.0,217.0,,
1671152729.606449,Mouse,54.0,212.0,,
1671152729.626326,Mouse,54.0,198.0,,
1671152729.64625,Mouse,54.0,184.0,,
1671152729.656278,Mouse,54.0,175.0,,
1671152729.676257,Mouse,54.0,154.0,,
1671152729.697284,Mouse,54.0,133.0,,
1671152729.71715,Mouse,54.0,114.0,,
1671152729.727175,Mouse,54.0,104.0,,
1671152729.737266,Mouse,54.0,97.0,,
1671152729.757446,Mouse,54.0,82.0,,
1671152729.777309,Mouse,54.0,70.0,,
1671152729.797162,Mouse,54.0,63.0,,
1671152729.807252,Mouse,53.0,59.0,,
1671152729.817451,Mouse,53.0,56.0,,
1671152729.837258,Mouse,53.0,53.0,,
1671152729.8572,Mouse,53.0,51.0,,
1671152730.08823,Mouse,53.0,51.0,,
1671152730.128167,Mouse,53.0,51.0,,
1671152730.158263,Mouse,54.0,51.0,,
1671152730.188185,Mouse,55.0,51.0,,
1671152730.209166,Mouse,55.0,51.0,,
1671152730.229235,Mouse,59.0,51.0,,
1671152730.249167,Mouse,68.0,51.0,,
1671152730.259203,Mouse,73.0,51.0,,
1671152730.269233,Mouse,82.0,51.0,,
1671152730.289202,Mouse,98.0,51.0,,
1671152730.299256,Mouse,102.0,51.0,,
1671152730.319206,Mouse,115.0,51.0,,
