Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671153042.297,MouseEvent,,995.0,332.3333333333333,,,Fixation
1671153042.30358,,Mouse,996.0,334.6666666666667,,,Fixation
1671153042.312237,,Eye Tracker,997.0,337.0,Valid,Valid,Fixation
1671153042.3272219,,Eye Tracker,998.0,341.0,Valid,Valid,Fixation
1671153042.328892,,Eye Tracker,994.0,335.0,Valid,Valid,Fixation
1671153042.359894,,Eye Tracker,991.0,339.0,Valid,Valid,Fixation
1671153042.3765478,,Eye Tracker,994.0,340.0,Valid,Valid,Fixation
1671153042.393203,,Eye Tracker,995.0,334.0,Valid,Valid,Fixation
1671153042.409858,,Eye Tracker,994.0,337.0,Valid,Valid,Fixation
1671153042.426512,,Eye Tracker,994.0,343.0,Valid,Valid,Fixation
1671153042.476477,,Eye Tracker,1034.0,340.0,Valid,Valid,Saccade
1671153042.4931319,,Eye Tracker,1247.0,310.0,Valid,Valid,Saccade
1671153042.5097868,,Eye Tracker,1277.0,298.0,Valid,Valid,Saccade
1671153042.576588,,Eye Tracker,1277.0,296.0,Valid,Valid,Fixation
1671153042.593243,,Mouse,1276.0,296.0,,,Fixation
1671153042.609897,,Eye Tracker,1275.0,296.0,Valid,Valid,Fixation
1671153042.6265519,,Mouse,1275.0,294.3333333333333,,,Fixation
1671153042.6432068,,Mouse,1275.0,292.6666666666667,,,Fixation
1671153042.659863,,Eye Tracker,1275.0,291.0,Valid,Valid,Fixation
1671153042.676517,,Mouse,1275.5,290.0,,,Fixation
1671153042.693173,,Eye Tracker,1276.0,289.0,Valid,Valid,Fixation
1671153042.709828,,Mouse,1273.5,289.5,,,Fixation
1671153042.726482,,Eye Tracker,1271.0,290.0,Valid,Valid,Fixation
1671153042.743137,,Mouse,1271.0,288.0,,,Fixation
1671153042.7597919,,Eye Tracker,1271.0,286.0,Valid,Valid,Fixation
1671153042.7764459,,Mouse,1271.0,288.0,,,Fixation
1671153042.7931008,,Eye Tracker,1271.0,290.0,Valid,Valid,Fixation
1671153042.809756,,Mouse,1271.0,288.5,,,Fixation
1671153042.8264098,,Eye Tracker,1271.0,287.0,Valid,Valid,Fixation
1671153042.843065,,Mouse,1270.0,288.5,,,Fixation
1671153042.85972,,Eye Tracker,1269.0,290.0,Valid,Valid,Fixation
1671153042.876374,,Mouse,1270.0,293.0,,,Fixation
1671153042.89303,,Eye Tracker,1271.0,296.0,Valid,Valid,Fixation
1671153042.909685,,Eye Tracker,1274.0,294.0,Valid,Valid,Fixation
1671153042.9263399,,Mouse,1272.3333333333333,293.6666666666667,,,Fixation
1671153042.9429939,,Mouse,1270.6666666666667,293.3333333333333,,,Fixation
1671153042.95965,,Eye Tracker,1269.0,293.0,Valid,Valid,Fixation
1671153042.976305,,Mouse,1271.0,291.0,,,Fixation
1671153042.992959,,Eye Tracker,1273.0,289.0,Valid,Valid,Fixation
1671153043.009614,,Eye Tracker,1274.0,284.0,Valid,Valid,Fixation
1671153043.026269,,Mouse,1271.0,286.5,,,Fixation
1671153043.042923,,Eye Tracker,1268.0,289.0,Valid,Valid,Fixation
1671153043.059578,,Mouse,1269.0,290.5,,,Fixation
1671153043.076233,,Eye Tracker,1270.0,292.0,Valid,Valid,Fixation
1671153043.0928879,,Mouse,1271.0,291.0,,,Fixation
1671153043.1095428,,Eye Tracker,1272.0,290.0,Valid,Valid,Fixation
1671153043.1261978,,Mouse,1270.0,291.0,,,Fixation
1671153043.1428518,,Eye Tracker,1268.0,292.0,Valid,Valid,Fixation
1671153043.159507,,Mouse,1268.3333333333333,293.6666666666667,,,Fixation
1671153043.176162,,Mouse,1268.6666666666667,295.3333333333333,,,Fixation
1671153043.192817,,Eye Tracker,1269.0,297.0,Valid,Valid,Fixation
1671153043.209471,,Eye Tracker,1267.0,291.0,Valid,Valid,Fixation
1671153043.226126,,Mouse,1265.3333333333333,289.6666666666667,,,Fixation
1671153043.242781,,Mouse,1263.6666666666667,288.3333333333333,,,Fixation
1671153043.259436,,Eye Tracker,1262.0,287.0,Valid,Valid,Fixation
