Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671153300.402588,,,,MouseEvent,"Down, Left"
1671153300.402588,Mouse,1796.0,897.0,,
1671153300.603484,Mouse,1796.0,898.0,,
1671153300.623426,Mouse,1794.0,899.0,,
1671153300.634391,Mouse,1792.0,900.0,,
1671153300.644428,Mouse,1792.0,900.0,,
1671153300.664373,Mouse,1790.0,901.0,,
1671153300.675414,Mouse,1788.0,901.0,,
1671153300.694408,Mouse,1787.0,901.0,,
1671153300.704408,Mouse,1786.0,902.0,,
1671153300.774409,Mouse,1785.0,902.0,,
1671153300.784574,Mouse,1781.0,902.0,,
1671153300.804323,Mouse,1764.0,901.0,,
1671153300.814434,Mouse,1751.0,899.0,,
1671153300.834437,Mouse,1716.0,894.0,,
1671153300.845383,Mouse,1687.0,893.0,,
1671153300.864386,Mouse,1643.0,893.0,,
1671153300.885688,Mouse,1596.0,893.0,,
1671153300.904617,Mouse,1556.0,892.0,,
1671153300.924492,Mouse,1523.0,888.0,,
1671153300.944388,Mouse,1506.0,885.0,,
1671153300.954674,Mouse,1497.0,884.0,,
1671153300.964675,Mouse,1490.0,883.0,,
1671153300.975582,Mouse,1485.0,883.0,,
1671153300.995458,Mouse,1474.0,882.0,,
1671153301.016413,Mouse,1459.0,879.0,,
1671153301.03543,Mouse,1443.0,874.0,,
1671153301.056481,Mouse,1424.0,869.0,,
1671153301.075414,Mouse,1404.0,863.0,,
1671153301.085452,Mouse,1395.0,860.0,,
1671153301.105512,Mouse,1377.0,854.0,,
1671153301.115517,Mouse,1367.0,850.0,,
1671153301.135409,Mouse,1347.0,841.0,,
1671153301.14664,Mouse,1336.0,837.0,,
1671153301.166399,Mouse,1315.0,825.0,,
1671153301.176656,Mouse,1305.0,819.0,,
1671153301.187585,Mouse,1294.0,812.0,,
1671153301.206349,Mouse,1277.0,802.0,,
1671153301.216683,Mouse,1268.0,799.0,,
1671153301.227641,Mouse,1263.0,797.0,,
1671153301.246554,Mouse,1252.0,792.0,,
1671153301.2674,Mouse,1242.0,786.0,,
1671153301.286422,Mouse,1236.0,782.0,,
1671153301.30645,Mouse,1232.0,779.0,,
1671153301.326394,Mouse,1227.0,777.0,,
1671153301.336409,Mouse,1223.0,774.0,,
1671153301.346457,Mouse,1219.0,771.0,,
1671153301.3574,Mouse,1215.0,769.0,,
1671153301.376587,Mouse,1205.0,763.0,,
1671153301.397367,Mouse,1193.0,755.0,,
1671153301.416435,Mouse,1181.0,746.0,,
1671153301.436315,Mouse,1173.0,736.0,,
1671153301.44634,Mouse,1169.0,732.0,,
1671153301.456366,Mouse,1164.0,725.0,,
1671153301.46641,Mouse,1160.0,720.0,,
1671153301.476435,Mouse,1155.0,714.0,,
1671153301.487399,Mouse,1148.0,704.0,,
1671153301.497405,Mouse,1141.0,696.0,,
1671153301.507418,Mouse,1134.0,686.0,,
1671153301.517567,Mouse,1129.0,678.0,,
1671153301.528398,Mouse,1125.0,674.0,,
1671153301.547463,Mouse,1122.0,666.0,,
1671153301.568672,Mouse,1118.0,656.0,,
1671153301.587446,Mouse,1117.0,651.0,,
1671153301.60845,Mouse,1115.0,645.0,,
1671153301.627405,Mouse,1114.0,642.0,,
1671153301.647362,Mouse,1113.0,639.0,,
1671153301.65841,Mouse,1113.0,637.0,,
1671153301.678434,Mouse,1111.0,631.0,,
1671153301.699491,Mouse,1107.0,623.0,,
1671153301.718398,Mouse,1103.0,617.0,,
1671153301.728399,Mouse,1099.0,612.0,,
1671153301.739439,Mouse,1096.0,607.0,,
1671153301.758373,Mouse,1090.0,597.0,,
1671153301.768653,Mouse,1086.0,590.0,,
1671153301.779535,Mouse,1081.0,582.0,,
1671153301.798375,Mouse,1071.0,564.0,,
1671153301.808459,Mouse,1066.0,556.0,,
1671153301.818609,Mouse,1062.0,549.0,,
1671153301.838419,Mouse,1052.0,533.0,,
1671153301.848533,Mouse,1049.0,528.0,,
1671153301.869551,Mouse,1043.0,521.0,,
1671153301.888397,Mouse,1042.0,519.0,,
1671153301.89854,Mouse,1041.0,518.0,,
1671153302.099409,Mouse,1041.0,518.0,,
1671153302.109493,Mouse,1040.0,518.0,,
