Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671157811.293975,MouseEvent,,1642.0,299.0,,,Saccade,,,MouseEvent,"Down, Left"
1671157811.293975,,Mouse,1615.0,303.0,,,Saccade,1698.0,299.0,,
1671157811.298926,,Eye Tracker,1588.0,307.0,Valid,Valid,Saccade,,,,
1671157811.315582,,Eye Tracker,1598.0,294.0,Valid,Valid,Fixation,,,,
1671157811.332237,,Eye Tracker,1589.0,302.0,Valid,Valid,Fixation,,,,
1671157811.348891,,Eye Tracker,1580.0,311.0,Valid,Valid,Fixation,,,,
1671157811.365546,,Eye Tracker,1585.0,306.0,Valid,Valid,Fixation,,,,
1671157811.382201,,Eye Tracker,1587.0,303.0,Valid,Valid,Fixation,,,,
1671157811.398855,,Eye Tracker,1587.0,303.0,Valid,Valid,Fixation,,,,
1671157811.41551,,Eye Tracker,1588.0,294.0,Valid,Valid,Fixation,,,,
1671157811.432165,,Eye Tracker,1586.0,298.0,Valid,Valid,Fixation,,,,
1671157811.44882,,Eye Tracker,1585.0,299.0,Valid,Valid,Fixation,,,,
1671157811.465474,,Eye Tracker,1585.0,296.0,Valid,Valid,Fixation,,,,
1671157811.482129,,Eye Tracker,1587.0,297.0,Valid,Valid,Fixation,,,,
1671157811.483899,,Mouse,1587.0,299.3333333333333,,,Fixation,1697.0,300.0,,
1671157811.494973,,Mouse,1587.0,301.6666666666667,,,Fixation,1693.0,304.0,,
1671157811.498784,,Eye Tracker,1587.0,304.0,Valid,Valid,Fixation,,,,
1671157811.5140631,,Mouse,1589.5,294.0,,,Fixation,1680.0,309.0,,
1671157811.515438,,Eye Tracker,1592.0,284.0,Valid,Valid,Fixation,,,,
1671157811.532093,,Eye Tracker,1611.0,240.0,Valid,Valid,Saccade,,,,
1671157811.53489,,Mouse,1610.0,222.5,,,Saccade,1662.0,316.0,,
1671157811.548749,,Eye Tracker,1609.0,205.0,Valid,Valid,Saccade,,,,
1671157811.553931,,Mouse,1609.3333333333333,205.0,,,Saccade,1648.0,320.0,,
1671157811.563965,,Mouse,1609.6666666666667,205.0,,,Unclassified,1642.0,323.0,,
1671157811.565403,,Eye Tracker,1610.0,205.0,Valid,Valid,Unclassified,,,,
1671157811.574865,,Mouse,1642.0,214.0,,,Saccade,1639.0,325.0,,
1671157811.582058,,Eye Tracker,1674.0,223.0,Valid,Valid,Saccade,,,,
1671157811.594043,,Mouse,1674.5,222.5,,,Unclassified,1637.0,326.0,,
1671157811.598713,,Eye Tracker,1675.0,222.0,Valid,Valid,Unclassified,,,,
1671157811.615367,,Eye Tracker,1604.0,324.0,Valid,Invalid,Unclassified,,,,
1671157811.632022,,Eye Tracker,1564.0,336.0,Valid,Valid,Saccade,,,,
1671157811.648677,,Eye Tracker,1506.0,300.0,Valid,Valid,Saccade,,,,
1671157811.665331,,Eye Tracker,1443.0,265.0,Valid,Valid,Saccade,,,,
1671157811.681986,,Eye Tracker,1580.0,225.0,Valid,Valid,Saccade,,,,
1671157811.698641,,Eye Tracker,1577.0,222.0,Valid,Valid,Unclassified,,,,
1671157811.715296,,Eye Tracker,1570.0,334.0,Valid,Invalid,Unclassified,,,,
1671157811.73195,,Eye Tracker,1553.0,342.0,Valid,Valid,Saccade,,,,
1671157811.748605,,Eye Tracker,1566.0,289.0,Valid,Valid,Unclassified,,,,
1671157811.76526,,Eye Tracker,1577.0,233.0,Valid,Valid,Saccade,,,,
1671157811.781915,,Eye Tracker,1590.0,316.0,Valid,Invalid,Unclassified,,,,
1671157811.79857,,Eye Tracker,1567.0,342.0,Valid,Valid,Saccade,,,,
1671157811.815225,,Eye Tracker,1561.0,353.0,Valid,Valid,Fixation,,,,
1671157811.831879,,Eye Tracker,1550.0,360.0,Valid,Valid,Fixation,,,,
1671157811.836002,,Mouse,1550.0,359.5,,,Fixation,1636.0,327.0,,
