Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-16 11:32:20.495582,,,,MouseEvent,"Down, Left"
2022-12-16 11:32:20.495582,Mouse,1696.0,299.0,,
2022-12-16 11:32:20.755651,Mouse,1696.0,299.0,,
2022-12-16 11:32:20.775698,Mouse,1692.0,303.0,,
2022-12-16 11:32:20.795393,Mouse,1685.0,309.0,,
2022-12-16 11:32:20.805448,Mouse,1679.0,311.0,,
2022-12-16 11:32:20.816566,Mouse,1676.0,315.0,,
2022-12-16 11:32:20.836681,Mouse,1668.0,318.0,,
2022-12-16 11:32:20.856416,Mouse,1663.0,322.0,,
2022-12-16 11:32:20.866466,Mouse,1660.0,322.0,,
2022-12-16 11:32:20.876712,Mouse,1659.0,323.0,,
2022-12-16 11:32:20.916608,Mouse,1657.0,324.0,,
2022-12-16 11:32:20.946672,Mouse,1657.0,324.0,,
2022-12-16 11:32:20.976689,Mouse,1654.0,325.0,,
2022-12-16 11:32:20.987453,Mouse,1654.0,326.0,,
2022-12-16 11:32:21.007429,Mouse,1651.0,328.0,,
2022-12-16 11:32:21.017620,Mouse,1649.0,329.0,,
2022-12-16 11:32:21.037428,Mouse,1643.0,331.0,,
2022-12-16 11:32:21.057417,Mouse,1639.0,334.0,,
2022-12-16 11:32:21.077427,Mouse,1637.0,335.0,,
2022-12-16 11:32:21.087448,Mouse,1636.0,335.0,,
2022-12-16 11:32:21.106510,Mouse,1634.0,337.0,,
2022-12-16 11:32:21.127396,Mouse,1633.0,337.0,,
2022-12-16 11:32:21.146413,Mouse,1628.0,338.0,,
2022-12-16 11:32:21.157453,Mouse,1627.0,340.0,,
2022-12-16 11:32:21.167474,Mouse,1625.0,341.0,,
2022-12-16 11:32:21.177486,Mouse,1623.0,342.0,,
2022-12-16 11:32:21.197414,Mouse,1619.0,344.0,,
2022-12-16 11:32:21.207671,Mouse,1617.0,346.0,,
2022-12-16 11:32:21.227407,Mouse,1612.0,350.0,,
2022-12-16 11:32:21.247416,Mouse,1608.0,352.0,,
2022-12-16 11:32:21.257441,Mouse,1604.0,354.0,,
2022-12-16 11:32:21.276583,Mouse,1598.0,357.0,,
2022-12-16 11:32:21.287443,Mouse,1597.0,357.0,,
2022-12-16 11:32:21.297676,Mouse,1595.0,359.0,,
2022-12-16 11:32:21.317435,Mouse,1589.0,361.0,,
2022-12-16 11:32:21.328393,Mouse,1587.0,363.0,,
2022-12-16 11:32:21.338790,Mouse,1584.0,365.0,,
2022-12-16 11:32:21.358387,Mouse,1578.0,370.0,,
2022-12-16 11:32:21.368423,Mouse,1576.0,370.0,,
2022-12-16 11:32:21.378532,Mouse,1574.0,372.0,,
2022-12-16 11:32:21.398439,Mouse,1570.0,376.0,,
2022-12-16 11:32:21.418449,Mouse,1567.0,378.0,,
2022-12-16 11:32:21.438485,Mouse,1566.0,379.0,,
2022-12-16 11:32:21.468410,Mouse,1564.0,380.0,,
2022-12-16 11:32:21.478580,Mouse,1564.0,381.0,,
2022-12-16 11:32:21.499535,Mouse,1563.0,381.0,,
2022-12-16 11:32:21.549443,Mouse,1563.0,382.0,,
2022-12-16 11:32:21.569643,Mouse,1561.0,383.0,,
2022-12-16 11:32:21.589386,Mouse,1558.0,385.0,,
2022-12-16 11:32:21.599428,Mouse,1555.0,387.0,,
2022-12-16 11:32:21.609682,Mouse,1554.0,388.0,,
2022-12-16 11:32:21.629493,Mouse,1550.0,391.0,,
2022-12-16 11:32:21.639536,Mouse,1547.0,393.0,,
2022-12-16 11:32:21.658389,Mouse,1543.0,395.0,,
2022-12-16 11:32:21.669708,Mouse,1541.0,397.0,,
2022-12-16 11:32:21.689386,Mouse,1537.0,400.0,,
2022-12-16 11:32:21.699545,Mouse,1535.0,401.0,,
2022-12-16 11:32:21.709811,Mouse,1532.0,404.0,,
2022-12-16 11:32:21.729621,Mouse,1525.0,410.0,,
2022-12-16 11:32:21.739686,Mouse,1521.0,413.0,,
2022-12-16 11:32:21.759460,Mouse,1514.0,418.0,,
2022-12-16 11:32:21.769670,Mouse,1510.0,421.0,,
2022-12-16 11:32:21.788415,Mouse,1502.0,426.0,,
2022-12-16 11:32:21.799549,Mouse,1497.0,428.0,,
2022-12-16 11:32:21.819448,Mouse,1489.0,434.0,,
2022-12-16 11:32:21.840449,Mouse,1483.0,437.0,,
2022-12-16 11:32:21.860440,Mouse,1480.0,440.0,,
2022-12-16 11:32:21.870471,Mouse,1478.0,441.0,,
2022-12-16 11:32:21.890429,Mouse,1474.0,442.0,,
2022-12-16 11:32:21.900446,Mouse,1472.0,443.0,,
2022-12-16 11:32:21.920385,Mouse,1467.0,447.0,,
2022-12-16 11:32:21.930429,Mouse,1465.0,448.0,,
2022-12-16 11:32:21.940561,Mouse,1462.0,450.0,,
2022-12-16 11:32:21.959535,Mouse,1452.0,454.0,,
2022-12-16 11:32:21.970413,Mouse,1448.0,457.0,,
2022-12-16 11:32:21.990433,Mouse,1440.0,461.0,,
2022-12-16 11:32:22.000472,Mouse,1434.0,464.0,,
2022-12-16 11:32:22.011447,Mouse,1432.0,466.0,,
2022-12-16 11:32:22.031625,Mouse,1424.0,469.0,,
2022-12-16 11:32:22.051386,Mouse,1419.0,471.0,,
2022-12-16 11:32:22.061424,Mouse,1414.0,474.0,,
2022-12-16 11:32:22.071457,Mouse,1413.0,475.0,,
2022-12-16 11:32:22.091668,Mouse,1407.0,478.0,,
2022-12-16 11:32:22.111407,Mouse,1402.0,480.0,,
2022-12-16 11:32:22.121435,Mouse,1398.0,482.0,,
2022-12-16 11:32:22.141441,Mouse,1392.0,485.0,,
2022-12-16 11:32:22.161454,Mouse,1385.0,488.0,,
2022-12-16 11:32:22.181435,Mouse,1377.0,493.0,,
2022-12-16 11:32:22.191454,Mouse,1375.0,494.0,,
2022-12-16 11:32:22.201689,Mouse,1369.0,495.0,,
2022-12-16 11:32:22.221416,Mouse,1363.0,498.0,,
2022-12-16 11:32:22.234720,Mouse,1358.0,501.0,,
2022-12-16 11:32:22.251388,Mouse,1351.0,505.0,,
2022-12-16 11:32:22.261472,Mouse,1348.0,506.0,,
2022-12-16 11:32:22.281436,Mouse,1339.0,509.0,,
2022-12-16 11:32:22.300440,Mouse,1331.0,512.0,,
2022-12-16 11:32:22.311441,Mouse,1328.0,514.0,,
2022-12-16 11:32:22.331677,Mouse,1320.0,517.0,,
2022-12-16 11:32:22.352545,Mouse,1314.0,520.0,,
2022-12-16 11:32:22.372411,Mouse,1309.0,523.0,,
2022-12-16 11:32:22.392431,Mouse,1305.0,525.0,,
2022-12-16 11:32:22.402440,Mouse,1303.0,526.0,,
2022-12-16 11:32:22.422485,Mouse,1299.0,528.0,,
2022-12-16 11:32:22.432565,Mouse,1297.0,529.0,,
2022-12-16 11:32:22.452397,Mouse,1292.0,531.0,,
2022-12-16 11:32:22.462561,Mouse,1291.0,532.0,,
2022-12-16 11:32:22.482382,Mouse,1285.0,534.0,,
2022-12-16 11:32:22.492541,Mouse,1284.0,535.0,,
