Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671158215.41857,,Eye Tracker,1522.0,853.0,Valid,Valid,Unclassified
1671158215.435225,,Eye Tracker,1523.0,854.0,Valid,Valid,Unclassified
1671158215.45188,,Eye Tracker,1562.0,898.0,Valid,Valid,Saccade
1671158215.468535,,Eye Tracker,1556.0,899.0,Valid,Valid,Unclassified
1671158215.48519,,Eye Tracker,1512.0,863.0,Valid,Valid,Saccade
1671158215.501844,,Eye Tracker,1533.0,860.0,Valid,Valid,Unclassified
1671158215.518499,,Eye Tracker,1513.0,844.0,Valid,Valid,Unclassified
1671158215.535154,,Eye Tracker,1521.0,809.0,Valid,Valid,Saccade
1671158215.551808,,Eye Tracker,1533.0,770.0,Valid,Valid,Fixation
1671158215.568463,,Eye Tracker,1569.0,833.0,Valid,Valid,Fixation
1671158215.585118,,Eye Tracker,1545.0,845.0,Valid,Valid,Fixation
1671158215.601772,,Eye Tracker,1528.0,843.0,Valid,Valid,Fixation
1671158215.618427,,Eye Tracker,1525.0,841.0,Valid,Valid,Fixation
1671158215.635082,,Eye Tracker,1537.0,823.0,Valid,Valid,Fixation
1671158215.651736,,Eye Tracker,1549.0,816.0,Valid,Valid,Fixation
1671158215.668392,,Eye Tracker,1551.0,827.0,Valid,Valid,Fixation
1671158215.685047,,Eye Tracker,1536.0,819.0,Valid,Valid,Fixation
1671158215.701702,,Eye Tracker,1524.0,821.0,Valid,Valid,Fixation
1671158215.718356,,Eye Tracker,1538.0,808.0,Valid,Valid,Fixation
1671158215.735011,,Eye Tracker,1529.0,801.0,Valid,Valid,Fixation
1671158215.751666,,Eye Tracker,1541.0,806.0,Valid,Valid,Fixation
1671158215.76832,,Eye Tracker,1538.0,812.0,Valid,Valid,Fixation
1671158215.784975,,Eye Tracker,1522.0,805.0,Valid,Valid,Fixation
1671158215.80163,,Eye Tracker,1527.0,805.0,Valid,Valid,Fixation
1671158215.818284,,Eye Tracker,1527.0,796.0,Valid,Valid,Fixation
1671158215.834939,,Eye Tracker,1511.0,786.0,Valid,Valid,Fixation
1671158215.851594,,Eye Tracker,1455.0,749.0,Valid,Valid,Saccade
1671158215.868248,,Eye Tracker,1416.0,730.0,Valid,Valid,Saccade
1671158215.884904,,Eye Tracker,1401.0,740.0,Valid,Valid,Unclassified
1671158215.901559,,Eye Tracker,1408.0,743.0,Valid,Valid,Unclassified
1671158215.918213,,Eye Tracker,1389.0,709.0,Valid,Valid,Saccade
1671158215.934868,,Eye Tracker,1382.0,708.0,Valid,Valid,Fixation
1671158215.951523,,Eye Tracker,1381.0,703.0,Valid,Valid,Fixation
1671158215.968178,,Eye Tracker,1385.0,696.0,Valid,Valid,Fixation
1671158215.984832,,Eye Tracker,1382.0,694.0,Valid,Valid,Fixation
1671158216.001487,,Eye Tracker,1380.0,693.0,Valid,Valid,Fixation
1671158216.018142,,Eye Tracker,1377.0,680.0,Valid,Valid,Fixation
1671158216.034796,,Eye Tracker,1350.0,684.0,Valid,Valid,Saccade
1671158216.051451,,Eye Tracker,1214.0,630.0,Valid,Valid,Saccade
1671158216.068106,,Eye Tracker,1204.0,679.0,Valid,Valid,Unclassified
