Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671158336.530293,,,,MouseEvent,"Down, Left"
1671158336.530293,Mouse,1811.0,892.0,,
1671158336.633072,Mouse,1810.0,891.0,,
1671158336.651164,Mouse,1805.0,886.0,,
1671158336.672152,Mouse,1794.0,875.0,,
1671158336.69112,Mouse,1780.0,861.0,,
1671158336.701153,Mouse,1773.0,854.0,,
1671158336.712108,Mouse,1765.0,846.0,,
1671158336.731177,Mouse,1753.0,834.0,,
1671158336.752547,Mouse,1747.0,828.0,,
1671158336.772185,Mouse,1743.0,826.0,,
1671158336.792159,Mouse,1742.0,825.0,,
1671158336.803208,Mouse,1741.0,825.0,,
1671158336.832138,Mouse,1739.0,824.0,,
1671158336.84312,Mouse,1738.0,823.0,,
1671158336.86214,Mouse,1734.0,821.0,,
1671158336.872297,Mouse,1730.0,819.0,,
1671158336.883161,Mouse,1726.0,816.0,,
1671158336.902209,Mouse,1716.0,811.0,,
1671158336.92317,Mouse,1703.0,805.0,,
1671158336.942182,Mouse,1695.0,801.0,,
1671158336.952191,Mouse,1692.0,800.0,,
1671158336.962206,Mouse,1689.0,799.0,,
1671158336.973396,Mouse,1688.0,799.0,,
1671158336.99221,Mouse,1687.0,799.0,,
1671158337.002319,Mouse,1687.0,799.0,,
1671158337.022187,Mouse,1686.0,799.0,,
1671158337.042192,Mouse,1686.0,799.0,,
1671158337.053211,Mouse,1685.0,799.0,,
1671158337.072232,Mouse,1683.0,799.0,,
1671158337.082232,Mouse,1680.0,798.0,,
1671158337.093205,Mouse,1678.0,798.0,,
1671158337.103224,Mouse,1675.0,797.0,,
1671158337.123107,Mouse,1666.0,795.0,,
1671158337.133178,Mouse,1664.0,795.0,,
1671158337.144151,Mouse,1660.0,794.0,,
1671158337.163318,Mouse,1648.0,791.0,,
1671158337.184185,Mouse,1634.0,787.0,,
1671158337.203438,Mouse,1617.0,782.0,,
1671158337.224432,Mouse,1592.0,774.0,,
1671158337.2432,Mouse,1568.0,763.0,,
1671158337.264225,Mouse,1548.0,752.0,,
1671158337.274249,Mouse,1539.0,748.0,,
1671158337.294488,Mouse,1526.0,741.0,,
1671158337.30532,Mouse,1520.0,737.0,,
1671158337.324236,Mouse,1512.0,732.0,,
1671158337.344209,Mouse,1507.0,728.0,,
1671158337.355192,Mouse,1504.0,726.0,,
1671158337.374325,Mouse,1499.0,723.0,,
1671158337.395205,Mouse,1493.0,719.0,,
1671158337.414218,Mouse,1482.0,713.0,,
1671158337.424462,Mouse,1476.0,708.0,,
1671158337.435475,Mouse,1468.0,701.0,,
1671158337.454189,Mouse,1450.0,689.0,,
1671158337.464297,Mouse,1439.0,682.0,,
1671158337.4752,Mouse,1427.0,675.0,,
1671158337.485217,Mouse,1412.0,667.0,,
1671158337.504398,Mouse,1386.0,650.0,,
1671158337.525148,Mouse,1357.0,629.0,,
1671158337.544162,Mouse,1338.0,614.0,,
1671158337.565191,Mouse,1326.0,605.0,,
1671158337.584154,Mouse,1317.0,598.0,,
1671158337.605133,Mouse,1308.0,593.0,,
1671158337.615174,Mouse,1305.0,591.0,,
1671158337.625211,Mouse,1303.0,588.0,,
1671158337.635454,Mouse,1300.0,586.0,,
1671158337.646193,Mouse,1297.0,585.0,,
1671158337.656221,Mouse,1292.0,582.0,,
1671158337.675211,Mouse,1284.0,579.0,,
1671158337.696232,Mouse,1275.0,574.0,,
1671158337.715215,Mouse,1265.0,567.0,,
1671158337.725217,Mouse,1258.0,562.0,,
1671158337.736368,Mouse,1252.0,560.0,,
1671158337.755214,Mouse,1244.0,555.0,,
1671158337.76524,Mouse,1241.0,553.0,,
1671158337.776208,Mouse,1238.0,552.0,,
1671158337.796175,Mouse,1235.0,550.0,,
1671158337.817209,Mouse,1231.0,548.0,,
1671158337.836498,Mouse,1229.0,548.0,,
1671158337.856422,Mouse,1228.0,547.0,,
1671158337.867378,Mouse,1227.0,547.0,,
1671158337.88627,Mouse,1227.0,547.0,,
1671158337.947324,Mouse,1225.0,547.0,,
1671158337.966278,Mouse,1224.0,547.0,,
1671158337.987137,Mouse,1219.0,546.0,,
1671158337.997449,Mouse,1215.0,545.0,,
1671158338.016111,Mouse,1210.0,544.0,,
1671158338.02619,Mouse,1207.0,543.0,,
1671158338.037202,Mouse,1204.0,543.0,,
1671158338.056177,Mouse,1201.0,543.0,,
1671158338.066192,Mouse,1198.0,543.0,,
1671158338.077191,Mouse,1197.0,543.0,,
1671158338.096454,Mouse,1193.0,543.0,,
1671158338.117163,Mouse,1188.0,543.0,,
1671158338.12719,Mouse,1186.0,543.0,,
1671158338.137215,Mouse,1182.0,543.0,,
1671158338.15826,Mouse,1170.0,543.0,,
1671158338.177224,Mouse,1161.0,540.0,,
1671158338.187243,Mouse,1158.0,540.0,,
1671158338.208184,Mouse,1153.0,538.0,,
1671158338.227195,Mouse,1150.0,538.0,,
1671158338.237209,Mouse,1147.0,538.0,,
1671158338.248242,Mouse,1147.0,537.0,,
1671158338.267212,Mouse,1145.0,537.0,,
1671158338.288152,Mouse,1143.0,537.0,,
1671158338.298405,Mouse,1142.0,537.0,,
1671158338.318179,Mouse,1140.0,537.0,,
1671158338.329439,Mouse,1139.0,537.0,,
1671158338.348158,Mouse,1134.0,535.0,,
1671158338.358295,Mouse,1131.0,534.0,,
1671158338.379189,Mouse,1128.0,533.0,,
1671158338.398201,Mouse,1124.0,531.0,,
1671158338.4195,Mouse,1120.0,529.0,,
1671158338.438184,Mouse,1115.0,528.0,,
1671158338.459243,Mouse,1114.0,528.0,,
1671158338.478196,Mouse,1111.0,528.0,,
1671158338.488215,Mouse,1110.0,528.0,,
1671158338.499191,Mouse,1109.0,528.0,,
1671158338.50922,Mouse,1107.0,528.0,,
1671158338.528228,Mouse,1106.0,528.0,,
1671158338.549324,Mouse,1104.0,528.0,,
1671158338.568149,Mouse,1103.0,528.0,,
1671158338.578195,Mouse,1102.0,528.0,,
1671158338.589278,Mouse,1102.0,528.0,,
1671158338.6082,Mouse,1100.0,528.0,,
1671158338.629275,Mouse,1097.0,528.0,,
1671158338.649169,Mouse,1095.0,528.0,,
1671158338.659217,Mouse,1092.0,528.0,,
1671158338.670125,Mouse,1091.0,528.0,,
1671158338.680269,Mouse,1089.0,528.0,,
1671158338.699177,Mouse,1087.0,528.0,,
1671158338.709198,Mouse,1086.0,528.0,,
1671158338.720435,Mouse,1085.0,528.0,,
1671158338.739164,Mouse,1083.0,528.0,,
1671158338.749216,Mouse,1083.0,528.0,,
1671158338.760326,Mouse,1082.0,528.0,,
1671158338.779205,Mouse,1080.0,528.0,,
1671158338.789335,Mouse,1079.0,528.0,,
1671158338.800185,Mouse,1078.0,528.0,,
1671158338.820207,Mouse,1076.0,528.0,,
1671158338.84119,Mouse,1074.0,528.0,,
1671158338.851442,Mouse,1072.0,528.0,,
1671158338.870153,Mouse,1068.0,527.0,,
1671158338.88022,Mouse,1067.0,527.0,,
1671158338.891276,Mouse,1066.0,527.0,,
1671158338.910186,Mouse,1063.0,525.0,,
1671158338.920204,Mouse,1061.0,525.0,,
1671158338.931156,Mouse,1059.0,524.0,,
1671158338.950395,Mouse,1056.0,524.0,,
1671158338.971244,Mouse,1053.0,522.0,,
1671158338.990454,Mouse,1052.0,522.0,,
1671158339.011248,Mouse,1050.0,522.0,,
1671158339.021321,Mouse,1049.0,522.0,,
1671158339.040197,Mouse,1045.0,522.0,,
1671158339.050453,Mouse,1044.0,522.0,,
1671158339.061181,Mouse,1041.0,522.0,,
1671158339.080191,Mouse,1038.0,521.0,,
1671158339.101151,Mouse,1034.0,520.0,,
1671158339.120268,Mouse,1027.0,519.0,,
1671158339.141454,Mouse,1024.0,519.0,,
1671158339.161224,Mouse,1022.0,519.0,,
1671158339.182178,Mouse,1019.0,519.0,,
1671158339.192204,Mouse,1018.0,519.0,,
1671158339.211474,Mouse,1018.0,519.0,,
1671158339.222205,Mouse,1017.0,519.0,,
1671158339.241156,Mouse,1015.0,519.0,,
1671158339.251236,Mouse,1014.0,519.0,,
1671158339.272343,Mouse,1013.0,519.0,,
1671158339.291192,Mouse,1009.0,518.0,,
1671158339.312451,Mouse,1005.0,518.0,,
1671158339.332145,Mouse,1002.0,518.0,,
1671158339.342397,Mouse,1001.0,518.0,,
1671158339.353326,Mouse,1000.0,517.0,,
1671158339.372162,Mouse,995.0,517.0,,
1671158339.382208,Mouse,994.0,516.0,,
1671158339.393232,Mouse,993.0,516.0,,
1671158339.403234,Mouse,992.0,516.0,,
1671158339.422142,Mouse,991.0,516.0,,
1671158339.432183,Mouse,990.0,516.0,,
1671158339.443322,Mouse,989.0,516.0,,
1671158339.46215,Mouse,988.0,516.0,,
1671158339.483445,Mouse,988.0,516.0,,
1671158339.502152,Mouse,986.0,516.0,,
1671158339.512453,Mouse,985.0,516.0,,
1671158339.523214,Mouse,984.0,516.0,,
1671158339.542234,Mouse,982.0,516.0,,
1671158339.562151,Mouse,979.0,516.0,,
1671158339.573175,Mouse,979.0,516.0,,
1671158339.592153,Mouse,977.0,516.0,,
1671158339.602447,Mouse,977.0,516.0,,
1671158339.613177,Mouse,976.0,516.0,,
1671158339.632179,Mouse,975.0,516.0,,
1671158339.642274,Mouse,973.0,516.0,,
1671158339.663166,Mouse,972.0,516.0,,
1671158339.683188,Mouse,971.0,517.0,,
1671158339.694197,Mouse,970.0,517.0,,
1671158339.704197,Mouse,969.0,517.0,,
1671158339.723209,Mouse,967.0,517.0,,
1671158339.73431,Mouse,965.0,517.0,,
1671158339.744428,Mouse,964.0,517.0,,
1671158339.763177,Mouse,961.0,518.0,,
1671158339.77318,Mouse,960.0,518.0,,
1671158339.784166,Mouse,958.0,518.0,,
1671158339.803181,Mouse,956.0,518.0,,
1671158339.813314,Mouse,954.0,518.0,,
1671158339.824179,Mouse,954.0,518.0,,
1671158339.834186,Mouse,953.0,518.0,,
1671158339.844369,Mouse,952.0,518.0,,
1671158339.865228,Mouse,949.0,519.0,,
1671158339.875328,Mouse,948.0,519.0,,
1671158339.894148,Mouse,945.0,519.0,,
1671158339.905147,Mouse,943.0,520.0,,
1671158339.915225,Mouse,942.0,520.0,,
1671158339.934699,Mouse,939.0,520.0,,
1671158339.955177,Mouse,937.0,521.0,,
1671158339.97446,Mouse,933.0,522.0,,
1671158339.995186,Mouse,930.0,523.0,,
1671158340.014296,Mouse,925.0,525.0,,
1671158340.035199,Mouse,920.0,528.0,,
1671158340.045478,Mouse,918.0,530.0,,
1671158340.064452,Mouse,912.0,532.0,,
1671158340.085195,Mouse,905.0,535.0,,
1671158340.104181,Mouse,897.0,541.0,,
1671158340.125151,Mouse,891.0,547.0,,
1671158340.144321,Mouse,885.0,551.0,,
1671158340.165199,Mouse,881.0,554.0,,
1671158340.17531,Mouse,880.0,556.0,,
1671158340.195191,Mouse,877.0,558.0,,
1671158340.206461,Mouse,876.0,560.0,,
1671158340.225159,Mouse,874.0,562.0,,
1671158340.235165,Mouse,873.0,563.0,,
1671158340.256151,Mouse,870.0,565.0,,
1671158340.275179,Mouse,870.0,567.0,,
1671158340.296192,Mouse,869.0,569.0,,
1671158340.315172,Mouse,869.0,570.0,,
1671158340.325192,Mouse,868.0,571.0,,
1671158340.336443,Mouse,868.0,572.0,,
1671158340.356185,Mouse,868.0,573.0,,
1671158340.377199,Mouse,865.0,576.0,,
1671158340.396433,Mouse,864.0,577.0,,
1671158340.4172,Mouse,863.0,579.0,,
1671158340.436456,Mouse,862.0,582.0,,
1671158340.446568,Mouse,861.0,582.0,,
1671158340.467191,Mouse,860.0,585.0,,
1671158340.486189,Mouse,858.0,587.0,,
1671158340.496191,Mouse,857.0,588.0,,
1671158340.507191,Mouse,856.0,591.0,,
1671158340.52632,Mouse,854.0,594.0,,
1671158340.547175,Mouse,851.0,599.0,,
1671158340.566306,Mouse,849.0,603.0,,
1671158340.587212,Mouse,847.0,608.0,,
1671158340.597344,Mouse,845.0,611.0,,
1671158340.616199,Mouse,843.0,615.0,,
1671158340.637385,Mouse,838.0,620.0,,
1671158340.656216,Mouse,834.0,626.0,,
1671158340.666471,Mouse,832.0,628.0,,
1671158340.677228,Mouse,831.0,630.0,,
1671158340.697241,Mouse,827.0,634.0,,
1671158340.718196,Mouse,822.0,639.0,,
1671158340.728211,Mouse,819.0,642.0,,
1671158340.747183,Mouse,816.0,645.0,,
1671158340.758167,Mouse,814.0,647.0,,
1671158340.768194,Mouse,812.0,649.0,,
1671158340.787183,Mouse,809.0,651.0,,
1671158340.808173,Mouse,805.0,656.0,,
1671158340.82722,Mouse,802.0,659.0,,
1671158340.848157,Mouse,798.0,663.0,,
1671158340.858401,Mouse,796.0,665.0,,
1671158340.878172,Mouse,795.0,666.0,,
1671158340.889197,Mouse,794.0,667.0,,
1671158340.979336,Mouse,793.0,668.0,,
1671158340.998285,Mouse,793.0,669.0,,
1671158341.118189,Mouse,793.0,671.0,,
1671158341.128457,Mouse,793.0,671.0,,
1671158341.149124,Mouse,794.0,674.0,,
1671158341.178146,Mouse,795.0,675.0,,
1671158341.209208,Mouse,795.0,675.0,,
1671158341.230227,Mouse,795.0,678.0,,
1671158341.249344,Mouse,797.0,682.0,,
1671158341.259434,Mouse,798.0,687.0,,
1671158341.270159,Mouse,799.0,690.0,,
1671158341.280135,Mouse,800.0,695.0,,
1671158341.2842,,,,MouseEvent,"Up, Left"
1671158341.2842,Mouse,800.0,695.0,,
1671158341.299265,Mouse,802.0,700.0,,
1671158341.329144,Mouse,802.0,704.0,,
1671158341.621425,,,,MouseEvent,"Up, Left"
1671158341.621425,Mouse,802.0,704.0,,
1671158341.640224,Mouse,803.0,705.0,,
1671158341.650408,Mouse,804.0,706.0,,
1671158341.690286,Mouse,805.0,706.0,,
