Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-12 11:27:51.500806,,,,MouseEvent,"Up, Left"
2022-12-12 11:27:51.500806,Mouse,44.0,91.0,,
2022-12-12 11:27:51.504026,Mouse,45.0,91.0,,
2022-12-12 11:27:51.522909,Mouse,47.0,90.0,,
2022-12-12 11:27:51.533973,Mouse,49.0,90.0,,
2022-12-12 11:27:51.544249,Mouse,50.0,89.0,,
2022-12-12 11:27:51.562990,Mouse,56.0,88.0,,
2022-12-12 11:27:51.574227,Mouse,60.0,87.0,,
2022-12-12 11:27:51.592994,Mouse,69.0,84.0,,
2022-12-12 11:27:51.614223,Mouse,80.0,81.0,,
2022-12-12 11:27:51.633992,Mouse,86.0,80.0,,
2022-12-12 11:27:51.644234,Mouse,88.0,79.0,,
2022-12-12 11:27:51.654963,Mouse,90.0,79.0,,
2022-12-12 11:27:51.664982,Mouse,92.0,78.0,,
2022-12-12 11:27:51.684205,Mouse,95.0,76.0,,
2022-12-12 11:27:51.694224,Mouse,96.0,76.0,,
2022-12-12 11:27:51.705257,Mouse,97.0,75.0,,
2022-12-12 11:27:51.723993,Mouse,101.0,72.0,,
2022-12-12 11:27:51.954991,Mouse,104.0,71.0,,
2022-12-12 11:27:51.965008,Mouse,105.0,71.0,,
2022-12-12 11:27:52.025112,,,,MouseEvent,"Up, Left"
2022-12-12 11:27:52.025112,Mouse,105.0,71.0,,
2022-12-12 11:27:52.045930,Mouse,103.0,72.0,,
2022-12-12 11:27:52.055942,Mouse,100.0,73.0,,
2022-12-12 11:27:52.074994,Mouse,96.0,79.0,,
2022-12-12 11:27:52.085926,Mouse,93.0,84.0,,
2022-12-12 11:27:52.095928,Mouse,89.0,91.0,,
2022-12-12 11:27:52.114949,Mouse,87.0,105.0,,
2022-12-12 11:27:52.125985,Mouse,86.0,111.0,,
2022-12-12 11:27:52.136041,Mouse,85.0,117.0,,
2022-12-12 11:27:52.146223,Mouse,85.0,120.0,,
2022-12-12 11:27:52.166988,Mouse,84.0,124.0,,
2022-12-12 11:27:52.177007,Mouse,84.0,126.0,,
2022-12-12 11:27:52.196061,Mouse,84.0,128.0,,
2022-12-12 11:27:52.206213,Mouse,84.0,128.0,,
2022-12-12 11:27:52.216991,Mouse,84.0,130.0,,
2022-12-12 11:27:52.235972,Mouse,84.0,130.0,,
2022-12-12 11:27:52.247321,Mouse,84.0,131.0,,
2022-12-12 11:27:52.267250,Mouse,84.0,133.0,,
2022-12-12 11:27:52.285969,Mouse,84.0,139.0,,
2022-12-12 11:27:52.296922,Mouse,84.0,142.0,,
2022-12-12 11:27:52.315934,Mouse,82.0,145.0,,
2022-12-12 11:27:52.325956,Mouse,80.0,146.0,,
2022-12-12 11:27:52.336025,Mouse,76.0,149.0,,
2022-12-12 11:27:52.346967,Mouse,75.0,150.0,,
2022-12-12 11:27:52.357208,Mouse,71.0,152.0,,
2022-12-12 11:27:52.376044,Mouse,70.0,152.0,,
2022-12-12 11:27:52.386998,Mouse,69.0,153.0,,
2022-12-12 11:27:52.397107,Mouse,69.0,153.0,,
2022-12-12 11:27:52.416019,Mouse,68.0,154.0,,
2022-12-12 11:27:52.527962,Mouse,68.0,155.0,,
