Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-12 12:15:08.697020,,,,MouseEvent,"Down, Left"
2022-12-12 12:15:08.697020,Mouse,1395.0,402.0,,
2022-12-12 12:15:09.169036,Mouse,1394.0,402.0,,
2022-12-12 12:15:09.209257,Mouse,1394.0,402.0,,
2022-12-12 12:15:09.249984,Mouse,1393.0,402.0,,
2022-12-12 12:15:09.281081,Mouse,1392.0,402.0,,
2022-12-12 12:15:09.301054,Mouse,1390.0,402.0,,
2022-12-12 12:15:09.311135,Mouse,1389.0,402.0,,
2022-12-12 12:15:09.330984,Mouse,1386.0,403.0,,
2022-12-12 12:15:09.350930,Mouse,1383.0,405.0,,
2022-12-12 12:15:09.360963,Mouse,1382.0,406.0,,
2022-12-12 12:15:09.371015,Mouse,1379.0,407.0,,
2022-12-12 12:15:09.390932,Mouse,1374.0,409.0,,
2022-12-12 12:15:09.410989,Mouse,1369.0,412.0,,
2022-12-12 12:15:09.431131,Mouse,1365.0,415.0,,
2022-12-12 12:15:09.450956,Mouse,1359.0,420.0,,
2022-12-12 12:15:09.460999,Mouse,1357.0,421.0,,
2022-12-12 12:15:09.481002,Mouse,1353.0,425.0,,
2022-12-12 12:15:09.501135,Mouse,1349.0,428.0,,
2022-12-12 12:15:09.520959,Mouse,1347.0,431.0,,
2022-12-12 12:15:09.530978,Mouse,1346.0,432.0,,
2022-12-12 12:15:09.541217,Mouse,1345.0,433.0,,
2022-12-12 12:15:09.561241,Mouse,1343.0,435.0,,
2022-12-12 12:15:09.580931,Mouse,1340.0,437.0,,
2022-12-12 12:15:09.590965,Mouse,1339.0,438.0,,
2022-12-12 12:15:09.602249,Mouse,1338.0,439.0,,
2022-12-12 12:15:09.621965,Mouse,1336.0,442.0,,
2022-12-12 12:15:09.632002,Mouse,1335.0,444.0,,
2022-12-12 12:15:09.651891,Mouse,1333.0,448.0,,
2022-12-12 12:15:09.661896,Mouse,1332.0,450.0,,
2022-12-12 12:15:09.671949,Mouse,1331.0,453.0,,
2022-12-12 12:15:09.691984,Mouse,1329.0,460.0,,
2022-12-12 12:15:09.711959,Mouse,1326.0,469.0,,
2022-12-12 12:15:09.731998,Mouse,1323.0,475.0,,
2022-12-12 12:15:09.742061,Mouse,1321.0,478.0,,
2022-12-12 12:15:09.762187,Mouse,1315.0,488.0,,
2022-12-12 12:15:09.773177,Mouse,1312.0,494.0,,
2022-12-12 12:15:09.792977,Mouse,1307.0,506.0,,
2022-12-12 12:15:09.803275,Mouse,1304.0,512.0,,
