Recording timestamp,Position X,Position Y
1671167030.198835,1882.0,70.0
1671167030.229775,1881.0,71.0
1671167030.250804,1880.0,72.0
1671167030.260703,1879.0,73.0
1671167030.270159,1878.0,73.0
1671167030.341002,1877.0,74.0
1671167030.350054,1876.0,74.0
1671167030.410095,1875.0,74.0
1671167030.460044,1874.0,75.0
1671167030.490832,1873.0,76.0
1671167030.520682,1872.0,76.0
1671167030.530062,1871.0,76.0
1671167030.540435,1871.0,77.0
1671167030.560053,1870.0,77.0
1671167030.601729,1869.0,77.0
1671167030.611506,1868.0,78.0
1671167030.621691,1867.0,78.0
1671167030.64296,1866.0,79.0
1671167030.701829,1865.0,79.0
1671167030.731757,1864.0,79.0
1671167030.741276,1863.0,79.0
1671167030.751117,1861.0,80.0
1671167030.762115,1860.0,80.0
1671167030.772891,1857.0,80.0
1671167030.782573,1856.0,80.0
1671167030.791937,1852.0,80.0
1671167030.80296,1849.0,80.0
1671167030.813336,1847.0,80.0
1671167030.821999,1843.0,80.0
1671167030.832306,1841.0,80.0
1671167030.842327,1839.0,79.0
1671167030.852979,1836.0,78.0
1671167030.86195,1831.0,77.0
1671167030.872951,1829.0,77.0
1671167030.881956,1826.0,76.0
1671167030.893402,1823.0,76.0
1671167030.902362,1820.0,75.0
1671167030.911952,1817.0,74.0
1671167030.921944,1815.0,74.0
1671167030.932946,1812.0,73.0
1671167030.942011,1809.0,73.0
1671167030.952099,1807.0,73.0
1671167030.9621,1805.0,72.0
1671167030.973044,1804.0,72.0
1671167030.983037,1803.0,72.0
1671167031.002051,1802.0,72.0
1671167031.02295,1801.0,72.0
1671167031.031963,1800.0,72.0
1671167031.042203,1799.0,72.0
1671167031.051937,1798.0,72.0
1671167031.062943,1796.0,72.0
1671167031.073064,1795.0,72.0
1671167031.082343,1792.0,72.0
1671167031.09241,1790.0,72.0
1671167031.103786,1786.0,72.0
1671167031.113365,1783.0,72.0
1671167031.123218,1780.0,72.0
1671167031.133076,1779.0,72.0
1671167031.144117,1775.0,72.0
1671167031.154414,1772.0,72.0
1671167031.163453,1771.0,72.0
1671167031.173036,1769.0,72.0
1671167031.182805,1768.0,72.0
1671167031.193862,1767.0,72.0
1671167031.212879,1766.0,72.0
1671167031.243181,1765.0,72.0
1671167031.274608,1764.0,72.0
1671167031.294715,1762.0,72.0
1671167031.304984,1761.0,72.0
1671167031.315313,1759.0,72.0
1671167031.325311,1756.0,71.0
1671167031.334609,1755.0,71.0
1671167031.344141,1753.0,71.0
1671167031.354194,1750.0,71.0
1671167031.365414,1748.0,71.0
1671167031.374424,1745.0,71.0
1671167031.384497,1744.0,71.0
1671167031.394545,1741.0,71.0
1671167031.406067,1740.0,71.0
1671167031.414263,1737.0,71.0
1671167031.423897,1736.0,71.0
1671167031.434487,1734.0,71.0
1671167031.44528,1731.0,71.0
1671167031.454304,1729.0,71.0
1671167031.464115,1728.0,71.0
1671167031.474368,1725.0,71.0
1671167031.485048,1723.0,71.0
1671167031.495311,1722.0,71.0
1671167031.50456,1721.0,71.0
1671167031.514752,1720.0,71.0
1671167031.52475,1719.0,71.0
1671167031.535755,1718.0,71.0
1671167031.54475,1717.0,71.0
1671167031.564751,1716.0,71.0
1671167031.575453,1715.0,71.0
1671167031.583893,1714.0,71.0
1671167031.604409,1713.0,71.0
1671167031.625042,1712.0,71.0
1671167031.635008,1710.0,71.0
1671167031.644999,1709.0,71.0
1671167031.656006,1707.0,71.0
1671167031.666014,1706.0,71.0
1671167031.675943,1704.0,71.0
1671167031.685971,1702.0,71.0
1671167031.695281,1700.0,71.0
1671167031.70671,1698.0,71.0
1671167031.714975,1695.0,71.0
1671167031.724988,1691.0,71.0
1671167031.736022,1688.0,71.0
1671167031.746019,1686.0,71.0
1671167031.755053,1681.0,70.0
1671167031.765074,1676.0,70.0
1671167031.77479,1673.0,69.0
1671167031.786792,1667.0,68.0
1671167031.796792,1663.0,68.0
1671167031.806457,1658.0,67.0
1671167031.815886,1654.0,66.0
1671167031.827732,1652.0,66.0
1671167031.837942,1646.0,65.0
1671167031.845938,1644.0,65.0
1671167031.85594,1640.0,65.0
1671167031.867152,1637.0,65.0
1671167031.877127,1633.0,64.0
1671167031.886279,1630.0,63.0
1671167031.89681,1627.0,63.0
1671167031.906063,1622.0,62.0
1671167031.916788,1617.0,62.0
1671167031.926689,1614.0,61.0
1671167031.936839,1611.0,61.0
1671167031.945874,1609.0,61.0
1671167031.957877,1607.0,61.0
1671167031.966709,1604.0,61.0
1671167031.976681,1600.0,61.0
1671167031.986682,1598.0,61.0
1671167031.9978,1594.0,61.0
1671167032.006826,1589.0,61.0
1671167032.015826,1584.0,61.0
1671167032.026807,1580.0,61.0
1671167032.037653,1574.0,61.0
1671167032.047836,1569.0,61.0
1671167032.05683,1564.0,61.0
1671167032.066816,1563.0,61.0
1671167032.076091,1559.0,61.0
1671167032.087898,1556.0,62.0
1671167032.096862,1552.0,62.0
1671167032.106909,1550.0,63.0
1671167032.115907,1548.0,63.0
1671167032.127737,1546.0,64.0
1671167032.136878,1543.0,65.0
1671167032.147078,1541.0,66.0
1671167032.156767,1540.0,66.0
1671167032.168762,1539.0,67.0
1671167032.178721,1536.0,67.0
1671167032.187769,1534.0,68.0
1671167032.197306,1533.0,69.0
1671167032.208072,1529.0,70.0
1671167032.219064,1526.0,70.0
1671167032.226983,1524.0,70.0
1671167032.237011,1521.0,72.0
1671167032.247005,1518.0,72.0
1671167032.258966,1514.0,74.0
1671167032.267124,1508.0,74.0
1671167032.277161,1504.0,74.0
1671167032.28698,1501.0,75.0
1671167032.297962,1498.0,75.0
1671167032.308426,1493.0,76.0
1671167032.319007,1492.0,76.0
1671167032.327906,1489.0,76.0
1671167032.339052,1487.0,76.0
1671167032.349444,1486.0,76.0
1671167032.358061,1485.0,76.0
1671167032.368099,1484.0,76.0
1671167032.378996,1482.0,76.0
1671167032.389492,1480.0,76.0
1671167032.398743,1476.0,76.0
1671167032.40819,1473.0,76.0
1671167032.418202,1470.0,76.0
1671167032.429724,1468.0,76.0
1671167032.438025,1465.0,76.0
1671167032.448624,1463.0,76.0
1671167032.458927,1460.0,76.0
1671167032.469672,1456.0,76.0
1671167032.478724,1454.0,76.0
1671167032.488729,1451.0,76.0
1671167032.498992,1449.0,76.0
1671167032.509072,1447.0,76.0
1671167032.519107,1443.0,76.0
1671167032.52905,1442.0,76.0
1671167032.538056,1441.0,76.0
1671167032.550005,1438.0,76.0
1671167032.559003,1437.0,76.0
1671167032.568285,1435.0,76.0
1671167032.57822,1433.0,76.0
1671167032.588718,1431.0,76.0
1671167032.599838,1428.0,76.0
1671167032.608804,1426.0,76.0
1671167032.618802,1424.0,76.0
1671167032.628208,1421.0,75.0
1671167032.639434,1419.0,75.0
1671167032.649474,1418.0,75.0
1671167032.659057,1414.0,74.0
1671167032.669134,1412.0,74.0
1671167032.681041,1410.0,74.0
1671167032.690612,1407.0,74.0
1671167032.699489,1402.0,73.0
1671167032.709503,1400.0,73.0
1671167032.720721,1397.0,72.0
1671167032.730741,1395.0,72.0
1671167032.739779,1392.0,72.0
1671167032.749809,1390.0,72.0
1671167032.759247,1387.0,72.0
1671167032.770338,1383.0,71.0
1671167032.778871,1381.0,70.0
1671167032.789391,1377.0,70.0
1671167032.799126,1375.0,69.0
1671167032.81014,1374.0,69.0
1671167032.820108,1371.0,69.0
1671167032.830722,1367.0,69.0
1671167032.839892,1366.0,69.0
1671167032.85117,1365.0,69.0
1671167032.861764,1363.0,69.0
1671167032.870796,1361.0,69.0
1671167032.879757,1359.0,69.0
1671167032.891492,1358.0,69.0
1671167032.901033,1356.0,69.0
1671167032.91007,1355.0,69.0
1671167032.920573,1351.0,69.0
1671167032.931429,1350.0,69.0
1671167032.941438,1345.0,69.0
1671167032.950298,1344.0,69.0
1671167032.961039,1341.0,69.0
1671167032.97015,1340.0,69.0
1671167032.981205,1338.0,69.0
1671167032.990199,1335.0,69.0
1671167033.000084,1334.0,69.0
1671167033.010093,1332.0,69.0
1671167033.080315,1331.0,69.0
1671167033.090762,1330.0,69.0
1671167033.101762,1330.0,70.0
1671167033.201967,1329.0,71.0
1671167033.272785,1328.0,72.0
1671167033.282817,1328.0,73.0
1671167033.291845,1328.0,74.0
1671167033.30185,1328.0,75.0
1671167033.311833,1328.0,76.0
1671167033.321994,1328.0,79.0
1671167033.332031,1329.0,81.0
1671167033.342411,1330.0,85.0
1671167033.353091,1331.0,88.0
1671167033.363105,1334.0,92.0
1671167033.373143,1335.0,96.0
1671167033.382377,1336.0,99.0
1671167033.392381,1336.0,100.0
1671167033.403454,1337.0,103.0
1671167033.413497,1338.0,104.0
1671167033.42238,1338.0,105.0
1671167033.543494,1339.0,106.0
1671167033.562387,1339.0,107.0
1671167033.573411,1339.0,109.0
1671167033.584074,1340.0,110.0
1671167033.592077,1340.0,111.0
1671167033.602152,1340.0,114.0
1671167033.613584,1340.0,115.0
1671167033.623644,1341.0,118.0
1671167033.631892,1341.0,119.0
1671167033.64281,1342.0,123.0
1671167033.653811,1342.0,125.0
1671167033.662885,1343.0,128.0
1671167033.673831,1343.0,130.0
1671167033.682837,1343.0,132.0
1671167033.693511,1345.0,134.0
1671167033.704372,1345.0,136.0
1671167033.714387,1346.0,139.0
1671167033.723568,1346.0,140.0
1671167033.73357,1347.0,142.0
1671167033.744068,1347.0,144.0
1671167033.754056,1347.0,145.0
1671167033.762938,1347.0,147.0
1671167033.773947,1347.0,148.0
1671167033.783954,1347.0,149.0
1671167033.803277,1347.0,150.0
1671167033.813012,1348.0,151.0
1671167033.823998,1348.0,152.0
1671167033.834007,1348.0,153.0
1671167033.854001,1348.0,154.0
1671167033.865535,1349.0,156.0
1671167033.885792,1349.0,157.0
1671167033.893884,1349.0,159.0
1671167033.903959,1349.0,162.0
1671167033.915929,1349.0,163.0
1671167033.92539,1350.0,166.0
1671167033.934309,1351.0,168.0
