Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671168202.671986,,,,MouseEvent,"Down, Left"
1671168202.671986,Mouse,1877.0,1023.0,,
1671168202.892151,Mouse,1877.0,1023.0,,
1671168202.922912,Mouse,1876.0,1024.0,,
1671168202.942928,Mouse,1874.0,1025.0,,
1671168202.953107,Mouse,1874.0,1025.0,,
1671168203.013926,Mouse,1873.0,1025.0,,
1671168203.053943,Mouse,1873.0,1026.0,,
1671168203.093908,Mouse,1871.0,1026.0,,
1671168203.103934,Mouse,1871.0,1026.0,,
1671168203.134911,Mouse,1870.0,1027.0,,
1671168203.15389,Mouse,1868.0,1028.0,,
1671168203.174938,Mouse,1867.0,1029.0,,
1671168203.204198,Mouse,1865.0,1029.0,,
1671168203.224915,Mouse,1865.0,1029.0,,
1671168203.243922,Mouse,1862.0,1029.0,,
1671168203.264919,Mouse,1859.0,1031.0,,
1671168203.283922,Mouse,1858.0,1032.0,,
1671168203.29393,Mouse,1857.0,1032.0,,
1671168203.304906,Mouse,1856.0,1032.0,,
1671168203.314926,Mouse,1855.0,1032.0,,
1671168203.333873,Mouse,1854.0,1032.0,,
1671168203.363955,Mouse,1853.0,1032.0,,
1671168203.475927,Mouse,1852.0,1033.0,,
1671168203.486118,Mouse,1850.0,1032.0,,
1671168203.504924,Mouse,1844.0,1031.0,,
1671168203.515887,Mouse,1838.0,1030.0,,
1671168203.525894,Mouse,1836.0,1030.0,,
1671168203.544924,Mouse,1831.0,1029.0,,
1671168203.554928,Mouse,1827.0,1029.0,,
1671168203.566139,Mouse,1824.0,1028.0,,
1671168203.584894,Mouse,1822.0,1028.0,,
1671168203.605937,Mouse,1817.0,1028.0,,
1671168203.625899,Mouse,1814.0,1028.0,,
1671168203.635919,Mouse,1813.0,1028.0,,
1671168203.646917,Mouse,1812.0,1028.0,,
1671168203.665911,Mouse,1810.0,1027.0,,
1671168203.675933,Mouse,1810.0,1027.0,,
1671168203.686859,Mouse,1809.0,1027.0,,
1671168203.696896,Mouse,1809.0,1027.0,,
1671168203.725887,Mouse,1807.0,1027.0,,
1671168203.736945,Mouse,1805.0,1027.0,,
1671168203.755894,Mouse,1801.0,1027.0,,
1671168203.765921,Mouse,1799.0,1027.0,,
1671168203.776916,Mouse,1795.0,1027.0,,
1671168203.795922,Mouse,1787.0,1027.0,,
1671168203.816895,Mouse,1778.0,1026.0,,
1671168203.826906,Mouse,1774.0,1024.0,,
1671168203.845913,Mouse,1766.0,1022.0,,
1671168203.8569,Mouse,1762.0,1022.0,,
1671168203.866915,Mouse,1757.0,1021.0,,
1671168203.885905,Mouse,1752.0,1021.0,,
1671168203.906878,Mouse,1748.0,1021.0,,
1671168203.9259,Mouse,1741.0,1021.0,,
1671168203.946876,Mouse,1737.0,1021.0,,
1671168203.956907,Mouse,1735.0,1021.0,,
1671168203.976896,Mouse,1732.0,1020.0,,
1671168203.987887,Mouse,1730.0,1020.0,,
1671168203.997917,Mouse,1730.0,1020.0,,
1671168204.017531,Mouse,1728.0,1020.0,,
1671168204.027894,Mouse,1727.0,1020.0,,
1671168204.046931,Mouse,1724.0,1020.0,,
1671168204.066903,Mouse,1722.0,1020.0,,
1671168204.077876,Mouse,1721.0,1020.0,,
1671168204.096893,Mouse,1717.0,1019.0,,
1671168204.106916,Mouse,1716.0,1019.0,,
1671168204.117998,Mouse,1713.0,1019.0,,
1671168204.137889,Mouse,1709.0,1019.0,,
1671168204.158933,Mouse,1704.0,1018.0,,
1671168204.177915,Mouse,1698.0,1018.0,,
1671168204.198936,Mouse,1690.0,1018.0,,
1671168204.217886,Mouse,1681.0,1018.0,,
1671168204.228109,Mouse,1676.0,1017.0,,
1671168204.24892,Mouse,1665.0,1017.0,,
1671168204.267902,Mouse,1656.0,1017.0,,
1671168204.288922,Mouse,1646.0,1017.0,,
1671168204.307886,Mouse,1639.0,1017.0,,
1671168204.317889,Mouse,1635.0,1017.0,,
1671168204.328908,Mouse,1630.0,1017.0,,
1671168204.339116,Mouse,1626.0,1017.0,,
1671168204.357889,Mouse,1622.0,1017.0,,
1671168204.368884,Mouse,1620.0,1017.0,,
1671168204.378918,Mouse,1616.0,1017.0,,
1671168204.397974,Mouse,1611.0,1017.0,,
1671168204.418886,Mouse,1605.0,1017.0,,
1671168204.437885,Mouse,1600.0,1017.0,,
1671168204.447981,Mouse,1599.0,1017.0,,
1671168204.45887,Mouse,1598.0,1017.0,,
1671168204.468925,Mouse,1596.0,1017.0,,
1671168204.478929,Mouse,1595.0,1017.0,,
1671168204.499923,Mouse,1593.0,1017.0,,
1671168204.518913,Mouse,1589.0,1017.0,,
1671168204.528937,Mouse,1586.0,1017.0,,
1671168204.539918,Mouse,1584.0,1017.0,,
1671168204.558913,Mouse,1579.0,1017.0,,
1671168204.578858,Mouse,1570.0,1018.0,,
1671168204.589869,Mouse,1566.0,1018.0,,
1671168204.608914,Mouse,1561.0,1019.0,,
1671168204.618946,Mouse,1556.0,1019.0,,
1671168204.629893,Mouse,1551.0,1019.0,,
1671168204.639896,Mouse,1548.0,1019.0,,
1671168204.659878,Mouse,1543.0,1020.0,,
1671168204.670887,Mouse,1540.0,1020.0,,
1671168204.689884,Mouse,1535.0,1021.0,,
1671168204.699915,Mouse,1530.0,1021.0,,
1671168204.710876,Mouse,1526.0,1022.0,,
1671168204.720929,Mouse,1519.0,1023.0,,
1671168204.739913,Mouse,1510.0,1024.0,,
1671168204.750827,Mouse,1505.0,1024.0,,
1671168204.760926,Mouse,1500.0,1025.0,,
1671168204.77987,Mouse,1494.0,1026.0,,
1671168204.789878,Mouse,1492.0,1026.0,,
1671168204.800921,Mouse,1488.0,1027.0,,
1671168204.819922,Mouse,1484.0,1028.0,,
1671168204.840957,Mouse,1478.0,1029.0,,
1671168204.859894,Mouse,1474.0,1030.0,,
1671168204.880899,Mouse,1471.0,1031.0,,
1671168204.909924,Mouse,1466.0,1031.0,,
1671168204.930846,Mouse,1465.0,1031.0,,
