Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-16 14:27:18.202626,,Eye Tracker,579.0,559.0,Valid,Valid,Fixation
2022-12-16 14:27:18.219282,,Eye Tracker,579.0,557.0,Valid,Valid,Fixation
2022-12-16 14:27:18.235936,,Eye Tracker,578.0,555.0,Valid,Valid,Fixation
2022-12-16 14:27:18.252591,,Eye Tracker,580.0,557.0,Valid,Valid,Fixation
2022-12-16 14:27:18.269245,,Eye Tracker,580.0,556.0,Valid,Valid,Fixation
2022-12-16 14:27:18.285900,,Eye Tracker,580.0,557.0,Valid,Valid,Fixation
2022-12-16 14:27:18.302555,,Eye Tracker,581.0,558.0,Valid,Valid,Fixation
2022-12-16 14:27:18.319209,,Eye Tracker,581.0,560.0,Valid,Valid,Fixation
2022-12-16 14:27:18.335864,,Eye Tracker,581.0,559.0,Valid,Valid,Fixation
2022-12-16 14:27:18.352519,,Eye Tracker,584.0,561.0,Valid,Valid,Fixation
2022-12-16 14:27:18.369173,,Eye Tracker,586.0,564.0,Valid,Valid,Fixation
2022-12-16 14:27:18.385828,,Eye Tracker,585.0,564.0,Valid,Valid,Fixation
2022-12-16 14:27:18.402483,,Eye Tracker,585.0,562.0,Valid,Valid,Fixation
2022-12-16 14:27:18.419137,,Eye Tracker,584.0,565.0,Valid,Valid,Fixation
2022-12-16 14:27:18.435793,,Eye Tracker,586.0,564.0,Valid,Valid,Fixation
2022-12-16 14:27:18.452448,,Eye Tracker,590.0,567.0,Valid,Valid,Fixation
2022-12-16 14:27:18.469102,,Eye Tracker,588.0,570.0,Valid,Valid,Fixation
2022-12-16 14:27:18.485756,,Eye Tracker,592.0,572.0,Valid,Valid,Fixation
2022-12-16 14:27:18.502411,,Eye Tracker,596.0,573.0,Valid,Valid,Fixation
2022-12-16 14:27:18.519066,,Eye Tracker,594.0,571.0,Valid,Valid,Fixation
2022-12-16 14:27:18.535720,,Eye Tracker,595.0,570.0,Valid,Valid,Fixation
2022-12-16 14:27:18.552375,,Eye Tracker,592.0,573.0,Valid,Valid,Fixation
2022-12-16 14:27:18.569030,,Eye Tracker,591.0,573.0,Valid,Valid,Fixation
2022-12-16 14:27:18.585684,,Eye Tracker,595.0,574.0,Valid,Valid,Fixation
2022-12-16 14:27:18.602339,,Eye Tracker,596.0,576.0,Valid,Valid,Fixation
2022-12-16 14:27:18.618994,,Eye Tracker,599.0,579.0,Valid,Valid,Fixation
2022-12-16 14:27:18.635648,,Eye Tracker,599.0,580.0,Valid,Valid,Fixation
2022-12-16 14:27:18.652304,,Eye Tracker,599.0,583.0,Valid,Valid,Fixation
2022-12-16 14:27:18.668959,,Eye Tracker,601.0,584.0,Valid,Valid,Fixation
2022-12-16 14:27:18.685613,,Eye Tracker,602.0,580.0,Valid,Valid,Fixation
2022-12-16 14:27:18.702268,,Eye Tracker,600.0,580.0,Valid,Valid,Fixation
2022-12-16 14:27:18.718923,,Eye Tracker,602.0,585.0,Valid,Valid,Fixation
2022-12-16 14:27:18.735576,,Eye Tracker,602.0,587.0,Valid,Valid,Fixation
2022-12-16 14:27:18.752231,,Eye Tracker,602.0,583.0,Valid,Valid,Fixation
2022-12-16 14:27:18.768886,,Eye Tracker,603.0,585.0,Valid,Valid,Fixation
2022-12-16 14:27:18.785541,,Eye Tracker,603.0,593.0,Valid,Valid,Fixation
2022-12-16 14:27:18.802195,,Eye Tracker,603.0,595.0,Valid,Valid,Fixation
2022-12-16 14:27:18.818850,,Eye Tracker,606.0,592.0,Valid,Valid,Fixation
2022-12-16 14:27:18.835505,,Eye Tracker,605.0,592.0,Valid,Valid,Fixation
2022-12-16 14:27:18.852159,,Eye Tracker,604.0,594.0,Valid,Valid,Fixation
2022-12-16 14:27:18.868814,,Eye Tracker,604.0,592.0,Valid,Valid,Fixation
2022-12-16 14:27:18.885470,,Eye Tracker,603.0,594.0,Valid,Valid,Fixation
2022-12-16 14:27:18.902124,,Eye Tracker,604.0,596.0,Valid,Valid,Fixation
2022-12-16 14:27:18.918779,,Eye Tracker,606.0,593.0,Valid,Valid,Fixation
2022-12-16 14:27:18.935434,,Eye Tracker,608.0,596.0,Valid,Valid,Fixation
2022-12-16 14:27:18.952088,,Eye Tracker,607.0,610.0,Valid,Valid,Fixation
2022-12-16 14:27:18.968743,,Eye Tracker,604.0,619.0,Valid,Valid,Fixation
2022-12-16 14:27:18.985397,,Eye Tracker,605.0,614.0,Valid,Valid,Fixation
2022-12-16 14:27:19.002051,,Eye Tracker,605.0,614.0,Valid,Valid,Fixation
2022-12-16 14:27:19.018707,,Eye Tracker,605.0,612.0,Valid,Valid,Fixation
2022-12-16 14:27:19.035361,,Eye Tracker,605.0,611.0,Valid,Valid,Fixation
2022-12-16 14:27:19.052016,,Eye Tracker,603.0,611.0,Valid,Valid,Fixation
2022-12-16 14:27:19.068670,,Eye Tracker,602.0,611.0,Valid,Valid,Fixation
2022-12-16 14:27:19.085325,,Eye Tracker,605.0,610.0,Valid,Valid,Fixation
2022-12-16 14:27:19.101981,,Eye Tracker,605.0,609.0,Valid,Valid,Fixation
2022-12-16 14:27:19.118635,,Eye Tracker,604.0,611.0,Valid,Valid,Fixation
2022-12-16 14:27:19.135290,,Eye Tracker,603.0,614.0,Valid,Valid,Fixation
2022-12-16 14:27:19.151945,,Eye Tracker,606.0,613.0,Valid,Valid,Fixation
2022-12-16 14:27:19.168599,,Eye Tracker,601.0,611.0,Valid,Valid,Fixation
2022-12-16 14:27:19.185254,,Eye Tracker,600.0,614.0,Valid,Valid,Fixation
2022-12-16 14:27:19.201909,,Eye Tracker,598.0,615.0,Valid,Valid,Fixation
2022-12-16 14:27:19.218563,,Eye Tracker,594.0,615.0,Valid,Valid,Fixation
2022-12-16 14:27:19.235217,,Eye Tracker,593.0,612.0,Valid,Valid,Fixation
2022-12-16 14:27:19.251873,,Eye Tracker,594.0,609.0,Valid,Valid,Fixation
2022-12-16 14:27:19.268527,,Eye Tracker,596.0,611.0,Valid,Valid,Fixation
2022-12-16 14:27:19.285182,,Eye Tracker,593.0,610.0,Valid,Valid,Fixation
2022-12-16 14:27:19.301836,,Eye Tracker,593.0,614.0,Valid,Valid,Fixation
2022-12-16 14:27:19.318491,,Eye Tracker,603.0,625.0,Valid,Valid,Fixation
2022-12-16 14:27:19.335146,,Eye Tracker,612.0,629.0,Valid,Valid,Fixation
2022-12-16 14:27:19.351801,,Eye Tracker,609.0,627.0,Valid,Valid,Fixation
