Recording timestamp,Position X,Position Y
1671165120.585703,38.0,997.5
1671165120.6856,39.0,997.5
1671165120.6956,40.0,997.5
1671165120.706606,42.0,997.5
1671165120.715572,44.0,997.5
1671165120.72587,45.0,997.5
1671165120.735969,48.0,997.5
1671165120.74697,50.0,997.5
1671165120.755977,53.0,997.5
1671165120.765977,56.0,997.5
1671165120.775985,59.0,997.5
1671165120.786679,61.0,997.5
1671165120.796505,64.0,997.5
1671165120.806512,66.0,997.5
1671165120.816785,70.0,997.5
1671165120.827348,74.0,997.5
1671165120.838094,79.0,997.5
1671165120.84721,84.0,997.5
1671165120.856459,90.0,997.5
1671165120.866656,96.0,997.5
1671165120.877664,103.0,997.5
1671165120.886698,109.0,997.5
1671165120.89625,116.0,997.5
1671165120.906417,125.0,997.5
1671165120.917372,135.0,997.5
1671165120.926344,144.0,997.5
1671165120.936346,154.0,997.5
1671165120.946946,163.0,997.5
1671165120.957788,172.0,997.5
1671165120.967464,181.0,997.5
1671165120.977545,189.0,997.5
1671165120.988046,196.0,997.5
1671165120.999115,201.0,997.5
1671165121.009127,209.0,997.5
1671165121.018183,217.0,997.5
1671165121.027363,226.0,997.5
1671165121.037848,235.0,996.5
1671165121.049246,242.0,994.5
1671165121.057208,250.0,994.5
1671165121.067208,256.0,994.5
1671165121.077397,264.0,994.5
1671165121.089113,271.0,993.5
1671165121.097082,280.0,993.5
1671165121.108087,287.0,993.5
1671165121.117246,298.0,993.5
1671165121.128308,307.0,993.5
1671165121.137308,319.0,993.5
1671165121.14732,330.0,993.5
1671165121.157507,339.0,993.5
1671165121.168871,351.0,993.5
1671165121.178752,361.0,992.5
1671165121.18783,373.0,990.5
1671165121.197868,382.0,990.5
1671165121.207862,397.0,987.5
1671165121.21919,411.0,986.5
1671165121.227185,426.0,983.5
1671165121.237225,433.0,981.5
1671165121.247388,444.0,980.5
1671165121.258439,453.0,978.5
1671165121.267424,460.0,976.5
1671165121.277338,466.0,976.5
1671165121.287372,472.0,974.5
1671165121.298463,480.0,973.5
1671165121.309106,489.0,973.5
1671165121.318503,499.0,972.5
1671165121.328542,509.0,970.5
1671165121.339535,518.0,969.5
1671165121.349944,525.0,968.5
1671165121.35845,532.0,968.5
1671165121.368385,535.0,968.5
1671165121.419143,538.0,966.5
1671165121.429199,540.0,966.5
1671165121.438295,542.0,966.5
1671165121.448316,544.0,966.5
1671165121.500152,546.0,966.5
1671165121.510602,548.0,965.5
1671165121.520357,550.0,964.5
1671165121.52999,553.0,962.5
1671165121.540031,555.0,961.5
1671165121.550751,558.0,959.5
1671165121.560828,563.0,958.5
1671165121.56934,567.0,954.5
1671165121.57934,571.0,952.5
1671165121.589848,574.0,950.5
1671165121.600737,576.0,948.5
1671165121.61959,577.0,948.5
1671165121.629535,577.0,947.5
1671165121.659675,577.0,946.5
1671165121.669814,577.0,945.5
1671165121.68042,577.0,944.5
1671165121.690376,577.0,943.5
1671165121.699697,577.0,940.5
1671165121.70992,577.0,937.5
1671165121.719914,577.0,934.5
1671165121.730963,577.0,929.5
1671165121.739998,577.0,926.5
