Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671165313.484845,,Eye Tracker,454.0,522.0,Valid,Valid,Saccade
1671165313.501499,,Eye Tracker,460.0,537.0,Valid,Valid,Unclassified
1671165313.518154,,Eye Tracker,538.0,509.0,Valid,Valid,Saccade
1671165313.534809,,Eye Tracker,545.0,514.0,Valid,Valid,Fixation
1671165313.551464,,Eye Tracker,550.0,499.0,Valid,Valid,Fixation
1671165313.568118,,Eye Tracker,551.0,505.0,Valid,Valid,Fixation
1671165313.584773,,Eye Tracker,556.0,512.0,Valid,Valid,Fixation
1671165313.601428,,Eye Tracker,549.0,512.0,Valid,Valid,Fixation
1671165313.618082,,Eye Tracker,546.0,512.0,Valid,Valid,Fixation
1671165313.634737,,Eye Tracker,549.0,531.0,Valid,Valid,Fixation
1671165313.651392,,Eye Tracker,549.0,545.0,Valid,Valid,Fixation
1671165313.668046,,Eye Tracker,548.0,539.0,Valid,Valid,Fixation
1671165313.684701,,Eye Tracker,547.0,539.0,Valid,Valid,Fixation
1671165313.701356,,Eye Tracker,551.0,544.0,Valid,Valid,Fixation
1671165313.718011,,Eye Tracker,553.0,548.0,Valid,Valid,Fixation
1671165313.734666,,Eye Tracker,554.0,548.0,Valid,Valid,Fixation
1671165313.75132,,Eye Tracker,555.0,546.0,Valid,Valid,Fixation
1671165313.767974,,Eye Tracker,556.0,552.0,Valid,Valid,Fixation
1671165313.784629,,Eye Tracker,555.0,555.0,Valid,Valid,Fixation
1671165313.801284,,Eye Tracker,555.0,558.0,Valid,Valid,Fixation
1671165313.817939,,Eye Tracker,555.0,558.0,Valid,Valid,Fixation
1671165313.834593,,Eye Tracker,553.0,554.0,Valid,Valid,Fixation
1671165313.851248,,Eye Tracker,554.0,555.0,Valid,Valid,Fixation
1671165313.867903,,Eye Tracker,556.0,557.0,Valid,Valid,Fixation
1671165313.884557,,Eye Tracker,556.0,558.0,Valid,Valid,Fixation
1671165313.901212,,Eye Tracker,557.0,559.0,Valid,Valid,Fixation
1671165313.917867,,Eye Tracker,558.0,561.0,Valid,Valid,Fixation
1671165313.934521,,Eye Tracker,557.0,561.0,Valid,Valid,Fixation
1671165313.951176,,Eye Tracker,557.0,565.0,Valid,Valid,Fixation
1671165313.967831,,Eye Tracker,559.0,571.0,Valid,Valid,Fixation
1671165313.984485,,Eye Tracker,559.0,573.0,Valid,Valid,Fixation
1671165314.001141,,Eye Tracker,559.0,572.0,Valid,Valid,Fixation
1671165314.017796,,Eye Tracker,561.0,574.0,Valid,Valid,Fixation
1671165314.03445,,Eye Tracker,557.0,584.0,Valid,Valid,Fixation
1671165314.051105,,Eye Tracker,556.0,608.0,Valid,Valid,Saccade
1671165314.06776,,Eye Tracker,560.0,628.0,Valid,Valid,Saccade
1671165314.084415,,Eye Tracker,561.0,633.0,Valid,Valid,Fixation
1671165314.101069,,Eye Tracker,560.0,635.0,Valid,Valid,Fixation
1671165314.117724,,Eye Tracker,558.0,641.0,Valid,Valid,Fixation
1671165314.134379,,Eye Tracker,556.0,640.0,Valid,Valid,Fixation
1671165314.151033,,Eye Tracker,558.0,650.0,Valid,Valid,Fixation
1671165314.167688,,Eye Tracker,562.0,656.0,Valid,Valid,Fixation
1671165314.184343,,Eye Tracker,563.0,655.0,Valid,Valid,Fixation
1671165314.200997,,Eye Tracker,564.0,659.0,Valid,Valid,Fixation
1671165314.217652,,Eye Tracker,568.0,665.0,Valid,Valid,Fixation
1671165314.234307,,Eye Tracker,568.0,668.0,Valid,Valid,Fixation
1671165314.250961,,Eye Tracker,569.0,673.0,Valid,Valid,Fixation
1671165314.267616,,Eye Tracker,567.0,678.0,Valid,Valid,Fixation
1671165314.284272,,Eye Tracker,565.0,685.0,Valid,Valid,Fixation
1671165314.300926,,Eye Tracker,568.0,688.0,Valid,Valid,Fixation
1671165314.317581,,Eye Tracker,569.0,693.0,Valid,Valid,Fixation
1671165314.334236,,Eye Tracker,569.0,696.0,Valid,Valid,Fixation
1671165314.350891,,Eye Tracker,567.0,698.0,Valid,Valid,Fixation
1671165314.367545,,Eye Tracker,568.0,704.0,Valid,Valid,Fixation
1671165314.384199,,Eye Tracker,569.0,706.0,Valid,Valid,Fixation
1671165314.400854,,Eye Tracker,570.0,707.0,Valid,Valid,Fixation
1671165314.417508,,Eye Tracker,571.0,712.0,Valid,Valid,Fixation
1671165314.434163,,Eye Tracker,570.0,716.0,Valid,Valid,Fixation
1671165314.450818,,Eye Tracker,571.0,718.0,Valid,Valid,Fixation
1671165314.467472,,Eye Tracker,573.0,719.0,Valid,Valid,Fixation
1671165314.484127,,Eye Tracker,572.0,721.0,Valid,Valid,Fixation
1671165314.500782,,Eye Tracker,572.0,720.0,Valid,Valid,Fixation
1671165314.517437,,Eye Tracker,573.0,725.0,Valid,Valid,Fixation
1671165314.534092,,Eye Tracker,573.0,728.0,Valid,Valid,Fixation
1671165314.550747,,Eye Tracker,573.0,731.0,Valid,Valid,Fixation
1671165314.567401,,Eye Tracker,563.0,745.0,Valid,Valid,Saccade
1671165314.584056,,Eye Tracker,553.0,773.0,Valid,Valid,Saccade
1671165314.600711,,Eye Tracker,553.0,786.0,Valid,Valid,Fixation
1671165314.617366,,Eye Tracker,554.0,785.0,Valid,Valid,Fixation
1671165314.63402,,Eye Tracker,549.0,786.0,Valid,Valid,Fixation
1671165314.650675,,Eye Tracker,547.0,788.0,Valid,Valid,Fixation
1671165314.66733,,Eye Tracker,550.0,788.0,Valid,Valid,Fixation
1671165314.683984,,Eye Tracker,550.0,791.0,Valid,Valid,Fixation
1671165314.700639,,Eye Tracker,547.0,797.0,Valid,Valid,Fixation
1671165314.717294,,Eye Tracker,546.0,798.0,Valid,Valid,Fixation
1671165314.733948,,Eye Tracker,548.0,795.0,Valid,Valid,Fixation
1671165314.750603,,Eye Tracker,548.0,799.0,Valid,Valid,Fixation
1671165314.767258,,Eye Tracker,547.0,800.0,Valid,Valid,Fixation
1671165314.783912,,Eye Tracker,547.0,801.0,Valid,Valid,Fixation
1671165314.800567,,Eye Tracker,547.0,807.0,Valid,Valid,Fixation
1671165314.817222,,Eye Tracker,547.0,809.0,Valid,Valid,Fixation
1671165314.833876,,Eye Tracker,547.0,815.0,Valid,Valid,Fixation
1671165314.850532,,Eye Tracker,548.0,820.0,Valid,Valid,Fixation
1671165314.867187,,Eye Tracker,554.0,823.0,Valid,Valid,Fixation
1671165314.883842,,Eye Tracker,563.0,848.0,Valid,Valid,Saccade
