Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-16 13:40:05.794056,,Eye Tracker,1843.0,864.0,Valid,Valid,Fixation
2022-12-16 13:40:05.810711,,Eye Tracker,1845.0,868.0,Valid,Valid,Fixation
2022-12-16 13:40:05.827365,,Eye Tracker,1855.0,867.0,Valid,Valid,Fixation
2022-12-16 13:40:05.844020,,Eye Tracker,1861.0,861.0,Valid,Valid,Fixation
2022-12-16 13:40:05.860675,,Eye Tracker,1859.0,862.0,Valid,Valid,Fixation
2022-12-16 13:40:05.877329,,Eye Tracker,1853.0,867.0,Valid,Valid,Fixation
2022-12-16 13:40:05.893985,,Eye Tracker,1856.0,868.0,Valid,Valid,Fixation
2022-12-16 13:40:05.910640,,Eye Tracker,1861.0,867.0,Valid,Valid,Fixation
2022-12-16 13:40:05.927295,,Eye Tracker,1864.0,866.0,Valid,Valid,Fixation
2022-12-16 13:40:05.943949,,Eye Tracker,1867.0,860.0,Valid,Valid,Fixation
2022-12-16 13:40:05.960604,,Eye Tracker,1882.0,840.0,Valid,Valid,Fixation
2022-12-16 13:40:05.977259,,Eye Tracker,1894.0,859.0,Valid,Valid,Fixation
2022-12-16 13:40:05.993913,,Eye Tracker,1895.0,861.0,Valid,Valid,Fixation
2022-12-16 13:40:06.010568,,Eye Tracker,1896.0,860.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.027223,,Eye Tracker,1899.0,859.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.043877,,Eye Tracker,1902.0,860.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.060533,,Eye Tracker,1900.0,867.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.077188,,Eye Tracker,1892.0,882.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.093842,,Eye Tracker,1887.0,881.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.110497,,Eye Tracker,1880.0,872.0,Valid,Invalid,Fixation
2022-12-16 13:40:06.127152,,Eye Tracker,1771.0,839.0,Valid,Valid,Saccade
2022-12-16 13:40:06.143807,,Eye Tracker,1433.0,707.0,Valid,Valid,Saccade
2022-12-16 13:40:06.160462,,Eye Tracker,1372.0,664.0,Valid,Valid,Saccade
2022-12-16 13:40:06.177117,,Eye Tracker,1348.0,581.0,Valid,Valid,Saccade
2022-12-16 13:40:06.193772,,Eye Tracker,1354.0,577.0,Valid,Valid,Fixation
2022-12-16 13:40:06.210426,,Eye Tracker,1350.0,589.0,Valid,Valid,Fixation
2022-12-16 13:40:06.227081,,Eye Tracker,1352.0,587.0,Valid,Valid,Fixation
2022-12-16 13:40:06.243736,,Eye Tracker,1359.0,585.0,Valid,Valid,Fixation
2022-12-16 13:40:06.260390,,Eye Tracker,1353.0,592.0,Valid,Valid,Fixation
2022-12-16 13:40:06.277045,,Eye Tracker,1344.0,595.0,Valid,Valid,Fixation
2022-12-16 13:40:06.293701,,Eye Tracker,1344.0,596.0,Valid,Valid,Fixation
2022-12-16 13:40:06.310355,,Eye Tracker,1347.0,596.0,Valid,Valid,Fixation
2022-12-16 13:40:06.327010,,Eye Tracker,1345.0,597.0,Valid,Valid,Fixation
2022-12-16 13:40:06.343665,,Eye Tracker,1340.0,604.0,Valid,Valid,Fixation
2022-12-16 13:40:06.360319,,Eye Tracker,1338.0,606.0,Valid,Valid,Fixation
2022-12-16 13:40:06.376974,,Eye Tracker,1342.0,601.0,Valid,Valid,Fixation
2022-12-16 13:40:06.393629,,Eye Tracker,1342.0,603.0,Valid,Valid,Fixation
2022-12-16 13:40:06.410283,,Eye Tracker,1339.0,612.0,Valid,Valid,Fixation
2022-12-16 13:40:06.426938,,Eye Tracker,1340.0,611.0,Valid,Valid,Fixation
2022-12-16 13:40:06.443593,,Eye Tracker,1231.0,578.0,Valid,Valid,Saccade
2022-12-16 13:40:06.460249,,Eye Tracker,1085.0,535.0,Valid,Valid,Saccade
2022-12-16 13:40:06.476903,,Eye Tracker,1019.0,513.0,Valid,Valid,Saccade
2022-12-16 13:40:06.493558,,Eye Tracker,1022.0,519.0,Valid,Valid,Fixation
2022-12-16 13:40:06.510213,,Eye Tracker,1019.0,513.0,Valid,Valid,Fixation
2022-12-16 13:40:06.526868,,Eye Tracker,1019.0,511.0,Valid,Valid,Fixation
2022-12-16 13:40:06.543523,,Eye Tracker,1019.0,519.0,Valid,Valid,Fixation
2022-12-16 13:40:06.560178,,Eye Tracker,1016.0,519.0,Valid,Valid,Fixation
2022-12-16 13:40:06.576832,,Eye Tracker,1017.0,521.0,Valid,Valid,Fixation
2022-12-16 13:40:06.593487,,Eye Tracker,1019.0,523.0,Valid,Valid,Fixation
2022-12-16 13:40:06.610142,,Eye Tracker,1021.0,527.0,Valid,Valid,Fixation
2022-12-16 13:40:06.626796,,Eye Tracker,1019.0,529.0,Valid,Valid,Fixation
2022-12-16 13:40:06.643451,,Eye Tracker,1016.0,529.0,Valid,Valid,Fixation
2022-12-16 13:40:06.660106,,Eye Tracker,1015.0,529.0,Valid,Valid,Fixation
2022-12-16 13:40:06.676760,,Eye Tracker,1020.0,528.0,Valid,Valid,Fixation
2022-12-16 13:40:06.693415,,Eye Tracker,1019.0,539.0,Valid,Valid,Fixation
2022-12-16 13:40:06.710070,,Eye Tracker,1018.0,545.0,Valid,Valid,Fixation
2022-12-16 13:40:06.726725,,Eye Tracker,1018.0,543.0,Valid,Valid,Fixation
2022-12-16 13:40:06.743379,,Eye Tracker,1012.0,545.0,Valid,Valid,Fixation
2022-12-16 13:40:06.760034,,Eye Tracker,1009.0,543.0,Valid,Valid,Fixation
2022-12-16 13:40:06.776690,,Eye Tracker,1013.0,550.0,Valid,Valid,Fixation
2022-12-16 13:40:06.793344,,Eye Tracker,1012.0,552.0,Valid,Valid,Fixation
2022-12-16 13:40:06.809999,,Eye Tracker,993.0,533.0,Valid,Valid,Saccade
2022-12-16 13:40:06.826654,,Eye Tracker,973.0,523.0,Valid,Valid,Saccade
2022-12-16 13:40:06.843309,,Eye Tracker,971.0,515.0,Valid,Valid,Fixation
2022-12-16 13:40:06.859964,,Eye Tracker,970.0,513.0,Valid,Valid,Fixation
2022-12-16 13:40:06.876619,,Eye Tracker,966.0,516.0,Valid,Valid,Fixation
2022-12-16 13:40:06.893273,,Eye Tracker,966.0,514.0,Valid,Valid,Fixation
2022-12-16 13:40:06.909928,,Eye Tracker,969.0,515.0,Valid,Valid,Fixation
2022-12-16 13:40:06.926583,,Eye Tracker,969.0,522.0,Valid,Valid,Fixation
2022-12-16 13:40:06.943237,,Eye Tracker,966.0,525.0,Valid,Valid,Fixation
2022-12-16 13:40:06.959892,,Eye Tracker,968.0,519.0,Valid,Valid,Fixation
2022-12-16 13:40:06.976547,,Eye Tracker,970.0,530.0,Valid,Valid,Fixation
2022-12-16 13:40:06.993202,,Eye Tracker,969.0,531.0,Valid,Valid,Fixation
2022-12-16 13:40:07.009857,,Eye Tracker,965.0,528.0,Valid,Valid,Fixation
2022-12-16 13:40:07.026512,,Eye Tracker,965.0,531.0,Valid,Valid,Fixation
2022-12-16 13:40:07.043167,,Eye Tracker,967.0,529.0,Valid,Valid,Fixation
2022-12-16 13:40:07.059821,,Eye Tracker,968.0,527.0,Valid,Valid,Fixation
2022-12-16 13:40:07.076476,,Eye Tracker,967.0,522.0,Valid,Valid,Fixation
2022-12-16 13:40:07.093131,,Eye Tracker,967.0,523.0,Valid,Valid,Fixation
2022-12-16 13:40:07.109785,,Eye Tracker,968.0,532.0,Valid,Valid,Fixation
2022-12-16 13:40:07.126440,,Eye Tracker,965.0,535.0,Valid,Valid,Fixation
2022-12-16 13:40:07.143095,,Eye Tracker,965.0,529.0,Valid,Valid,Fixation
2022-12-16 13:40:07.159750,,Eye Tracker,966.0,529.0,Valid,Valid,Fixation
2022-12-16 13:40:07.176405,,Eye Tracker,964.0,531.0,Valid,Valid,Fixation
2022-12-16 13:40:07.193060,,Eye Tracker,965.0,535.0,Valid,Valid,Fixation
2022-12-16 13:40:07.209714,,Eye Tracker,962.0,542.0,Valid,Valid,Fixation
2022-12-16 13:40:07.226369,,Eye Tracker,961.0,539.0,Valid,Valid,Fixation
2022-12-16 13:40:07.243025,,Eye Tracker,962.0,539.0,Valid,Valid,Fixation
2022-12-16 13:40:07.259680,,Eye Tracker,962.0,544.0,Valid,Valid,Fixation
2022-12-16 13:40:07.276334,,Eye Tracker,962.0,536.0,Valid,Valid,Fixation
2022-12-16 13:40:07.292989,,Eye Tracker,963.0,532.0,Valid,Valid,Fixation
2022-12-16 13:40:07.309644,,Eye Tracker,940.0,554.0,Valid,Valid,Saccade
2022-12-16 13:40:07.326298,,Eye Tracker,885.0,629.0,Valid,Valid,Saccade
2022-12-16 13:40:07.342953,,Eye Tracker,834.0,692.0,Valid,Valid,Saccade
2022-12-16 13:40:07.359608,,Eye Tracker,822.0,695.0,Valid,Valid,Fixation
2022-12-16 13:40:07.376262,,Eye Tracker,817.0,697.0,Valid,Valid,Fixation
2022-12-16 13:40:07.392917,,Eye Tracker,815.0,697.0,Valid,Valid,Fixation
2022-12-16 13:40:07.409572,,Eye Tracker,818.0,702.0,Valid,Valid,Fixation
2022-12-16 13:40:07.426226,,Eye Tracker,817.0,703.0,Valid,Valid,Fixation
2022-12-16 13:40:07.442881,,Eye Tracker,809.0,700.0,Valid,Valid,Fixation
2022-12-16 13:40:07.459536,,Eye Tracker,805.0,699.0,Valid,Valid,Fixation
2022-12-16 13:40:07.476191,,Eye Tracker,806.0,699.0,Valid,Valid,Fixation
2022-12-16 13:40:07.492846,,Eye Tracker,810.0,702.0,Valid,Valid,Fixation
2022-12-16 13:40:07.509501,,Eye Tracker,820.0,705.0,Valid,Valid,Fixation
2022-12-16 13:40:07.526156,,Eye Tracker,818.0,703.0,Valid,Valid,Fixation
2022-12-16 13:40:07.542810,,Eye Tracker,811.0,707.0,Valid,Valid,Fixation
2022-12-16 13:40:07.559466,,Eye Tracker,812.0,706.0,Valid,Valid,Fixation
2022-12-16 13:40:07.576121,,Eye Tracker,815.0,707.0,Valid,Valid,Fixation
2022-12-16 13:40:07.592775,,Eye Tracker,814.0,708.0,Valid,Valid,Fixation
2022-12-16 13:40:07.609430,,Eye Tracker,814.0,708.0,Valid,Valid,Fixation
2022-12-16 13:40:07.626085,,Eye Tracker,814.0,708.0,Valid,Valid,Fixation
2022-12-16 13:40:07.642739,,Eye Tracker,816.0,709.0,Valid,Valid,Fixation
2022-12-16 13:40:07.659394,,Eye Tracker,816.0,708.0,Valid,Valid,Fixation
2022-12-16 13:40:07.676049,,Eye Tracker,816.0,705.0,Valid,Valid,Fixation
2022-12-16 13:40:07.692703,,Eye Tracker,813.0,706.0,Valid,Valid,Fixation
2022-12-16 13:40:07.709358,,Eye Tracker,811.0,711.0,Valid,Valid,Fixation
2022-12-16 13:40:07.726014,,Eye Tracker,814.0,710.0,Valid,Valid,Fixation
2022-12-16 13:40:07.742668,,Eye Tracker,813.0,697.0,Valid,Valid,Fixation
2022-12-16 13:40:07.759323,,Eye Tracker,809.0,699.0,Valid,Valid,Fixation
2022-12-16 13:40:07.775978,,Eye Tracker,864.0,653.0,Valid,Valid,Saccade
2022-12-16 13:40:07.792634,,Eye Tracker,986.0,545.0,Valid,Valid,Saccade
2022-12-16 13:40:07.809288,,Eye Tracker,1162.0,397.0,Valid,Valid,Saccade
2022-12-16 13:40:07.825943,,Eye Tracker,1215.0,348.0,Valid,Valid,Saccade
2022-12-16 13:40:07.842598,,Eye Tracker,1215.0,348.0,Valid,Valid,Fixation
2022-12-16 13:40:07.859252,,Eye Tracker,1220.0,344.0,Valid,Valid,Fixation
2022-12-16 13:40:07.875907,,Eye Tracker,1217.0,339.0,Valid,Valid,Fixation
2022-12-16 13:40:07.892562,,Eye Tracker,1215.0,344.0,Valid,Valid,Fixation
2022-12-16 13:40:07.909216,,Eye Tracker,1211.0,350.0,Valid,Valid,Fixation
2022-12-16 13:40:07.925871,,Eye Tracker,1210.0,345.0,Valid,Valid,Fixation
2022-12-16 13:40:07.942526,,Eye Tracker,1241.0,350.0,Valid,Valid,Saccade
2022-12-16 13:40:07.959180,,Eye Tracker,1268.0,353.0,Valid,Valid,Saccade
2022-12-16 13:40:07.975835,,Eye Tracker,1692.0,332.0,Valid,Valid,Saccade
