Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671165589.543,MouseEvent,,1845.0,862.6666666666666,,,Fixation
1671165589.557489,,Mouse,1844.0,863.3333333333334,,,Fixation
1671165589.574143,,Eye Tracker,1843.0,864.0,Valid,Valid,Fixation
1671165589.605584,,Mouse,1844.0,866.0,,,Fixation
1671165589.622238,,Eye Tracker,1845.0,868.0,Valid,Valid,Fixation
1671165589.638893,,Eye Tracker,1855.0,867.0,Valid,Valid,Fixation
1671165589.650448,,Eye Tracker,1861.0,861.0,Valid,Valid,Fixation
1671165589.666391,,Mouse,1860.0,861.5,,,Fixation
1671165589.67227,,Eye Tracker,1859.0,862.0,Valid,Valid,Fixation
1671165589.682397,,Eye Tracker,1853.0,867.0,Valid,Valid,Fixation
1671165589.688924,,Mouse,1854.0,867.3333333333334,,,Fixation
1671165589.69839,,Mouse,1855.0,867.6666666666666,,,Fixation
1671165589.705579,,Eye Tracker,1856.0,868.0,Valid,Valid,Fixation
1671165589.714388,,Mouse,1858.5,867.5,,,Fixation
1671165589.722234,,Eye Tracker,1861.0,867.0,Valid,Valid,Fixation
1671165589.7304199,,Mouse,1862.5,866.5,,,Fixation
1671165589.738888,,Eye Tracker,1864.0,866.0,Valid,Valid,Fixation
1671165589.7463949,,Mouse,1865.5,863.0,,,Fixation
1671165589.755543,,Eye Tracker,1867.0,860.0,Valid,Valid,Fixation
1671165589.762399,,Mouse,1874.5,850.0,,,Fixation
1671165589.772198,,Eye Tracker,1882.0,840.0,Valid,Valid,Fixation
1671165589.788852,,Mouse,1888.0,849.5,,,Fixation
1671165589.805507,,Eye Tracker,1894.0,859.0,Valid,Valid,Fixation
1671165589.822162,,Eye Tracker,1895.0,861.0,Valid,Valid,Fixation
1671165589.838816,,Eye Tracker,1896.0,860.0,Valid,Invalid,Fixation
1671165589.855471,,Eye Tracker,1899.0,859.0,Valid,Invalid,Fixation
1671165589.872127,,Eye Tracker,1902.0,860.0,Valid,Invalid,Fixation
1671165589.888781,,Eye Tracker,1900.0,867.0,Valid,Invalid,Fixation
1671165589.905436,,Eye Tracker,1892.0,882.0,Valid,Invalid,Fixation
1671165589.922091,,Mouse,1889.5,881.5,,,Fixation
1671165589.938746,,Eye Tracker,1887.0,881.0,Valid,Invalid,Fixation
1671165589.9554,,Mouse,1883.5,876.5,,,Fixation
1671165589.972055,,Eye Tracker,1880.0,872.0,Valid,Invalid,Fixation
1671165589.98871,,Mouse,1825.5,855.5,,,Saccade
1671165590.005364,,Eye Tracker,1771.0,839.0,Valid,Valid,Saccade
1671165590.018398,,Mouse,1602.0,773.0,,,Saccade
1671165590.022019,,Eye Tracker,1433.0,707.0,Valid,Valid,Saccade
1671165590.034466,,Mouse,1402.5,685.5,,,Saccade
1671165590.0386739,,Eye Tracker,1372.0,664.0,Valid,Valid,Saccade
1671165590.050472,,Mouse,1360.0,622.5,,,Saccade
1671165590.055328,,Eye Tracker,1348.0,581.0,Valid,Valid,Saccade
1671165590.066674,,Mouse,1350.0,579.6666666666666,,,Saccade
1671165590.071983,,Mouse,1352.0,578.3333333333334,,,Fixation
1671165590.082433,,Eye Tracker,1354.0,577.0,Valid,Valid,Fixation
1671165590.088638,,Mouse,1352.0,583.0,,,Fixation
1671165590.098438,,Eye Tracker,1350.0,589.0,Valid,Valid,Fixation
1671165590.105292,,Mouse,1351.0,588.0,,,Fixation
1671165590.1144009,,Eye Tracker,1352.0,587.0,Valid,Valid,Fixation
1671165590.121947,,Mouse,1355.5,586.0,,,Fixation
1671165590.138602,,Eye Tracker,1359.0,585.0,Valid,Valid,Fixation
1671165590.155256,,Mouse,1356.0,588.5,,,Fixation
1671165590.162453,,Eye Tracker,1353.0,592.0,Valid,Valid,Fixation
1671165590.171911,,Mouse,1350.0,593.0,,,Fixation
1671165590.178474,,Mouse,1347.0,594.0,,,Fixation
1671165590.188566,,Eye Tracker,1344.0,595.0,Valid,Valid,Fixation
1671165590.19439,,Mouse,1344.0,595.5,,,Fixation
1671165590.205221,,Eye Tracker,1344.0,596.0,Valid,Valid,Fixation
1671165590.210383,,Eye Tracker,1347.0,596.0,Valid,Valid,Fixation
1671165590.221875,,Mouse,1346.0,596.5,,,Fixation
1671165590.23853,,Eye Tracker,1345.0,597.0,Valid,Valid,Fixation
1671165590.255186,,Mouse,1343.3333333333333,599.3333333333334,,,Fixation
1671165590.27184,,Mouse,1341.6666666666667,601.6666666666666,,,Fixation
1671165590.288495,,Eye Tracker,1340.0,604.0,Valid,Valid,Fixation
1671165590.30515,,Mouse,1339.0,605.0,,,Fixation
1671165590.321804,,Eye Tracker,1338.0,606.0,Valid,Valid,Fixation
1671165590.338459,,Mouse,1340.0,603.5,,,Fixation
1671165590.355114,,Eye Tracker,1342.0,601.0,Valid,Valid,Fixation
1671165590.362451,,Mouse,1342.0,601.6666666666666,,,Fixation
1671165590.371768,,Mouse,1342.0,602.3333333333334,,,Fixation
1671165590.388423,,Eye Tracker,1342.0,603.0,Valid,Valid,Fixation
1671165590.405078,,Mouse,1340.5,607.5,,,Fixation
1671165590.421732,,Eye Tracker,1339.0,612.0,Valid,Valid,Fixation
1671165590.438387,,Mouse,1339.5,611.5,,,Fixation
1671165590.455042,,Eye Tracker,1340.0,611.0,Valid,Valid,Fixation
1671165590.471697,,Mouse,1303.6666666666667,600.0,,,Fixation
1671165590.482748,,Mouse,1267.3333333333333,589.0,,,Saccade
1671165590.4883509,,Eye Tracker,1231.0,578.0,Valid,Valid,Saccade
1671165590.49909,,Eye Tracker,1085.0,535.0,Valid,Valid,Saccade
1671165590.505006,,Mouse,1052.0,524.0,,,Saccade
1671165590.521661,,Eye Tracker,1019.0,513.0,Valid,Valid,Saccade
1671165590.538315,,Mouse,1020.5,516.0,,,Saccade
1671165590.55497,,Eye Tracker,1022.0,519.0,Valid,Valid,Fixation
1671165590.571625,,Mouse,1020.5,516.0,,,Fixation
1671165590.588279,,Eye Tracker,1019.0,513.0,Valid,Valid,Fixation
1671165590.604934,,Mouse,1019.0,512.3333333333334,,,Fixation
1671165590.618458,,Mouse,1019.0,511.6666666666667,,,Fixation
1671165590.62159,,Eye Tracker,1019.0,511.0,Valid,Valid,Fixation
1671165590.638244,,Mouse,1019.0,515.0,,,Fixation
1671165590.642446,,Eye Tracker,1019.0,519.0,Valid,Valid,Fixation
1671165590.654899,,Mouse,1017.5,519.0,,,Fixation
1671165590.671554,,Eye Tracker,1016.0,519.0,Valid,Valid,Fixation
1671165590.674465,,Mouse,1016.3333333333334,519.6666666666666,,,Fixation
1671165590.6882079,,Mouse,1016.6666666666666,520.3333333333334,,,Fixation
1671165590.690559,,Eye Tracker,1017.0,521.0,Valid,Valid,Fixation
1671165590.704863,,Mouse,1018.0,522.0,,,Fixation
1671165590.706533,,Eye Tracker,1019.0,523.0,Valid,Valid,Fixation
1671165590.721518,,Mouse,1020.0,525.0,,,Fixation
1671165590.722558,,Eye Tracker,1021.0,527.0,Valid,Valid,Fixation
1671165590.738173,,Mouse,1020.0,528.0,,,Fixation
1671165590.754827,,Eye Tracker,1019.0,529.0,Valid,Valid,Fixation
1671165590.762542,,Mouse,1018.0,529.0,,,Fixation
1671165590.771482,,Mouse,1017.0,529.0,,,Fixation
1671165590.778527,,Eye Tracker,1016.0,529.0,Valid,Valid,Fixation
1671165590.788137,,Mouse,1015.5,529.0,,,Fixation
1671165590.794607,,Eye Tracker,1015.0,529.0,Valid,Valid,Fixation
1671165590.804791,,Mouse,1017.5,528.5,,,Fixation
1671165590.810563,,Eye Tracker,1020.0,528.0,Valid,Valid,Fixation
1671165590.821446,,Mouse,1019.5,533.5,,,Fixation
1671165590.826586,,Eye Tracker,1019.0,539.0,Valid,Valid,Fixation
1671165590.838101,,Mouse,1018.5,542.0,,,Fixation
1671165590.842782,,Eye Tracker,1018.0,545.0,Valid,Valid,Fixation
1671165590.854755,,Mouse,1018.0,544.0,,,Fixation
1671165590.858532,,Eye Tracker,1018.0,543.0,Valid,Valid,Fixation
1671165590.87141,,Mouse,1015.0,544.0,,,Fixation
1671165590.87457,,Eye Tracker,1012.0,545.0,Valid,Valid,Fixation
1671165590.888065,,Mouse,1010.5,544.0,,,Fixation
1671165590.890503,,Eye Tracker,1009.0,543.0,Valid,Valid,Fixation
1671165590.9047189,,Mouse,1011.0,546.5,,,Fixation
1671165590.921374,,Eye Tracker,1013.0,550.0,Valid,Valid,Fixation
1671165590.938029,,Mouse,1012.5,551.0,,,Fixation
1671165590.954683,,Eye Tracker,1012.0,552.0,Valid,Valid,Fixation
1671165590.971338,,Mouse,1002.5,542.5,,,Saccade
1671165590.987994,,Eye Tracker,993.0,533.0,Valid,Valid,Saccade
1671165591.004649,,Mouse,986.3333333333334,529.6666666666666,,,Saccade
1671165591.018497,,Mouse,979.6666666666666,526.3333333333334,,,Saccade
1671165591.021303,,Eye Tracker,973.0,523.0,Valid,Valid,Saccade
1671165591.034582,,Mouse,972.0,519.0,,,Fixation
1671165591.037958,,Eye Tracker,971.0,515.0,Valid,Valid,Fixation
1671165591.05056,,Eye Tracker,970.0,513.0,Valid,Valid,Fixation
1671165591.0546129,,Mouse,968.0,514.5,,,Fixation
1671165591.066565,,Eye Tracker,966.0,516.0,Valid,Valid,Fixation
1671165591.071267,,Mouse,966.0,515.0,,,Fixation
1671165591.082557,,Eye Tracker,966.0,514.0,Valid,Valid,Fixation
1671165591.087922,,Mouse,967.5,514.5,,,Fixation
1671165591.104577,,Eye Tracker,969.0,515.0,Valid,Valid,Fixation
1671165591.106541,,Mouse,969.0,518.5,,,Fixation
1671165591.121231,,Eye Tracker,969.0,522.0,Valid,Valid,Fixation
1671165591.122479,,Mouse,967.5,523.5,,,Fixation
1671165591.137886,,Eye Tracker,966.0,525.0,Valid,Valid,Fixation
1671165591.138502,,Mouse,967.0,522.0,,,Fixation
1671165591.154483,,Eye Tracker,968.0,519.0,Valid,Valid,Fixation
1671165591.154541,,Mouse,968.6666666666666,522.6666666666666,,,Fixation
1671165591.17057,,Mouse,969.3333333333334,526.3333333333334,,,Fixation
1671165591.171195,,Eye Tracker,970.0,530.0,Valid,Valid,Fixation
1671165591.18654,,Eye Tracker,969.0,531.0,Valid,Valid,Fixation
1671165591.18785,,Mouse,967.0,529.5,,,Fixation
1671165591.202564,,Eye Tracker,965.0,528.0,Valid,Valid,Fixation
1671165591.204505,,Mouse,965.0,529.0,,,Fixation
1671165591.221159,,Mouse,965.0,530.0,,,Fixation
1671165591.237814,,Eye Tracker,965.0,531.0,Valid,Valid,Fixation
1671165591.254469,,Mouse,966.0,530.0,,,Fixation
1671165591.271124,,Eye Tracker,967.0,529.0,Valid,Valid,Fixation
1671165591.287778,,Mouse,967.5,528.0,,,Fixation
1671165591.3044329,,Eye Tracker,968.0,527.0,Valid,Valid,Fixation
1671165591.321088,,Mouse,967.6666666666666,525.3333333333334,,,Fixation
1671165591.322612,,Mouse,967.3333333333334,523.6666666666666,,,Fixation
1671165591.322612,,Eye Tracker,967.0,522.0,Valid,Valid,Fixation
1671165591.337742,,Eye Tracker,967.0,523.0,Valid,Valid,Fixation
1671165591.354397,,Mouse,967.3333333333334,526.0,,,Fixation
1671165591.371053,,Mouse,967.6666666666666,529.0,,,Fixation
1671165591.386842,,Eye Tracker,968.0,532.0,Valid,Valid,Fixation
1671165591.386842,,Mouse,966.5,533.5,,,Fixation
1671165591.387707,,Eye Tracker,965.0,535.0,Valid,Valid,Fixation
1671165591.404362,,Mouse,965.0,532.0,,,Fixation
1671165591.421017,,Eye Tracker,965.0,529.0,Valid,Valid,Fixation
1671165591.426454,,Mouse,965.5,529.0,,,Fixation
1671165591.437671,,Eye Tracker,966.0,529.0,Valid,Valid,Fixation
1671165591.442469,,Mouse,965.0,530.0,,,Fixation
1671165591.454326,,Eye Tracker,964.0,531.0,Valid,Valid,Fixation
1671165591.466276,,Eye Tracker,965.0,535.0,Valid,Valid,Fixation
1671165591.470981,,Mouse,964.0,537.3333333333334,,,Fixation
1671165591.482469,,Mouse,963.0,539.6666666666666,,,Fixation
1671165591.487635,,Eye Tracker,962.0,542.0,Valid,Valid,Fixation
1671165591.498478,,Mouse,961.5,540.5,,,Fixation
1671165591.5042899,,Eye Tracker,961.0,539.0,Valid,Valid,Fixation
1671165591.51447,,Eye Tracker,962.0,539.0,Valid,Valid,Fixation
1671165591.520945,,Mouse,962.0,540.6666666666666,,,Fixation
1671165591.535116,,Mouse,962.0,542.3333333333334,,,Fixation
1671165591.5376,,Eye Tracker,962.0,544.0,Valid,Valid,Fixation
1671165591.5464709,,Mouse,962.0,540.0,,,Fixation
1671165591.554254,,Eye Tracker,962.0,536.0,Valid,Valid,Fixation
1671165591.562418,,Mouse,962.5,534.0,,,Fixation
1671165591.570909,,Eye Tracker,963.0,532.0,Valid,Valid,Fixation
1671165591.578567,,Mouse,951.5,543.0,,,Fixation
1671165591.587564,,Eye Tracker,940.0,554.0,Valid,Valid,Saccade
1671165591.59446,,Mouse,921.6666666666666,579.0,,,Saccade
1671165591.604218,,Mouse,903.3333333333334,604.0,,,Saccade
1671165591.610412,,Eye Tracker,885.0,629.0,Valid,Valid,Saccade
1671165591.620873,,Eye Tracker,834.0,692.0,Valid,Valid,Saccade
1671165591.62644,,Mouse,828.0,693.5,,,Saccade
1671165591.637528,,Eye Tracker,822.0,695.0,Valid,Valid,Fixation
1671165591.642436,,Mouse,820.3333333333334,695.6666666666666,,,Fixation
1671165591.654182,,Mouse,818.6666666666666,696.3333333333334,,,Fixation
1671165591.658439,,Eye Tracker,817.0,697.0,Valid,Valid,Fixation
1671165591.670837,,Eye Tracker,815.0,697.0,Valid,Valid,Fixation
1671165591.674436,,Mouse,816.0,698.6666666666666,,,Fixation
1671165591.687492,,Mouse,817.0,700.3333333333334,,,Fixation
1671165591.6907449,,Eye Tracker,818.0,702.0,Valid,Valid,Fixation
1671165591.704146,,Mouse,817.6666666666666,702.3333333333334,,,Fixation
1671165591.706888,,Mouse,817.3333333333334,702.6666666666666,,,Fixation
1671165591.7208009,,Eye Tracker,817.0,703.0,Valid,Valid,Fixation
1671165591.722746,,Eye Tracker,809.0,700.0,Valid,Valid,Fixation
1671165591.737457,,Mouse,807.6666666666666,699.6666666666666,,,Fixation
1671165591.738568,,Mouse,806.3333333333334,699.3333333333334,,,Fixation
1671165591.754111,,Eye Tracker,805.0,699.0,Valid,Valid,Fixation
1671165591.754555,,Mouse,805.5,699.0,,,Fixation
1671165591.77052,,Eye Tracker,806.0,699.0,Valid,Valid,Fixation
1671165591.770766,,Mouse,808.0,700.5,,,Fixation
1671165591.78649,,Eye Tracker,810.0,702.0,Valid,Valid,Fixation
1671165591.787421,,Mouse,815.0,703.5,,,Fixation
1671165591.8027139,,Eye Tracker,820.0,705.0,Valid,Valid,Fixation
1671165591.804076,,Mouse,819.3333333333334,704.3333333333334,,,Fixation
1671165591.818499,,Mouse,818.6666666666666,703.6666666666666,,,Fixation
1671165591.82073,,Eye Tracker,818.0,703.0,Valid,Valid,Fixation
1671165591.834436,,Mouse,814.5,705.0,,,Fixation
1671165591.837385,,Eye Tracker,811.0,707.0,Valid,Valid,Fixation
1671165591.850488,,Mouse,811.5,706.5,,,Fixation
1671165591.85404,,Eye Tracker,812.0,706.0,Valid,Valid,Fixation
1671165591.866882,,Mouse,813.5,706.5,,,Fixation
1671165591.870694,,Eye Tracker,815.0,707.0,Valid,Valid,Fixation
1671165591.882896,,Mouse,814.5,707.5,,,Fixation
1671165591.887349,,Eye Tracker,814.0,708.0,Valid,Valid,Fixation
1671165591.8987439,,Mouse,814.0,708.0,,,Fixation
1671165591.904004,,Mouse,814.0,708.0,,,Fixation
1671165591.914709,,Eye Tracker,814.0,708.0,Valid,Valid,Fixation
1671165591.9206579,MouseEvent,,814.0,708.0,,,Fixation
1671165591.930678,,Mouse,814.0,708.0,,,Fixation
1671165591.937313,,Mouse,814.0,708.0,,,Fixation
1671165591.946738,,Eye Tracker,814.0,708.0,Valid,Valid,Fixation
1671165591.953968,,Mouse,815.0,708.5,,,Fixation
1671165591.962736,,Eye Tracker,816.0,709.0,Valid,Valid,Fixation
1671165591.970622,,Mouse,816.0,708.5,,,Fixation
1671165591.978925,,Eye Tracker,816.0,708.0,Valid,Valid,Fixation
1671165591.987277,,Mouse,816.0,706.5,,,Fixation
