Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671170472.985,MouseEvent,,1565.5,722.75,,,Fixation
1671170472.997283,,Mouse,1565.0,724.5,,,Fixation
1671170473.0013518,,Mouse,1564.5,726.25,,,Fixation
1671170473.0132709,,Eye Tracker,1564.0,728.0,Valid,Valid,Fixation
1671170473.0180068,,Eye Tracker,1566.0,726.0,Valid,Valid,Fixation
1671170473.029219,,Eye Tracker,1572.0,716.0,Valid,Valid,Fixation
1671170473.045234,,Eye Tracker,1575.0,723.0,Valid,Valid,Fixation
1671170473.047927,,Eye Tracker,1621.0,762.0,Valid,Valid,Saccade
1671170473.0611968,,Mouse,1651.5,785.5,,,Saccade
1671170473.064581,,Eye Tracker,1682.0,809.0,Valid,Valid,Saccade
1671170473.0772839,,Mouse,1691.0,823.5,,,Saccade
1671170473.081236,,Eye Tracker,1700.0,838.0,Valid,Valid,Saccade
1671170473.0932188,,Mouse,1698.5,838.5,,,Fixation
1671170473.1091979,,Eye Tracker,1697.0,839.0,Valid,Valid,Fixation
1671170473.114614,,Mouse,1697.0,840.0,,,Fixation
1671170473.1252038,,Eye Tracker,1697.0,841.0,Valid,Valid,Fixation
1671170473.1312678,,Eye Tracker,1696.0,839.0,Valid,Valid,Fixation
1671170473.147923,,Mouse,1691.5,838.0,,,Fixation
1671170473.164577,,Eye Tracker,1687.0,837.0,Valid,Valid,Fixation
1671170473.181232,,Mouse,1687.3333333333333,837.6666666666666,,,Fixation
1671170473.197886,,Mouse,1687.6666666666667,838.3333333333334,,,Fixation
1671170473.214541,,Eye Tracker,1688.0,839.0,Valid,Valid,Fixation
1671170473.231196,,Mouse,1690.0,842.0,,,Fixation
1671170473.24785,,Eye Tracker,1692.0,845.0,Valid,Valid,Fixation
1671170473.264505,,Mouse,1691.0,846.0,,,Fixation
1671170473.2811599,,Eye Tracker,1690.0,847.0,Valid,Valid,Fixation
1671170473.297814,,Mouse,1691.5,848.0,,,Fixation
1671170473.3144698,,Eye Tracker,1693.0,849.0,Valid,Valid,Fixation
1671170473.3311248,,Mouse,1690.5,847.0,,,Fixation
1671170473.3477788,,Eye Tracker,1688.0,845.0,Valid,Valid,Fixation
1671170473.364434,,Mouse,1687.0,845.0,,,Fixation
1671170473.381089,,Eye Tracker,1686.0,845.0,Valid,Valid,Fixation
1671170473.397743,,Mouse,1686.0,845.3333333333334,,,Fixation
1671170473.4052398,,Mouse,1686.0,845.6666666666666,,,Fixation
1671170473.414398,,Eye Tracker,1686.0,846.0,Valid,Valid,Fixation
1671170473.421218,,Eye Tracker,1683.0,849.0,Valid,Valid,Fixation
1671170473.431053,,Mouse,1683.5,851.0,,,Fixation
1671170473.447708,,Eye Tracker,1684.0,853.0,Valid,Valid,Fixation
1671170473.464361,,Mouse,1681.0,853.0,,,Fixation
1671170473.481016,,Mouse,1678.0,853.0,,,Fixation
1671170473.497671,,Eye Tracker,1675.0,853.0,Valid,Valid,Fixation
1671170473.5143259,,Mouse,1673.5,853.5,,,Fixation
1671170473.5309808,,Eye Tracker,1672.0,854.0,Valid,Valid,Fixation
1671170473.5476358,,Mouse,1676.0,854.0,,,Fixation
1671170473.5642898,,Eye Tracker,1680.0,854.0,Valid,Valid,Fixation
1671170473.5809448,,Mouse,1680.3333333333333,854.0,,,Fixation
1671170473.5976,,Mouse,1680.6666666666667,854.0,,,Fixation
1671170473.614254,,Eye Tracker,1681.0,854.0,Valid,Valid,Fixation
1671170473.630909,,Mouse,1676.5,855.5,,,Fixation
1671170473.647564,,Eye Tracker,1672.0,857.0,Valid,Valid,Fixation
1671170473.664218,,Mouse,1671.6666666666667,857.3333333333334,,,Fixation
1671170473.680873,,Mouse,1671.3333333333333,857.6666666666666,,,Fixation
1671170473.697528,,Eye Tracker,1671.0,858.0,Valid,Valid,Fixation
