Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671170608.493878,MouseEvent,,1805.3333333333333,961.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1671170608.493878,,Mouse,1802.6666666666667,962.3333333333334,,,Fixation,1800.0,905.0,,
1671170608.504953,,Eye Tracker,1800.0,963.0,Valid,Valid,Fixation,,,,
1671170608.521608,,Eye Tracker,1738.0,909.0,Valid,Valid,Saccade,,,,
1671170608.538263,,Eye Tracker,1673.0,833.0,Valid,Valid,Saccade,,,,
1671170608.545723,,Mouse,1663.0,818.5,,,Saccade,1800.0,905.0,,
1671170608.554918,,Eye Tracker,1653.0,804.0,Valid,Valid,Saccade,,,,
1671170608.555738,,Mouse,1655.0,807.5,,,Saccade,1800.0,903.0,,
1671170608.571572,,Eye Tracker,1657.0,811.0,Valid,Valid,Fixation,,,,
1671170608.57551,,Mouse,1655.6666666666667,810.6666666666666,,,Fixation,1798.0,902.0,,
1671170608.585583,,Mouse,1654.3333333333333,810.3333333333334,,,Fixation,1795.0,901.0,,
1671170608.588227,,Eye Tracker,1653.0,810.0,Valid,Valid,Fixation,,,,
1671170608.604882,,Eye Tracker,1651.0,807.0,Valid,Valid,Fixation,,,,
1671170608.605424,,Mouse,1651.6666666666667,806.6666666666666,,,Fixation,1788.0,897.0,,
1671170608.61552,,Mouse,1652.3333333333333,806.3333333333334,,,Fixation,1784.0,895.0,,
1671170608.621537,,Eye Tracker,1653.0,806.0,Valid,Valid,Fixation,,,,
1671170608.635473,,Mouse,1652.0,806.0,,,Fixation,1769.0,886.0,,
1671170608.638191,,Eye Tracker,1651.0,806.0,Valid,Valid,Fixation,,,,
1671170608.6455219,,Mouse,1650.5,810.5,,,Fixation,1761.0,883.0,,
1671170608.654846,,Eye Tracker,1650.0,815.0,Valid,Valid,Fixation,,,,
1671170608.66544,,Mouse,1651.0,815.0,,,Fixation,1747.0,876.0,,
1671170608.671501,,Eye Tracker,1652.0,815.0,Valid,Valid,Fixation,,,,
1671170608.675528,,Mouse,1652.0,814.0,,,Fixation,1744.0,873.0,,
1671170608.685718,,Mouse,1652.0,813.0,,,Fixation,1739.0,871.0,,
1671170608.688155,,Eye Tracker,1652.0,812.0,Valid,Valid,Fixation,,,,
1671170608.70481,,Eye Tracker,1649.0,814.0,Valid,Valid,Fixation,,,,
1671170608.70547,,Mouse,1649.3333333333333,813.0,,,Fixation,1736.0,870.0,,
1671170608.715489,,Mouse,1649.6666666666667,812.0,,,Fixation,1735.0,870.0,,
1671170608.721465,,Eye Tracker,1650.0,811.0,Valid,Valid,Fixation,,,,
1671170608.735466,,Mouse,1650.5,810.0,,,Fixation,1733.0,870.0,,
1671170608.738119,,Eye Tracker,1651.0,809.0,Valid,Valid,Fixation,,,,
1671170608.754774,,Eye Tracker,1654.0,802.0,Valid,Valid,Fixation,,,,
1671170608.755726,,Mouse,1653.0,800.5,,,Fixation,1731.0,869.0,,
1671170608.771429,,Eye Tracker,1652.0,799.0,Valid,Valid,Fixation,,,,
1671170608.775422,,Mouse,1652.3333333333333,803.3333333333334,,,Fixation,1727.0,869.0,,
1671170608.785455,,Mouse,1652.6666666666667,807.6666666666666,,,Fixation,1725.0,869.0,,
1671170608.788084,,Eye Tracker,1653.0,812.0,Valid,Valid,Fixation,,,,
1671170608.795457,,Mouse,1654.5,812.0,,,Fixation,1721.0,867.0,,
1671170608.804739,,Eye Tracker,1656.0,812.0,Valid,Valid,Fixation,,,,
