Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669186539.584,MouseEvent,,72.66666666666667,985.0,,,Fixation
1669186539.5988412,,Mouse,74.33333333333333,987.0,,,Fixation
1669186539.6154962,,Eye Tracker,76.0,989.0,Valid,Valid,Fixation
1669186539.6454992,,Eye Tracker,83.0,989.0,Valid,Valid,Fixation
1669186539.6621542,,Eye Tracker,81.0,982.0,Valid,Valid,Fixation
1669186539.6907842,,Eye Tracker,78.0,982.0,Valid,Valid,Fixation
1669186539.6961982,,Eye Tracker,68.0,989.0,Valid,Valid,Fixation
1669186539.7067242,,Eye Tracker,65.0,990.0,Valid,Valid,Fixation
1669186539.7128541,,Eye Tracker,68.0,982.0,Valid,Valid,Fixation
1669186539.7227552,,Eye Tracker,72.0,976.0,Valid,Valid,Fixation
1669186539.7295082,,Eye Tracker,80.0,977.0,Valid,Valid,Fixation
1669186539.738897,,Eye Tracker,77.0,978.0,Valid,Valid,Fixation
1669186539.7461631,,Eye Tracker,83.0,979.0,Valid,Valid,Fixation
1669186539.7547202,,Eye Tracker,84.0,983.0,Valid,Valid,Fixation
1669186539.762818,,Eye Tracker,72.0,990.0,Valid,Valid,Fixation
1669186539.770749,,Eye Tracker,73.0,989.0,Valid,Valid,Fixation
1669186539.779472,,Eye Tracker,77.0,977.0,Valid,Valid,Fixation
1669186539.7867181,,Eye Tracker,77.0,977.0,Valid,Valid,Fixation
1669186539.796127,,Mouse,79.0,980.5,,,Fixation
1669186539.802731,,Eye Tracker,81.0,984.0,Valid,Valid,Fixation
1669186539.812782,,Mouse,81.5,985.0,,,Fixation
1669186539.818722,,Eye Tracker,82.0,986.0,Valid,Valid,Fixation
1669186539.829436,,Eye Tracker,73.0,982.0,Valid,Valid,Fixation
1669186539.837156,,Eye Tracker,70.0,983.0,Valid,Valid,Fixation
1669186539.846091,,Mouse,72.0,986.0,,,Fixation
1669186539.8507712,,Eye Tracker,74.0,989.0,Valid,Valid,Fixation
1669186539.8627472,,Eye Tracker,76.0,987.0,Valid,Valid,Fixation
1669186539.866753,,Eye Tracker,55.0,1000.0,Valid,Valid,Fixation
1669186539.8794012,,Mouse,55.5,998.0,,,Fixation
1669186539.8960562,,Eye Tracker,56.0,996.0,Valid,Valid,Fixation
1669186539.9127111,,Mouse,66.0,992.0,,,Fixation
1669186539.929366,,Eye Tracker,76.0,988.0,Valid,Valid,Fixation
1669186539.9460201,,Mouse,75.5,988.5,,,Fixation
1669186539.962675,,Eye Tracker,75.0,989.0,Valid,Valid,Fixation
1669186539.97933,,Mouse,76.0,985.0,,,Fixation
1669186539.995984,,Eye Tracker,77.0,981.0,Valid,Valid,Fixation
1669186540.01264,,Mouse,79.0,984.5,,,Fixation
1669186540.0292952,,Eye Tracker,81.0,988.0,Valid,Valid,Fixation
1669186540.0459492,,Eye Tracker,73.0,993.0,Valid,Valid,Fixation
1669186540.0626042,,Mouse,69.5,991.0,,,Fixation
1669186540.0792592,,Eye Tracker,66.0,989.0,Valid,Valid,Fixation
1669186540.0959132,,Eye Tracker,68.0,986.0,Valid,Valid,Fixation
1669186540.1125681,,Mouse,67.0,984.0,,,Fixation
1669186540.1227381,,Eye Tracker,66.0,982.0,Valid,Valid,Fixation
1669186540.129223,,Mouse,69.5,982.5,,,Fixation
1669186540.13873,,Eye Tracker,73.0,983.0,Valid,Valid,Fixation
1669186540.1458771,,Mouse,75.0,983.5,,,Fixation
1669186540.1547172,,Eye Tracker,77.0,984.0,Valid,Valid,Fixation
1669186540.162533,,Eye Tracker,78.0,983.0,Valid,Valid,Fixation
1669186540.170737,,Mouse,79.0,984.0,,,Fixation
1669186540.179188,,Eye Tracker,80.0,985.0,Valid,Valid,Fixation
1669186540.1867542,,Mouse,74.0,984.5,,,Fixation
1669186540.1958432,,Eye Tracker,68.0,984.0,Valid,Valid,Fixation
1669186540.202737,,Mouse,67.5,983.0,,,Fixation
1669186540.212497,,Eye Tracker,67.0,982.0,Valid,Valid,Fixation
1669186540.218758,,Mouse,64.0,984.5,,,Fixation
1669186540.2291522,,Eye Tracker,61.0,987.0,Valid,Valid,Fixation
1669186540.234728,,Eye Tracker,65.0,986.0,Valid,Valid,Fixation
1669186540.2458072,,Mouse,73.5,984.0,,,Fixation
1669186540.2507231,,Eye Tracker,82.0,982.0,Valid,Valid,Fixation
1669186540.2624612,,Mouse,82.5,980.0,,,Fixation
1669186540.2667332,,Eye Tracker,83.0,978.0,Valid,Valid,Fixation
1669186540.2791162,,Mouse,81.5,977.5,,,Fixation
1669186540.282721,,Eye Tracker,80.0,977.0,Valid,Valid,Fixation
1669186540.2957711,,Eye Tracker,77.0,975.0,Valid,Valid,Fixation
1669186540.2987552,,Mouse,75.5,978.5,,,Fixation
1669186540.312426,,Eye Tracker,74.0,982.0,Valid,Valid,Fixation
1669186540.3147812,,Mouse,73.0,981.0,,,Fixation
1669186540.329081,,Eye Tracker,72.0,980.0,Valid,Valid,Fixation
1669186540.345736,,Mouse,75.5,975.0,,,Fixation
1669186540.3547301,,Eye Tracker,79.0,970.0,Valid,Valid,Fixation
1669186540.36239,,Mouse,87.0,969.5,,,Fixation
1669186540.370723,,Eye Tracker,95.0,969.0,Valid,Valid,Fixation
1669186540.379045,,Mouse,99.0,968.0,,,Fixation
1669186540.3867502,,Eye Tracker,103.0,967.0,Valid,Valid,Fixation
1669186540.3957002,,Mouse,103.5,966.5,,,Fixation
1669186540.4027152,,Eye Tracker,104.0,966.0,Valid,Valid,Fixation
1669186540.412354,,Mouse,102.0,966.5,,,Fixation
1669186540.4187162,,Eye Tracker,100.0,967.0,Valid,Valid,Fixation
1669186540.4290092,,Eye Tracker,103.0,969.0,Valid,Valid,Fixation
1669186540.4456642,,Mouse,105.0,968.5,,,Fixation
1669186540.46232,,Eye Tracker,107.0,968.0,Valid,Valid,Fixation
1669186540.478974,,Mouse,106.5,966.0,,,Fixation
1669186540.495629,,Eye Tracker,106.0,964.0,Valid,Valid,Fixation
1669186540.498737,,Mouse,102.0,965.0,,,Fixation
1669186540.512284,,Eye Tracker,98.0,966.0,Valid,Valid,Fixation
1669186540.514749,,Mouse,99.66666666666667,966.3333333333334,,,Fixation
1669186540.528938,,Mouse,101.33333333333333,966.6666666666666,,,Fixation
1669186540.53073,,Eye Tracker,103.0,967.0,Valid,Valid,Fixation
1669186540.545593,,Mouse,112.0,966.0,,,Fixation
1669186540.5487962,,Eye Tracker,121.0,965.0,Valid,Valid,Fixation
1669186540.562248,,Eye Tracker,116.0,975.0,Valid,Valid,Fixation
1669186540.578902,,Mouse,103.0,979.5,,,Fixation
1669186540.5955572,,Eye Tracker,90.0,984.0,Valid,Valid,Fixation
1669186540.6122131,,Mouse,87.0,984.5,,,Fixation
1669186540.6288671,,Eye Tracker,84.0,985.0,Valid,Valid,Fixation
1669186540.645522,,Mouse,87.0,987.5,,,Fixation
1669186540.662177,,Eye Tracker,90.0,990.0,Valid,Valid,Fixation
1669186540.666798,,Mouse,88.5,988.0,,,Fixation
1669186540.678831,,Eye Tracker,87.0,986.0,Valid,Valid,Fixation
1669186540.682773,,Mouse,86.0,988.5,,,Fixation
1669186540.695486,,Eye Tracker,85.0,991.0,Valid,Valid,Fixation
1669186540.7121422,,Eye Tracker,89.0,992.0,Valid,Valid,Fixation
1669186540.7287972,,Mouse,92.0,990.0,,,Fixation
1669186540.7308192,,Mouse,95.0,988.0,,,Fixation
1669186540.7454512,,Eye Tracker,98.0,986.0,Valid,Valid,Fixation
1669186540.7547941,,Mouse,100.0,985.0,,,Fixation
1669186540.7621062,,Eye Tracker,102.0,984.0,Valid,Valid,Fixation
1669186540.770765,,Mouse,104.0,988.5,,,Fixation
1669186540.7787611,,Eye Tracker,106.0,993.0,Valid,Valid,Fixation
1669186540.786781,,Mouse,106.0,993.0,,,Fixation
1669186540.7954152,,Eye Tracker,106.0,993.0,Valid,Valid,Fixation
1669186540.802715,,Mouse,103.5,990.5,,,Fixation
1669186540.8120701,,Eye Tracker,101.0,988.0,Valid,Valid,Fixation
1669186540.8187742,,Mouse,100.5,988.0,,,Fixation
1669186540.828726,,Eye Tracker,100.0,988.0,Valid,Valid,Fixation
1669186540.834733,,Mouse,106.0,989.5,,,Fixation
1669186540.84538,,Eye Tracker,112.0,991.0,Valid,Valid,Fixation
1669186540.8507252,,Mouse,113.0,993.5,,,Fixation
1669186540.862035,,Eye Tracker,114.0,996.0,Valid,Valid,Fixation
