Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669181624.989392,,,,MouseEvent,"Down, Left"
1669181624.989392,Mouse,37.0,89.0,,
1669181625.090338,Mouse,37.0,89.0,,
1669181625.141494,Mouse,37.0,89.0,,
1669181625.160191,Mouse,38.0,89.0,,
1669181625.18021,Mouse,46.0,89.0,,
1669181625.191196,Mouse,57.0,87.0,,
1669181625.201318,Mouse,70.0,87.0,,
1669181625.211407,Mouse,92.0,86.0,,
1669181625.232195,Mouse,135.0,81.0,,
1669181625.242237,Mouse,154.0,77.0,,
1669181625.261222,Mouse,181.0,73.0,,
1669181625.272503,Mouse,189.0,70.0,,
1669181625.291194,Mouse,199.0,69.0,,
1669181625.30123,Mouse,202.0,68.0,,
1669181625.312641,Mouse,203.0,67.0,,
1669181625.371226,Mouse,204.0,66.0,,
1669181625.381498,Mouse,205.0,66.0,,
1669181625.402202,Mouse,208.0,64.0,,
1669181625.412305,Mouse,209.0,63.0,,
1669181625.43123,Mouse,214.0,60.0,,
1669181625.442515,Mouse,216.0,60.0,,
1669181625.46124,Mouse,220.0,58.0,,
1669181625.482239,Mouse,223.0,57.0,,
1669181625.501239,Mouse,227.0,57.0,,
1669181625.51135,Mouse,231.0,57.0,,
1669181625.532495,Mouse,239.0,57.0,,
1669181625.552237,Mouse,248.0,57.0,,
1669181625.573267,Mouse,257.0,57.0,,
1669181625.592181,Mouse,266.0,57.0,,
1669181625.602492,Mouse,272.0,57.0,,
1669181625.613335,Mouse,278.0,57.0,,
1669181625.632247,Mouse,287.0,57.0,,
1669181625.642299,Mouse,291.0,57.0,,
1669181625.653236,Mouse,294.0,57.0,,
1669181625.672224,Mouse,299.0,57.0,,
1669181625.682256,Mouse,302.0,57.0,,
1669181625.693216,Mouse,306.0,57.0,,
1669181625.71324,Mouse,317.0,57.0,,
1669181625.733165,Mouse,331.0,57.0,,
1669181625.744334,Mouse,338.0,57.0,,
1669181625.763216,Mouse,347.0,57.0,,
1669181625.773251,Mouse,353.0,57.0,,
1669181625.784247,Mouse,358.0,57.0,,
1669181625.794479,Mouse,365.0,57.0,,
1669181625.813185,Mouse,373.0,57.0,,
1669181625.824192,Mouse,380.0,57.0,,
1669181625.834331,Mouse,384.0,57.0,,
1669181625.853194,Mouse,390.0,57.0,,
1669181625.863481,Mouse,392.0,57.0,,
1669181625.874253,Mouse,395.0,57.0,,
1669181625.893222,Mouse,407.0,58.0,,
1669181625.903244,Mouse,414.0,58.0,,
1669181625.91426,Mouse,424.0,60.0,,
1669181625.933244,Mouse,443.0,64.0,,
1669181625.943259,Mouse,448.0,65.0,,
1669181625.954224,Mouse,455.0,68.0,,
1669181625.964321,Mouse,461.0,69.0,,
1669181625.983448,Mouse,468.0,71.0,,
1669181625.994198,Mouse,474.0,73.0,,
1669181626.004264,Mouse,479.0,75.0,,
1669181626.023192,Mouse,486.0,76.0,,
1669181626.034236,Mouse,490.0,77.0,,
1669181626.044252,Mouse,493.0,78.0,,
1669181626.06418,Mouse,496.0,79.0,,
1669181626.074477,Mouse,496.0,79.0,,
1669181626.085254,Mouse,497.0,79.0,,
1669181626.104215,Mouse,499.0,79.0,,
1669181626.114255,Mouse,501.0,79.0,,
1669181626.125312,Mouse,504.0,79.0,,
1669181626.135462,Mouse,505.0,79.0,,
1669181626.26638,Mouse,507.0,79.0,,
1669181626.285238,Mouse,508.0,80.0,,
1669181626.296495,Mouse,509.0,81.0,,
1669181626.315194,Mouse,512.0,84.0,,
1669181626.325239,Mouse,513.0,86.0,,
1669181626.336313,Mouse,517.0,90.0,,
1669181626.355187,Mouse,521.0,97.0,,
1669181626.365251,Mouse,524.0,102.0,,
1669181626.376204,Mouse,527.0,107.0,,
1669181626.395313,Mouse,533.0,117.0,,
1669181626.415187,Mouse,541.0,130.0,,
1669181626.426207,Mouse,544.0,135.0,,
1669181626.436498,Mouse,547.0,142.0,,
1669181626.455484,Mouse,553.0,155.0,,
1669181626.466484,Mouse,556.0,160.0,,
1669181626.485191,Mouse,560.0,168.0,,
1669181626.495295,Mouse,564.0,175.0,,
1669181626.506266,Mouse,566.0,179.0,,
1669181626.525439,Mouse,573.0,189.0,,
1669181626.535441,Mouse,577.0,195.0,,
1669181626.546248,Mouse,580.0,202.0,,
1669181626.566479,Mouse,584.0,211.0,,
1669181626.586198,Mouse,588.0,219.0,,
1669181626.59732,Mouse,589.0,223.0,,
1669181626.616188,Mouse,593.0,232.0,,
1669181626.626381,Mouse,596.0,237.0,,
1669181626.637241,Mouse,597.0,242.0,,
1669181626.656325,Mouse,600.0,249.0,,
1669181626.677185,Mouse,601.0,256.0,,
1669181626.687188,Mouse,601.0,259.0,,
1669181626.706381,Mouse,603.0,266.0,,
1669181626.717421,Mouse,604.0,271.0,,
1669181626.73725,Mouse,604.0,279.0,,
1669181626.757239,Mouse,605.0,285.0,,
1669181626.768342,Mouse,606.0,289.0,,
1669181626.787277,Mouse,607.0,298.0,,
1669181626.808198,Mouse,607.0,307.0,,
1669181626.818198,Mouse,607.0,311.0,,
1669181626.837461,Mouse,607.0,317.0,,
1669181626.848231,Mouse,607.0,320.0,,
1669181626.858609,,,,MouseEvent,"Down, Right"
1669181626.858609,Mouse,607.0,320.0,,
1669181626.859254,Mouse,607.0,323.0,,
1669181626.877209,Mouse,607.0,329.0,,
1669181626.888245,Mouse,607.0,330.0,,
1669181626.898396,Mouse,607.0,335.0,,
1669181626.917237,Mouse,607.0,343.0,,
1669181626.927467,Mouse,607.0,347.0,,
1669181626.938218,Mouse,607.0,350.0,,
1669181626.948235,Mouse,607.0,353.0,,
1669181626.967242,Mouse,607.0,357.0,,
1669181626.978233,Mouse,607.0,359.0,,
1669181626.988472,Mouse,607.0,363.0,,
1669181627.007234,Mouse,607.0,368.0,,
1669181627.018172,Mouse,607.0,373.0,,
1669181627.028497,Mouse,607.0,376.0,,
1669181627.047225,Mouse,607.0,379.0,,
1669181627.058379,Mouse,607.0,381.0,,
1669181627.088209,Mouse,607.0,382.0,,
1669181627.128455,Mouse,607.0,383.0,,
1669181627.138451,,,,MouseEvent,"Up, Right"
1669181627.138451,Mouse,607.0,383.0,,
1669181627.178282,Mouse,607.0,384.0,,
1669181627.189408,Mouse,607.0,384.0,,
1669181627.208229,Mouse,606.0,387.0,,
1669181627.21844,Mouse,605.0,390.0,,
1669181627.229435,Mouse,604.0,391.0,,
1669181627.249401,Mouse,601.0,395.0,,
1669181627.259493,Mouse,600.0,399.0,,
1669181627.270244,Mouse,598.0,401.0,,
1669181627.290596,Mouse,595.0,408.0,,
1669181627.309205,Mouse,591.0,419.0,,
1669181627.320356,Mouse,589.0,424.0,,
1669181627.339196,Mouse,585.0,435.0,,
1669181627.360221,Mouse,578.0,446.0,,
1669181627.370256,Mouse,577.0,450.0,,
1669181627.389252,Mouse,573.0,455.0,,
1669181627.400184,Mouse,572.0,457.0,,
