Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-23 14:38:51.390751,,Eye Tracker,566.0,660.0,Valid,Valid,Fixation
2022-11-23 14:38:51.407406,,Eye Tracker,560.0,656.0,Valid,Valid,Fixation
2022-11-23 14:38:51.424060,,Eye Tracker,557.0,657.0,Valid,Valid,Fixation
2022-11-23 14:38:51.440715,,Eye Tracker,560.0,660.0,Valid,Valid,Fixation
2022-11-23 14:38:51.457370,,Eye Tracker,561.0,654.0,Valid,Valid,Fixation
2022-11-23 14:38:51.474024,,Eye Tracker,561.0,650.0,Valid,Valid,Fixation
2022-11-23 14:38:51.490680,,Eye Tracker,563.0,652.0,Valid,Valid,Fixation
2022-11-23 14:38:51.507335,,Eye Tracker,558.0,652.0,Valid,Valid,Fixation
2022-11-23 14:38:51.523989,,Eye Tracker,560.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:51.540644,,Eye Tracker,563.0,651.0,Valid,Valid,Fixation
2022-11-23 14:38:51.557299,,Eye Tracker,561.0,653.0,Valid,Valid,Fixation
2022-11-23 14:38:51.573953,,Eye Tracker,560.0,650.0,Valid,Valid,Fixation
2022-11-23 14:38:51.590608,,Eye Tracker,561.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:51.607263,,Eye Tracker,562.0,647.0,Valid,Valid,Fixation
2022-11-23 14:38:51.623918,,Eye Tracker,559.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:51.640573,,Eye Tracker,556.0,633.0,Valid,Valid,Fixation
2022-11-23 14:38:51.657228,,Eye Tracker,561.0,624.0,Valid,Valid,Fixation
2022-11-23 14:38:51.673883,,Eye Tracker,561.0,628.0,Valid,Valid,Fixation
2022-11-23 14:38:51.690537,,Eye Tracker,562.0,629.0,Valid,Valid,Fixation
2022-11-23 14:38:51.707192,,Eye Tracker,562.0,629.0,Valid,Valid,Fixation
2022-11-23 14:38:51.723847,,Eye Tracker,562.0,626.0,Valid,Valid,Fixation
2022-11-23 14:38:51.740501,,Eye Tracker,558.0,631.0,Valid,Valid,Fixation
2022-11-23 14:38:51.757157,,Eye Tracker,560.0,634.0,Valid,Valid,Fixation
2022-11-23 14:38:51.773812,,Eye Tracker,567.0,630.0,Valid,Valid,Fixation
2022-11-23 14:38:51.790466,,Eye Tracker,569.0,632.0,Valid,Valid,Fixation
2022-11-23 14:38:51.807121,,Eye Tracker,569.0,640.0,Valid,Valid,Fixation
2022-11-23 14:38:51.823776,,Eye Tracker,571.0,643.0,Valid,Valid,Fixation
2022-11-23 14:38:51.840430,,Eye Tracker,569.0,640.0,Valid,Valid,Fixation
2022-11-23 14:38:51.857085,,Eye Tracker,569.0,639.0,Valid,Valid,Fixation
2022-11-23 14:38:51.873740,,Eye Tracker,567.0,640.0,Valid,Valid,Fixation
2022-11-23 14:38:51.890394,,Eye Tracker,566.0,644.0,Valid,Valid,Fixation
2022-11-23 14:38:51.907050,,Eye Tracker,572.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:51.923705,,Eye Tracker,570.0,651.0,Valid,Valid,Fixation
2022-11-23 14:38:51.940360,,Eye Tracker,572.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:51.957014,,Eye Tracker,574.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:51.973669,,Eye Tracker,574.0,647.0,Valid,Valid,Fixation
2022-11-23 14:38:51.990324,,Eye Tracker,574.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:52.006978,,Eye Tracker,577.0,647.0,Valid,Valid,Fixation
2022-11-23 14:38:52.023633,,Eye Tracker,575.0,647.0,Valid,Valid,Fixation
2022-11-23 14:38:52.040289,,Eye Tracker,571.0,649.0,Valid,Valid,Fixation
2022-11-23 14:38:52.056943,,Eye Tracker,572.0,647.0,Valid,Valid,Fixation
2022-11-23 14:38:52.073598,,Eye Tracker,577.0,647.0,Valid,Valid,Fixation
2022-11-23 14:38:52.090253,,Eye Tracker,580.0,655.0,Valid,Valid,Fixation
2022-11-23 14:38:52.106907,,Eye Tracker,581.0,656.0,Valid,Valid,Fixation
2022-11-23 14:38:52.123562,,Eye Tracker,579.0,653.0,Valid,Valid,Fixation
2022-11-23 14:38:52.140217,,Eye Tracker,572.0,656.0,Valid,Valid,Fixation
2022-11-23 14:38:52.156871,,Eye Tracker,570.0,658.0,Valid,Valid,Fixation
2022-11-23 14:38:52.173527,,Eye Tracker,577.0,660.0,Valid,Valid,Fixation
2022-11-23 14:38:52.190182,,Eye Tracker,577.0,657.0,Valid,Valid,Fixation
2022-11-23 14:38:52.206837,,Eye Tracker,569.0,656.0,Valid,Valid,Fixation
2022-11-23 14:38:52.223491,,Eye Tracker,569.0,663.0,Valid,Valid,Fixation
2022-11-23 14:38:52.240146,,Eye Tracker,577.0,675.0,Valid,Valid,Fixation
2022-11-23 14:38:52.256801,,Eye Tracker,578.0,675.0,Valid,Valid,Fixation
2022-11-23 14:38:52.273455,,Eye Tracker,580.0,674.0,Valid,Valid,Fixation
2022-11-23 14:38:52.290110,,Eye Tracker,574.0,672.0,Valid,Valid,Fixation
2022-11-23 14:38:52.306765,,Eye Tracker,569.0,669.0,Valid,Valid,Fixation
2022-11-23 14:38:52.323420,,Eye Tracker,571.0,675.0,Valid,Valid,Fixation
2022-11-23 14:38:52.340075,,Eye Tracker,573.0,676.0,Valid,Valid,Fixation
2022-11-23 14:38:52.356730,,Eye Tracker,567.0,681.0,Valid,Valid,Fixation
2022-11-23 14:38:52.373384,,Eye Tracker,564.0,687.0,Valid,Valid,Fixation
2022-11-23 14:38:52.390039,,Eye Tracker,569.0,686.0,Valid,Valid,Fixation
2022-11-23 14:38:52.406694,,Eye Tracker,573.0,689.0,Valid,Valid,Fixation
2022-11-23 14:38:52.423348,,Eye Tracker,570.0,688.0,Valid,Valid,Fixation
2022-11-23 14:38:52.440003,,Eye Tracker,568.0,687.0,Valid,Valid,Fixation
2022-11-23 14:38:52.456659,,Eye Tracker,570.0,686.0,Valid,Valid,Fixation
2022-11-23 14:38:52.473314,,Eye Tracker,573.0,690.0,Valid,Valid,Fixation
2022-11-23 14:38:52.489968,,Eye Tracker,574.0,692.0,Valid,Valid,Fixation
2022-11-23 14:38:52.506623,,Eye Tracker,577.0,696.0,Valid,Valid,Fixation
2022-11-23 14:38:52.523278,,Eye Tracker,578.0,694.0,Valid,Valid,Fixation
2022-11-23 14:38:52.539932,,Eye Tracker,567.0,686.0,Valid,Valid,Fixation
2022-11-23 14:38:52.556587,,Eye Tracker,567.0,688.0,Valid,Valid,Fixation
2022-11-23 14:38:52.573242,,Eye Tracker,569.0,684.0,Valid,Valid,Fixation
2022-11-23 14:38:52.589896,,Eye Tracker,570.0,687.0,Valid,Valid,Fixation
2022-11-23 14:38:52.606552,,Eye Tracker,574.0,692.0,Valid,Valid,Fixation
2022-11-23 14:38:52.623207,,Eye Tracker,574.0,692.0,Valid,Valid,Fixation
2022-11-23 14:38:52.639861,,Eye Tracker,571.0,690.0,Valid,Valid,Fixation
2022-11-23 14:38:52.656516,,Eye Tracker,571.0,692.0,Valid,Valid,Fixation
2022-11-23 14:38:52.673171,,Eye Tracker,570.0,694.0,Valid,Valid,Fixation
2022-11-23 14:38:52.689825,,Eye Tracker,569.0,695.0,Valid,Valid,Fixation
2022-11-23 14:38:52.706480,,Eye Tracker,570.0,698.0,Valid,Valid,Fixation
2022-11-23 14:38:52.723135,,Eye Tracker,569.0,699.0,Valid,Valid,Fixation
2022-11-23 14:38:52.739791,,Eye Tracker,569.0,695.0,Valid,Valid,Fixation
2022-11-23 14:38:52.756445,,Eye Tracker,571.0,694.0,Valid,Valid,Fixation
2022-11-23 14:38:52.773100,,Eye Tracker,571.0,693.0,Valid,Valid,Fixation
2022-11-23 14:38:52.789755,,Eye Tracker,572.0,692.0,Valid,Valid,Fixation
2022-11-23 14:38:52.806409,,Eye Tracker,574.0,693.0,Valid,Valid,Fixation
2022-11-23 14:38:52.823064,,Eye Tracker,572.0,697.0,Valid,Valid,Fixation
2022-11-23 14:38:52.839719,,Eye Tracker,568.0,699.0,Valid,Valid,Fixation
2022-11-23 14:38:52.856373,,Eye Tracker,568.0,703.0,Valid,Valid,Fixation
2022-11-23 14:38:52.873029,,Eye Tracker,563.0,706.0,Valid,Valid,Fixation
2022-11-23 14:38:52.889684,,Eye Tracker,560.0,711.0,Valid,Valid,Fixation
2022-11-23 14:38:52.906338,,Eye Tracker,564.0,715.0,Valid,Valid,Fixation
2022-11-23 14:38:52.922993,,Eye Tracker,563.0,715.0,Valid,Valid,Fixation
2022-11-23 14:38:52.939648,,Eye Tracker,562.0,716.0,Valid,Valid,Fixation
