Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669181360.487748,,,,MouseEvent,"Down, Left"
1669181360.487748,Mouse,1607.0,700.0,,
1669181360.598696,Mouse,1607.0,700.0,,
1669181360.617667,Mouse,1605.0,700.0,,
1669181360.62769,Mouse,1602.0,700.0,,
1669181360.638638,Mouse,1598.0,700.0,,
1669181360.657706,Mouse,1586.0,701.0,,
1669181360.667711,Mouse,1579.0,701.0,,
1669181360.678646,Mouse,1568.0,704.0,,
1669181360.688671,Mouse,1556.0,706.0,,
1669181360.707669,Mouse,1533.0,708.0,,
1669181360.71866,Mouse,1520.0,710.0,,
1669181360.728782,Mouse,1501.0,714.0,,
1669181360.747647,Mouse,1466.0,718.0,,
1669181360.757932,Mouse,1450.0,721.0,,
1669181360.768766,Mouse,1434.0,722.0,,
1669181360.787681,Mouse,1409.0,724.0,,
1669181360.797815,Mouse,1400.0,724.0,,
1669181360.808683,Mouse,1394.0,724.0,,
1669181360.818749,Mouse,1391.0,724.0,,
1669181360.828841,Mouse,1390.0,724.0,,
1669181360.849638,Mouse,1388.0,724.0,,
1669181360.868946,Mouse,1387.0,724.0,,
1669181360.889774,Mouse,1381.0,723.0,,
1669181360.899922,Mouse,1374.0,721.0,,
1669181360.91879,Mouse,1359.0,717.0,,
1669181360.928897,Mouse,1349.0,716.0,,
1669181360.939816,Mouse,1342.0,714.0,,
1669181360.958684,Mouse,1330.0,711.0,,
1669181360.968805,Mouse,1323.0,708.0,,
1669181360.97965,Mouse,1318.0,707.0,,
1669181360.989686,Mouse,1309.0,704.0,,
1669181360.999761,Mouse,1300.0,702.0,,
1669181361.020707,Mouse,1281.0,698.0,,
1669181361.030923,Mouse,1270.0,694.0,,
1669181361.04965,Mouse,1247.0,689.0,,
1669181361.060648,Mouse,1238.0,686.0,,
1669181361.079643,Mouse,1217.0,684.0,,
1669181361.100674,Mouse,1200.0,682.0,,
1669181361.119687,Mouse,1187.0,679.0,,
1669181361.129739,Mouse,1183.0,679.0,,
1669181361.140517,Mouse,1178.0,678.0,,
1669181361.150955,Mouse,1172.0,676.0,,
1669181361.169646,Mouse,1164.0,674.0,,
1669181361.190939,Mouse,1152.0,670.0,,
1669181361.209653,Mouse,1139.0,665.0,,
1669181361.219931,Mouse,1134.0,665.0,,
1669181361.230763,Mouse,1128.0,663.0,,
1669181361.249659,Mouse,1121.0,659.0,,
1669181361.260037,Mouse,1119.0,658.0,,
1669181361.280755,Mouse,1115.0,654.0,,
1669181361.299758,Mouse,1108.0,649.0,,
1669181361.32065,Mouse,1100.0,643.0,,
1669181361.33077,Mouse,1096.0,640.0,,
1669181361.350931,Mouse,1087.0,635.0,,
1669181361.361761,Mouse,1081.0,630.0,,
1669181361.380684,Mouse,1071.0,623.0,,
1669181361.390727,Mouse,1064.0,620.0,,
1669181361.401637,Mouse,1058.0,615.0,,
1669181361.411638,Mouse,1051.0,610.0,,
1669181361.4307,Mouse,1040.0,602.0,,
1669181361.451927,Mouse,1027.0,593.0,,
1669181361.470621,Mouse,1013.0,585.0,,
1669181361.480754,Mouse,1006.0,583.0,,
1669181361.491631,Mouse,999.0,580.0,,
1669181361.501673,Mouse,995.0,577.0,,
1669181361.521733,Mouse,985.0,574.0,,
1669181361.532635,Mouse,983.0,572.0,,
1669181361.542635,Mouse,979.0,571.0,,
1669181361.561626,Mouse,972.0,568.0,,
1669181361.572635,Mouse,968.0,566.0,,
1669181361.582852,Mouse,961.0,565.0,,
1669181361.601669,Mouse,948.0,561.0,,
1669181361.612684,Mouse,940.0,557.0,,
1669181361.622742,Mouse,934.0,555.0,,
1669181361.64165,Mouse,918.0,548.0,,
1669181361.651918,Mouse,910.0,544.0,,
1669181361.662722,Mouse,901.0,541.0,,
1669181361.681672,Mouse,887.0,534.0,,
1669181361.691678,Mouse,879.0,529.0,,
1669181361.702643,Mouse,871.0,525.0,,
1669181361.712665,Mouse,863.0,521.0,,
1669181361.731635,Mouse,846.0,509.0,,
1669181361.742659,Mouse,837.0,503.0,,
1669181361.752935,Mouse,827.0,495.0,,
1669181361.771641,Mouse,805.0,480.0,,
1669181361.782906,Mouse,797.0,473.0,,
1669181361.801703,Mouse,783.0,461.0,,
1669181361.811717,Mouse,778.0,456.0,,
1669181361.821937,Mouse,774.0,452.0,,
1669181361.83265,Mouse,770.0,448.0,,
1669181361.842656,Mouse,769.0,444.0,,
1669181361.852753,Mouse,766.0,439.0,,
1669181361.873747,Mouse,762.0,431.0,,
1669181361.89263,Mouse,757.0,422.0,,
1669181361.902639,Mouse,754.0,417.0,,
1669181361.913724,Mouse,749.0,409.0,,
1669181361.923938,Mouse,744.0,400.0,,
1669181361.942797,Mouse,732.0,378.0,,
1669181361.953727,Mouse,726.0,368.0,,
1669181361.972653,Mouse,716.0,342.0,,
1669181361.982902,Mouse,711.0,331.0,,
1669181362.003669,Mouse,701.0,307.0,,
1669181362.013968,Mouse,696.0,296.0,,
1669181362.033682,Mouse,693.0,283.0,,
1669181362.044687,Mouse,692.0,279.0,,
1669181362.06368,Mouse,692.0,273.0,,
1669181362.08464,Mouse,691.0,268.0,,
1669181362.094697,Mouse,689.0,262.0,,
1669181362.114007,Mouse,689.0,252.0,,
1669181362.124618,Mouse,688.0,246.0,,
1669181362.134653,Mouse,687.0,239.0,,
1669181362.153613,Mouse,687.0,230.0,,
1669181362.163633,Mouse,687.0,227.0,,
1669181362.17466,Mouse,687.0,224.0,,
1669181362.193685,Mouse,687.0,220.0,,
1669181362.214936,Mouse,687.0,216.0,,
1669181362.233637,Mouse,688.0,212.0,,
1669181362.243959,Mouse,688.0,210.0,,
1669181362.254698,Mouse,688.0,208.0,,
1669181362.273712,Mouse,689.0,207.0,,
1669181362.283933,Mouse,689.0,206.0,,
1669181362.294692,Mouse,689.0,206.0,,
1669181362.313935,Mouse,689.0,204.0,,
1669181362.344837,Mouse,689.0,204.0,,
1669181362.364654,Mouse,690.0,203.0,,
1669181362.425908,Mouse,690.0,203.0,,
1669181362.454796,Mouse,691.0,202.0,,
1669181362.465918,Mouse,692.0,202.0,,
1669181362.665945,,,,MouseEvent,"Up, Left"
1669181362.665945,Mouse,692.0,202.0,,
1669181362.716025,,,,MouseEvent,"Down, Left"
1669181362.716025,Mouse,692.0,202.0,,
1669181362.776709,Mouse,693.0,202.0,,
1669181362.795929,Mouse,694.0,202.0,,
1669181362.806653,Mouse,695.0,202.0,,
1669181362.810303,,,,MouseEvent,"Up, Left"
1669181362.810303,Mouse,695.0,202.0,,
1669181362.825656,Mouse,695.0,202.0,,
1669181362.835784,Mouse,696.0,202.0,,
1669181362.845949,Mouse,696.0,202.0,,
1669181362.876708,Mouse,697.0,202.0,,
1669181362.907888,Mouse,697.0,202.0,,
1669181362.926654,Mouse,698.0,202.0,,
1669181362.937624,Mouse,698.0,202.0,,
1669181362.956641,Mouse,699.0,202.0,,
1669181363.087776,Mouse,700.0,201.0,,
1669181363.118946,Mouse,701.0,201.0,,
1669181363.20807,,,,MouseEvent,"Up, Left"
1669181363.20807,Mouse,701.0,201.0,,
1669181363.267945,Mouse,701.0,201.0,,
1669181363.308024,Mouse,701.0,201.0,,
1669181363.318698,Mouse,701.0,201.0,,
1669181363.337845,Mouse,701.0,203.0,,
1669181363.357612,Mouse,705.0,213.0,,
1669181363.368701,Mouse,709.0,221.0,,
1669181363.378755,Mouse,718.0,231.0,,
1669181363.398743,Mouse,797.0,262.0,,
1669181363.409753,Mouse,839.0,278.0,,
1669181363.42893,Mouse,911.0,314.0,,
1669181363.438936,Mouse,943.0,329.0,,
1669181363.449648,Mouse,968.0,342.0,,
1669181363.459754,Mouse,993.0,353.0,,
1669181363.478635,Mouse,1024.0,370.0,,
1669181363.489659,Mouse,1041.0,380.0,,
1669181363.499684,Mouse,1055.0,385.0,,
1669181363.518657,Mouse,1080.0,391.0,,
1669181363.539758,Mouse,1109.0,393.0,,
1669181363.559659,Mouse,1132.0,395.0,,
1669181363.569816,Mouse,1140.0,395.0,,
1669181363.580646,Mouse,1144.0,395.0,,
1669181363.590762,Mouse,1145.0,395.0,,
1669181363.62062,Mouse,1146.0,396.0,,
1669181363.63076,Mouse,1147.0,396.0,,
1669181363.649635,Mouse,1149.0,397.0,,
1669181363.689597,Mouse,1150.0,397.0,,
1669181363.710677,Mouse,1150.0,397.0,,
1669181363.729932,Mouse,1150.0,401.0,,
1669181363.750665,Mouse,1148.0,412.0,,
1669181363.760671,Mouse,1146.0,418.0,,
1669181363.779693,Mouse,1146.0,427.0,,
1669181363.790688,Mouse,1146.0,433.0,,
1669181363.800721,Mouse,1146.0,436.0,,
1669181363.819674,Mouse,1147.0,445.0,,
1669181363.830813,Mouse,1149.0,449.0,,
1669181363.840925,Mouse,1151.0,453.0,,
1669181363.859776,Mouse,1158.0,460.0,,
1669181363.880635,Mouse,1166.0,467.0,,
1669181363.89066,Mouse,1171.0,470.0,,
1669181363.900775,Mouse,1171.0,470.0,,
1669181364.081724,Mouse,1172.0,471.0,,
1669181364.092656,Mouse,1173.0,472.0,,
1669181364.102891,Mouse,1174.0,472.0,,
1669181364.121645,Mouse,1175.0,474.0,,
1669181364.132672,Mouse,1176.0,475.0,,
1669181364.151662,Mouse,1177.0,477.0,,
1669181364.161917,Mouse,1179.0,480.0,,
1669181364.172717,Mouse,1181.0,482.0,,
1669181364.182789,Mouse,1183.0,483.0,,
1669181364.201774,Mouse,1186.0,487.0,,
1669181364.212609,Mouse,1187.0,488.0,,
1669181364.222801,Mouse,1188.0,489.0,,
1669181364.462787,,,,MouseEvent,"Down, Left"
1669181364.462787,Mouse,1188.0,489.0,,
1669181364.553711,Mouse,1188.0,489.0,,
1669181364.563812,Mouse,1187.0,489.0,,
1669181364.583927,Mouse,1185.0,489.0,,
1669181364.594737,Mouse,1182.0,490.0,,
1669181364.614688,Mouse,1172.0,494.0,,
1669181364.633686,Mouse,1157.0,498.0,,
1669181364.644676,Mouse,1146.0,500.0,,
1669181364.654913,Mouse,1130.0,503.0,,
1669181364.673645,Mouse,1110.0,505.0,,
1669181364.684689,Mouse,1099.0,507.0,,
1669181364.703652,Mouse,1082.0,509.0,,
1669181364.713656,Mouse,1073.0,512.0,,
1669181364.724754,Mouse,1066.0,513.0,,
1669181364.743648,Mouse,1051.0,516.0,,
1669181364.753723,Mouse,1043.0,517.0,,
1669181364.763951,Mouse,1035.0,517.0,,
1669181364.774656,Mouse,1029.0,519.0,,
1669181364.784705,Mouse,1023.0,519.0,,
1669181364.803633,Mouse,1016.0,521.0,,
1669181364.814655,Mouse,1011.0,521.0,,
1669181364.824921,Mouse,1006.0,521.0,,
1669181364.843676,Mouse,993.0,521.0,,
1669181364.854755,Mouse,985.0,521.0,,
1669181364.873673,Mouse,971.0,522.0,,
1669181364.883815,Mouse,966.0,524.0,,
1669181364.894922,Mouse,959.0,525.0,,
1669181364.914927,Mouse,945.0,528.0,,
1669181364.934678,Mouse,934.0,531.0,,
1669181364.945668,Mouse,928.0,534.0,,
1669181364.955694,Mouse,924.0,536.0,,
1669181364.974763,Mouse,913.0,541.0,,
1669181364.985684,Mouse,905.0,545.0,,
1669181365.004673,Mouse,890.0,552.0,,
1669181365.014708,Mouse,884.0,555.0,,
1669181365.025932,Mouse,876.0,560.0,,
1669181365.044918,Mouse,864.0,567.0,,
1669181365.065662,Mouse,852.0,578.0,,
1669181365.075698,Mouse,847.0,582.0,,
1669181365.085934,Mouse,842.0,587.0,,
1669181365.095966,Mouse,839.0,590.0,,
1669181365.116645,Mouse,833.0,599.0,,
1669181365.135639,Mouse,829.0,608.0,,
1669181365.145689,Mouse,827.0,612.0,,
1669181365.156927,Mouse,824.0,617.0,,
1669181365.175941,Mouse,821.0,624.0,,
1669181365.196674,Mouse,817.0,634.0,,
1669181365.215682,Mouse,815.0,641.0,,
1669181365.225687,Mouse,814.0,647.0,,
1669181365.236644,Mouse,813.0,652.0,,
1669181365.246745,Mouse,812.0,655.0,,
1669181365.265642,Mouse,812.0,663.0,,
1669181365.27567,Mouse,810.0,667.0,,
1669181365.286667,Mouse,808.0,672.0,,
1669181365.296727,Mouse,808.0,676.0,,
1669181365.315752,Mouse,805.0,683.0,,
1669181365.326633,Mouse,804.0,686.0,,
1669181365.336684,Mouse,803.0,690.0,,
1669181365.355679,Mouse,802.0,693.0,,
1669181365.356094,,,,MouseEvent,"Up, Left"
1669181365.356094,Mouse,802.0,693.0,,
1669181365.366634,Mouse,801.0,694.0,,
1669181365.376695,Mouse,801.0,694.0,,
1669181365.395687,Mouse,800.0,695.0,,
1669181365.406659,Mouse,800.0,696.0,,
1669181365.416709,Mouse,800.0,697.0,,
1669181365.49769,Mouse,799.0,697.0,,
1669181365.557084,Mouse,798.0,697.0,,
1669181365.567061,,,,MouseEvent,"Up, Left"
1669181365.567061,Mouse,798.0,697.0,,
1669181365.567698,Mouse,798.0,697.0,,
1669181365.577744,Mouse,798.0,696.0,,
1669181365.587749,Mouse,798.0,694.0,,
1669181365.607668,Mouse,798.0,688.0,,
1669181365.617929,Mouse,798.0,685.0,,
1669181365.62866,Mouse,798.0,684.0,,
1669181365.647796,Mouse,798.0,682.0,,
1669181365.668668,Mouse,800.0,677.0,,
1669181365.687637,Mouse,804.0,672.0,,
1669181365.708647,Mouse,816.0,664.0,,
1669181365.718762,Mouse,825.0,657.0,,
1669181365.737653,Mouse,863.0,637.0,,
1669181365.748731,Mouse,891.0,619.0,,
1669181365.767681,Mouse,936.0,590.0,,
1669181365.787748,Mouse,963.0,577.0,,
1669181365.798647,Mouse,980.0,569.0,,
1669181365.808925,Mouse,991.0,565.0,,
1669181365.82766,Mouse,1011.0,554.0,,
1669181365.838724,Mouse,1028.0,548.0,,
1669181365.848751,Mouse,1039.0,543.0,,
1669181365.867656,Mouse,1057.0,533.0,,
1669181365.87867,Mouse,1066.0,529.0,,
1669181365.888857,Mouse,1075.0,528.0,,
1669181365.907932,Mouse,1084.0,527.0,,
1669181365.918725,Mouse,1087.0,525.0,,
1669181365.938686,Mouse,1100.0,521.0,,
1669181365.94893,Mouse,1109.0,519.0,,
1669181365.959694,Mouse,1119.0,516.0,,
1669181365.969787,Mouse,1135.0,511.0,,
1669181365.979814,Mouse,1156.0,500.0,,
1669181365.998648,Mouse,1184.0,487.0,,
1669181366.009681,Mouse,1194.0,480.0,,
1669181366.019708,Mouse,1199.0,476.0,,
