Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-23 14:30:43.743821,,Eye Tracker,1698.0,914.0,Valid,Valid,Fixation
2022-11-23 14:30:43.760476,,Eye Tracker,1698.0,910.0,Valid,Valid,Fixation
2022-11-23 14:30:43.777130,,Eye Tracker,1690.0,911.0,Valid,Valid,Fixation
2022-11-23 14:30:43.793786,,Eye Tracker,1691.0,913.0,Valid,Valid,Fixation
2022-11-23 14:30:43.810441,,Eye Tracker,1696.0,908.0,Valid,Valid,Fixation
2022-11-23 14:30:43.827095,,Eye Tracker,1695.0,906.0,Valid,Valid,Fixation
2022-11-23 14:30:43.843750,,Eye Tracker,1689.0,911.0,Valid,Valid,Fixation
2022-11-23 14:30:43.860405,,Eye Tracker,1688.0,907.0,Valid,Valid,Fixation
2022-11-23 14:30:43.877060,,Eye Tracker,1690.0,904.0,Valid,Valid,Fixation
2022-11-23 14:30:43.893715,,Eye Tracker,1691.0,906.0,Valid,Valid,Fixation
2022-11-23 14:30:43.910370,,Eye Tracker,1676.0,897.0,Valid,Valid,Fixation
2022-11-23 14:30:43.927026,,Eye Tracker,1656.0,891.0,Valid,Valid,Fixation
2022-11-23 14:30:43.943680,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-11-23 14:30:43.960335,,Eye Tracker,1151.0,674.0,Valid,Valid,Fixation
2022-11-23 14:30:43.976990,,Eye Tracker,1158.0,673.0,Valid,Valid,Fixation
2022-11-23 14:30:43.993644,,Eye Tracker,1154.0,668.0,Valid,Valid,Fixation
2022-11-23 14:30:44.010299,,Eye Tracker,1152.0,671.0,Valid,Valid,Fixation
2022-11-23 14:30:44.026955,,Eye Tracker,1150.0,671.0,Valid,Valid,Fixation
2022-11-23 14:30:44.043609,,Eye Tracker,1153.0,673.0,Valid,Valid,Fixation
2022-11-23 14:30:44.060264,,Eye Tracker,1158.0,670.0,Valid,Valid,Fixation
2022-11-23 14:30:44.076920,,Eye Tracker,1153.0,669.0,Valid,Valid,Fixation
2022-11-23 14:30:44.093574,,Eye Tracker,1150.0,665.0,Valid,Valid,Fixation
2022-11-23 14:30:44.110229,,Eye Tracker,1156.0,671.0,Valid,Valid,Fixation
2022-11-23 14:30:44.126884,,Eye Tracker,1158.0,674.0,Valid,Valid,Fixation
2022-11-23 14:30:44.143538,,Eye Tracker,1156.0,664.0,Valid,Valid,Fixation
