Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669354925.365574,,Eye Tracker,-17.0,999.0,Valid,Valid,Fixation
1669354925.382229,,Eye Tracker,-17.0,998.0,Valid,Valid,Fixation
1669354925.398884,,Eye Tracker,-13.0,1002.0,Valid,Valid,Fixation
1669354925.415539,,Eye Tracker,-12.0,1002.0,Valid,Valid,Fixation
1669354925.432194,,Eye Tracker,-10.0,1002.0,Valid,Valid,Fixation
1669354925.448848,,Eye Tracker,-8.0,1002.0,Valid,Valid,Fixation
1669354925.465503,,Eye Tracker,-9.0,1000.0,Valid,Valid,Fixation
1669354925.482158,,Eye Tracker,-8.0,995.0,Valid,Valid,Fixation
1669354925.498813,,Eye Tracker,-6.0,994.0,Valid,Valid,Fixation
1669354925.515467,,Eye Tracker,-4.0,993.0,Valid,Valid,Fixation
1669354925.532122,,Eye Tracker,-7.0,995.0,Valid,Valid,Fixation
1669354925.548778,,Eye Tracker,-8.0,998.0,Valid,Valid,Fixation
1669354925.565432,,Eye Tracker,-6.0,996.0,Valid,Valid,Fixation
1669354925.582087,,Eye Tracker,1.0,997.0,Valid,Valid,Fixation
1669354925.598742,,Eye Tracker,-1.0,995.0,Valid,Valid,Fixation
1669354925.615396,,Eye Tracker,-2.0,995.0,Valid,Valid,Fixation
1669354925.632051,,Eye Tracker,1.0,994.0,Valid,Valid,Fixation
1669354925.648706,,Eye Tracker,0.0,991.0,Valid,Valid,Fixation
1669354925.66536,,Eye Tracker,1.0,995.0,Valid,Valid,Fixation
1669354925.682015,,Eye Tracker,5.0,995.0,Valid,Valid,Fixation
1669354925.698671,,Eye Tracker,5.0,993.0,Valid,Valid,Fixation
1669354925.715325,,Eye Tracker,4.0,997.0,Valid,Valid,Fixation
1669354925.731979,,Eye Tracker,7.0,1001.0,Valid,Valid,Fixation
1669354925.748634,,Eye Tracker,10.0,1002.0,Valid,Valid,Fixation
1669354925.765289,,Eye Tracker,11.0,999.0,Valid,Valid,Fixation
1669354925.781943,,Eye Tracker,11.0,998.0,Valid,Valid,Fixation
1669354925.798598,,Eye Tracker,12.0,1000.0,Valid,Valid,Fixation
1669354925.815253,,Eye Tracker,13.0,997.0,Valid,Valid,Fixation
1669354925.831908,,Eye Tracker,13.0,1000.0,Valid,Valid,Fixation
1669354925.848563,,Eye Tracker,16.0,1002.0,Valid,Valid,Fixation
1669354925.865218,,Eye Tracker,18.0,998.0,Valid,Valid,Fixation
1669354925.881872,,Eye Tracker,21.0,1000.0,Valid,Valid,Fixation
1669354925.898527,,Eye Tracker,23.0,1004.0,Valid,Valid,Fixation
1669354925.915182,,Eye Tracker,20.0,1000.0,Valid,Valid,Fixation
1669354925.931836,,Eye Tracker,19.0,1000.0,Valid,Valid,Fixation
1669354925.948491,,Eye Tracker,20.0,998.0,Valid,Valid,Fixation
1669354925.965146,,Eye Tracker,21.0,997.0,Valid,Valid,Fixation
1669354925.981801,,Eye Tracker,26.0,998.0,Valid,Valid,Fixation
1669354925.998456,,Eye Tracker,26.0,1001.0,Valid,Valid,Fixation
1669354926.015111,,Eye Tracker,26.0,1004.0,Valid,Valid,Fixation
1669354926.031766,,Eye Tracker,28.0,1002.0,Valid,Valid,Fixation
1669354926.04842,,Eye Tracker,29.0,1000.0,Valid,Valid,Fixation
1669354926.065075,,Eye Tracker,29.0,1002.0,Valid,Valid,Fixation
1669354926.08173,,Eye Tracker,29.0,1004.0,Valid,Valid,Fixation
1669354926.098384,,Eye Tracker,35.0,1005.0,Valid,Valid,Fixation
1669354926.115039,,Eye Tracker,40.0,1008.0,Valid,Valid,Fixation
1669354926.131695,,Eye Tracker,47.0,1007.0,Valid,Valid,Fixation
1669354926.148349,,Eye Tracker,55.0,1008.0,Valid,Valid,Fixation
1669354926.165004,,Eye Tracker,56.0,1005.0,Valid,Valid,Fixation
1669354926.181659,,Eye Tracker,59.0,1006.0,Valid,Valid,Fixation
1669354926.198313,,Eye Tracker,59.0,1010.0,Valid,Valid,Fixation
1669354926.214968,,Eye Tracker,61.0,1006.0,Valid,Valid,Fixation
1669354926.231623,,Eye Tracker,63.0,1003.0,Valid,Valid,Fixation
1669354926.248277,,Eye Tracker,59.0,1007.0,Valid,Valid,Fixation
1669354926.264932,,Eye Tracker,61.0,1008.0,Valid,Valid,Fixation
1669354926.281588,,Eye Tracker,61.0,1004.0,Valid,Valid,Fixation
1669354926.298243,,Eye Tracker,61.0,1003.0,Valid,Valid,Fixation
1669354926.314897,,Eye Tracker,64.0,1004.0,Valid,Valid,Fixation
1669354926.331552,,Eye Tracker,66.0,1006.0,Valid,Valid,Fixation
1669354926.348207,,Eye Tracker,65.0,1008.0,Valid,Valid,Fixation
1669354926.364861,,Eye Tracker,63.0,1005.0,Valid,Valid,Fixation
1669354926.381516,,Eye Tracker,66.0,1006.0,Valid,Valid,Fixation
1669354926.398171,,Eye Tracker,71.0,1006.0,Valid,Valid,Fixation
1669354926.414825,,Eye Tracker,73.0,1005.0,Valid,Valid,Fixation
1669354926.431481,,Eye Tracker,73.0,1003.0,Valid,Valid,Fixation
1669354926.448136,,Eye Tracker,74.0,1001.0,Valid,Valid,Fixation
1669354926.46479,,Eye Tracker,76.0,1004.0,Valid,Valid,Fixation
1669354926.481445,,Eye Tracker,79.0,1005.0,Valid,Valid,Fixation
1669354926.4981,,Eye Tracker,75.0,1005.0,Valid,Valid,Fixation
1669354926.514754,,Eye Tracker,76.0,1005.0,Valid,Valid,Fixation
1669354926.531409,,Eye Tracker,79.0,1001.0,Valid,Valid,Fixation
1669354926.548064,,Eye Tracker,79.0,1000.0,Valid,Valid,Fixation
1669354926.56472,,Eye Tracker,79.0,1002.0,Valid,Valid,Fixation
1669354926.581374,,Eye Tracker,80.0,1002.0,Valid,Valid,Fixation
1669354926.598029,,Eye Tracker,82.0,1003.0,Valid,Valid,Fixation
1669354926.614684,,Eye Tracker,83.0,1001.0,Valid,Valid,Fixation
1669354926.631338,,Eye Tracker,84.0,1004.0,Valid,Valid,Fixation
1669354926.647993,,Eye Tracker,84.0,1003.0,Valid,Valid,Fixation
1669354926.664648,,Eye Tracker,105.0,992.0,Valid,Valid,Saccade
1669354926.681302,,Eye Tracker,156.0,975.0,Valid,Valid,Saccade
1669354926.697957,,Eye Tracker,170.0,972.0,Valid,Valid,Fixation
1669354926.714613,,Eye Tracker,172.0,976.0,Valid,Valid,Fixation
1669354926.731267,,Eye Tracker,171.0,977.0,Valid,Valid,Fixation
1669354926.747922,,Eye Tracker,171.0,980.0,Valid,Valid,Fixation
1669354926.764577,,Eye Tracker,173.0,979.0,Valid,Valid,Fixation
1669354926.781231,,Eye Tracker,172.0,978.0,Valid,Valid,Fixation
1669354926.797886,,Eye Tracker,168.0,980.0,Valid,Valid,Fixation
1669354926.814541,,Eye Tracker,169.0,982.0,Valid,Valid,Fixation
1669354926.831196,,Eye Tracker,173.0,979.0,Valid,Valid,Fixation
1669354926.84785,,Eye Tracker,174.0,979.0,Valid,Valid,Fixation
1669354926.864506,,Eye Tracker,173.0,982.0,Valid,Valid,Fixation
1669354926.881161,,Eye Tracker,159.0,988.0,Valid,Valid,Fixation
1669354926.897815,,Eye Tracker,139.0,1002.0,Valid,Valid,Saccade
1669354926.91447,,Eye Tracker,113.0,1014.0,Valid,Valid,Saccade
1669354926.931125,,Eye Tracker,109.0,1015.0,Valid,Valid,Fixation
