Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669356666.168393,MouseEvent,,1896.3333333333333,1030.0,,,Fixation,,,MouseEvent,"Down, Left"
1669356666.168393,,Mouse,1895.6666666666667,1030.0,,,Fixation,1884.0,1018.0,,
1669356666.171315,,Eye Tracker,1895.0,1030.0,Valid,Valid,Fixation,,,,
1669356666.1879709,,Eye Tracker,1905.0,1031.0,Valid,Valid,Fixation,,,,
1669356666.204626,,Eye Tracker,1912.0,1029.0,Valid,Valid,Fixation,,,,
1669356666.221281,,Eye Tracker,1893.0,1029.0,Valid,Valid,Fixation,,,,
1669356666.237935,,Eye Tracker,1888.0,1030.0,Valid,Valid,Fixation,,,,
1669356666.25459,,Eye Tracker,1886.0,1027.0,Valid,Valid,Fixation,,,,
1669356666.271245,,Eye Tracker,1885.0,1026.0,Valid,Valid,Fixation,,,,
1669356666.287899,,Eye Tracker,1886.0,1028.0,Valid,Valid,Fixation,,,,
1669356666.304554,,Eye Tracker,1883.0,1031.0,Valid,Valid,Fixation,,,,
1669356666.32121,,Eye Tracker,1886.0,1032.0,Valid,Valid,Fixation,,,,
1669356666.337864,,Eye Tracker,1887.0,1030.0,Valid,Valid,Fixation,,,,
1669356666.354519,,Eye Tracker,1890.0,1032.0,Valid,Valid,Fixation,,,,
1669356666.3711739,,Eye Tracker,1889.0,1031.0,Valid,Valid,Fixation,,,,
1669356666.3878279,,Eye Tracker,1886.0,1026.0,Valid,Valid,Fixation,,,,
1669356666.404483,,Eye Tracker,1884.0,1027.0,Valid,Valid,Fixation,,,,
1669356666.421138,,Eye Tracker,1888.0,1032.0,Valid,Valid,Fixation,,,,
1669356666.437792,,Eye Tracker,1887.0,1029.0,Valid,Valid,Fixation,,,,
1669356666.448277,,Mouse,1885.5,1029.5,,,Fixation,1884.0,1019.0,,
1669356666.454447,,Eye Tracker,1884.0,1030.0,Valid,Valid,Fixation,,,,
1669356666.46929,,Mouse,1885.0,1031.5,,,Fixation,1884.0,1019.0,,
1669356666.471103,,Eye Tracker,1886.0,1033.0,Valid,Valid,Fixation,,,,
1669356666.487758,,Eye Tracker,1891.0,1033.0,Valid,Valid,Fixation,,,,
1669356666.49928,,Mouse,1890.0,1032.0,,,Fixation,1884.0,1019.0,,
1669356666.504412,,Eye Tracker,1889.0,1031.0,Valid,Valid,Fixation,,,,
1669356666.521067,,Eye Tracker,1883.0,1027.0,Valid,Valid,Fixation,,,,
1669356666.5377219,,Eye Tracker,1885.0,1024.0,Valid,Valid,Fixation,,,,
1669356666.554376,,Eye Tracker,1883.0,1028.0,Valid,Valid,Fixation,,,,
1669356666.571031,,Eye Tracker,1886.0,1030.0,Valid,Valid,Fixation,,,,
1669356666.587686,,Eye Tracker,1887.0,1026.0,Valid,Valid,Fixation,,,,
1669356666.60434,,Eye Tracker,1883.0,1023.0,Valid,Valid,Fixation,,,,
1669356666.620995,,Eye Tracker,1887.0,1025.0,Valid,Valid,Fixation,,,,
1669356666.630293,,Mouse,1886.5,1027.0,,,Fixation,1883.0,1019.0,,
1669356666.637651,,Eye Tracker,1886.0,1029.0,Valid,Valid,Fixation,,,,
1669356666.654305,,Eye Tracker,1879.0,1028.0,Valid,Valid,Fixation,,,,
1669356666.659277,,Mouse,1879.0,1027.3333333333333,,,Fixation,1883.0,1019.0,,
1669356666.670282,,Mouse,1879.0,1026.6666666666667,,,Fixation,1883.0,1019.0,,
1669356666.67096,,Eye Tracker,1879.0,1026.0,Valid,Valid,Fixation,,,,
1669356666.687615,,Eye Tracker,1882.0,1029.0,Valid,Valid,Fixation,,,,
1669356666.704269,,Eye Tracker,1880.0,1032.0,Valid,Valid,Fixation,,,,
1669356666.710293,,Mouse,1884.0,1030.0,,,Fixation,1882.0,1019.0,,
1669356666.720924,,Eye Tracker,1888.0,1028.0,Valid,Valid,Fixation,,,,
