Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669358528.481763,,Eye Tracker,1320.0,314.0,Invalid,Valid,Saccade
1669358528.498417,,Eye Tracker,1301.0,259.0,Valid,Valid,Saccade
1669358528.515072,,Eye Tracker,1305.0,246.0,Valid,Valid,Fixation
1669358528.531727,,Eye Tracker,1305.0,249.0,Valid,Valid,Fixation
1669358528.548381,,Eye Tracker,1300.0,247.0,Valid,Valid,Fixation
1669358528.565036,,Eye Tracker,1298.0,242.0,Valid,Valid,Fixation
1669358528.581691,,Eye Tracker,1305.0,242.0,Valid,Valid,Fixation
1669358528.598345,,Eye Tracker,1305.0,245.0,Valid,Valid,Fixation
1669358528.615,,Eye Tracker,1307.0,247.0,Valid,Valid,Fixation
1669358528.631655,,Eye Tracker,1310.0,248.0,Valid,Valid,Fixation
1669358528.648309,,Eye Tracker,1311.0,260.0,Valid,Valid,Fixation
1669358528.664964,,Eye Tracker,1306.0,268.0,Valid,Valid,Fixation
1669358528.681619,,Eye Tracker,1297.0,265.0,Valid,Valid,Fixation
1669358528.698273,,Eye Tracker,1296.0,266.0,Valid,Valid,Fixation
1669358528.714928,,Eye Tracker,1293.0,268.0,Valid,Valid,Fixation
1669358528.731583,,Eye Tracker,1295.0,270.0,Valid,Valid,Fixation
1669358528.748238,,Eye Tracker,1300.0,278.0,Valid,Valid,Fixation
1669358528.764893,,Eye Tracker,1301.0,281.0,Valid,Valid,Fixation
1669358528.781548,,Eye Tracker,1302.0,291.0,Valid,Valid,Fixation
1669358528.798203,,Eye Tracker,1300.0,295.0,Valid,Valid,Fixation
1669358528.814857,,Eye Tracker,1296.0,289.0,Valid,Valid,Fixation
1669358528.831512,,Eye Tracker,1296.0,290.0,Valid,Valid,Fixation
1669358528.848167,,Eye Tracker,1292.0,294.0,Valid,Valid,Fixation
1669358528.864821,,Eye Tracker,1292.0,298.0,Valid,Valid,Fixation
1669358528.881476,,Eye Tracker,1290.0,293.0,Valid,Valid,Fixation
1669358528.898131,,Eye Tracker,1290.0,294.0,Valid,Valid,Fixation
1669358528.914785,,Eye Tracker,1313.0,302.0,Valid,Valid,Saccade
1669358528.93144,,Eye Tracker,1383.0,288.0,Valid,Valid,Saccade
1669358528.948095,,Eye Tracker,1423.0,288.0,Valid,Valid,Saccade
1669358528.964749,,Eye Tracker,1419.0,288.0,Valid,Valid,Fixation
1669358528.981404,,Eye Tracker,1424.0,282.0,Valid,Valid,Fixation
1669358528.998059,,Eye Tracker,1428.0,276.0,Valid,Valid,Fixation
1669358529.014714,,Eye Tracker,1432.0,269.0,Valid,Valid,Fixation
1669358529.031368,,Eye Tracker,1439.0,260.0,Valid,Valid,Fixation
