Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669359000.284283,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669359000.300937,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669359000.317593,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669359000.334248,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669359000.350902,,Eye Tracker,1277.0,948.0,Invalid,Valid,Saccade
1669359000.367557,,Eye Tracker,1420.0,980.0,Valid,Valid,Saccade
1669359000.384212,,Eye Tracker,1468.0,816.0,Valid,Valid,Saccade
1669359000.400866,,Eye Tracker,1445.0,643.0,Valid,Valid,Saccade
1669359000.417521,,Eye Tracker,1438.0,640.0,Valid,Valid,Unclassified
1669359000.434176,,Eye Tracker,1360.0,622.0,Valid,Valid,Saccade
1669359000.45083,,Eye Tracker,1365.0,622.0,Valid,Valid,Fixation
1669359000.467486,,Eye Tracker,1361.0,621.0,Valid,Valid,Fixation
1669359000.484141,,Eye Tracker,1362.0,619.0,Valid,Valid,Fixation
1669359000.500796,,Eye Tracker,1362.0,620.0,Valid,Valid,Fixation
1669359000.51745,,Eye Tracker,1363.0,622.0,Valid,Valid,Fixation
1669359000.534105,,Eye Tracker,1365.0,619.0,Valid,Valid,Fixation
1669359000.55076,,Eye Tracker,1365.0,616.0,Valid,Valid,Fixation
1669359000.567414,,Eye Tracker,1363.0,618.0,Valid,Valid,Fixation
1669359000.584069,,Eye Tracker,1359.0,619.0,Valid,Valid,Fixation
1669359000.600725,,Eye Tracker,1360.0,618.0,Valid,Valid,Fixation
1669359000.617379,,Eye Tracker,1359.0,617.0,Valid,Valid,Fixation
1669359000.634034,,Eye Tracker,1356.0,617.0,Valid,Valid,Fixation
1669359000.650689,,Eye Tracker,1356.0,618.0,Valid,Valid,Fixation
1669359000.667343,,Eye Tracker,1358.0,610.0,Valid,Valid,Fixation
1669359000.683998,,Eye Tracker,1361.0,607.0,Valid,Valid,Fixation
1669359000.700653,,Eye Tracker,1368.0,610.0,Valid,Valid,Fixation
1669359000.717307,,Eye Tracker,1367.0,612.0,Valid,Valid,Fixation
1669359000.733963,,Eye Tracker,1358.0,611.0,Valid,Valid,Fixation
1669359000.750618,,Eye Tracker,1358.0,609.0,Valid,Valid,Fixation
1669359000.767273,,Eye Tracker,1362.0,611.0,Valid,Valid,Fixation
1669359000.783926,,Eye Tracker,1362.0,612.0,Valid,Valid,Fixation
1669359000.800581,,Eye Tracker,1366.0,610.0,Valid,Valid,Fixation
1669359000.817236,,Eye Tracker,1367.0,609.0,Valid,Valid,Fixation
1669359000.83389,,Eye Tracker,1362.0,609.0,Valid,Valid,Fixation
1669359000.850546,,Eye Tracker,1364.0,609.0,Valid,Valid,Fixation
1669359000.867201,,Eye Tracker,1367.0,611.0,Valid,Valid,Fixation
1669359000.883855,,Eye Tracker,1371.0,608.0,Valid,Valid,Fixation
