Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669359150.887897,MouseEvent,,1231.3333333333333,576.0,,,Fixation,,,MouseEvent,"Down, Left"
1669359150.887897,,Mouse,1231.6666666666667,577.0,,,Fixation,1601.0,701.0,,
1669359150.901661,,Eye Tracker,1232.0,578.0,Valid,Valid,Fixation,,,,
1669359150.918315,,Eye Tracker,1229.0,579.0,Valid,Valid,Fixation,,,,
1669359150.93497,,Eye Tracker,1229.0,576.0,Valid,Valid,Fixation,,,,
1669359150.9516249,,Eye Tracker,1227.0,574.0,Valid,Valid,Fixation,,,,
1669359150.968281,,Eye Tracker,1228.0,574.0,Valid,Valid,Fixation,,,,
1669359150.977714,,Mouse,1228.5,573.5,,,Fixation,1601.0,701.0,,
1669359150.984935,,Eye Tracker,1229.0,573.0,Valid,Valid,Fixation,,,,
1669359151.00159,,Eye Tracker,1228.0,571.0,Valid,Valid,Fixation,,,,
1669359151.018245,,Eye Tracker,1230.0,568.0,Valid,Valid,Fixation,,,,
1669359151.034899,,Eye Tracker,1232.0,571.0,Valid,Valid,Fixation,,,,
1669359151.051554,,Eye Tracker,1233.0,574.0,Valid,Valid,Fixation,,,,
1669359151.068209,,Eye Tracker,1233.0,575.0,Valid,Valid,Fixation,,,,
1669359151.0787148,,Mouse,1234.0,575.5,,,Fixation,1601.0,701.0,,
1669359151.084863,,Eye Tracker,1235.0,576.0,Valid,Valid,Fixation,,,,
1669359151.098695,,Mouse,1235.5,576.0,,,Fixation,1601.0,701.0,,
1669359151.1015189,,Eye Tracker,1236.0,576.0,Valid,Valid,Fixation,,,,
1669359151.1086988,,Mouse,1236.5,575.5,,,Fixation,1598.0,701.0,,
1669359151.1181738,,Eye Tracker,1237.0,575.0,Valid,Valid,Fixation,,,,
1669359151.118767,,Mouse,1235.3333333333333,574.6666666666666,,,Fixation,1596.0,700.0,,
1669359151.129752,,Mouse,1233.6666666666667,574.3333333333334,,,Fixation,1593.0,699.0,,
1669359151.1348279,,Eye Tracker,1232.0,574.0,Valid,Valid,Fixation,,,,
1669359151.1487079,,Mouse,1232.5,575.0,,,Fixation,1588.0,696.0,,
1669359151.151483,,Eye Tracker,1233.0,576.0,Valid,Valid,Fixation,,,,
1669359151.168138,,Eye Tracker,1235.0,574.0,Valid,Valid,Fixation,,,,
1669359151.169627,,Mouse,1234.3333333333333,575.0,,,Fixation,1583.0,694.0,,
1669359151.179693,,Mouse,1233.6666666666667,576.0,,,Fixation,1581.0,693.0,,
1669359151.184792,,Eye Tracker,1233.0,577.0,Valid,Valid,Fixation,,,,
1669359151.189708,,Mouse,1232.6666666666667,578.0,,,Fixation,1580.0,691.0,,
1669359151.19976,,Mouse,1232.3333333333333,579.0,,,Fixation,1579.0,690.0,,
1669359151.201447,,Eye Tracker,1232.0,580.0,Valid,Valid,Fixation,,,,
1669359151.218102,,Eye Tracker,1230.0,578.0,Valid,Valid,Fixation,,,,
1669359151.220712,,Mouse,1230.5,578.5,,,Fixation,1575.0,686.0,,
1669359151.234758,,Eye Tracker,1231.0,579.0,Valid,Valid,Fixation,,,,
1669359151.239701,,Mouse,1230.6666666666667,578.3333333333334,,,Fixation,1567.0,679.0,,
1669359151.249716,,Mouse,1230.3333333333333,577.6666666666666,,,Fixation,1564.0,676.0,,
1669359151.251411,,Eye Tracker,1230.0,577.0,Valid,Valid,Fixation,,,,
1669359151.2606509,,Mouse,1229.5,578.5,,,Fixation,1558.0,672.0,,
1669359151.268066,,Eye Tracker,1229.0,580.0,Valid,Valid,Fixation,,,,
1669359151.279692,,Mouse,1227.5,581.0,,,Fixation,1555.0,671.0,,
1669359151.284721,,Eye Tracker,1226.0,582.0,Valid,Valid,Fixation,,,,
1669359151.289711,,Mouse,1225.6666666666667,581.3333333333334,,,Fixation,1555.0,670.0,,
1669359151.300699,,Mouse,1225.3333333333333,580.6666666666666,,,Fixation,1554.0,670.0,,
1669359151.301375,,Eye Tracker,1225.0,580.0,Valid,Valid,Fixation,,,,
1669359151.3180299,,Eye Tracker,1222.0,580.0,Valid,Valid,Fixation,,,,
1669359151.3346848,,Eye Tracker,1221.0,582.0,Valid,Valid,Fixation,,,,
1669359151.349705,,Mouse,1220.0,580.5,,,Fixation,1554.0,670.0,,
1669359151.35134,,Eye Tracker,1219.0,579.0,Valid,Valid,Fixation,,,,
1669359151.367995,,Eye Tracker,1219.0,577.0,Valid,Valid,Fixation,,,,
1669359151.379704,,Mouse,1219.0,578.5,,,Fixation,1553.0,670.0,,
1669359151.38465,,Eye Tracker,1219.0,580.0,Valid,Valid,Fixation,,,,
1669359151.401304,,Eye Tracker,1220.0,583.0,Valid,Valid,Fixation,,,,
1669359151.417959,,Eye Tracker,1220.0,583.0,Valid,Valid,Fixation,,,,
1669359151.434614,,Eye Tracker,1223.0,580.0,Valid,Valid,Fixation,,,,
1669359151.451268,,Eye Tracker,1220.0,585.0,Valid,Valid,Fixation,,,,
1669359151.467923,,Eye Tracker,1217.0,583.0,Valid,Valid,Fixation,,,,
1669359151.4845788,,Eye Tracker,1215.0,582.0,Valid,Valid,Fixation,,,,
1669359151.489734,,Mouse,1215.5,582.0,,,Fixation,1553.0,670.0,,
1669359151.501234,,Eye Tracker,1216.0,582.0,Valid,Valid,Fixation,,,,
1669359151.5106928,,Mouse,1216.5,579.5,,,Fixation,1551.0,670.0,,
1669359151.517888,,Eye Tracker,1217.0,577.0,Valid,Valid,Fixation,,,,
1669359151.52073,,Mouse,1216.6666666666667,577.3333333333334,,,Fixation,1548.0,670.0,,
1669359151.530773,,Mouse,1216.3333333333333,577.6666666666666,,,Fixation,1545.0,669.0,,
1669359151.534543,,Eye Tracker,1216.0,578.0,Valid,Valid,Fixation,,,,
1669359151.551198,,Eye Tracker,1215.0,581.0,Valid,Valid,Fixation,,,,
1669359151.551668,,Mouse,1216.0,581.3333333333334,,,Fixation,1535.0,668.0,,
1669359151.561696,,Mouse,1217.0,581.6666666666666,,,Fixation,1529.0,667.0,,
1669359151.567852,,Eye Tracker,1218.0,582.0,Valid,Valid,Fixation,,,,
1669359151.580711,,Mouse,1219.0,579.0,,,Fixation,1518.0,666.0,,
1669359151.584507,,Eye Tracker,1220.0,576.0,Valid,Valid,Fixation,,,,
1669359151.601162,,Eye Tracker,1220.0,576.0,Valid,Valid,Fixation,,,,
1669359151.601708,,Mouse,1219.0,575.5,,,Fixation,1507.0,664.0,,
1669359151.617816,,Eye Tracker,1218.0,575.0,Valid,Valid,Fixation,,,,
1669359151.620707,,Mouse,1217.0,574.5,,,Fixation,1497.0,663.0,,
1669359151.634471,,Eye Tracker,1216.0,574.0,Valid,Valid,Fixation,,,,
1669359151.641692,,Mouse,1216.0,575.0,,,Fixation,1486.0,662.0,,
1669359151.6511269,,Eye Tracker,1216.0,576.0,Valid,Valid,Fixation,,,,
1669359151.660691,,Mouse,1216.5,574.0,,,Fixation,1481.0,661.0,,
1669359151.6677809,,Eye Tracker,1217.0,572.0,Valid,Valid,Fixation,,,,
1669359151.6706998,,Mouse,1218.3333333333333,571.0,,,Fixation,1479.0,661.0,,
1669359151.68172,,Mouse,1219.6666666666667,570.0,,,Fixation,1476.0,661.0,,
1669359151.6844358,,Eye Tracker,1221.0,569.0,Valid,Valid,Fixation,,,,
1669359151.701091,,Eye Tracker,1221.0,571.0,Valid,Valid,Fixation,,,,
1669359151.701715,,Mouse,1221.0,571.5,,,Fixation,1473.0,661.0,,
