Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669359288.922005,,,,MouseEvent,"Down, Left"
1669359288.922005,Mouse,1805.0,889.0,,
1669359289.001852,Mouse,1804.0,889.0,,
1669359289.081836,Mouse,1804.0,889.0,,
1669359289.101807,Mouse,1802.0,888.0,,
1669359289.121856,Mouse,1800.0,885.0,,
1669359289.132798,Mouse,1798.0,883.0,,
1669359289.142835,Mouse,1798.0,882.0,,
1669359289.162853,Mouse,1797.0,881.0,,
1669359289.212849,Mouse,1796.0,880.0,,
1669359289.232796,Mouse,1796.0,880.0,,
1669359289.242814,Mouse,1795.0,879.0,,
1669359289.26282,Mouse,1792.0,876.0,,
1669359289.282792,Mouse,1786.0,870.0,,
1669359289.292806,Mouse,1783.0,867.0,,
1669359289.303815,Mouse,1780.0,864.0,,
1669359289.323775,Mouse,1774.0,858.0,,
1669359289.333786,Mouse,1771.0,855.0,,
1669359289.343819,Mouse,1768.0,852.0,,
1669359289.363813,Mouse,1762.0,846.0,,
1669359289.383786,Mouse,1758.0,842.0,,
1669359289.393796,Mouse,1756.0,841.0,,
1669359289.413807,Mouse,1754.0,838.0,,
1669359289.43381,Mouse,1753.0,837.0,,
1669359289.453748,Mouse,1752.0,836.0,,
1669359289.473826,Mouse,1751.0,836.0,,
1669359289.543836,Mouse,1750.0,835.0,,
1669359289.563789,Mouse,1749.0,833.0,,
1669359289.58383,Mouse,1746.0,830.0,,
1669359289.603824,Mouse,1741.0,828.0,,
1669359289.623813,Mouse,1736.0,826.0,,
1669359289.634812,Mouse,1733.0,825.0,,
1669359289.654805,Mouse,1731.0,824.0,,
1669359289.664834,Mouse,1730.0,824.0,,
1669359289.694825,Mouse,1728.0,823.0,,
1669359289.714803,Mouse,1728.0,823.0,,
1669359289.724827,Mouse,1727.0,823.0,,
1669359289.734926,Mouse,1725.0,823.0,,
1669359289.754787,Mouse,1721.0,822.0,,
1669359289.764809,Mouse,1719.0,822.0,,
1669359289.774834,Mouse,1717.0,822.0,,
1669359289.794847,Mouse,1710.0,820.0,,
1669359289.815807,Mouse,1703.0,818.0,,
1669359289.835776,Mouse,1695.0,817.0,,
1669359289.85581,Mouse,1688.0,814.0,,
1669359289.865837,Mouse,1685.0,813.0,,
1669359289.885776,Mouse,1679.0,811.0,,
1669359289.895813,Mouse,1674.0,810.0,,
1669359289.915777,Mouse,1663.0,804.0,,
1669359289.92578,Mouse,1656.0,800.0,,
1669359289.93578,Mouse,1650.0,796.0,,
1669359289.95583,Mouse,1635.0,784.0,,
1669359289.974799,Mouse,1620.0,774.0,,
1669359289.985844,Mouse,1612.0,767.0,,
1669359290.005812,Mouse,1601.0,760.0,,
1669359290.025785,Mouse,1594.0,757.0,,
1669359290.035811,Mouse,1593.0,757.0,,
1669359290.05578,Mouse,1592.0,756.0,,
1669359290.135825,Mouse,1591.0,756.0,,
1669359290.146834,Mouse,1590.0,755.0,,
1669359290.166771,Mouse,1587.0,753.0,,
1669359290.176814,Mouse,1584.0,752.0,,
1669359290.186825,Mouse,1582.0,752.0,,
1669359290.206807,Mouse,1580.0,750.0,,
1669359290.226808,Mouse,1578.0,749.0,,
1669359290.256801,Mouse,1576.0,748.0,,
1669359290.276757,Mouse,1574.0,748.0,,
1669359290.286817,Mouse,1573.0,748.0,,
1669359290.317809,Mouse,1570.0,748.0,,
1669359290.327861,Mouse,1569.0,747.0,,
1669359290.347813,Mouse,1564.0,746.0,,
1669359290.357826,Mouse,1563.0,744.0,,
1669359290.377768,Mouse,1559.0,744.0,,
1669359290.387774,Mouse,1557.0,743.0,,
1669359290.39779,Mouse,1556.0,743.0,,
1669359290.407808,Mouse,1554.0,743.0,,
1669359290.42782,Mouse,1551.0,741.0,,
1669359290.437828,Mouse,1549.0,741.0,,
1669359290.457788,Mouse,1544.0,738.0,,
1669359290.46781,Mouse,1540.0,737.0,,
1669359290.477821,Mouse,1536.0,736.0,,
1669359290.490288,Mouse,1534.0,736.0,,
1669359290.507769,Mouse,1523.0,734.0,,
1669359290.517809,Mouse,1520.0,733.0,,
1669359290.527834,Mouse,1515.0,732.0,,
1669359290.547777,Mouse,1506.0,729.0,,
1669359290.557813,Mouse,1503.0,727.0,,
1669359290.577763,Mouse,1498.0,726.0,,
1669359290.587847,Mouse,1496.0,724.0,,
1669359290.60777,Mouse,1491.0,722.0,,
1669359290.617804,Mouse,1488.0,720.0,,
1669359290.627804,Mouse,1485.0,719.0,,
1669359290.647814,Mouse,1479.0,715.0,,
1669359290.658832,Mouse,1476.0,713.0,,
1669359290.668843,Mouse,1473.0,710.0,,
1669359290.688816,Mouse,1467.0,706.0,,
1669359290.708813,Mouse,1463.0,703.0,,
1669359290.728817,Mouse,1458.0,699.0,,
1669359290.748811,Mouse,1454.0,696.0,,
1669359290.758812,Mouse,1451.0,694.0,,
1669359290.768819,Mouse,1447.0,692.0,,
1669359290.778819,Mouse,1445.0,690.0,,
1669359290.788874,Mouse,1443.0,688.0,,
1669359290.808806,Mouse,1438.0,684.0,,
1669359290.818871,Mouse,1437.0,683.0,,
1669359290.829835,Mouse,1434.0,681.0,,
1669359290.849813,Mouse,1433.0,680.0,,
1669359290.879809,Mouse,1431.0,679.0,,
1669359290.899805,Mouse,1429.0,675.0,,
1669359290.909808,Mouse,1427.0,673.0,,
1669359290.929821,Mouse,1424.0,669.0,,
1669359290.949781,Mouse,1420.0,663.0,,
1669359290.969804,Mouse,1414.0,655.0,,
1669359290.979808,Mouse,1411.0,652.0,,
1669359290.989866,Mouse,1408.0,647.0,,
1669359291.009809,Mouse,1403.0,641.0,,
1669359291.029804,Mouse,1399.0,636.0,,
1669359291.039835,Mouse,1398.0,635.0,,
1669359291.049838,Mouse,1397.0,634.0,,
1669359291.069812,Mouse,1395.0,633.0,,
1669359291.089837,Mouse,1394.0,632.0,,
1669359291.23084,Mouse,1393.0,632.0,,
1669359291.250837,Mouse,1392.0,632.0,,
1669359291.270786,Mouse,1391.0,632.0,,
1669359291.280844,Mouse,1390.0,632.0,,
1669359291.30081,Mouse,1388.0,632.0,,
1669359291.32083,Mouse,1386.0,633.0,,
1669359291.341823,Mouse,1384.0,634.0,,
1669359291.371841,Mouse,1383.0,634.0,,
1669359291.391828,Mouse,1382.0,634.0,,
1669359291.411779,Mouse,1379.0,634.0,,
1669359291.421824,Mouse,1378.0,634.0,,
1669359291.441778,Mouse,1373.0,631.0,,
1669359291.451781,Mouse,1370.0,630.0,,
1669359291.461791,Mouse,1369.0,629.0,,
1669359291.481713,Mouse,1368.0,629.0,,
1669359291.491813,Mouse,1367.0,628.0,,
1669359291.51177,Mouse,1366.0,627.0,,
1669359291.521825,Mouse,1364.0,626.0,,
1669359291.541782,Mouse,1362.0,624.0,,
1669359291.552761,Mouse,1361.0,624.0,,
1669359291.571808,Mouse,1359.0,622.0,,
1669359291.591816,Mouse,1358.0,621.0,,
1669359291.61181,Mouse,1356.0,619.0,,
1669359291.631774,Mouse,1353.0,616.0,,
1669359291.641828,Mouse,1351.0,614.0,,
1669359291.661809,Mouse,1348.0,611.0,,
1669359291.682802,Mouse,1345.0,608.0,,
1669359291.69283,Mouse,1342.0,605.0,,
1669359291.712825,Mouse,1337.0,600.0,,
1669359291.723822,Mouse,1334.0,597.0,,
1669359291.742815,Mouse,1329.0,592.0,,
1669359291.762846,Mouse,1326.0,590.0,,
1669359291.782826,Mouse,1323.0,588.0,,
1669359291.802786,Mouse,1320.0,588.0,,
1669359291.832808,Mouse,1318.0,587.0,,
1669359291.853819,Mouse,1316.0,587.0,,
1669359291.873799,Mouse,1314.0,587.0,,
1669359291.883805,Mouse,1313.0,587.0,,
1669359291.89486,Mouse,1311.0,587.0,,
1669359291.913758,Mouse,1309.0,587.0,,
1669359291.934778,Mouse,1304.0,587.0,,
1669359291.95381,Mouse,1300.0,588.0,,
1669359291.963839,Mouse,1298.0,588.0,,
1669359291.983829,Mouse,1294.0,588.0,,
1669359292.003778,Mouse,1291.0,589.0,,
1669359292.013804,Mouse,1289.0,589.0,,
1669359292.033811,Mouse,1287.0,589.0,,
1669359292.053751,Mouse,1285.0,589.0,,
1669359292.064811,Mouse,1284.0,589.0,,
1669359292.083805,Mouse,1280.0,588.0,,
1669359292.093805,Mouse,1279.0,587.0,,
1669359292.104794,Mouse,1278.0,587.0,,
1669359292.123813,Mouse,1277.0,586.0,,
1669359292.143782,Mouse,1274.0,585.0,,
1669359292.163809,Mouse,1273.0,584.0,,
1669359292.173809,Mouse,1272.0,583.0,,
1669359292.183819,Mouse,1270.0,581.0,,
1669359292.194805,Mouse,1267.0,578.0,,
1669359292.204818,Mouse,1265.0,576.0,,
1669359292.224807,Mouse,1261.0,573.0,,
1669359292.235842,Mouse,1260.0,572.0,,
1669359292.254742,Mouse,1258.0,570.0,,
1669359292.264775,Mouse,1257.0,570.0,,
1669359292.275805,Mouse,1256.0,570.0,,
1669359292.294806,Mouse,1254.0,569.0,,
1669359292.344815,Mouse,1254.0,568.0,,
1669359292.375842,Mouse,1253.0,568.0,,
1669359292.39578,Mouse,1247.0,565.0,,
1669359292.406804,Mouse,1246.0,564.0,,
1669359292.425821,Mouse,1242.0,561.0,,
1669359292.435821,Mouse,1239.0,559.0,,
1669359292.446824,Mouse,1237.0,558.0,,
1669359292.465776,Mouse,1232.0,555.0,,
1669359292.475806,Mouse,1227.0,553.0,,
1669359292.486817,Mouse,1226.0,551.0,,
1669359292.505822,Mouse,1223.0,550.0,,
1669359292.535857,Mouse,1222.0,550.0,,
1669359292.555814,Mouse,1221.0,549.0,,
1669359292.576825,Mouse,1218.0,547.0,,
1669359292.595782,Mouse,1213.0,543.0,,
1669359292.605805,Mouse,1210.0,540.0,,
1669359292.616811,Mouse,1207.0,537.0,,
1669359292.635814,Mouse,1200.0,533.0,,
1669359292.656798,Mouse,1190.0,526.0,,
1669359292.675808,Mouse,1185.0,523.0,,
1669359292.695808,Mouse,1180.0,520.0,,
1669359292.706842,Mouse,1179.0,519.0,,
1669359292.726813,Mouse,1177.0,518.0,,
1669359292.736841,Mouse,1177.0,518.0,,
1669359293.510859,Mouse,1176.0,518.0,,
1669359293.811824,Mouse,1175.0,517.0,,
1669359293.83082,Mouse,1170.0,512.0,,
1669359293.851785,Mouse,1161.0,507.0,,
1669359293.870825,Mouse,1154.0,500.0,,
1669359293.891818,Mouse,1148.0,494.0,,
1669359293.911817,Mouse,1144.0,489.0,,
1669359293.921778,Mouse,1143.0,489.0,,
1669359294.444132,,,,MouseEvent,"Up, Left"
1669359294.444132,Mouse,1143.0,489.0,,
1669359294.454768,Mouse,1143.0,488.0,,
1669359294.473785,Mouse,1148.0,481.0,,
1669359294.484793,Mouse,1163.0,471.0,,
1669359294.503749,Mouse,1184.0,471.0,,
1669359295.145759,Mouse,1185.0,472.0,,
1669359295.155788,Mouse,1185.0,477.0,,
1669359295.176768,Mouse,1185.0,480.0,,
1669359295.195757,Mouse,1179.0,484.0,,
1669359295.205802,Mouse,1178.0,484.0,,
1669359295.356828,Mouse,1178.0,485.0,,
1669359295.376825,Mouse,1182.0,489.0,,
1669359295.727813,Mouse,1182.0,489.0,,
1669359295.747816,Mouse,1179.0,486.0,,
1669359295.767807,Mouse,1178.0,485.0,,
1669359295.819816,Mouse,1177.0,484.0,,
1669359295.838817,Mouse,1176.0,483.0,,
1669359295.859776,Mouse,1174.0,481.0,,
1669359295.878814,Mouse,1170.0,478.0,,
1669359295.888831,Mouse,1167.0,476.0,,
1669359295.908801,Mouse,1161.0,471.0,,
1669359295.918849,Mouse,1157.0,468.0,,
1669359295.9388,Mouse,1153.0,465.0,,
1669359295.949806,Mouse,1153.0,465.0,,
1669359295.969813,Mouse,1152.0,464.0,,
1669359296.049819,Mouse,1151.0,464.0,,
1669359296.070797,Mouse,1150.0,464.0,,
1669359296.089813,Mouse,1150.0,464.0,,
1669359296.099814,Mouse,1149.0,464.0,,
1669359296.119813,Mouse,1147.0,464.0,,
1669359296.139777,Mouse,1145.0,466.0,,
1669359296.160783,Mouse,1144.0,468.0,,
1669359296.189793,Mouse,1143.0,468.0,,
1669359296.209776,Mouse,1143.0,469.0,,
1669359296.219779,Mouse,1143.0,470.0,,
1669359296.249762,Mouse,1143.0,470.0,,
1669359296.300789,Mouse,1143.0,471.0,,
1669359296.360803,Mouse,1143.0,471.0,,
1669359296.371777,Mouse,1143.0,472.0,,
1669359296.390859,Mouse,1143.0,474.0,,
1669359296.410744,Mouse,1143.0,476.0,,
1669359296.420787,Mouse,1143.0,477.0,,
1669359296.440775,Mouse,1143.0,481.0,,
1669359296.450777,Mouse,1143.0,483.0,,
1669359296.461761,Mouse,1143.0,484.0,,
1669359296.471776,Mouse,1143.0,485.0,,
1669359296.491787,Mouse,1143.0,487.0,,
1669359296.521784,Mouse,1142.0,487.0,,
1669359296.582784,Mouse,1142.0,487.0,,
1669359296.760881,,,,MouseEvent,"Down, Left"
1669359296.760881,Mouse,1142.0,487.0,,
1669359296.843801,Mouse,1142.0,487.0,,
1669359296.962814,Mouse,1141.0,487.0,,
1669359297.103798,Mouse,1141.0,487.0,,
1669359297.12378,Mouse,1140.0,487.0,,
1669359297.143799,Mouse,1139.0,487.0,,
1669359297.163744,Mouse,1137.0,487.0,,
1669359297.184778,Mouse,1135.0,487.0,,
1669359297.203784,Mouse,1134.0,487.0,,
1669359297.213788,Mouse,1132.0,487.0,,
1669359297.224791,Mouse,1131.0,487.0,,
1669359297.243745,Mouse,1127.0,485.0,,
1669359297.253779,Mouse,1125.0,484.0,,
1669359297.264791,Mouse,1122.0,482.0,,
1669359297.283755,Mouse,1115.0,477.0,,
1669359297.303787,Mouse,1110.0,474.0,,
1669359297.31478,Mouse,1108.0,472.0,,
1669359297.324796,Mouse,1106.0,471.0,,
1669359297.344788,Mouse,1104.0,469.0,,
1669359297.355782,Mouse,1103.0,469.0,,
1669359297.37477,Mouse,1102.0,469.0,,
1669359297.395796,Mouse,1101.0,469.0,,
1669359297.424779,Mouse,1099.0,469.0,,
1669359297.435776,Mouse,1099.0,469.0,,
1669359297.454787,Mouse,1098.0,469.0,,
1669359297.464787,Mouse,1097.0,469.0,,
1669359297.495782,Mouse,1096.0,469.0,,
1669359297.526841,Mouse,1095.0,469.0,,
1669359297.545734,Mouse,1094.0,469.0,,
1669359297.555765,Mouse,1093.0,469.0,,
1669359297.566795,Mouse,1092.0,469.0,,
1669359297.58578,Mouse,1091.0,469.0,,
1669359297.595787,Mouse,1090.0,470.0,,
1669359297.606795,Mouse,1089.0,470.0,,
1669359297.625778,Mouse,1087.0,471.0,,
1669359297.635827,Mouse,1086.0,471.0,,
1669359297.665799,Mouse,1083.0,473.0,,
1669359297.696778,Mouse,1082.0,473.0,,
1669359297.715782,Mouse,1081.0,473.0,,
1669359297.725788,Mouse,1080.0,473.0,,
1669359297.736789,Mouse,1080.0,473.0,,
1669359297.755778,Mouse,1078.0,473.0,,
1669359297.765814,Mouse,1078.0,473.0,,
1669359297.776746,Mouse,1076.0,473.0,,
1669359297.795762,Mouse,1074.0,473.0,,
1669359297.815747,Mouse,1072.0,473.0,,
1669359297.826751,Mouse,1069.0,474.0,,
1669359297.83682,Mouse,1068.0,474.0,,
1669359297.856803,Mouse,1065.0,474.0,,
1669359297.867775,Mouse,1064.0,474.0,,
1669359297.886775,Mouse,1061.0,475.0,,
1669359297.907794,Mouse,1057.0,475.0,,
1669359297.926783,Mouse,1053.0,475.0,,
1669359297.936828,Mouse,1051.0,475.0,,
1669359297.947793,Mouse,1049.0,475.0,,
1669359297.966812,Mouse,1047.0,475.0,,
1669359297.976828,Mouse,1045.0,475.0,,
1669359297.987775,Mouse,1044.0,475.0,,
1669359298.007779,Mouse,1042.0,476.0,,
1669359298.027777,Mouse,1041.0,476.0,,
1669359298.047795,Mouse,1039.0,476.0,,
1669359298.057798,Mouse,1039.0,476.0,,
1669359298.078786,Mouse,1037.0,476.0,,
1669359298.097781,Mouse,1035.0,476.0,,
1669359298.118751,Mouse,1033.0,476.0,,
1669359298.137787,Mouse,1031.0,477.0,,
1669359298.157782,Mouse,1031.0,477.0,,
1669359298.197791,Mouse,1029.0,477.0,,
1669359298.55079,Mouse,1029.0,478.0,,
1669359298.569811,Mouse,1028.0,478.0,,
1669359298.639785,Mouse,1028.0,479.0,,
1669359298.729852,Mouse,1028.0,480.0,,
1669359298.74976,Mouse,1028.0,480.0,,
1669359298.800768,Mouse,1028.0,481.0,,
1669359298.880822,Mouse,1028.0,482.0,,
1669359298.910765,Mouse,1027.0,483.0,,
1669359298.92081,Mouse,1027.0,485.0,,
1669359298.940817,Mouse,1026.0,486.0,,
