Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669268786.613,MouseEvent,,1882.6666666666667,100.33333333333333,,,Fixation
1669268786.62301,,Mouse,1883.3333333333333,100.66666666666667,,,Fixation
1669268786.628296,,Eye Tracker,1884.0,101.0,Valid,Valid,Fixation
1669268786.6390178,,Eye Tracker,1887.0,103.0,Valid,Valid,Fixation
1669268786.64495,,Eye Tracker,1884.0,99.0,Valid,Valid,Fixation
1669268786.6550138,,Eye Tracker,1881.0,101.0,Valid,Valid,Fixation
1669268786.675529,,Eye Tracker,1883.0,98.0,Valid,Valid,Fixation
1669268786.679014,,Eye Tracker,1882.0,98.0,Valid,Valid,Fixation
1669268786.692184,,Eye Tracker,1884.0,96.0,Valid,Valid,Fixation
1669268786.708838,,Eye Tracker,1886.0,95.0,Valid,Valid,Fixation
1669268786.711035,,Eye Tracker,1888.0,94.0,Valid,Valid,Fixation
1669268786.7269979,,Eye Tracker,1888.0,91.0,Valid,Valid,Fixation
1669268786.742228,,Eye Tracker,1885.0,96.0,Valid,Valid,Fixation
1669268786.751005,,Eye Tracker,1908.0,92.0,Valid,Valid,Fixation
1669268786.758883,,Eye Tracker,1917.0,87.0,Valid,Valid,Fixation
1669268786.775537,,Eye Tracker,1913.0,82.0,Valid,Valid,Fixation
1669268786.792192,,Eye Tracker,1915.0,82.0,Valid,Valid,Fixation
1669268786.808847,,Eye Tracker,1914.0,84.0,Valid,Valid,Fixation
1669268786.825501,,Eye Tracker,1911.0,80.0,Valid,Valid,Fixation
1669268786.842156,,Eye Tracker,1912.0,81.0,Valid,Valid,Fixation
1669268786.858811,,Eye Tracker,1914.0,84.0,Valid,Valid,Fixation
1669268786.8754659,,Eye Tracker,1923.0,63.0,Valid,Valid,Fixation
1669268786.8921208,,Eye Tracker,1924.0,60.0,Valid,Valid,Fixation
1669268786.9087758,,Eye Tracker,1912.0,87.0,Valid,Valid,Fixation
1669268786.925431,,Eye Tracker,1907.0,89.0,Valid,Valid,Fixation
1669268786.942085,,Eye Tracker,1911.0,91.0,Valid,Valid,Fixation
1669268786.95874,,Eye Tracker,1911.0,87.0,Valid,Valid,Fixation
1669268786.975395,,Eye Tracker,1908.0,87.0,Valid,Valid,Fixation
1669268786.992049,,Eye Tracker,1912.0,89.0,Valid,Valid,Fixation
1669268786.999013,,Eye Tracker,1910.0,91.0,Valid,Valid,Fixation
1669268787.008704,,Eye Tracker,1909.0,90.0,Valid,Valid,Fixation
1669268787.0150049,,Eye Tracker,1908.0,89.0,Valid,Valid,Fixation
1669268787.0253599,,Eye Tracker,1908.0,89.0,Valid,Valid,Fixation
1669268787.031008,,Mouse,1909.5,89.5,,,Fixation
1669268787.042014,,Eye Tracker,1911.0,90.0,Valid,Valid,Fixation
1669268787.04701,,Eye Tracker,1910.0,91.0,Valid,Valid,Fixation
1669268787.0586689,,Eye Tracker,1908.0,88.0,Valid,Valid,Fixation
1669268787.063005,,Eye Tracker,1910.0,86.0,Valid,Valid,Fixation
1669268787.0753238,,Eye Tracker,1912.0,87.0,Valid,Valid,Fixation
1669268787.0790079,,Eye Tracker,1912.0,86.0,Valid,Valid,Fixation
1669268787.0919778,,Eye Tracker,1914.0,89.0,Valid,Valid,Fixation
1669268787.095064,,Eye Tracker,1914.0,88.0,Valid,Valid,Fixation
1669268787.1086328,,Eye Tracker,1914.0,89.0,Valid,Valid,Fixation
1669268787.111089,,Eye Tracker,1920.0,91.0,Valid,Valid,Fixation
1669268787.125288,,Eye Tracker,1917.0,92.0,Valid,Valid,Fixation
1669268787.127008,,Mouse,1914.0,92.5,,,Fixation
1669268787.141942,,Eye Tracker,1911.0,93.0,Valid,Valid,Fixation
1669268787.158598,,Eye Tracker,1907.0,88.0,Valid,Valid,Fixation
1669268787.175253,,Eye Tracker,1906.0,89.0,Valid,Valid,Fixation
