Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669263803.002083,,Eye Tracker,574.0,583.0,Valid,Valid,Fixation
1669263803.018737,,Eye Tracker,574.0,584.0,Valid,Valid,Fixation
1669263803.035393,,Eye Tracker,576.0,587.0,Valid,Valid,Fixation
1669263803.052048,,Eye Tracker,575.0,583.0,Valid,Valid,Fixation
1669263803.068702,,Eye Tracker,577.0,585.0,Valid,Valid,Fixation
1669263803.085357,,Eye Tracker,577.0,587.0,Valid,Valid,Fixation
1669263803.102012,,Eye Tracker,574.0,576.0,Valid,Valid,Fixation
1669263803.118666,,Eye Tracker,576.0,576.0,Valid,Valid,Fixation
1669263803.135321,,Eye Tracker,574.0,578.0,Valid,Valid,Fixation
1669263803.151976,,Eye Tracker,574.0,581.0,Valid,Valid,Fixation
1669263803.168632,,Eye Tracker,579.0,584.0,Valid,Valid,Fixation
1669263803.185286,,Eye Tracker,581.0,582.0,Valid,Valid,Fixation
1669263803.201941,,Eye Tracker,581.0,584.0,Valid,Valid,Fixation
1669263803.218596,,Eye Tracker,579.0,583.0,Valid,Valid,Fixation
1669263803.23525,,Eye Tracker,574.0,580.0,Valid,Valid,Fixation
1669263803.251905,,Eye Tracker,575.0,582.0,Valid,Valid,Fixation
1669263803.26856,,Eye Tracker,577.0,584.0,Valid,Valid,Fixation
1669263803.285214,,Eye Tracker,577.0,587.0,Valid,Valid,Fixation
1669263803.301869,,Eye Tracker,574.0,588.0,Valid,Valid,Fixation
1669263803.318525,,Eye Tracker,574.0,589.0,Valid,Valid,Fixation
1669263803.335179,,Eye Tracker,574.0,595.0,Valid,Valid,Fixation
1669263803.351834,,Eye Tracker,575.0,599.0,Valid,Valid,Fixation
1669263803.368489,,Eye Tracker,577.0,602.0,Valid,Valid,Fixation
1669263803.385143,,Eye Tracker,577.0,605.0,Valid,Valid,Fixation
1669263803.401798,,Eye Tracker,576.0,609.0,Valid,Valid,Fixation
1669263803.418453,,Eye Tracker,576.0,608.0,Valid,Valid,Fixation
1669263803.435108,,Eye Tracker,575.0,614.0,Valid,Valid,Fixation
1669263803.451763,,Eye Tracker,571.0,616.0,Valid,Valid,Fixation
1669263803.468418,,Eye Tracker,573.0,614.0,Valid,Valid,Fixation
1669263803.485073,,Eye Tracker,574.0,617.0,Valid,Valid,Fixation
1669263803.501727,,Eye Tracker,575.0,618.0,Valid,Valid,Fixation
1669263803.518382,,Eye Tracker,574.0,621.0,Valid,Valid,Fixation
1669263803.535037,,Eye Tracker,570.0,625.0,Valid,Valid,Fixation
1669263803.551691,,Eye Tracker,573.0,631.0,Valid,Valid,Fixation
1669263803.568346,,Eye Tracker,567.0,652.0,Valid,Valid,Fixation
1669263803.585002,,Eye Tracker,567.0,666.0,Valid,Valid,Fixation
1669263803.601656,,Eye Tracker,568.0,666.0,Valid,Valid,Fixation
1669263803.618311,,Eye Tracker,566.0,672.0,Valid,Valid,Fixation
1669263803.634966,,Eye Tracker,576.0,670.0,Valid,Valid,Fixation
1669263803.65162,,Eye Tracker,576.0,671.0,Valid,Valid,Fixation
1669263803.668275,,Eye Tracker,574.0,676.0,Valid,Valid,Fixation
1669263803.68493,,Eye Tracker,574.0,681.0,Valid,Valid,Fixation
1669263803.701585,,Eye Tracker,580.0,686.0,Valid,Valid,Fixation
1669263803.71824,,Eye Tracker,582.0,682.0,Valid,Valid,Fixation
1669263803.734895,,Eye Tracker,579.0,685.0,Valid,Valid,Fixation
1669263803.75155,,Eye Tracker,577.0,687.0,Valid,Valid,Fixation
1669263803.768204,,Eye Tracker,579.0,685.0,Valid,Valid,Fixation
1669263803.784859,,Eye Tracker,578.0,687.0,Valid,Valid,Fixation
1669263803.801514,,Eye Tracker,578.0,688.0,Valid,Valid,Fixation
1669263803.818168,,Eye Tracker,579.0,689.0,Valid,Valid,Fixation
1669263803.834823,,Eye Tracker,579.0,691.0,Valid,Valid,Fixation
1669263803.851479,,Eye Tracker,581.0,690.0,Valid,Valid,Fixation
1669263803.868133,,Eye Tracker,581.0,690.0,Valid,Valid,Fixation
1669263803.884788,,Eye Tracker,581.0,689.0,Valid,Valid,Fixation
1669263803.901443,,Eye Tracker,579.0,680.0,Valid,Valid,Fixation
1669263803.918097,,Eye Tracker,580.0,676.0,Valid,Valid,Fixation
1669263803.934752,,Eye Tracker,582.0,677.0,Valid,Valid,Fixation
1669263803.951407,,Eye Tracker,580.0,676.0,Valid,Valid,Fixation
1669263803.968062,,Eye Tracker,583.0,674.0,Valid,Valid,Fixation
1669263803.984716,,Eye Tracker,585.0,674.0,Valid,Valid,Fixation
1669263804.001372,,Eye Tracker,581.0,677.0,Valid,Valid,Fixation
1669263804.018027,,Eye Tracker,578.0,683.0,Valid,Valid,Fixation
1669263804.034681,,Eye Tracker,581.0,685.0,Valid,Valid,Fixation
1669263804.051336,,Eye Tracker,585.0,686.0,Valid,Valid,Fixation
1669263804.067991,,Eye Tracker,583.0,685.0,Valid,Valid,Fixation
1669263804.084645,,Eye Tracker,582.0,683.0,Valid,Valid,Fixation
1669263804.1013,,Eye Tracker,584.0,686.0,Valid,Valid,Fixation
1669263804.117955,,Eye Tracker,585.0,686.0,Valid,Valid,Fixation
1669263804.13461,,Eye Tracker,587.0,685.0,Valid,Valid,Fixation
1669263804.151265,,Eye Tracker,587.0,687.0,Valid,Valid,Fixation
1669263804.16792,,Eye Tracker,586.0,688.0,Valid,Valid,Fixation
1669263804.184574,,Eye Tracker,586.0,688.0,Valid,Valid,Fixation
1669263804.201229,,Eye Tracker,585.0,687.0,Valid,Valid,Fixation
1669263804.217884,,Eye Tracker,582.0,686.0,Valid,Valid,Fixation
1669263804.234539,,Eye Tracker,586.0,689.0,Valid,Valid,Fixation
1669263804.251193,,Eye Tracker,588.0,693.0,Valid,Valid,Fixation
1669263804.267849,,Eye Tracker,588.0,696.0,Valid,Valid,Fixation
1669263804.284504,,Eye Tracker,585.0,694.0,Valid,Valid,Fixation
1669263804.301158,,Eye Tracker,584.0,691.0,Valid,Valid,Fixation
1669263804.317813,,Eye Tracker,586.0,693.0,Valid,Valid,Fixation
1669263804.334468,,Eye Tracker,585.0,700.0,Valid,Valid,Fixation
1669263804.351122,,Eye Tracker,585.0,707.0,Valid,Valid,Fixation
1669263804.367777,,Eye Tracker,587.0,708.0,Valid,Valid,Fixation
1669263804.384432,,Eye Tracker,589.0,709.0,Valid,Valid,Fixation
