Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669265097.021631,,,,MouseEvent,"Down, Left"
1669265097.021631,Mouse,1500.0,149.0,,
1669265097.995411,Mouse,1500.0,149.0,,
1669265098.055409,Mouse,1499.0,149.0,,
1669265098.085453,Mouse,1499.0,149.0,,
1669265098.126424,Mouse,1498.0,149.0,,
1669265098.146698,Mouse,1497.0,149.0,,
1669265098.157429,Mouse,1495.0,149.0,,
1669265098.176409,Mouse,1491.0,150.0,,
1669265098.196383,Mouse,1488.0,150.0,,
1669265098.206418,Mouse,1485.0,150.0,,
1669265098.226416,Mouse,1482.0,150.0,,
1669265098.236566,Mouse,1480.0,150.0,,
1669265098.246619,Mouse,1478.0,150.0,,
1669265098.266363,Mouse,1476.0,150.0,,
1669265098.377375,Mouse,1476.0,150.0,,
1669265098.387384,Mouse,1475.0,150.0,,
1669265098.397435,Mouse,1474.0,150.0,,
1669265098.407662,Mouse,1473.0,150.0,,
1669265098.427407,Mouse,1468.0,149.0,,
1669265098.447382,Mouse,1460.0,149.0,,
1669265098.457407,Mouse,1457.0,149.0,,
1669265098.467457,Mouse,1456.0,149.0,,
1669265098.487356,Mouse,1452.0,149.0,,
1669265098.498388,Mouse,1450.0,149.0,,
1669265098.51742,Mouse,1447.0,149.0,,
1669265098.538441,Mouse,1442.0,151.0,,
1669265098.557803,Mouse,1437.0,154.0,,
1669265098.587396,Mouse,1437.0,154.0,,
1669265098.607678,Mouse,1437.0,154.0,,
1669265098.648598,Mouse,1435.0,154.0,,
1669265098.669667,Mouse,1432.0,155.0,,
1669265098.688427,Mouse,1430.0,157.0,,
1669265098.69867,Mouse,1428.0,158.0,,
1669265098.709404,Mouse,1426.0,159.0,,
1669265098.72844,Mouse,1424.0,160.0,,
1669265098.738572,Mouse,1422.0,162.0,,
1669265098.758694,Mouse,1420.0,162.0,,
1669265098.768716,Mouse,1419.0,163.0,,
1669265098.788418,Mouse,1417.0,164.0,,
1669265098.799718,Mouse,1416.0,165.0,,
1669265098.829381,Mouse,1415.0,165.0,,
1669265098.849445,Mouse,1415.0,165.0,,
1669265098.989408,Mouse,1415.0,167.0,,
1669265098.999684,Mouse,1416.0,169.0,,
1669265099.010441,Mouse,1416.0,170.0,,
1669265099.029507,Mouse,1416.0,171.0,,
1669265099.05039,Mouse,1417.0,173.0,,
1669265099.069569,Mouse,1417.0,175.0,,
1669265099.119454,Mouse,1417.0,177.0,,
1669265099.150401,Mouse,1417.0,178.0,,
1669265099.200666,Mouse,1417.0,178.0,,
1669265099.341529,Mouse,1417.0,179.0,,
1669265099.352521,Mouse,1417.0,180.0,,
1669265099.371372,Mouse,1416.0,181.0,,
1669265099.381431,Mouse,1416.0,182.0,,
1669265099.411436,Mouse,1416.0,183.0,,
1669265099.421664,Mouse,1416.0,184.0,,
1669265099.432423,Mouse,1417.0,185.0,,
1669265099.451404,Mouse,1417.0,188.0,,
1669265099.461425,Mouse,1419.0,190.0,,
1669265099.522439,Mouse,1419.0,192.0,,
1669265099.682442,Mouse,1419.0,193.0,,
1669265099.733462,Mouse,1419.0,193.0,,
1669265099.752532,Mouse,1419.0,193.0,,
1669265099.762613,Mouse,1418.0,193.0,,
1669265099.773417,Mouse,1415.0,194.0,,
1669265099.792415,Mouse,1409.0,196.0,,
1669265099.813541,Mouse,1401.0,199.0,,
1669265099.83338,Mouse,1395.0,200.0,,
1669265099.843443,Mouse,1394.0,201.0,,
1669265099.864406,Mouse,1391.0,201.0,,
1669265099.893648,Mouse,1389.0,203.0,,
1669265099.904362,Mouse,1388.0,203.0,,
1669265099.923416,Mouse,1386.0,204.0,,
1669265099.944409,Mouse,1384.0,205.0,,
1669265099.963455,Mouse,1382.0,205.0,,
1669265099.984456,Mouse,1381.0,207.0,,
1669265100.003426,Mouse,1379.0,209.0,,
1669265100.013517,Mouse,1378.0,209.0,,
1669265100.03436,Mouse,1377.0,210.0,,
1669265100.053437,Mouse,1375.0,211.0,,
1669265100.074356,Mouse,1372.0,213.0,,
1669265100.093446,Mouse,1371.0,214.0,,
1669265100.1144,Mouse,1369.0,216.0,,
1669265100.133397,Mouse,1366.0,218.0,,
1669265100.143529,Mouse,1363.0,220.0,,
1669265100.154527,Mouse,1361.0,222.0,,
1669265100.17437,Mouse,1356.0,225.0,,
1669265100.184407,Mouse,1353.0,227.0,,
1669265100.194444,Mouse,1351.0,228.0,,
1669265100.205387,Mouse,1350.0,229.0,,
1669265100.224522,Mouse,1347.0,231.0,,
1669265100.245366,Mouse,1342.0,234.0,,
1669265100.26435,Mouse,1341.0,235.0,,
1669265100.274389,Mouse,1339.0,237.0,,
1669265100.285388,Mouse,1338.0,238.0,,
1669265100.304361,Mouse,1336.0,239.0,,
1669265100.314698,Mouse,1335.0,240.0,,
1669265100.32549,Mouse,1333.0,241.0,,
1669265100.345391,Mouse,1331.0,243.0,,
1669265100.366384,Mouse,1328.0,244.0,,
1669265100.435409,Mouse,1328.0,244.0,,
1669265100.586669,Mouse,1327.0,245.0,,
1669265100.816704,Mouse,1327.0,245.0,,
1669265100.836414,Mouse,1323.0,248.0,,
1669265100.847696,Mouse,1321.0,250.0,,
1669265100.867514,Mouse,1314.0,255.0,,
1669265100.877588,Mouse,1311.0,256.0,,
1669265100.888358,Mouse,1309.0,258.0,,
1669265100.907414,Mouse,1306.0,260.0,,
1669265100.928391,Mouse,1302.0,263.0,,
1669265100.947409,Mouse,1298.0,265.0,,
1669265100.96742,Mouse,1295.0,267.0,,
1669265100.97757,Mouse,1295.0,267.0,,
1669265100.99738,Mouse,1293.0,268.0,,
1669265101.007462,Mouse,1292.0,268.0,,
1669265101.017573,Mouse,1291.0,268.0,,
1669265101.037459,Mouse,1289.0,270.0,,
1669265101.047492,Mouse,1288.0,270.0,,
1669265101.058418,Mouse,1287.0,270.0,,
1669265101.07746,Mouse,1285.0,271.0,,
1669265101.097356,Mouse,1282.0,271.0,,
1669265101.107458,Mouse,1281.0,271.0,,
1669265101.127417,Mouse,1277.0,273.0,,
1669265101.137445,Mouse,1274.0,274.0,,
1669265101.147528,Mouse,1272.0,275.0,,
1669265101.167407,Mouse,1267.0,276.0,,
1669265101.177465,Mouse,1266.0,277.0,,
1669265101.188407,Mouse,1265.0,278.0,,
1669265101.198443,Mouse,1263.0,278.0,,
1669265101.208624,Mouse,1262.0,278.0,,
1669265101.229358,Mouse,1260.0,279.0,,
1669265101.248702,Mouse,1257.0,279.0,,
1669265101.269676,Mouse,1256.0,279.0,,
1669265101.288384,Mouse,1254.0,279.0,,
1669265101.298435,Mouse,1252.0,280.0,,
1669265101.318443,Mouse,1252.0,280.0,,
1669265101.338678,Mouse,1248.0,282.0,,
1669265101.359614,Mouse,1245.0,282.0,,
1669265101.379567,Mouse,1240.0,284.0,,
1669265101.400493,Mouse,1234.0,286.0,,
1669265101.419476,Mouse,1231.0,287.0,,
1669265101.440397,Mouse,1227.0,289.0,,
1669265101.45942,Mouse,1224.0,290.0,,
1669265101.469431,Mouse,1223.0,290.0,,
