Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669772876.531003,MouseEvent,,1863.6666666666667,1008.3333333333334,,,Fixation,,,MouseEvent,"Down, Left"
1669772876.531003,,Mouse,1863.3333333333333,1009.6666666666666,,,Fixation,1886.0,1020.0,,
1669772876.535178,,Eye Tracker,1863.0,1011.0,Valid,Valid,Fixation,,,,
1669772876.551832,,Eye Tracker,1864.0,1015.0,Valid,Valid,Fixation,,,,
1669772876.568487,,Eye Tracker,1862.0,1012.0,Valid,Valid,Fixation,,,,
1669772876.585142,,Eye Tracker,1865.0,1014.0,Valid,Valid,Fixation,,,,
1669772876.601796,,Eye Tracker,1862.0,1013.0,Valid,Valid,Fixation,,,,
1669772876.6184509,,Eye Tracker,1871.0,1020.0,Valid,Valid,Fixation,,,,
1669772876.6351058,,Eye Tracker,1880.0,1022.0,Valid,Valid,Fixation,,,,
1669772876.6517599,,Eye Tracker,1879.0,1020.0,Valid,Valid,Fixation,,,,
1669772876.668415,,Eye Tracker,1878.0,1013.0,Valid,Valid,Fixation,,,,
1669772876.68507,,Eye Tracker,1868.0,1012.0,Valid,Valid,Fixation,,,,
1669772876.701724,,Eye Tracker,1874.0,1023.0,Valid,Valid,Fixation,,,,
1669772876.718378,,Eye Tracker,1876.0,1023.0,Valid,Valid,Fixation,,,,
1669772876.735034,,Eye Tracker,1867.0,1025.0,Valid,Valid,Fixation,,,,
1669772876.751688,,Eye Tracker,1865.0,1024.0,Valid,Valid,Fixation,,,,
1669772876.768342,,Eye Tracker,1868.0,1014.0,Valid,Valid,Fixation,,,,
1669772876.784997,,Eye Tracker,1866.0,1010.0,Valid,Valid,Fixation,,,,
1669772876.801652,,Eye Tracker,1864.0,1016.0,Valid,Valid,Fixation,,,,
1669772876.818307,,Eye Tracker,1867.0,1018.0,Valid,Valid,Fixation,,,,
1669772876.834962,,Eye Tracker,1870.0,1005.0,Valid,Valid,Fixation,,,,
1669772876.8516169,,Eye Tracker,1868.0,1002.0,Valid,Valid,Fixation,,,,
1669772876.8682709,,Eye Tracker,1862.0,1013.0,Valid,Valid,Fixation,,,,
1669772876.8849258,,Eye Tracker,1861.0,1018.0,Valid,Valid,Fixation,,,,
1669772876.901581,,Eye Tracker,1864.0,1011.0,Valid,Valid,Fixation,,,,
1669772876.918235,,Eye Tracker,1863.0,1010.0,Valid,Valid,Fixation,,,,
1669772876.93489,,Eye Tracker,1858.0,1008.0,Valid,Valid,Fixation,,,,
1669772876.951545,,Eye Tracker,1861.0,1006.0,Valid,Valid,Fixation,,,,
1669772876.968198,,Eye Tracker,1866.0,1007.0,Valid,Valid,Fixation,,,,
1669772876.984853,,Eye Tracker,1864.0,1011.0,Valid,Valid,Fixation,,,,
1669772877.001508,,Eye Tracker,1869.0,1017.0,Valid,Valid,Fixation,,,,
1669772877.018163,,Eye Tracker,1871.0,1014.0,Valid,Valid,Fixation,,,,
1669772877.034817,,Eye Tracker,1858.0,1021.0,Valid,Valid,Fixation,,,,
1669772877.051472,,Eye Tracker,1856.0,1025.0,Valid,Valid,Fixation,,,,
1669772877.068127,,Eye Tracker,1861.0,1018.0,Valid,Valid,Fixation,,,,
1669772877.084781,,Eye Tracker,1859.0,1013.0,Valid,Valid,Fixation,,,,
1669772877.101436,,Eye Tracker,1860.0,1012.0,Valid,Valid,Fixation,,,,
1669772877.1180909,,Eye Tracker,1866.0,1013.0,Valid,Valid,Fixation,,,,
1669772877.1347458,,Eye Tracker,1853.0,1013.0,Valid,Valid,Fixation,,,,
1669772877.151401,,Eye Tracker,1812.0,990.0,Valid,Valid,Fixation,,,,
1669772877.168056,,Eye Tracker,1870.0,998.0,Valid,Valid,Fixation,,,,
