Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-30 10:47:56.531003,,,,MouseEvent,"Down, Left"
2022-11-30 10:47:56.531003,Mouse,1886.0,1020.0,,
2022-11-30 10:47:57.845998,Mouse,1886.0,1020.0,,
2022-11-30 10:47:57.977658,Mouse,1885.0,1020.0,,
2022-11-30 10:47:57.997646,Mouse,1884.0,1020.0,,
2022-11-30 10:47:58.016798,Mouse,1883.0,1020.0,,
2022-11-30 10:47:58.107629,Mouse,1883.0,1020.0,,
2022-11-30 10:47:58.117648,Mouse,1882.0,1020.0,,
2022-11-30 10:47:58.187706,Mouse,1882.0,1020.0,,
2022-11-30 10:47:58.208710,Mouse,1881.0,1020.0,,
2022-11-30 10:47:58.227622,Mouse,1880.0,1020.0,,
2022-11-30 10:47:58.387971,Mouse,1880.0,1020.0,,
2022-11-30 10:47:58.408667,Mouse,1879.0,1020.0,,
2022-11-30 10:47:58.509732,Mouse,1878.0,1020.0,,
2022-11-30 10:47:58.528712,Mouse,1878.0,1020.0,,
2022-11-30 10:47:58.539674,Mouse,1877.0,1020.0,,
2022-11-30 10:47:58.680925,Mouse,1876.0,1020.0,,
2022-11-30 10:47:58.699692,Mouse,1875.0,1020.0,,
2022-11-30 10:47:58.710629,Mouse,1875.0,1020.0,,
2022-11-30 10:47:58.790805,Mouse,1874.0,1020.0,,
2022-11-30 10:47:58.809766,Mouse,1872.0,1020.0,,
2022-11-30 10:47:58.840797,Mouse,1871.0,1020.0,,
2022-11-30 10:47:58.859677,Mouse,1870.0,1020.0,,
2022-11-30 10:47:58.909818,Mouse,1869.0,1020.0,,
2022-11-30 10:47:58.920690,Mouse,1868.0,1020.0,,
2022-11-30 10:47:58.939671,Mouse,1867.0,1020.0,,
2022-11-30 10:47:59.011948,Mouse,1866.0,1020.0,,
2022-11-30 10:47:59.030936,Mouse,1865.0,1020.0,,
2022-11-30 10:47:59.201704,Mouse,1864.0,1021.0,,
2022-11-30 10:47:59.211903,Mouse,1862.0,1022.0,,
2022-11-30 10:47:59.222732,Mouse,1859.0,1022.0,,
2022-11-30 10:47:59.232845,Mouse,1853.0,1023.0,,
2022-11-30 10:47:59.251662,Mouse,1847.0,1023.0,,
2022-11-30 10:47:59.262654,Mouse,1846.0,1023.0,,
2022-11-30 10:47:59.281633,Mouse,1846.0,1023.0,,
2022-11-30 10:47:59.291668,Mouse,1845.0,1023.0,,
2022-11-30 10:47:59.331632,Mouse,1845.0,1023.0,,
2022-11-30 10:47:59.342636,Mouse,1842.0,1024.0,,
2022-11-30 10:47:59.352704,Mouse,1841.0,1024.0,,
2022-11-30 10:47:59.362711,Mouse,1838.0,1024.0,,
2022-11-30 10:47:59.381666,Mouse,1836.0,1024.0,,
2022-11-30 10:47:59.533726,Mouse,1836.0,1024.0,,
2022-11-30 10:47:59.553675,Mouse,1835.0,1024.0,,
2022-11-30 10:47:59.563704,Mouse,1834.0,1024.0,,
2022-11-30 10:47:59.573711,Mouse,1833.0,1024.0,,
2022-11-30 10:47:59.592700,Mouse,1832.0,1024.0,,
2022-11-30 10:47:59.603673,Mouse,1832.0,1024.0,,
2022-11-30 10:47:59.613673,Mouse,1831.0,1024.0,,
2022-11-30 10:47:59.643888,Mouse,1829.0,1024.0,,
2022-11-30 10:47:59.784691,Mouse,1828.0,1023.0,,
2022-11-30 10:47:59.814736,Mouse,1826.0,1023.0,,
2022-11-30 10:47:59.833891,Mouse,1823.0,1023.0,,
2022-11-30 10:47:59.854659,Mouse,1821.0,1022.0,,
2022-11-30 10:47:59.904899,Mouse,1820.0,1022.0,,
2022-11-30 10:47:59.923629,Mouse,1815.0,1021.0,,
2022-11-30 10:47:59.933798,Mouse,1814.0,1021.0,,
2022-11-30 10:47:59.944684,Mouse,1812.0,1021.0,,
2022-11-30 10:47:59.963925,Mouse,1806.0,1020.0,,
2022-11-30 10:47:59.984640,Mouse,1803.0,1020.0,,
2022-11-30 10:48:00.004721,Mouse,1802.0,1020.0,,
2022-11-30 10:48:00.104953,Mouse,1801.0,1020.0,,
