Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-30 09:42:59.336047,,,,MouseEvent,"Down, Left"
2022-11-30 09:42:59.336047,Mouse,1887.0,71.0,,
2022-11-30 09:42:59.486011,Mouse,1887.0,71.0,,
2022-11-30 09:42:59.516866,Mouse,1887.0,71.0,,
2022-11-30 09:42:59.568053,Mouse,1887.0,71.0,,
2022-11-30 09:42:59.627156,Mouse,1886.0,71.0,,
2022-11-30 09:42:59.637871,Mouse,1884.0,71.0,,
2022-11-30 09:42:59.647926,Mouse,1881.0,71.0,,
2022-11-30 09:42:59.666863,Mouse,1878.0,71.0,,
2022-11-30 09:42:59.676896,Mouse,1876.0,71.0,,
2022-11-30 09:42:59.687847,Mouse,1875.0,71.0,,
2022-11-30 09:42:59.697882,Mouse,1873.0,71.0,,
2022-11-30 09:42:59.707890,Mouse,1873.0,71.0,,
2022-11-30 09:42:59.717898,Mouse,1872.0,71.0,,
2022-11-30 09:42:59.728951,Mouse,1870.0,71.0,,
2022-11-30 09:42:59.747896,Mouse,1867.0,71.0,,
2022-11-30 09:42:59.758154,Mouse,1866.0,71.0,,
2022-11-30 09:42:59.768997,Mouse,1865.0,71.0,,
2022-11-30 09:42:59.779094,Mouse,1862.0,71.0,,
2022-11-30 09:42:59.797826,Mouse,1853.0,71.0,,
2022-11-30 09:42:59.808836,Mouse,1845.0,71.0,,
2022-11-30 09:42:59.818939,Mouse,1837.0,71.0,,
2022-11-30 09:42:59.837867,Mouse,1821.0,70.0,,
2022-11-30 09:42:59.848151,Mouse,1812.0,70.0,,
2022-11-30 09:42:59.858895,Mouse,1805.0,70.0,,
2022-11-30 09:42:59.877878,Mouse,1792.0,70.0,,
2022-11-30 09:42:59.888160,Mouse,1787.0,70.0,,
2022-11-30 09:42:59.898936,Mouse,1783.0,70.0,,
2022-11-30 09:42:59.917861,Mouse,1779.0,70.0,,
2022-11-30 09:42:59.928020,Mouse,1778.0,70.0,,
2022-11-30 09:42:59.938866,Mouse,1778.0,70.0,,
2022-11-30 09:42:59.958052,Mouse,1776.0,70.0,,
2022-11-30 09:42:59.989030,Mouse,1776.0,70.0,,
2022-11-30 09:43:00.007875,Mouse,1773.0,70.0,,
2022-11-30 09:43:00.018878,Mouse,1771.0,70.0,,
2022-11-30 09:43:00.028887,Mouse,1770.0,70.0,,
2022-11-30 09:43:00.038897,Mouse,1766.0,70.0,,
2022-11-30 09:43:00.048936,Mouse,1761.0,71.0,,
2022-11-30 09:43:00.069864,Mouse,1751.0,71.0,,
2022-11-30 09:43:00.079890,Mouse,1745.0,71.0,,
2022-11-30 09:43:00.098940,Mouse,1733.0,71.0,,
2022-11-30 09:43:00.110158,Mouse,1725.0,71.0,,
2022-11-30 09:43:00.120263,Mouse,1719.0,71.0,,
2022-11-30 09:43:00.138899,Mouse,1704.0,71.0,,
2022-11-30 09:43:00.149936,Mouse,1696.0,71.0,,
2022-11-30 09:43:00.168859,Mouse,1686.0,71.0,,
2022-11-30 09:43:00.179149,Mouse,1682.0,71.0,,
2022-11-30 09:43:00.190175,Mouse,1680.0,71.0,,
2022-11-30 09:43:00.209872,Mouse,1677.0,71.0,,
2022-11-30 09:43:00.219922,Mouse,1676.0,71.0,,
2022-11-30 09:43:00.240895,Mouse,1675.0,72.0,,
2022-11-30 09:43:00.251162,Mouse,1674.0,72.0,,
2022-11-30 09:43:00.270094,Mouse,1673.0,73.0,,
2022-11-30 09:43:00.280864,Mouse,1672.0,73.0,,
2022-11-30 09:43:00.291155,Mouse,1671.0,73.0,,
2022-11-30 09:43:00.310130,Mouse,1666.0,73.0,,
2022-11-30 09:43:00.321148,Mouse,1660.0,74.0,,
2022-11-30 09:43:00.339863,Mouse,1647.0,74.0,,
2022-11-30 09:43:00.349937,Mouse,1639.0,74.0,,
2022-11-30 09:43:00.360891,Mouse,1633.0,74.0,,
2022-11-30 09:43:00.370892,Mouse,1627.0,74.0,,
2022-11-30 09:43:00.389952,Mouse,1616.0,74.0,,
2022-11-30 09:43:00.400879,Mouse,1611.0,74.0,,
2022-11-30 09:43:00.410908,Mouse,1608.0,74.0,,
2022-11-30 09:43:00.421165,Mouse,1604.0,74.0,,
2022-11-30 09:43:00.440014,Mouse,1597.0,74.0,,
2022-11-30 09:43:00.450971,Mouse,1594.0,74.0,,
2022-11-30 09:43:00.469862,Mouse,1587.0,75.0,,
2022-11-30 09:43:00.480162,Mouse,1584.0,76.0,,
2022-11-30 09:43:00.490897,Mouse,1583.0,76.0,,
2022-11-30 09:43:00.509953,Mouse,1580.0,76.0,,
2022-11-30 09:43:00.530912,Mouse,1579.0,77.0,,
2022-11-30 09:43:00.551139,Mouse,1577.0,77.0,,
