Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669769312.8966138,MouseEvent,,1290.6666666666667,251.0,,,Fixation,,,MouseEvent,"Down, Left"
1669769312.8966138,,Mouse,1291.3333333333333,250.0,,,Fixation,1499.0,152.0,,
1669769312.9083009,,Eye Tracker,1292.0,249.0,Valid,Valid,Fixation,,,,
1669769312.924955,,Eye Tracker,1291.0,252.0,Valid,Valid,Fixation,,,,
1669769312.9416099,,Eye Tracker,1291.0,257.0,Valid,Valid,Fixation,,,,
1669769312.9582648,,Eye Tracker,1292.0,252.0,Valid,Valid,Fixation,,,,
1669769312.9749188,,Eye Tracker,1290.0,251.0,Valid,Valid,Fixation,,,,
1669769312.9915738,,Eye Tracker,1289.0,257.0,Valid,Valid,Fixation,,,,
1669769313.008229,,Eye Tracker,1286.0,264.0,Valid,Valid,Fixation,,,,
1669769313.0248828,,Eye Tracker,1285.0,259.0,Valid,Valid,Fixation,,,,
1669769313.041538,,Eye Tracker,1289.0,256.0,Valid,Valid,Fixation,,,,
1669769313.058193,,Eye Tracker,1289.0,258.0,Valid,Valid,Fixation,,,,
1669769313.074847,,Eye Tracker,1287.0,255.0,Valid,Valid,Fixation,,,,
1669769313.091502,,Eye Tracker,1285.0,265.0,Valid,Valid,Fixation,,,,
1669769313.108157,,Eye Tracker,1283.0,271.0,Valid,Valid,Fixation,,,,
1669769313.124811,,Eye Tracker,1287.0,265.0,Valid,Valid,Fixation,,,,
1669769313.141466,,Eye Tracker,1287.0,264.0,Valid,Valid,Fixation,,,,
1669769313.1581209,,Eye Tracker,1286.0,267.0,Valid,Valid,Fixation,,,,
1669769313.1747758,,Eye Tracker,1288.0,269.0,Valid,Valid,Fixation,,,,
1669769313.1914308,,Eye Tracker,1288.0,268.0,Valid,Valid,Fixation,,,,
1669769313.208086,,Eye Tracker,1289.0,267.0,Valid,Valid,Fixation,,,,
1669769313.224741,,Eye Tracker,1288.0,269.0,Valid,Valid,Fixation,,,,
1669769313.241395,,Eye Tracker,1296.0,275.0,Valid,Valid,Fixation,,,,
1669769313.2476728,,Mouse,1323.6666666666667,264.0,,,Fixation,1498.0,152.0,,
