Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669769503.228928,,Eye Tracker,1429.0,698.0,Valid,Valid,Fixation
1669769503.245583,,Eye Tracker,1431.0,699.0,Valid,Valid,Fixation
1669769503.262238,,Eye Tracker,1431.0,686.0,Valid,Valid,Fixation
1669769503.278892,,Eye Tracker,1436.0,680.0,Valid,Valid,Fixation
1669769503.295547,,Eye Tracker,1438.0,682.0,Valid,Valid,Fixation
1669769503.312202,,Eye Tracker,1432.0,685.0,Valid,Valid,Fixation
1669769503.328856,,Eye Tracker,1456.0,693.0,Valid,Valid,Fixation
1669769503.345511,,Eye Tracker,1508.0,709.0,Valid,Valid,Saccade
1669769503.362166,,Eye Tracker,1520.0,720.0,Valid,Valid,Fixation
1669769503.37882,,Eye Tracker,1519.0,718.0,Valid,Valid,Fixation
1669769503.395475,,Eye Tracker,1517.0,713.0,Valid,Valid,Fixation
1669769503.41213,,Eye Tracker,1520.0,718.0,Valid,Valid,Fixation
1669769503.428784,,Eye Tracker,1526.0,720.0,Valid,Valid,Fixation
1669769503.44544,,Eye Tracker,1518.0,719.0,Valid,Valid,Fixation
1669769503.462095,,Eye Tracker,1512.0,717.0,Valid,Valid,Fixation
1669769503.47875,,Eye Tracker,1512.0,720.0,Valid,Valid,Fixation
1669769503.495404,,Eye Tracker,1514.0,726.0,Valid,Valid,Fixation
1669769503.512059,,Eye Tracker,1513.0,725.0,Valid,Valid,Fixation
1669769503.528714,,Eye Tracker,1504.0,719.0,Valid,Valid,Fixation
1669769503.545368,,Eye Tracker,1512.0,713.0,Valid,Valid,Fixation
1669769503.562023,,Eye Tracker,1515.0,714.0,Valid,Valid,Fixation
1669769503.578678,,Eye Tracker,1504.0,718.0,Valid,Valid,Fixation
1669769503.595332,,Eye Tracker,1502.0,716.0,Valid,Valid,Fixation
1669769503.611987,,Eye Tracker,1503.0,716.0,Valid,Valid,Fixation
1669769503.628642,,Eye Tracker,1506.0,716.0,Valid,Valid,Fixation
1669769503.645296,,Eye Tracker,1500.0,714.0,Valid,Valid,Fixation
1669769503.661951,,Eye Tracker,1496.0,712.0,Valid,Valid,Fixation
1669769503.678606,,Eye Tracker,1496.0,709.0,Valid,Valid,Fixation
1669769503.69526,,Eye Tracker,1486.0,710.0,Valid,Valid,Fixation
1669769503.711916,,Eye Tracker,1483.0,731.0,Valid,Valid,Fixation
1669769503.728571,,Eye Tracker,1288.0,610.0,Valid,Valid,Saccade
1669769503.745226,,Eye Tracker,1287.0,593.0,Valid,Valid,Fixation
1669769503.76188,,Eye Tracker,1283.0,588.0,Valid,Valid,Fixation
1669769503.778535,,Eye Tracker,1283.0,584.0,Valid,Valid,Fixation
1669769503.79519,,Eye Tracker,1279.0,574.0,Valid,Valid,Fixation
1669769503.811844,,Eye Tracker,1274.0,575.0,Valid,Valid,Fixation
1669769503.828499,,Eye Tracker,1281.0,576.0,Valid,Valid,Fixation
1669769503.845154,,Eye Tracker,1279.0,575.0,Valid,Valid,Fixation
