Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669774992.778,MouseEvent,,1466.0,372.0,,,Fixation
1669774992.793327,,Mouse,1465.0,372.0,,,Fixation
1669774992.809981,,Eye Tracker,1464.0,372.0,Valid,Valid,Fixation
1669774992.8411882,,Eye Tracker,1467.0,365.0,Valid,Valid,Fixation
1669774992.8578432,,Eye Tracker,1471.0,365.0,Valid,Valid,Fixation
1669774992.8744981,,Eye Tracker,1463.0,359.0,Valid,Valid,Fixation
1669774992.8911521,,Eye Tracker,1457.0,353.0,Valid,Valid,Fixation
1669774992.907807,,Eye Tracker,1462.0,363.0,Valid,Valid,Fixation
1669774992.924462,,Eye Tracker,1475.0,363.0,Valid,Valid,Fixation
1669774992.941116,,Eye Tracker,1698.0,347.0,Valid,Valid,Saccade
1669774992.957771,,Eye Tracker,1690.0,350.0,Valid,Valid,Fixation
1669774992.974426,,Eye Tracker,1695.0,346.0,Valid,Valid,Fixation
1669774993.0418732,,Eye Tracker,1698.0,343.0,Valid,Valid,Fixation
1669774993.0585291,,Eye Tracker,1696.0,340.0,Valid,Valid,Fixation
1669774993.0751832,,Eye Tracker,1696.0,338.0,Valid,Valid,Fixation
1669774993.0918381,,Eye Tracker,1692.0,337.0,Valid,Valid,Fixation
1669774993.1052382,,Eye Tracker,1688.0,341.0,Valid,Valid,Fixation
1669774993.108493,,Eye Tracker,1694.0,344.0,Valid,Valid,Fixation
1669774993.1211991,,Eye Tracker,1692.0,342.0,Valid,Valid,Fixation
1669774993.125147,,Eye Tracker,1616.0,335.0,Valid,Valid,Saccade
1669774993.1372302,,Eye Tracker,1364.0,281.0,Valid,Valid,Saccade
1669774993.141802,,Eye Tracker,1225.0,252.0,Valid,Valid,Saccade
1669774993.153232,,Eye Tracker,524.0,174.0,Valid,Valid,Saccade
1669774993.158457,,Eye Tracker,524.0,174.0,Valid,Valid,Unclassified
1669774993.169234,,Eye Tracker,295.0,174.0,Invalid,Valid,Saccade
1669774993.175112,,Eye Tracker,286.0,176.0,Invalid,Valid,Fixation
1669774993.1852212,,Eye Tracker,320.0,192.0,Valid,Valid,Fixation
1669774993.191766,,Eye Tracker,305.0,185.0,Valid,Valid,Fixation
1669774993.201199,,Eye Tracker,304.0,188.0,Valid,Valid,Fixation
1669774993.2084212,,Eye Tracker,307.0,182.0,Valid,Valid,Fixation
1669774993.2172132,,Eye Tracker,305.0,181.0,Valid,Valid,Fixation
1669774993.2250762,,Eye Tracker,309.0,188.0,Valid,Valid,Fixation
1669774993.2332022,,Eye Tracker,296.0,195.0,Valid,Valid,Fixation
1669774993.2417312,,Eye Tracker,241.0,209.0,Valid,Valid,Saccade
1669774993.249233,,Eye Tracker,206.0,212.0,Valid,Valid,Saccade
1669774993.2583861,,Eye Tracker,209.0,206.0,Valid,Valid,Unclassified
1669774993.2652302,,Eye Tracker,202.0,202.0,Valid,Valid,Unclassified
1669774993.275041,,Eye Tracker,199.0,203.0,Valid,Valid,Unclassified
1669774993.291695,,Eye Tracker,236.0,207.0,Valid,Valid,Saccade
1669774993.30835,,Eye Tracker,278.0,216.0,Valid,Valid,Saccade
1669774993.325005,,Eye Tracker,796.5,261.0,Invalid,Invalid,EyesNotFound
1669774993.34166,,Eye Tracker,1315.0,306.0,Valid,Valid,Unclassified
1669774993.3583152,,Eye Tracker,1315.0,306.0,Valid,Valid,Unclassified
1669774993.3749702,,Eye Tracker,1462.5,347.0,Invalid,Invalid,EyesNotFound
1669774993.3916242,,Eye Tracker,1610.0,388.0,Valid,Valid,Fixation
1669774993.4082792,,Eye Tracker,1617.0,373.0,Valid,Valid,Fixation
1669774993.4249341,,Eye Tracker,1612.0,375.0,Valid,Valid,Fixation
1669774993.441589,,Eye Tracker,1607.0,379.0,Valid,Valid,Fixation
1669774993.4582431,,Eye Tracker,1609.0,376.0,Valid,Valid,Fixation
1669774993.474898,,Eye Tracker,1610.0,380.0,Valid,Valid,Fixation
1669774993.491553,,Eye Tracker,1612.0,380.0,Valid,Valid,Fixation
1669774993.508207,,Eye Tracker,1665.0,367.0,Valid,Valid,Saccade
1669774993.524862,,Eye Tracker,1707.0,356.0,Valid,Valid,Saccade
1669774993.541517,,Eye Tracker,1692.0,359.0,Valid,Valid,Fixation
1669774993.558171,,Eye Tracker,1693.0,361.0,Valid,Valid,Fixation
1669774993.574826,,Eye Tracker,1701.0,357.0,Valid,Valid,Fixation
1669774993.5914812,,Eye Tracker,1703.0,359.0,Valid,Valid,Fixation
1669774993.6081362,,Eye Tracker,1695.0,367.0,Valid,Valid,Fixation
1669774993.6247911,,Eye Tracker,1693.0,368.0,Valid,Valid,Fixation
1669774993.641446,,Eye Tracker,1703.0,358.0,Valid,Valid,Fixation
1669774993.6581001,,Eye Tracker,1704.0,354.0,Valid,Valid,Fixation
1669774993.674755,,Eye Tracker,1695.0,348.0,Valid,Valid,Fixation
1669774993.69141,,Eye Tracker,1690.0,351.0,Valid,Valid,Fixation
1669774993.708065,,Eye Tracker,1696.0,359.0,Valid,Valid,Fixation
1669774993.724719,,Mouse,1699.0,358.0,,,Fixation
1669774993.741374,,Eye Tracker,1702.0,357.0,Valid,Valid,Fixation
1669774993.7532492,,Eye Tracker,1692.0,360.0,Valid,Valid,Fixation
1669774993.7533002,,Eye Tracker,1689.0,359.0,Valid,Valid,Fixation
1669774993.7580302,,Eye Tracker,1698.0,357.0,Valid,Valid,Fixation
1669774993.769309,,Eye Tracker,1702.0,357.0,Valid,Valid,Fixation
1669774993.7746842,,Eye Tracker,1703.0,359.0,Valid,Valid,Fixation
1669774993.7852802,,Eye Tracker,1698.0,361.0,Valid,Valid,Fixation
1669774993.7913392,,Eye Tracker,1698.0,358.0,Valid,Valid,Fixation
1669774993.8012881,,Eye Tracker,1697.0,359.0,Valid,Valid,Fixation
1669774993.8079941,,Eye Tracker,1694.0,359.0,Valid,Valid,Fixation
