Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668580106.493548,,,,MouseEvent,"Down, Left"
1668580106.493548,Mouse,43.0,94.0,,
1668580106.805054,Mouse,43.0,93.0,,
1668580106.825023,Mouse,43.0,91.0,,
1668580106.845055,Mouse,43.0,89.0,,
1668580106.865056,Mouse,43.0,88.0,,
1668580107.127022,Mouse,44.0,87.0,,
1668580107.147011,Mouse,46.0,83.0,,
1668580107.167012,Mouse,49.0,78.0,,
1668580107.187009,Mouse,52.0,75.0,,
1668580107.197158,Mouse,52.0,74.0,,
1668580107.30602,Mouse,53.0,74.0,,
1668580107.317034,Mouse,53.0,73.0,,
1668580107.337176,Mouse,54.0,72.0,,
1668580107.357022,Mouse,55.0,70.0,,
1668580107.367059,Mouse,56.0,69.0,,
1668580107.39712,Mouse,57.0,68.0,,
1668580107.416985,Mouse,59.0,68.0,,
1668580107.427016,Mouse,60.0,67.0,,
1668580107.438183,Mouse,61.0,66.0,,
1668580107.44822,Mouse,63.0,66.0,,
1668580107.46811,Mouse,66.0,64.0,,
1668580107.488001,Mouse,71.0,63.0,,
1668580107.498034,Mouse,75.0,61.0,,
1668580107.517049,Mouse,78.0,61.0,,
1668580107.528007,Mouse,80.0,59.0,,
1668580107.53816,Mouse,83.0,59.0,,
1668580107.557043,Mouse,85.0,58.0,,
1668580107.568293,Mouse,86.0,58.0,,
1668580107.588128,Mouse,90.0,58.0,,
1668580107.598277,Mouse,91.0,57.0,,
1668580107.609029,Mouse,94.0,56.0,,
1668580107.629176,Mouse,98.0,54.0,,
1668580107.647982,Mouse,100.0,53.0,,
1668580107.659139,Mouse,101.0,53.0,,
1668580107.669145,Mouse,102.0,53.0,,
1668580107.688085,Mouse,103.0,53.0,,
1668580107.709239,Mouse,106.0,52.0,,
1668580107.728072,Mouse,106.0,52.0,,
1668580107.739009,Mouse,106.0,52.0,,
1668580107.759029,Mouse,108.0,52.0,,
1668580107.779039,Mouse,110.0,52.0,,
1668580107.789078,Mouse,111.0,52.0,,
1668580107.799164,Mouse,114.0,52.0,,
1668580107.818046,Mouse,119.0,52.0,,
1668580107.829187,Mouse,122.0,52.0,,
1668580107.849013,Mouse,130.0,51.0,,
1668580107.869079,Mouse,137.0,51.0,,
1668580107.889031,Mouse,141.0,51.0,,
1668580107.909228,Mouse,144.0,51.0,,
1668580107.929309,Mouse,148.0,51.0,,
1668580107.950014,Mouse,150.0,51.0,,
1668580107.960058,Mouse,152.0,51.0,,
1668580107.979986,Mouse,156.0,51.0,,
1668580108.000041,Mouse,162.0,51.0,,
1668580108.020076,Mouse,166.0,50.0,,
1668580108.040029,Mouse,169.0,49.0,,
1668580108.050142,Mouse,172.0,49.0,,
1668580108.080234,Mouse,175.0,49.0,,
1668580108.099982,Mouse,177.0,49.0,,
1668580108.110013,Mouse,177.0,49.0,,
1668580108.121303,Mouse,179.0,48.0,,
1668580108.141009,Mouse,183.0,48.0,,
1668580108.151071,Mouse,186.0,48.0,,
1668580108.17101,Mouse,191.0,47.0,,
1668580108.181064,Mouse,193.0,47.0,,
1668580108.191083,Mouse,195.0,47.0,,
1668580108.210987,Mouse,199.0,46.0,,
1668580108.221172,Mouse,201.0,46.0,,
1668580108.240044,Mouse,205.0,46.0,,
1668580108.251031,Mouse,207.0,46.0,,
1668580108.261071,Mouse,212.0,46.0,,
1668580108.28005,Mouse,216.0,46.0,,
1668580108.291251,Mouse,220.0,44.0,,
1668580108.310988,Mouse,227.0,43.0,,
1668580108.321167,Mouse,231.0,42.0,,
1668580108.341023,Mouse,235.0,42.0,,
1668580108.351067,Mouse,237.0,42.0,,
1668580108.370038,Mouse,239.0,42.0,,
1668580108.381107,Mouse,240.0,42.0,,
1668580108.391174,Mouse,243.0,42.0,,
1668580108.409991,Mouse,249.0,42.0,,
1668580108.421071,Mouse,252.0,42.0,,
1668580108.44105,Mouse,257.0,42.0,,
1668580108.451372,Mouse,259.0,42.0,,
1668580108.462161,Mouse,262.0,42.0,,
1668580108.482215,Mouse,271.0,42.0,,
1668580108.492514,Mouse,273.0,42.0,,
1668580108.512014,Mouse,282.0,41.0,,
1668580108.522108,Mouse,286.0,41.0,,
1668580108.541052,Mouse,294.0,41.0,,
1668580108.552109,Mouse,297.0,41.0,,
1668580108.572011,Mouse,302.0,41.0,,
1668580108.592714,Mouse,307.0,41.0,,
1668580108.612027,Mouse,313.0,41.0,,
1668580108.622303,Mouse,317.0,41.0,,
1668580108.633015,Mouse,319.0,41.0,,
1668580108.643175,Mouse,322.0,41.0,,
