Recording timestamp,Position X,Position Y
1668580469.122169,18.0,977.5
1668580469.132467,19.0,977.5
1668580469.143163,20.0,976.5
1668580469.153185,20.0,975.5
1668580469.161375,22.0,974.5
1668580469.183071,23.0,973.5
1668580469.192229,24.0,972.5
1668580469.202231,25.0,971.5
1668580469.222344,26.0,970.5
1668580469.232878,27.0,970.5
1668580469.273569,27.0,969.5
1668580469.323283,28.0,969.5
1668580469.33279,29.0,969.5
1668580469.363609,30.0,969.5
1668580469.422403,31.0,969.5
1668580469.453452,32.0,969.5
1668580469.474126,34.0,968.5
1668580469.483421,35.0,968.5
1668580469.493971,36.0,968.5
1668580469.513334,37.0,968.5
1668580469.523335,39.0,968.5
1668580469.534122,40.0,968.5
1668580469.542856,41.0,968.5
1668580469.553741,43.0,968.5
1668580469.573683,44.0,968.5
1668580469.583634,45.0,967.5
1668580469.593676,46.0,967.5
1668580469.605416,47.0,967.5
1668580469.615106,49.0,967.5
1668580469.633768,50.0,967.5
1668580469.654969,51.0,967.5
1668580469.664981,52.0,966.5
1668580469.673312,53.0,966.5
1668580469.68465,54.0,966.5
1668580469.694738,55.0,966.5
1668580469.713271,57.0,965.5
1668580469.724269,58.0,965.5
1668580469.734601,59.0,965.5
1668580469.744785,60.0,964.5
1668580469.754792,61.0,964.5
1668580469.765824,62.0,964.5
1668580469.775738,63.0,964.5
1668580469.785713,64.0,964.5
1668580469.795715,66.0,963.5
1668580469.804979,67.0,963.5
1668580469.816011,68.0,963.5
1668580469.826011,69.0,963.5
1668580469.836063,70.0,963.5
1668580469.844344,71.0,963.5
1668580469.865376,72.0,963.5
1668580469.896131,73.0,963.5
1668580469.905751,74.0,963.5
1668580469.916193,75.0,963.5
1668580469.92455,76.0,963.5
1668580469.93578,78.0,963.5
1668580469.945255,80.0,963.5
1668580469.955401,81.0,963.5
1668580469.974583,82.0,963.5
1668580469.995921,83.0,963.5
1668580470.006133,84.0,963.5
1668580470.015132,85.0,963.5
1668580470.026233,86.0,963.5
1668580470.046007,87.0,963.5
1668580470.054391,88.0,963.5
1668580470.065583,89.0,963.5
1668580470.075267,90.0,963.5
1668580470.085397,92.0,963.5
1668580470.106334,94.0,963.5
1668580470.136343,95.0,963.5
1668580470.155479,97.0,963.5
1668580470.166291,99.0,963.5
1668580470.176282,100.0,963.5
1668580470.206284,101.0,963.5
1668580470.216608,103.0,963.5
1668580470.225497,104.0,963.5
1668580470.237041,106.0,962.5
1668580470.247132,108.0,962.5
1668580470.257166,110.0,961.5
1668580470.266637,111.0,960.5
1668580470.278218,113.0,959.5
1668580470.287532,116.0,958.5
1668580470.297731,117.0,957.5
1668580470.307737,118.0,956.5
1668580470.316737,119.0,956.5
1668580470.348017,121.0,955.5
1668580470.357487,121.0,954.5
1668580470.367344,122.0,954.5
