Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668576206.704514,,Eye Tracker,70.0,188.0,Valid,Valid,Fixation
1668576206.721168,,Eye Tracker,366.0,193.0,Invalid,Valid,Saccade
1668576206.737823,,Eye Tracker,388.0,191.0,Valid,Valid,Fixation
1668576206.754479,,Eye Tracker,378.0,201.0,Valid,Valid,Fixation
1668576206.771133,,Eye Tracker,379.0,199.0,Valid,Valid,Fixation
1668576206.787788,,Eye Tracker,382.0,195.0,Valid,Valid,Fixation
1668576206.804443,,Eye Tracker,384.0,194.0,Valid,Valid,Fixation
1668576206.821097,,Eye Tracker,380.0,190.0,Valid,Valid,Fixation
1668576206.837752,,Eye Tracker,372.0,183.0,Valid,Valid,Fixation
1668576206.854407,,Eye Tracker,373.0,185.0,Valid,Valid,Fixation
1668576206.871061,,Eye Tracker,377.0,181.0,Valid,Valid,Fixation
1668576206.887716,,Eye Tracker,366.0,178.0,Valid,Valid,Fixation
1668576206.904372,,Eye Tracker,341.0,192.0,Valid,Valid,Saccade
1668576206.921026,,Eye Tracker,86.0,164.0,Valid,Valid,Saccade
1668576206.937681,,Eye Tracker,82.0,177.0,Valid,Valid,Fixation
1668576206.954336,,Eye Tracker,84.0,176.0,Valid,Valid,Fixation
1668576206.970991,,Eye Tracker,83.0,179.0,Valid,Valid,Fixation
1668576206.987645,,Eye Tracker,85.0,183.0,Valid,Valid,Fixation
1668576207.0043,,Eye Tracker,91.0,182.0,Valid,Valid,Fixation
1668576207.020955,,Eye Tracker,88.0,183.0,Valid,Valid,Fixation
1668576207.037609,,Eye Tracker,91.0,182.0,Valid,Valid,Fixation
1668576207.054265,,Eye Tracker,89.0,179.0,Valid,Valid,Fixation
1668576207.07092,,Eye Tracker,87.0,177.0,Valid,Valid,Fixation
1668576207.087574,,Eye Tracker,88.0,179.0,Valid,Valid,Fixation
1668576207.104229,,Eye Tracker,96.0,180.0,Valid,Valid,Fixation
1668576207.120884,,Eye Tracker,94.0,181.0,Valid,Valid,Fixation
1668576207.137538,,Eye Tracker,99.0,170.0,Valid,Valid,Fixation
1668576207.154193,,Eye Tracker,97.0,168.0,Valid,Valid,Fixation
1668576207.170848,,Eye Tracker,99.0,164.0,Valid,Valid,Fixation
1668576207.187502,,Eye Tracker,95.0,160.0,Valid,Valid,Fixation
1668576207.204157,,Eye Tracker,70.0,161.0,Valid,Valid,Fixation
1668576207.220813,,Eye Tracker,380.0,168.0,Valid,Valid,Saccade
1668576207.237468,,Eye Tracker,377.0,170.0,Valid,Valid,Fixation
1668576207.254122,,Eye Tracker,370.0,163.0,Valid,Valid,Fixation
1668576207.270777,,Eye Tracker,369.0,155.0,Valid,Valid,Fixation
1668576207.287432,,Eye Tracker,370.0,156.0,Valid,Valid,Fixation
1668576207.304086,,Eye Tracker,374.0,158.0,Valid,Valid,Fixation
1668576207.320741,,Eye Tracker,376.0,156.0,Valid,Valid,Fixation
1668576207.337396,,Eye Tracker,377.0,156.0,Valid,Valid,Fixation
1668576207.35405,,Eye Tracker,376.0,156.0,Valid,Valid,Fixation
1668576207.370706,,Eye Tracker,377.0,156.0,Valid,Valid,Fixation
1668576207.387361,,Eye Tracker,376.0,156.0,Valid,Valid,Fixation
1668576207.404015,,Eye Tracker,378.0,150.0,Valid,Valid,Fixation
1668576207.42067,,Eye Tracker,379.0,149.0,Valid,Valid,Fixation
1668576207.437325,,Eye Tracker,375.0,145.0,Valid,Valid,Fixation
1668576207.453979,,Eye Tracker,376.0,143.0,Valid,Valid,Fixation
1668576207.470634,,Eye Tracker,374.0,143.0,Valid,Valid,Fixation
1668576207.487289,,Eye Tracker,375.0,142.0,Valid,Valid,Fixation
1668576207.503944,,Eye Tracker,372.0,139.0,Valid,Valid,Fixation
1668576207.520599,,Eye Tracker,369.0,140.0,Valid,Valid,Fixation
1668576207.537254,,Eye Tracker,372.0,138.0,Valid,Valid,Fixation
1668576207.553909,,Eye Tracker,374.0,138.0,Valid,Valid,Fixation
1668576207.570563,,Eye Tracker,376.0,139.0,Valid,Valid,Fixation
1668576207.587218,,Eye Tracker,378.0,140.0,Valid,Valid,Fixation
1668576207.603873,,Eye Tracker,377.0,140.0,Valid,Valid,Fixation
1668576207.620527,,Eye Tracker,378.0,134.0,Valid,Valid,Fixation
1668576207.637182,,Eye Tracker,377.0,136.0,Valid,Valid,Fixation
1668576207.653837,,Eye Tracker,377.0,135.0,Valid,Valid,Fixation
1668576207.670491,,Eye Tracker,381.0,138.0,Valid,Valid,Fixation
1668576207.687147,,Eye Tracker,384.0,139.0,Valid,Valid,Fixation
1668576207.703802,,Eye Tracker,391.0,133.0,Valid,Valid,Fixation
1668576207.720456,,Eye Tracker,391.0,131.0,Valid,Valid,Fixation
1668576207.737111,,Eye Tracker,390.0,131.0,Valid,Valid,Fixation
1668576207.753766,,Eye Tracker,391.0,129.0,Valid,Valid,Fixation
1668576207.770421,,Eye Tracker,389.0,127.0,Valid,Valid,Fixation
1668576207.787075,,Eye Tracker,389.0,122.0,Valid,Valid,Fixation
1668576207.80373,,Eye Tracker,383.0,122.0,Valid,Valid,Fixation
1668576207.820385,,Eye Tracker,387.0,124.0,Valid,Valid,Fixation
1668576207.83704,,Eye Tracker,395.0,122.0,Valid,Valid,Fixation
1668576207.853695,,Eye Tracker,392.0,122.0,Valid,Valid,Fixation
1668576207.87035,,Eye Tracker,442.0,130.0,Valid,Valid,Saccade
1668576207.887004,,Eye Tracker,502.0,149.0,Valid,Valid,Saccade
1668576207.903659,,Eye Tracker,509.0,163.0,Valid,Valid,Fixation
1668576207.920314,,Eye Tracker,513.0,160.0,Valid,Valid,Fixation
1668576207.936968,,Eye Tracker,515.0,161.0,Valid,Valid,Fixation
1668576207.953623,,Eye Tracker,515.0,164.0,Valid,Valid,Fixation
1668576207.970278,,Eye Tracker,520.0,163.0,Valid,Valid,Fixation
1668576207.986933,,Eye Tracker,521.0,163.0,Valid,Valid,Fixation
1668576208.003588,,Eye Tracker,516.0,167.0,Valid,Valid,Fixation
1668576208.020243,,Eye Tracker,515.0,162.0,Valid,Valid,Fixation
1668576208.036898,,Eye Tracker,521.0,161.0,Valid,Valid,Fixation
1668576208.053552,,Eye Tracker,521.0,168.0,Valid,Valid,Fixation
1668576208.070207,,Eye Tracker,517.0,166.0,Valid,Valid,Fixation
1668576208.086862,,Eye Tracker,514.0,167.0,Valid,Valid,Fixation
1668576208.103516,,Eye Tracker,518.0,169.0,Valid,Valid,Fixation
1668576208.120171,,Eye Tracker,521.0,171.0,Valid,Valid,Fixation
1668576208.136826,,Eye Tracker,523.0,173.0,Valid,Valid,Fixation
1668576208.153481,,Eye Tracker,525.0,171.0,Valid,Valid,Fixation
1668576208.170136,,Eye Tracker,522.0,169.0,Valid,Valid,Fixation
1668576208.186791,,Eye Tracker,521.0,171.0,Valid,Valid,Fixation
1668576208.203445,,Eye Tracker,523.0,169.0,Valid,Valid,Fixation
1668576208.2201,,Eye Tracker,523.0,168.0,Valid,Valid,Fixation
1668576208.236755,,Eye Tracker,521.0,172.0,Valid,Valid,Fixation
1668576208.253409,,Eye Tracker,524.0,173.0,Valid,Valid,Fixation
1668576208.270064,,Eye Tracker,528.0,175.0,Valid,Valid,Fixation
1668576208.286719,,Eye Tracker,526.0,169.0,Valid,Valid,Fixation
1668576208.303375,,Eye Tracker,524.0,169.0,Valid,Valid,Fixation
1668576208.320029,,Eye Tracker,522.0,169.0,Valid,Valid,Fixation
1668576208.336684,,Eye Tracker,521.0,169.0,Valid,Valid,Fixation
1668576208.353339,,Eye Tracker,526.0,169.0,Valid,Valid,Fixation
1668576208.369993,,Eye Tracker,530.0,165.0,Valid,Valid,Fixation
1668576208.386648,,Eye Tracker,525.0,197.0,Valid,Valid,Saccade
1668576208.403303,,Eye Tracker,529.0,254.0,Valid,Valid,Saccade
1668576208.419957,,Eye Tracker,531.0,322.0,Valid,Valid,Saccade
1668576208.436612,,Eye Tracker,532.0,324.0,Valid,Valid,Fixation
1668576208.453268,,Eye Tracker,533.0,332.0,Valid,Valid,Fixation
1668576208.469922,,Eye Tracker,532.0,332.0,Valid,Valid,Fixation
1668576208.486577,,Eye Tracker,529.0,327.0,Valid,Valid,Fixation
1668576208.503232,,Eye Tracker,531.0,325.0,Valid,Valid,Fixation
1668576208.519886,,Eye Tracker,537.0,333.0,Valid,Valid,Fixation
1668576208.536541,,Eye Tracker,528.0,331.0,Valid,Valid,Fixation
1668576208.553196,,Eye Tracker,529.0,327.0,Valid,Valid,Fixation
1668576208.569851,,Eye Tracker,532.0,327.0,Valid,Valid,Fixation
1668576208.586505,,Eye Tracker,531.0,328.0,Valid,Valid,Fixation
1668576208.603161,,Eye Tracker,533.0,327.0,Valid,Valid,Fixation
1668576208.619816,,Eye Tracker,534.0,328.0,Valid,Valid,Fixation
1668576208.63647,,Eye Tracker,537.0,336.0,Valid,Valid,Fixation
1668576208.653125,,Eye Tracker,536.0,335.0,Valid,Valid,Fixation
1668576208.66978,,Eye Tracker,537.0,347.0,Valid,Valid,Fixation
1668576208.686434,,Eye Tracker,554.0,408.0,Valid,Valid,Saccade
1668576208.703089,,Eye Tracker,564.0,440.0,Valid,Valid,Fixation
1668576208.719744,,Eye Tracker,562.0,423.0,Valid,Valid,Fixation
