Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668575846.039074,,,,MouseEvent,"Down, Left"
1668575846.039074,Mouse,1696.0,295.0,,
1668575846.219933,Mouse,1695.0,295.0,,
1668575846.230176,Mouse,1695.0,299.0,,
1668575846.249883,Mouse,1690.0,311.0,,
1668575846.260082,Mouse,1688.0,317.0,,
1668575846.278878,Mouse,1684.0,327.0,,
1668575846.289865,Mouse,1682.0,333.0,,
1668575846.299915,Mouse,1680.0,338.0,,
1668575846.318852,Mouse,1676.0,349.0,,
1668575846.328927,Mouse,1673.0,356.0,,
1668575846.339915,Mouse,1671.0,362.0,,
1668575846.359865,Mouse,1664.0,379.0,,
1668575846.369876,Mouse,1661.0,385.0,,
1668575846.380891,Mouse,1657.0,393.0,,
1668575846.390939,Mouse,1652.0,400.0,,
1668575846.409901,Mouse,1645.0,412.0,,
1668575846.42091,Mouse,1642.0,419.0,,
1668575846.430987,Mouse,1639.0,423.0,,
1668575846.449915,Mouse,1633.0,431.0,,
1668575846.461089,Mouse,1629.0,436.0,,
1668575846.48091,Mouse,1618.0,450.0,,
1668575846.501129,Mouse,1605.0,464.0,,
1668575846.520934,Mouse,1589.0,477.0,,
1668575846.531013,Mouse,1580.0,484.0,,
1668575846.552045,Mouse,1564.0,497.0,,
1668575846.571892,Mouse,1546.0,511.0,,
1668575846.591931,Mouse,1531.0,521.0,,
1668575846.611892,Mouse,1511.0,529.0,,
1668575846.631916,Mouse,1491.0,536.0,,
1668575846.651901,Mouse,1467.0,544.0,,
1668575846.671916,Mouse,1443.0,550.0,,
1668575846.691901,Mouse,1418.0,558.0,,
1668575846.710912,Mouse,1396.0,563.0,,
1668575846.722038,Mouse,1387.0,565.0,,
1668575846.741906,Mouse,1365.0,568.0,,
1668575846.762171,Mouse,1342.0,573.0,,
1668575846.781855,Mouse,1318.0,577.0,,
1668575846.801902,Mouse,1295.0,579.0,,
1668575846.821924,Mouse,1275.0,582.0,,
1668575846.8409,Mouse,1258.0,585.0,,
1668575846.851931,Mouse,1249.0,586.0,,
1668575846.862038,Mouse,1238.0,587.0,,
1668575846.881915,Mouse,1218.0,590.0,,
1668575846.893151,Mouse,1208.0,592.0,,
1668575846.912879,Mouse,1186.0,592.0,,
1668575846.932939,Mouse,1162.0,592.0,,
1668575846.953159,Mouse,1125.0,588.0,,
1668575846.972844,Mouse,1088.0,583.0,,
1668575846.982901,Mouse,1069.0,581.0,,
