Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668577679.382614,,Eye Tracker,1498.0,181.0,Valid,Valid,Fixation
1668577679.399269,,Eye Tracker,1497.0,179.0,Valid,Valid,Fixation
1668577679.415924,,Eye Tracker,1496.0,184.0,Valid,Valid,Fixation
1668577679.432579,,Eye Tracker,1495.0,185.0,Valid,Valid,Fixation
1668577679.449234,,Eye Tracker,1492.0,186.0,Valid,Valid,Fixation
1668577679.465888,,Eye Tracker,1498.0,189.0,Valid,Valid,Fixation
1668577679.482543,,Eye Tracker,1497.0,190.0,Valid,Valid,Fixation
1668577679.499198,,Eye Tracker,1493.0,190.0,Valid,Valid,Fixation
1668577679.515852,,Eye Tracker,1495.0,189.0,Valid,Valid,Fixation
1668577679.532507,,Eye Tracker,1500.0,186.0,Valid,Valid,Fixation
1668577679.549163,,Eye Tracker,1501.0,183.0,Valid,Valid,Fixation
1668577679.565818,,Eye Tracker,1493.0,191.0,Valid,Valid,Fixation
1668577679.582472,,Eye Tracker,1488.0,192.0,Valid,Valid,Fixation
1668577679.599127,,Eye Tracker,1493.0,192.0,Valid,Valid,Fixation
1668577679.615782,,Eye Tracker,1494.0,196.0,Valid,Valid,Fixation
1668577679.632436,,Eye Tracker,1493.0,191.0,Valid,Valid,Fixation
1668577679.649091,,Eye Tracker,1495.0,187.0,Valid,Valid,Fixation
1668577679.665747,,Eye Tracker,1496.0,194.0,Valid,Valid,Fixation
1668577679.682401,,Eye Tracker,1498.0,193.0,Valid,Valid,Fixation
1668577679.699056,,Eye Tracker,1495.0,193.0,Valid,Valid,Fixation
1668577679.715711,,Eye Tracker,1494.0,193.0,Valid,Valid,Fixation
1668577679.732365,,Eye Tracker,1501.0,183.0,Valid,Valid,Fixation
1668577679.74902,,Eye Tracker,1499.0,185.0,Valid,Valid,Fixation
1668577679.765675,,Eye Tracker,1495.0,191.0,Valid,Valid,Fixation
1668577679.782329,,Eye Tracker,1496.0,187.0,Valid,Valid,Fixation
1668577679.798985,,Eye Tracker,1493.0,187.0,Valid,Valid,Fixation
1668577679.81564,,Eye Tracker,1490.0,192.0,Valid,Valid,Fixation
1668577679.832295,,Eye Tracker,1493.0,189.0,Valid,Valid,Fixation
1668577679.848949,,Eye Tracker,1494.0,193.0,Valid,Valid,Fixation
1668577679.865604,,Eye Tracker,1491.0,193.0,Valid,Valid,Fixation
1668577679.882259,,Eye Tracker,1490.0,194.0,Valid,Valid,Fixation
1668577679.898913,,Eye Tracker,1489.0,206.0,Valid,Valid,Fixation
1668577679.915569,,Eye Tracker,1486.0,208.0,Valid,Valid,Fixation
1668577679.932224,,Eye Tracker,1490.0,207.0,Valid,Valid,Fixation
1668577679.948878,,Eye Tracker,1491.0,207.0,Valid,Valid,Fixation
1668577679.965533,,Eye Tracker,1494.0,199.0,Valid,Valid,Fixation
1668577679.982188,,Eye Tracker,1492.0,197.0,Valid,Valid,Fixation
1668577679.998842,,Eye Tracker,1488.0,195.0,Valid,Valid,Fixation
1668577680.015497,,Eye Tracker,1489.0,193.0,Valid,Valid,Fixation
1668577680.032152,,Eye Tracker,1490.0,195.0,Valid,Valid,Fixation
1668577680.048807,,Eye Tracker,1489.0,201.0,Valid,Valid,Fixation
1668577680.065462,,Eye Tracker,1490.0,200.0,Valid,Valid,Fixation
1668577680.082117,,Eye Tracker,1492.0,196.0,Valid,Valid,Fixation
1668577680.098772,,Eye Tracker,1490.0,196.0,Valid,Valid,Fixation
1668577680.115426,,Eye Tracker,1490.0,196.0,Valid,Valid,Fixation
1668577680.132081,,Eye Tracker,1492.0,198.0,Valid,Valid,Fixation
1668577680.148736,,Eye Tracker,1492.0,194.0,Valid,Valid,Fixation
1668577680.16539,,Eye Tracker,1494.0,193.0,Valid,Valid,Fixation
1668577680.182046,,Eye Tracker,1487.0,198.0,Valid,Valid,Fixation
1668577680.198701,,Eye Tracker,1482.0,202.0,Valid,Valid,Fixation
1668577680.215355,,Eye Tracker,1484.0,200.0,Valid,Valid,Fixation
1668577680.23201,,Eye Tracker,1487.0,196.0,Valid,Valid,Fixation
1668577680.248665,,Eye Tracker,1488.0,191.0,Valid,Valid,Fixation
1668577680.265319,,Eye Tracker,1462.0,195.0,Valid,Valid,Saccade
1668577680.281974,,Eye Tracker,1440.0,195.0,Valid,Valid,Fixation
1668577680.29863,,Eye Tracker,1446.0,192.0,Valid,Valid,Fixation
1668577680.315284,,Eye Tracker,1447.0,196.0,Valid,Valid,Fixation
1668577680.331939,,Eye Tracker,1449.0,194.0,Valid,Valid,Fixation
1668577680.348594,,Eye Tracker,1450.0,194.0,Valid,Valid,Fixation
1668577680.365249,,Eye Tracker,1450.0,196.0,Valid,Valid,Fixation
1668577680.381903,,Eye Tracker,1449.0,196.0,Valid,Valid,Fixation
1668577680.398558,,Eye Tracker,1451.0,197.0,Valid,Valid,Fixation
1668577680.415213,,Eye Tracker,1449.0,193.0,Valid,Valid,Fixation
1668577680.431868,,Eye Tracker,1454.0,192.0,Valid,Valid,Fixation
