Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668577859.465853,,,,MouseEvent,"Down, Left"
1668577859.465853,Mouse,1500.0,149.0,,
1668577859.918807,Mouse,1499.0,148.0,,
1668577859.937831,Mouse,1498.0,148.0,,
1668577859.94904,Mouse,1497.0,149.0,,
1668577859.96906,Mouse,1494.0,150.0,,
1668577859.988819,Mouse,1490.0,151.0,,
1668577859.998846,Mouse,1488.0,152.0,,
1668577860.019026,Mouse,1483.0,154.0,,
1668577860.038774,Mouse,1479.0,155.0,,
1668577860.049042,Mouse,1478.0,155.0,,
1668577860.067791,Mouse,1474.0,156.0,,
1668577860.078863,Mouse,1473.0,156.0,,
1668577860.098732,Mouse,1470.0,156.0,,
1668577860.118767,Mouse,1469.0,156.0,,
1668577860.13871,Mouse,1467.0,156.0,,
1668577860.148873,Mouse,1465.0,156.0,,
1668577860.159749,Mouse,1465.0,156.0,,
1668577860.179871,Mouse,1461.0,156.0,,
1668577860.199757,Mouse,1459.0,156.0,,
1668577860.209793,Mouse,1457.0,156.0,,
1668577860.219832,Mouse,1454.0,156.0,,
1668577860.238762,Mouse,1448.0,156.0,,
1668577860.249788,Mouse,1443.0,156.0,,
1668577860.269795,Mouse,1432.0,156.0,,
1668577860.289785,Mouse,1420.0,158.0,,
1668577860.300023,Mouse,1415.0,158.0,,
1668577860.310027,Mouse,1409.0,159.0,,
1668577860.330779,Mouse,1394.0,163.0,,
1668577860.340842,Mouse,1386.0,165.0,,
1668577860.350857,Mouse,1378.0,167.0,,
1668577860.370829,Mouse,1360.0,171.0,,
1668577860.390816,Mouse,1347.0,175.0,,
1668577860.409819,Mouse,1334.0,178.0,,
1668577860.420777,Mouse,1326.0,181.0,,
1668577860.441081,Mouse,1315.0,185.0,,
1668577860.46098,Mouse,1303.0,188.0,,
1668577860.471032,Mouse,1299.0,190.0,,
1668577860.489804,Mouse,1288.0,194.0,,
1668577860.501045,Mouse,1283.0,196.0,,
1668577860.520768,Mouse,1271.0,201.0,,
1668577860.540807,Mouse,1263.0,204.0,,
1668577860.560748,Mouse,1254.0,207.0,,
1668577860.570835,Mouse,1247.0,208.0,,
1668577860.590813,Mouse,1237.0,212.0,,
1668577860.610812,Mouse,1224.0,217.0,,
1668577860.63075,Mouse,1211.0,222.0,,
1668577860.640804,Mouse,1204.0,227.0,,
1668577860.660753,Mouse,1182.0,236.0,,
1668577860.671994,Mouse,1168.0,241.0,,
1668577860.682007,Mouse,1153.0,248.0,,
1668577860.701859,Mouse,1120.0,265.0,,
1668577860.712027,Mouse,1108.0,272.0,,
1668577860.731784,Mouse,1078.0,288.0,,
1668577860.741795,Mouse,1066.0,295.0,,
1668577860.761762,Mouse,1042.0,305.0,,
1668577860.77187,Mouse,1029.0,309.0,,
1668577860.790791,Mouse,1005.0,320.0,,
1668577860.801824,Mouse,996.0,325.0,,
1668577860.812112,Mouse,985.0,329.0,,
1668577860.831817,Mouse,963.0,337.0,,
1668577860.843066,Mouse,952.0,341.0,,
1668577860.862701,Mouse,930.0,352.0,,
1668577860.87285,Mouse,919.0,355.0,,
1668577860.892696,Mouse,902.0,362.0,,
1668577860.902791,Mouse,895.0,365.0,,
1668577860.921755,Mouse,888.0,366.0,,
1668577860.93281,Mouse,887.0,366.0,,
1668577860.992778,Mouse,887.0,366.0,,
1668577861.022756,Mouse,886.0,366.0,,
1668577861.032885,Mouse,884.0,365.0,,
1668577861.052788,Mouse,882.0,356.0,,
1668577861.062871,Mouse,880.0,348.0,,
1668577861.073045,Mouse,876.0,341.0,,
1668577861.091765,Mouse,866.0,323.0,,
1668577861.102726,Mouse,860.0,314.0,,
1668577861.112826,Mouse,851.0,303.0,,
1668577861.131792,Mouse,836.0,288.0,,
1668577861.142886,Mouse,829.0,281.0,,
1668577861.162888,Mouse,819.0,271.0,,
1668577861.172906,Mouse,813.0,268.0,,
1668577861.183746,Mouse,811.0,266.0,,
1668577861.203835,Mouse,807.0,264.0,,
1668577861.233806,Mouse,805.0,264.0,,
1668577861.262778,Mouse,803.0,264.0,,
1668577861.28401,Mouse,803.0,264.0,,
1668577861.313775,Mouse,802.0,264.0,,
1668577861.334007,Mouse,801.0,264.0,,
1668577861.354886,Mouse,799.0,264.0,,
1668577861.374751,Mouse,795.0,265.0,,
1668577861.384752,Mouse,792.0,265.0,,
1668577861.394778,Mouse,790.0,267.0,,
1668577861.405055,Mouse,784.0,268.0,,
1668577861.424804,Mouse,769.0,273.0,,
1668577861.444753,Mouse,751.0,281.0,,
1668577861.454796,Mouse,738.0,287.0,,
1668577861.46482,Mouse,723.0,289.0,,
1668577861.484763,Mouse,701.0,296.0,,
1668577861.49488,Mouse,688.0,304.0,,
1668577861.51372,Mouse,669.0,313.0,,
1668577861.524721,Mouse,661.0,318.0,,
1668577861.534732,Mouse,654.0,322.0,,
1668577861.554761,Mouse,640.0,329.0,,
1668577861.574745,Mouse,631.0,334.0,,
1668577861.584764,Mouse,626.0,336.0,,
1668577861.594928,Mouse,620.0,339.0,,
1668577861.614756,Mouse,611.0,342.0,,
1668577861.624885,Mouse,606.0,346.0,,
1668577861.64369,Mouse,595.0,351.0,,
1668577861.654768,Mouse,589.0,352.0,,
1668577861.665039,Mouse,583.0,355.0,,
1668577861.684889,Mouse,568.0,362.0,,
1668577861.695755,Mouse,561.0,366.0,,
1668577861.715794,Mouse,544.0,373.0,,
1668577861.726053,Mouse,536.0,376.0,,
1668577861.745736,Mouse,520.0,384.0,,
1668577861.755759,Mouse,513.0,388.0,,
1668577861.765809,Mouse,501.0,394.0,,
1668577861.785769,Mouse,484.0,405.0,,
