Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-18 10:36:48.775070,,Eye Tracker,16.0,119.0,Valid,Valid,Fixation
2022-11-18 10:36:48.791726,,Eye Tracker,15.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:48.808381,,Eye Tracker,13.0,115.0,Valid,Valid,Fixation
2022-11-18 10:36:48.825036,,Eye Tracker,21.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:48.841690,,Eye Tracker,22.0,118.0,Valid,Valid,Fixation
2022-11-18 10:36:48.858345,,Eye Tracker,15.0,112.0,Valid,Valid,Fixation
2022-11-18 10:36:48.875000,,Eye Tracker,17.0,111.0,Valid,Valid,Fixation
2022-11-18 10:36:48.891654,,Eye Tracker,19.0,113.0,Valid,Valid,Fixation
2022-11-18 10:36:48.908310,,Eye Tracker,21.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:48.924966,,Eye Tracker,25.0,111.0,Valid,Valid,Fixation
2022-11-18 10:36:48.941620,,Eye Tracker,23.0,110.0,Valid,Valid,Fixation
2022-11-18 10:36:48.958275,,Eye Tracker,21.0,118.0,Valid,Valid,Fixation
2022-11-18 10:36:48.974930,,Eye Tracker,23.0,119.0,Valid,Valid,Fixation
2022-11-18 10:36:48.991584,,Eye Tracker,23.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.008239,,Eye Tracker,20.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.024894,,Eye Tracker,20.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.041548,,Eye Tracker,21.0,120.0,Valid,Valid,Fixation
2022-11-18 10:36:49.058204,,Eye Tracker,19.0,119.0,Valid,Valid,Fixation
2022-11-18 10:36:49.074859,,Eye Tracker,21.0,119.0,Valid,Valid,Fixation
2022-11-18 10:36:49.091514,,Eye Tracker,21.0,120.0,Valid,Valid,Fixation
2022-11-18 10:36:49.108168,,Eye Tracker,20.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.124823,,Eye Tracker,24.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.141478,,Eye Tracker,23.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.158132,,Eye Tracker,25.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.174787,,Eye Tracker,28.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.191443,,Eye Tracker,26.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.208097,,Eye Tracker,23.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.224752,,Eye Tracker,26.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.241407,,Eye Tracker,29.0,121.0,Valid,Valid,Fixation
2022-11-18 10:36:49.258061,,Eye Tracker,27.0,123.0,Valid,Valid,Fixation
2022-11-18 10:36:49.274717,,Eye Tracker,27.0,125.0,Valid,Valid,Fixation
2022-11-18 10:36:49.291372,,Eye Tracker,32.0,123.0,Valid,Valid,Fixation
2022-11-18 10:36:49.308026,,Eye Tracker,35.0,123.0,Valid,Valid,Fixation
2022-11-18 10:36:49.324682,,Eye Tracker,35.0,125.0,Valid,Valid,Fixation
2022-11-18 10:36:49.341337,,Eye Tracker,35.0,124.0,Valid,Valid,Fixation
2022-11-18 10:36:49.357992,,Eye Tracker,38.0,120.0,Valid,Valid,Fixation
2022-11-18 10:36:49.374646,,Eye Tracker,36.0,120.0,Valid,Valid,Fixation
2022-11-18 10:36:49.391301,,Eye Tracker,33.0,119.0,Valid,Valid,Fixation
2022-11-18 10:36:49.407956,,Eye Tracker,33.0,118.0,Valid,Valid,Fixation
2022-11-18 10:36:49.424610,,Eye Tracker,37.0,122.0,Valid,Valid,Fixation
2022-11-18 10:36:49.441265,,Eye Tracker,42.0,123.0,Valid,Valid,Fixation
2022-11-18 10:36:49.457921,,Eye Tracker,49.0,126.0,Valid,Valid,Fixation
2022-11-18 10:36:49.474575,,Eye Tracker,47.0,125.0,Valid,Valid,Fixation
2022-11-18 10:36:49.491230,,Eye Tracker,45.0,128.0,Valid,Valid,Fixation
2022-11-18 10:36:49.507885,,Eye Tracker,45.0,131.0,Valid,Valid,Fixation
2022-11-18 10:36:49.524539,,Eye Tracker,41.0,127.0,Valid,Valid,Fixation
2022-11-18 10:36:49.541194,,Eye Tracker,42.0,126.0,Valid,Valid,Fixation
2022-11-18 10:36:49.557849,,Eye Tracker,59.0,127.0,Valid,Valid,Fixation
2022-11-18 10:36:49.574503,,Eye Tracker,59.0,127.0,Valid,Valid,Fixation
2022-11-18 10:36:49.591159,,Eye Tracker,47.0,123.0,Valid,Valid,Fixation
2022-11-18 10:36:49.607814,,Eye Tracker,44.0,122.0,Valid,Valid,Fixation
2022-11-18 10:36:49.624469,,Eye Tracker,40.0,120.0,Valid,Valid,Fixation
2022-11-18 10:36:49.641124,,Eye Tracker,39.0,119.0,Valid,Valid,Fixation
2022-11-18 10:36:49.657779,,Eye Tracker,38.0,118.0,Valid,Valid,Fixation
2022-11-18 10:36:49.674434,,Eye Tracker,44.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.691088,,Eye Tracker,47.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.707744,,Eye Tracker,38.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.724399,,Eye Tracker,35.0,115.0,Valid,Valid,Fixation
2022-11-18 10:36:49.741053,,Eye Tracker,42.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.757708,,Eye Tracker,49.0,113.0,Valid,Valid,Fixation
2022-11-18 10:36:49.774363,,Eye Tracker,44.0,117.0,Valid,Valid,Fixation
2022-11-18 10:36:49.791017,,Eye Tracker,39.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.807672,,Eye Tracker,46.0,112.0,Valid,Valid,Fixation
2022-11-18 10:36:49.824327,,Eye Tracker,54.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.840982,,Eye Tracker,52.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.857637,,Eye Tracker,48.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.874292,,Eye Tracker,49.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:49.890947,,Eye Tracker,48.0,112.0,Valid,Valid,Fixation
2022-11-18 10:36:49.907601,,Eye Tracker,50.0,112.0,Valid,Valid,Fixation
2022-11-18 10:36:49.924256,,Eye Tracker,55.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.940911,,Eye Tracker,55.0,114.0,Valid,Valid,Fixation
2022-11-18 10:36:49.957565,,Eye Tracker,57.0,111.0,Valid,Valid,Fixation
2022-11-18 10:36:49.974221,,Eye Tracker,61.0,115.0,Valid,Valid,Fixation
2022-11-18 10:36:49.990876,,Eye Tracker,64.0,118.0,Valid,Valid,Fixation
2022-11-18 10:36:50.007530,,Eye Tracker,62.0,116.0,Valid,Valid,Fixation
2022-11-18 10:36:50.024186,,Eye Tracker,67.0,112.0,Valid,Valid,Fixation
2022-11-18 10:36:50.040841,,Eye Tracker,67.0,110.0,Valid,Valid,Fixation
2022-11-18 10:36:50.057495,,Eye Tracker,78.0,94.0,Valid,Valid,Fixation
2022-11-18 10:36:50.074150,,Eye Tracker,101.0,77.0,Valid,Valid,Fixation
2022-11-18 10:36:50.090805,,Eye Tracker,97.0,81.0,Valid,Valid,Fixation
2022-11-18 10:36:50.107460,,Eye Tracker,98.0,82.0,Valid,Valid,Fixation
2022-11-18 10:36:50.124115,,Eye Tracker,98.0,83.0,Valid,Valid,Fixation
2022-11-18 10:36:50.140770,,Eye Tracker,103.0,85.0,Valid,Valid,Fixation
2022-11-18 10:36:50.157425,,Eye Tracker,103.0,84.0,Valid,Valid,Fixation
2022-11-18 10:36:50.174079,,Eye Tracker,105.0,86.0,Valid,Valid,Fixation
2022-11-18 10:36:50.190734,,Eye Tracker,103.0,84.0,Valid,Valid,Fixation
2022-11-18 10:36:50.207389,,Eye Tracker,105.0,86.0,Valid,Valid,Fixation
2022-11-18 10:36:50.224043,,Eye Tracker,108.0,91.0,Valid,Valid,Fixation
2022-11-18 10:36:50.240699,,Eye Tracker,107.0,97.0,Valid,Valid,Fixation
2022-11-18 10:36:50.257354,,Eye Tracker,108.0,97.0,Valid,Valid,Fixation
2022-11-18 10:36:50.274008,,Eye Tracker,105.0,96.0,Valid,Valid,Fixation
2022-11-18 10:36:50.290663,,Eye Tracker,111.0,97.0,Valid,Valid,Fixation
2022-11-18 10:36:50.307318,,Eye Tracker,117.0,93.0,Valid,Valid,Fixation
2022-11-18 10:36:50.323972,,Eye Tracker,124.0,92.0,Valid,Valid,Fixation
2022-11-18 10:36:50.340627,,Eye Tracker,122.0,92.0,Valid,Valid,Fixation
2022-11-18 10:36:50.357283,,Eye Tracker,120.0,91.0,Valid,Valid,Fixation
2022-11-18 10:36:50.373938,,Eye Tracker,105.0,75.0,Invalid,Valid,Fixation
2022-11-18 10:36:50.390593,,Eye Tracker,109.0,87.0,Invalid,Valid,Fixation
2022-11-18 10:36:50.407248,,Eye Tracker,103.0,94.0,Invalid,Valid,Fixation
2022-11-18 10:36:50.423903,,Eye Tracker,107.0,88.0,Invalid,Valid,Fixation
2022-11-18 10:36:50.440557,,Eye Tracker,110.0,85.0,Invalid,Valid,Fixation
2022-11-18 10:36:50.457212,,Eye Tracker,107.0,82.0,Invalid,Valid,Fixation
