Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-18 10:39:26.353057,,Eye Tracker,112.0,1004.0,Valid,Valid,Fixation
2022-11-18 10:39:26.369712,,Eye Tracker,118.0,1004.0,Valid,Valid,Fixation
2022-11-18 10:39:26.386367,,Eye Tracker,115.0,1004.0,Valid,Valid,Fixation
2022-11-18 10:39:26.403022,,Eye Tracker,115.0,1006.0,Valid,Valid,Fixation
2022-11-18 10:39:26.419676,,Eye Tracker,115.0,1011.0,Valid,Valid,Fixation
2022-11-18 10:39:26.436331,,Eye Tracker,108.0,1015.0,Valid,Valid,Fixation
2022-11-18 10:39:26.452986,,Eye Tracker,108.0,1018.0,Valid,Valid,Fixation
2022-11-18 10:39:26.469640,,Eye Tracker,106.0,1015.0,Valid,Valid,Fixation
2022-11-18 10:39:26.486295,,Eye Tracker,102.0,1005.0,Valid,Valid,Fixation
2022-11-18 10:39:26.502950,,Eye Tracker,99.0,1004.0,Valid,Valid,Fixation
2022-11-18 10:39:26.519605,,Eye Tracker,104.0,1013.0,Valid,Valid,Fixation
2022-11-18 10:39:26.536260,,Eye Tracker,108.0,1011.0,Valid,Valid,Fixation
2022-11-18 10:39:26.552915,,Eye Tracker,109.0,1011.0,Valid,Valid,Fixation
2022-11-18 10:39:26.569569,,Eye Tracker,112.0,1014.0,Valid,Valid,Fixation
2022-11-18 10:39:26.586224,,Eye Tracker,114.0,1004.0,Valid,Valid,Fixation
2022-11-18 10:39:26.602880,,Eye Tracker,109.0,1006.0,Valid,Valid,Fixation
2022-11-18 10:39:26.619535,,Eye Tracker,104.0,1010.0,Valid,Valid,Fixation
2022-11-18 10:39:26.636189,,Eye Tracker,110.0,1010.0,Valid,Valid,Fixation
2022-11-18 10:39:26.652844,,Eye Tracker,110.0,1013.0,Valid,Valid,Fixation
2022-11-18 10:39:26.669500,,Eye Tracker,111.0,1012.0,Valid,Valid,Fixation
2022-11-18 10:39:26.686154,,Eye Tracker,114.0,1010.0,Valid,Valid,Fixation
2022-11-18 10:39:26.702809,,Eye Tracker,117.0,1016.0,Valid,Valid,Fixation
2022-11-18 10:39:26.719464,,Eye Tracker,114.0,1019.0,Valid,Valid,Fixation
2022-11-18 10:39:26.736118,,Eye Tracker,113.0,1019.0,Valid,Valid,Fixation
2022-11-18 10:39:26.752773,,Eye Tracker,118.0,1014.0,Valid,Valid,Fixation
2022-11-18 10:39:26.769428,,Eye Tracker,111.0,1007.0,Valid,Valid,Fixation
2022-11-18 10:39:26.786082,,Eye Tracker,108.0,1006.0,Valid,Valid,Fixation
2022-11-18 10:39:26.802738,,Eye Tracker,114.0,1007.0,Valid,Valid,Fixation
2022-11-18 10:39:26.819393,,Eye Tracker,116.0,1016.0,Valid,Valid,Fixation
2022-11-18 10:39:26.836047,,Eye Tracker,115.0,1022.0,Valid,Valid,Fixation
2022-11-18 10:39:26.852702,,Eye Tracker,113.0,1011.0,Valid,Valid,Fixation
2022-11-18 10:39:26.869357,,Eye Tracker,118.0,1007.0,Valid,Valid,Fixation
