Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668733812.336,MouseEvent,,1558.3333333333333,152.33333333333334,,,Fixation
1668733812.351578,,Mouse,1557.6666666666667,151.66666666666666,,,Fixation
1668733812.368232,,Eye Tracker,1557.0,151.0,Valid,Valid,Fixation
1668733812.399366,,Eye Tracker,1555.0,150.0,Valid,Valid,Fixation
1668733812.41602,,Eye Tracker,1556.0,147.0,Valid,Valid,Fixation
1668733812.432675,,Eye Tracker,1556.0,146.0,Valid,Valid,Fixation
1668733812.482708,,Eye Tracker,1560.0,150.0,Valid,Valid,Fixation
1668733812.499362,,Eye Tracker,1563.0,149.0,Valid,Valid,Fixation
1668733812.516017,,Mouse,1589.0,148.0,,,Fixation
1668733812.532672,,Eye Tracker,1615.0,147.0,Valid,Valid,Saccade
1668733812.549326,,Eye Tracker,1722.0,148.0,Valid,Valid,Saccade
1668733812.565981,,Eye Tracker,1751.0,153.0,Valid,Valid,Saccade
1668733812.5826359,,Eye Tracker,1755.0,145.0,Valid,Valid,Fixation
1668733812.5992908,,Eye Tracker,1758.0,141.0,Valid,Valid,Fixation
1668733812.615946,,Eye Tracker,1757.0,145.0,Valid,Valid,Fixation
1668733812.632601,,Eye Tracker,1761.0,144.0,Valid,Valid,Fixation
1668733812.6452389,,Mouse,1761.5,144.5,,,Fixation
1668733812.649256,,Eye Tracker,1762.0,145.0,Valid,Valid,Fixation
1668733812.661258,,Mouse,1761.0,145.5,,,Fixation
1668733812.66591,,Eye Tracker,1760.0,146.0,Valid,Valid,Fixation
1668733812.677252,,Mouse,1758.5,145.5,,,Fixation
1668733812.682565,,Eye Tracker,1757.0,145.0,Valid,Valid,Fixation
1668733812.69922,,Mouse,1755.5,147.0,,,Fixation
1668733812.715874,,Eye Tracker,1754.0,149.0,Valid,Valid,Fixation
1668733812.732529,,Mouse,1753.5,147.0,,,Fixation
1668733812.7491848,,Eye Tracker,1753.0,145.0,Valid,Valid,Fixation
1668733812.757246,,Mouse,1753.0,144.0,,,Fixation
1668733812.7658389,,Eye Tracker,1753.0,143.0,Valid,Valid,Fixation
1668733812.773264,,Mouse,1753.5,143.5,,,Fixation
1668733812.782494,,Eye Tracker,1754.0,144.0,Valid,Valid,Fixation
1668733812.789236,,Eye Tracker,1757.0,141.0,Valid,Valid,Fixation
1668733812.799149,,Mouse,1755.5,142.0,,,Fixation
1668733812.80525,,Eye Tracker,1754.0,143.0,Valid,Valid,Fixation
1668733812.815803,,Mouse,1753.0,144.0,,,Fixation
1668733812.82128,,Mouse,1752.0,145.0,,,Fixation
1668733812.832458,,Eye Tracker,1751.0,146.0,Valid,Valid,Fixation
1668733812.837316,,Mouse,1750.0,145.0,,,Fixation
1668733812.849113,,Eye Tracker,1749.0,144.0,Valid,Valid,Fixation
