Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-18 10:11:36.542618,,,,MouseEvent,"Down, Left"
2022-11-18 10:11:36.542618,Mouse,1876.0,1022.0,,
2022-11-18 10:11:36.774519,Mouse,1876.0,1022.0,,
2022-11-18 10:11:36.793703,Mouse,1875.0,1022.0,,
2022-11-18 10:11:36.814620,Mouse,1874.0,1024.0,,
2022-11-18 10:11:36.834463,Mouse,1872.0,1026.0,,
2022-11-18 10:11:36.844566,Mouse,1872.0,1028.0,,
2022-11-18 10:11:36.855489,Mouse,1871.0,1029.0,,
2022-11-18 10:11:36.874432,Mouse,1870.0,1030.0,,
2022-11-18 10:11:36.884503,Mouse,1869.0,1031.0,,
2022-11-18 10:11:36.895540,Mouse,1867.0,1032.0,,
2022-11-18 10:11:36.914622,Mouse,1866.0,1033.0,,
2022-11-18 10:11:36.935463,Mouse,1864.0,1034.0,,
2022-11-18 10:11:36.954522,Mouse,1861.0,1034.0,,
2022-11-18 10:11:36.974624,Mouse,1858.0,1035.0,,
2022-11-18 10:11:36.994464,Mouse,1855.0,1035.0,,
2022-11-18 10:11:37.014452,Mouse,1851.0,1035.0,,
2022-11-18 10:11:37.024484,Mouse,1850.0,1035.0,,
2022-11-18 10:11:37.035460,Mouse,1847.0,1035.0,,
2022-11-18 10:11:37.054728,Mouse,1839.0,1035.0,,
2022-11-18 10:11:37.075502,Mouse,1833.0,1035.0,,
2022-11-18 10:11:37.094491,Mouse,1826.0,1034.0,,
2022-11-18 10:11:37.115511,Mouse,1817.0,1031.0,,
2022-11-18 10:11:37.134477,Mouse,1811.0,1030.0,,
2022-11-18 10:11:37.154531,Mouse,1804.0,1028.0,,
2022-11-18 10:11:37.165494,Mouse,1800.0,1027.0,,
2022-11-18 10:11:37.175505,Mouse,1795.0,1026.0,,
2022-11-18 10:11:37.195442,Mouse,1787.0,1025.0,,
2022-11-18 10:11:37.206464,Mouse,1784.0,1024.0,,
2022-11-18 10:11:37.225474,Mouse,1777.0,1023.0,,
2022-11-18 10:11:37.235483,Mouse,1774.0,1023.0,,
2022-11-18 10:11:37.246525,Mouse,1771.0,1023.0,,
2022-11-18 10:11:37.265391,Mouse,1765.0,1021.0,,
2022-11-18 10:11:37.275446,Mouse,1763.0,1021.0,,
2022-11-18 10:11:37.286557,Mouse,1760.0,1021.0,,
2022-11-18 10:11:37.305437,Mouse,1754.0,1021.0,,
2022-11-18 10:11:37.315694,Mouse,1751.0,1021.0,,
2022-11-18 10:11:37.326440,Mouse,1747.0,1021.0,,
2022-11-18 10:11:37.346455,Mouse,1736.0,1021.0,,
2022-11-18 10:11:37.356575,Mouse,1732.0,1021.0,,
2022-11-18 10:11:37.377718,Mouse,1721.0,1021.0,,
2022-11-18 10:11:37.396487,Mouse,1711.0,1021.0,,
2022-11-18 10:11:37.417497,Mouse,1703.0,1021.0,,
2022-11-18 10:11:37.436436,Mouse,1694.0,1021.0,,
2022-11-18 10:11:37.446519,Mouse,1689.0,1021.0,,
2022-11-18 10:11:37.457465,Mouse,1686.0,1021.0,,
2022-11-18 10:11:37.476458,Mouse,1679.0,1021.0,,
2022-11-18 10:11:37.486795,Mouse,1676.0,1021.0,,
2022-11-18 10:11:37.497658,Mouse,1672.0,1021.0,,
2022-11-18 10:11:37.516440,Mouse,1665.0,1020.0,,
