Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668734066.758,MouseEvent,,1453.6666666666667,209.33333333333334,,,Fixation
1668734066.772946,,Mouse,1454.3333333333333,208.66666666666666,,,Fixation
1668734066.7896008,,Eye Tracker,1455.0,208.0,Valid,Valid,Fixation
1668734066.8202908,,Eye Tracker,1452.0,214.0,Valid,Valid,Fixation
1668734066.8369448,,Eye Tracker,1451.0,216.0,Valid,Valid,Fixation
1668734066.8535998,,Eye Tracker,1453.0,210.0,Valid,Valid,Fixation
1668734066.9036338,,Eye Tracker,1462.0,198.0,Valid,Valid,Fixation
1668734066.9202888,,Eye Tracker,1472.0,195.0,Valid,Valid,Fixation
1668734066.936944,,Eye Tracker,1472.0,191.0,Valid,Valid,Fixation
1668734066.9535978,,Eye Tracker,1472.0,192.0,Valid,Valid,Fixation
1668734066.970253,,Eye Tracker,1475.0,194.0,Valid,Valid,Fixation
1668734066.986908,,Eye Tracker,1477.0,192.0,Valid,Valid,Fixation
1668734067.003563,,Eye Tracker,1475.0,189.0,Valid,Valid,Fixation
1668734067.020218,,Eye Tracker,1474.0,188.0,Valid,Valid,Fixation
1668734067.021463,,Eye Tracker,1476.0,185.0,Valid,Valid,Fixation
1668734067.0368729,,Eye Tracker,1475.0,187.0,Valid,Valid,Fixation
1668734067.037431,,Eye Tracker,1472.0,190.0,Valid,Valid,Fixation
1668734067.053429,,Eye Tracker,1467.0,189.0,Valid,Valid,Fixation
1668734067.0535278,,Eye Tracker,1046.0,350.0,Valid,Valid,Saccade
1668734067.0694509,,Eye Tracker,1015.0,352.0,Valid,Valid,Saccade
1668734067.0701818,,Eye Tracker,973.0,366.0,Valid,Valid,Saccade
1668734067.0868368,,Eye Tracker,964.0,360.0,Valid,Valid,Fixation
1668734067.1034918,,Eye Tracker,963.0,361.0,Valid,Valid,Fixation
1668734067.1201458,,Mouse,965.0,361.5,,,Fixation
1668734067.136801,,Eye Tracker,967.0,362.0,Valid,Valid,Fixation
1668734067.153457,,Mouse,968.0,360.3333333333333,,,Fixation
1668734067.1574569,,Mouse,969.0,358.6666666666667,,,Fixation
1668734067.170111,,Eye Tracker,970.0,357.0,Valid,Valid,Fixation
1668734067.173442,,Eye Tracker,969.0,354.0,Valid,Valid,Fixation
1668734067.186766,,Mouse,968.5,353.5,,,Fixation
1668734067.1894279,,Eye Tracker,968.0,353.0,Valid,Valid,Fixation
1668734067.2034209,,Mouse,968.0,352.6666666666667,,,Fixation
1668734067.205448,,Mouse,968.0,352.3333333333333,,,Fixation
1668734067.220075,,Eye Tracker,968.0,352.0,Valid,Valid,Fixation
1668734067.2214458,,Mouse,969.0,351.0,,,Fixation
1668734067.2367299,,Eye Tracker,970.0,350.0,Valid,Valid,Fixation
1668734067.245425,,Mouse,971.0,351.5,,,Fixation
1668734067.2533848,,Eye Tracker,972.0,353.0,Valid,Valid,Fixation
1668734067.261422,,Mouse,972.0,352.0,,,Fixation
1668734067.2700398,,Eye Tracker,972.0,351.0,Valid,Valid,Fixation
1668734067.2774298,,Mouse,973.0,349.0,,,Fixation
1668734067.2866938,,Eye Tracker,974.0,347.0,Valid,Valid,Fixation
1668734067.293429,,Mouse,973.0,349.0,,,Fixation
1668734067.30335,,Eye Tracker,972.0,351.0,Valid,Valid,Fixation
1668734067.309434,,Mouse,972.0,351.3333333333333,,,Fixation
1668734067.320005,,Mouse,972.0,351.6666666666667,,,Fixation
1668734067.3254938,,Eye Tracker,972.0,352.0,Valid,Valid,Fixation
1668734067.336659,,Eye Tracker,974.0,349.0,Valid,Valid,Fixation
1668734067.341507,,Mouse,973.3333333333334,348.3333333333333,,,Fixation
1668734067.353314,,Mouse,972.6666666666666,347.6666666666667,,,Fixation
1668734067.357447,,Eye Tracker,972.0,347.0,Valid,Valid,Fixation
1668734067.369969,,Mouse,971.0,347.5,,,Fixation
1668734067.373443,,Eye Tracker,970.0,348.0,Valid,Valid,Fixation
1668734067.386623,,Mouse,960.0,352.0,,,Fixation
1668734067.389441,,Eye Tracker,950.0,356.0,Valid,Valid,Fixation
1668734067.4032779,,Mouse,879.0,383.5,,,Saccade
1668734067.405442,,Eye Tracker,808.0,411.0,Valid,Valid,Saccade
1668734067.4199328,,Mouse,750.0,440.5,,,Saccade
1668734067.421438,,Eye Tracker,692.0,470.0,Valid,Valid,Saccade
1668734067.4365878,,Mouse,629.5,486.5,,,Saccade
1668734067.4532428,,Eye Tracker,567.0,503.0,Valid,Valid,Saccade
1668734067.469898,,Mouse,561.0,503.5,,,Saccade
1668734067.486552,,Eye Tracker,555.0,504.0,Valid,Valid,Fixation
1668734067.503207,,Mouse,552.3333333333334,506.3333333333333,,,Fixation
