Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668734388.720116,,Eye Tracker,1367.0,459.0,Valid,Valid,Fixation
1668734388.73677,,Eye Tracker,1370.0,459.0,Valid,Valid,Fixation
1668734388.753426,,Eye Tracker,1361.0,463.0,Valid,Valid,Fixation
1668734388.770081,,Eye Tracker,1263.0,515.0,Valid,Valid,Saccade
1668734388.786736,,Eye Tracker,1143.0,609.0,Valid,Valid,Saccade
1668734388.80339,,Eye Tracker,1118.0,632.0,Valid,Valid,Saccade
1668734388.820045,,Eye Tracker,1116.0,627.0,Valid,Valid,Fixation
1668734388.8367,,Eye Tracker,1112.0,640.0,Valid,Valid,Fixation
1668734388.853354,,Eye Tracker,1112.0,638.0,Valid,Valid,Fixation
1668734388.870009,,Eye Tracker,1115.0,636.0,Valid,Valid,Fixation
1668734388.886665,,Eye Tracker,1118.0,637.0,Valid,Valid,Fixation
1668734388.903319,,Eye Tracker,1117.0,638.0,Valid,Valid,Fixation
1668734388.919974,,Eye Tracker,1110.0,631.0,Valid,Valid,Fixation
1668734388.936629,,Eye Tracker,1111.0,628.0,Valid,Valid,Fixation
1668734388.953283,,Eye Tracker,1116.0,637.0,Valid,Valid,Fixation
1668734388.969938,,Eye Tracker,1117.0,644.0,Valid,Valid,Fixation
1668734388.986593,,Eye Tracker,1109.0,643.0,Valid,Valid,Fixation
1668734389.003247,,Eye Tracker,1109.0,639.0,Valid,Valid,Fixation
1668734389.019903,,Eye Tracker,1113.0,636.0,Valid,Valid,Fixation
1668734389.036558,,Eye Tracker,1110.0,637.0,Valid,Valid,Fixation
1668734389.053213,,Eye Tracker,1110.0,640.0,Valid,Valid,Fixation
1668734389.069867,,Eye Tracker,1113.0,641.0,Valid,Valid,Fixation
1668734389.086522,,Eye Tracker,1109.0,640.0,Valid,Valid,Fixation
1668734389.103177,,Eye Tracker,1109.0,646.0,Valid,Valid,Fixation
1668734389.119831,,Eye Tracker,1104.0,657.0,Valid,Valid,Fixation
1668734389.136486,,Eye Tracker,1053.0,702.0,Valid,Valid,Saccade
1668734389.153141,,Eye Tracker,1017.0,727.0,Valid,Valid,Saccade
1668734389.169796,,Eye Tracker,1019.0,719.0,Valid,Valid,Fixation
1668734389.186451,,Eye Tracker,1015.0,730.0,Valid,Valid,Fixation
1668734389.203106,,Eye Tracker,1019.0,729.0,Valid,Valid,Fixation
1668734389.21976,,Eye Tracker,1019.0,728.0,Valid,Valid,Fixation
1668734389.236415,,Eye Tracker,1017.0,724.0,Valid,Valid,Fixation
1668734389.25307,,Eye Tracker,1016.0,721.0,Valid,Valid,Fixation
1668734389.269724,,Eye Tracker,1019.0,728.0,Valid,Valid,Fixation
1668734389.286379,,Eye Tracker,1020.0,736.0,Valid,Valid,Fixation
1668734389.303035,,Eye Tracker,1018.0,740.0,Valid,Valid,Fixation
1668734389.31969,,Eye Tracker,1024.0,737.0,Valid,Valid,Fixation
1668734389.336344,,Eye Tracker,994.0,758.0,Valid,Valid,Saccade
1668734389.352999,,Eye Tracker,974.0,771.0,Valid,Valid,Fixation
1668734389.369654,,Eye Tracker,980.0,763.0,Valid,Valid,Fixation
1668734389.386308,,Eye Tracker,971.0,766.0,Valid,Valid,Fixation
1668734389.402963,,Eye Tracker,971.0,769.0,Valid,Valid,Fixation
1668734389.419618,,Eye Tracker,970.0,766.0,Valid,Valid,Fixation
1668734389.436273,,Eye Tracker,973.0,768.0,Valid,Valid,Fixation
1668734389.452928,,Eye Tracker,975.0,768.0,Valid,Valid,Fixation
1668734389.469583,,Eye Tracker,970.0,762.0,Valid,Valid,Fixation
1668734389.486237,,Eye Tracker,972.0,760.0,Valid,Valid,Fixation
1668734389.502892,,Eye Tracker,976.0,765.0,Valid,Valid,Fixation
1668734389.519547,,Eye Tracker,973.0,770.0,Valid,Valid,Fixation
1668734389.536201,,Eye Tracker,977.0,770.0,Valid,Valid,Fixation
1668734389.552856,,Eye Tracker,976.0,773.0,Valid,Valid,Fixation
1668734389.569512,,Eye Tracker,972.0,772.0,Valid,Valid,Fixation
1668734389.586167,,Eye Tracker,965.0,768.0,Valid,Valid,Fixation
1668734389.602821,,Eye Tracker,917.0,763.0,Valid,Valid,Saccade
1668734389.619476,,Eye Tracker,875.0,756.0,Valid,Valid,Saccade
1668734389.636131,,Eye Tracker,874.0,753.0,Valid,Valid,Fixation
1668734389.652785,,Eye Tracker,872.0,757.0,Valid,Valid,Fixation
1668734389.66944,,Eye Tracker,870.0,757.0,Valid,Valid,Fixation
1668734389.686095,,Eye Tracker,866.0,756.0,Valid,Valid,Fixation
1668734389.702749,,Eye Tracker,868.0,756.0,Valid,Valid,Fixation
1668734389.719405,,Eye Tracker,873.0,751.0,Valid,Valid,Fixation
1668734389.73606,,Eye Tracker,869.0,753.0,Valid,Valid,Fixation
1668734389.752714,,Eye Tracker,869.0,756.0,Valid,Valid,Fixation
1668734389.769369,,Eye Tracker,869.0,753.0,Valid,Valid,Fixation
1668734389.786024,,Eye Tracker,867.0,754.0,Valid,Valid,Fixation
1668734389.802678,,Eye Tracker,870.0,755.0,Valid,Valid,Fixation
1668734389.819333,,Eye Tracker,866.0,759.0,Valid,Valid,Fixation
1668734389.835988,,Eye Tracker,869.0,763.0,Valid,Valid,Fixation
1668734389.852644,,Eye Tracker,871.0,760.0,Valid,Valid,Fixation
1668734389.869298,,Eye Tracker,868.0,758.0,Valid,Valid,Fixation
1668734389.885953,,Eye Tracker,871.0,761.0,Valid,Valid,Fixation
1668734389.902608,,Eye Tracker,874.0,761.0,Valid,Valid,Fixation
1668734389.919262,,Eye Tracker,846.0,738.0,Valid,Valid,Saccade
1668734389.935917,,Eye Tracker,827.0,717.0,Valid,Valid,Saccade
1668734389.952572,,Eye Tracker,833.0,714.0,Valid,Valid,Fixation
1668734389.969226,,Eye Tracker,831.0,713.0,Valid,Valid,Fixation
1668734389.985882,,Eye Tracker,832.0,714.0,Valid,Valid,Fixation
1668734390.002537,,Eye Tracker,835.0,714.0,Valid,Valid,Fixation
1668734390.019191,,Eye Tracker,831.0,711.0,Valid,Valid,Fixation
1668734390.035846,,Eye Tracker,830.0,711.0,Valid,Valid,Fixation
1668734390.052501,,Eye Tracker,830.0,709.0,Valid,Valid,Fixation
1668734390.069155,,Eye Tracker,828.0,708.0,Valid,Valid,Fixation
1668734390.08581,,Eye Tracker,830.0,707.0,Valid,Valid,Fixation
1668734390.102465,,Eye Tracker,832.0,708.0,Valid,Valid,Fixation
1668734390.119121,,Eye Tracker,829.0,709.0,Valid,Valid,Fixation
1668734390.135775,,Eye Tracker,830.0,710.0,Valid,Valid,Fixation
1668734390.15243,,Eye Tracker,833.0,711.0,Valid,Valid,Fixation
1668734390.169085,,Eye Tracker,832.0,713.0,Valid,Valid,Fixation
1668734390.185739,,Eye Tracker,826.0,717.0,Valid,Valid,Fixation
1668734390.202394,,Eye Tracker,830.0,712.0,Valid,Valid,Fixation
1668734390.219049,,Eye Tracker,836.0,709.0,Valid,Valid,Fixation
1668734390.235703,,Eye Tracker,832.0,709.0,Valid,Valid,Fixation
1668734390.252358,,Eye Tracker,831.0,710.0,Valid,Valid,Fixation
1668734390.269014,,Eye Tracker,834.0,713.0,Valid,Valid,Fixation
1668734390.285668,,Eye Tracker,831.0,711.0,Valid,Valid,Fixation
1668734390.302323,,Eye Tracker,826.0,704.0,Valid,Valid,Fixation
1668734390.318978,,Eye Tracker,716.0,348.0,Valid,Valid,Saccade
1668734390.335632,,Eye Tracker,717.0,339.0,Valid,Valid,Fixation
1668734390.352287,,Eye Tracker,717.0,329.0,Valid,Valid,Fixation
1668734390.368942,,Eye Tracker,712.0,323.0,Valid,Valid,Fixation
1668734390.385597,,Eye Tracker,716.0,322.0,Valid,Valid,Fixation
1668734390.402252,,Eye Tracker,719.0,318.0,Valid,Valid,Fixation
1668734390.418907,,Eye Tracker,718.0,321.0,Valid,Valid,Fixation
1668734390.435562,,Eye Tracker,718.0,324.0,Valid,Valid,Fixation
1668734390.452216,,Eye Tracker,700.0,286.0,Valid,Valid,Saccade
1668734390.468871,,Eye Tracker,689.0,252.0,Valid,Valid,Saccade
1668734390.485526,,Eye Tracker,692.0,253.0,Valid,Valid,Fixation
1668734390.50218,,Eye Tracker,689.0,250.0,Valid,Valid,Fixation
1668734390.518835,,Eye Tracker,688.0,251.0,Valid,Valid,Fixation
1668734390.535491,,Eye Tracker,691.0,248.0,Valid,Valid,Fixation
1668734390.552145,,Eye Tracker,694.0,245.0,Valid,Valid,Fixation
1668734390.5688,,Eye Tracker,692.0,244.0,Valid,Valid,Fixation
1668734390.585455,,Eye Tracker,688.0,245.0,Valid,Valid,Fixation
1668734390.602109,,Eye Tracker,691.0,244.0,Valid,Valid,Fixation
1668734390.618764,,Eye Tracker,695.0,245.0,Valid,Valid,Fixation
1668734390.635419,,Eye Tracker,693.0,242.0,Valid,Valid,Fixation
1668734390.652074,,Eye Tracker,695.0,241.0,Valid,Valid,Fixation
1668734390.668729,,Eye Tracker,695.0,239.0,Valid,Valid,Fixation
1668734390.685384,,Eye Tracker,693.0,240.0,Valid,Valid,Fixation
1668734390.702039,,Eye Tracker,695.0,242.0,Valid,Valid,Fixation
1668734390.718693,,Eye Tracker,694.0,239.0,Valid,Valid,Fixation
1668734390.735348,,Eye Tracker,690.0,238.0,Valid,Valid,Fixation
1668734390.752003,,Eye Tracker,689.0,241.0,Valid,Valid,Fixation
1668734390.768657,,Eye Tracker,689.0,240.0,Valid,Valid,Fixation
1668734390.785312,,Eye Tracker,691.0,235.0,Valid,Valid,Fixation
1668734390.801967,,Eye Tracker,690.0,233.0,Valid,Valid,Fixation
1668734390.818622,,Eye Tracker,688.0,235.0,Valid,Valid,Fixation
1668734390.835277,,Eye Tracker,688.0,236.0,Valid,Valid,Fixation
1668734390.851932,,Eye Tracker,690.0,237.0,Valid,Valid,Fixation
1668734390.868586,,Eye Tracker,692.0,239.0,Valid,Valid,Fixation
1668734390.88524,,Eye Tracker,689.0,241.0,Valid,Valid,Fixation
1668734390.901895,,Eye Tracker,689.0,239.0,Valid,Valid,Fixation
1668734390.91855,,Eye Tracker,689.0,235.0,Valid,Valid,Fixation
1668734390.935204,,Eye Tracker,684.0,232.0,Valid,Valid,Fixation
1668734390.95186,,Eye Tracker,687.0,230.0,Valid,Valid,Fixation
1668734390.968515,,Eye Tracker,690.0,236.0,Valid,Valid,Fixation
