Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668738734.398171,,Eye Tracker,1546.0,678.0,Valid,Valid,Fixation
1668738734.414826,,Eye Tracker,1547.0,682.0,Valid,Valid,Fixation
1668738734.431481,,Eye Tracker,1547.0,687.0,Valid,Valid,Fixation
1668738734.448136,,Eye Tracker,1530.0,684.0,Valid,Valid,Fixation
1668738734.464791,,Eye Tracker,1388.0,650.0,Valid,Valid,Saccade
1668738734.481446,,Eye Tracker,1252.0,610.0,Valid,Valid,Saccade
1668738734.4981,,Eye Tracker,1209.0,591.0,Valid,Valid,Saccade
1668738734.514754,,Eye Tracker,1204.0,595.0,Valid,Valid,Fixation
1668738734.53141,,Eye Tracker,1201.0,590.0,Valid,Valid,Fixation
1668738734.548063,,Eye Tracker,1203.0,586.0,Valid,Valid,Fixation
1668738734.564718,,Eye Tracker,1206.0,588.0,Valid,Valid,Fixation
1668738734.581374,,Eye Tracker,1205.0,589.0,Valid,Valid,Fixation
1668738734.598028,,Eye Tracker,1200.0,588.0,Valid,Valid,Fixation
1668738734.614683,,Eye Tracker,1200.0,590.0,Valid,Valid,Fixation
1668738734.631338,,Eye Tracker,1203.0,588.0,Valid,Valid,Fixation
1668738734.647992,,Eye Tracker,1201.0,583.0,Valid,Valid,Fixation
1668738734.664647,,Eye Tracker,1202.0,592.0,Valid,Valid,Fixation
1668738734.681302,,Eye Tracker,1203.0,595.0,Valid,Valid,Fixation
1668738734.697956,,Eye Tracker,1202.0,588.0,Valid,Valid,Fixation
1668738734.714612,,Eye Tracker,1206.0,585.0,Valid,Valid,Fixation
1668738734.731267,,Eye Tracker,1202.0,590.0,Valid,Valid,Fixation
1668738734.747922,,Eye Tracker,1187.0,577.0,Valid,Valid,Fixation
1668738734.764576,,Eye Tracker,1185.0,555.0,Valid,Valid,Saccade
1668738734.781231,,Eye Tracker,1188.0,553.0,Valid,Valid,Fixation
1668738734.797886,,Eye Tracker,1181.0,547.0,Valid,Valid,Fixation
1668738734.814539,,Eye Tracker,1177.0,545.0,Valid,Valid,Fixation
1668738734.831194,,Eye Tracker,1176.0,541.0,Valid,Valid,Fixation
1668738734.84785,,Eye Tracker,1179.0,536.0,Valid,Valid,Fixation
1668738734.864504,,Eye Tracker,1182.0,539.0,Valid,Valid,Fixation
1668738734.881159,,Eye Tracker,1182.0,540.0,Valid,Valid,Fixation
1668738734.897814,,Eye Tracker,1181.0,545.0,Valid,Valid,Fixation
1668738734.914468,,Eye Tracker,1181.0,550.0,Valid,Valid,Fixation
1668738734.931123,,Eye Tracker,1180.0,547.0,Valid,Valid,Fixation
1668738734.947778,,Eye Tracker,1177.0,546.0,Valid,Valid,Fixation
1668738734.964432,,Eye Tracker,1180.0,536.0,Valid,Valid,Fixation
1668738734.981087,,Eye Tracker,1188.0,523.0,Valid,Valid,Fixation
1668738734.997743,,Eye Tracker,1191.0,525.0,Valid,Valid,Fixation
1668738735.014398,,Eye Tracker,1192.0,529.0,Valid,Valid,Fixation
1668738735.031052,,Eye Tracker,1191.0,523.0,Valid,Valid,Fixation
1668738735.047707,,Eye Tracker,1191.0,517.0,Valid,Valid,Fixation
1668738735.064362,,Eye Tracker,1190.0,518.0,Valid,Valid,Fixation
1668738735.081016,,Eye Tracker,1192.0,519.0,Valid,Valid,Fixation
1668738735.097671,,Eye Tracker,1192.0,520.0,Valid,Valid,Fixation
1668738735.114326,,Eye Tracker,1190.0,523.0,Valid,Valid,Fixation
1668738735.130981,,Eye Tracker,1194.0,520.0,Valid,Valid,Fixation
1668738735.147636,,Eye Tracker,1197.0,516.0,Valid,Valid,Fixation
1668738735.164291,,Eye Tracker,1197.0,517.0,Valid,Valid,Fixation
1668738735.180945,,Eye Tracker,1195.0,520.0,Valid,Valid,Fixation
1668738735.1976,,Eye Tracker,1195.0,512.0,Valid,Valid,Fixation
1668738735.214255,,Eye Tracker,1197.0,505.0,Valid,Valid,Fixation
1668738735.230909,,Eye Tracker,1196.0,505.0,Valid,Valid,Fixation
1668738735.247564,,Eye Tracker,1197.0,505.0,Valid,Valid,Fixation
1668738735.26422,,Eye Tracker,1198.0,504.0,Valid,Valid,Fixation
1668738735.280875,,Eye Tracker,1198.0,506.0,Valid,Valid,Fixation
1668738735.297529,,Eye Tracker,1197.0,508.0,Valid,Valid,Fixation
1668738735.314184,,Eye Tracker,1198.0,507.0,Valid,Valid,Fixation
1668738735.330839,,Eye Tracker,1199.0,509.0,Valid,Valid,Fixation
1668738735.347493,,Eye Tracker,1198.0,507.0,Valid,Valid,Fixation
1668738735.364148,,Eye Tracker,1196.0,510.0,Valid,Valid,Fixation
1668738735.380803,,Eye Tracker,1196.0,515.0,Valid,Valid,Fixation
1668738735.397457,,Eye Tracker,1195.0,516.0,Valid,Valid,Fixation
