Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1668738878.6454132,MouseEvent,,1583.0,688.3333333333334,,,Fixation,,,MouseEvent,"Down, Left"
1668738878.6454132,,Mouse,1559.0,684.6666666666666,,,Fixation,1595.0,696.0,,
1668738878.657593,,Eye Tracker,1535.0,681.0,Valid,Valid,Saccade,,,,
1668738878.674248,,Eye Tracker,1284.0,613.0,Valid,Valid,Saccade,,,,
1668738878.6909032,,Eye Tracker,1216.0,578.0,Valid,Valid,Saccade,,,,
1668738878.7075572,,Eye Tracker,1181.0,570.0,Valid,Valid,Saccade,,,,
1668738878.7242122,,Eye Tracker,1176.0,574.0,Valid,Valid,Fixation,,,,
1668738878.7408671,,Eye Tracker,1180.0,577.0,Valid,Valid,Fixation,,,,
1668738878.7575212,,Eye Tracker,1182.0,578.0,Valid,Valid,Fixation,,,,
1668738878.7741761,,Eye Tracker,1184.0,579.0,Valid,Valid,Fixation,,,,
1668738878.790832,,Eye Tracker,1183.0,573.0,Valid,Valid,Fixation,,,,
1668738878.807487,,Eye Tracker,1182.0,561.0,Valid,Valid,Fixation,,,,
1668738878.824141,,Eye Tracker,1182.0,568.0,Valid,Valid,Fixation,,,,
1668738878.840796,,Eye Tracker,1214.0,583.0,Valid,Valid,Saccade,,,,
1668738878.855436,,Mouse,1333.0,599.5,,,Saccade,1595.0,695.0,,
1668738878.8574512,,Eye Tracker,1452.0,616.0,Valid,Valid,Saccade,,,,
1668738878.8741052,,Eye Tracker,1518.0,632.0,Valid,Valid,Saccade,,,,
1668738878.8907602,,Eye Tracker,1548.0,642.0,Valid,Valid,Saccade,,,,
1668738878.906279,,Mouse,1544.0,642.0,,,Fixation,1595.0,695.0,,
1668738878.9074152,,Eye Tracker,1540.0,642.0,Valid,Valid,Fixation,,,,
1668738878.9240692,,Eye Tracker,1539.0,638.0,Valid,Valid,Fixation,,,,
1668738878.927333,,Mouse,1540.5,637.0,,,Fixation,1595.0,695.0,,
