Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669858681.889585,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858681.906239,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858681.922894,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858681.939549,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858681.956203,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858681.972858,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858681.989513,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.006168,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.022823,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.039478,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.056133,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.072787,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.089442,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.106097,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.122751,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.139406,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.156061,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.172715,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.18937,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.206025,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.222679,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.239335,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.25599,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.272645,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.289299,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.305954,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.322609,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.339263,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.355918,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.372573,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.389227,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.405882,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.422537,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.439191,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.455847,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.472502,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.489156,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.505811,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.522466,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.539121,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.555775,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.57243,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.589085,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.605739,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.622394,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.639049,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.655703,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.672359,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.689014,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.705668,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.722323,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.738978,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.755632,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.772287,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.788942,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.805597,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1669858682.822251,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
