Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669860306.887878,,Eye Tracker,1979.0,956.0,Valid,Valid,Fixation
1669860306.904533,,Eye Tracker,1979.0,956.0,Valid,Valid,Fixation
1669860306.921187,,Eye Tracker,1964.0,958.0,Valid,Valid,Fixation
1669860306.937842,,Eye Tracker,1960.0,951.0,Valid,Valid,Fixation
1669860306.954497,,Eye Tracker,1976.0,952.0,Valid,Valid,Fixation
1669860306.971151,,Eye Tracker,1978.0,957.0,Valid,Valid,Fixation
1669860306.987806,,Eye Tracker,1968.0,957.0,Valid,Valid,Fixation
1669860307.004461,,Eye Tracker,1965.0,954.0,Valid,Valid,Fixation
1669860307.021115,,Eye Tracker,1977.0,955.0,Valid,Valid,Fixation
1669860307.03777,,Eye Tracker,1984.0,961.0,Valid,Valid,Fixation
1669860307.054425,,Eye Tracker,1988.0,962.0,Valid,Valid,Fixation
1669860307.071079,,Eye Tracker,1983.0,959.0,Valid,Valid,Fixation
1669860307.087734,,Eye Tracker,1986.0,958.0,Valid,Valid,Fixation
1669860307.104389,,Eye Tracker,1989.0,954.0,Valid,Valid,Fixation
1669860307.121044,,Eye Tracker,1976.0,953.0,Valid,Valid,Fixation
1669860307.137698,,Eye Tracker,1971.0,962.0,Valid,Valid,Fixation
1669860307.154353,,Eye Tracker,1971.0,962.0,Valid,Valid,Fixation
1669860307.171008,,Eye Tracker,1975.0,960.0,Valid,Valid,Fixation
1669860307.187662,,Eye Tracker,1973.0,960.0,Valid,Valid,Fixation
1669860307.204317,,Eye Tracker,1966.0,956.0,Valid,Valid,Fixation
1669860307.220972,,Eye Tracker,1986.0,955.0,Valid,Valid,Fixation
1669860307.237626,,Eye Tracker,1987.0,956.0,Valid,Valid,Fixation
1669860307.254281,,Eye Tracker,1965.0,955.0,Valid,Valid,Fixation
1669860307.270936,,Eye Tracker,1956.0,947.0,Valid,Valid,Fixation
1669860307.28759,,Eye Tracker,1952.0,955.0,Valid,Valid,Fixation
1669860307.304246,,Eye Tracker,1930.0,964.0,Valid,Valid,Fixation
