Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-01 09:27:06.819775,,,,MouseEvent,"Down, Left"
2022-12-01 09:27:06.819775,Mouse,1890.0,67.0,,
2022-12-01 09:27:06.929682,Mouse,1889.0,67.0,,
2022-12-01 09:27:06.939743,Mouse,1888.0,67.0,,
2022-12-01 09:27:07.008947,Mouse,1887.0,66.0,,
2022-12-01 09:27:07.039948,Mouse,1886.0,66.0,,
2022-12-01 09:27:07.060938,Mouse,1885.0,66.0,,
2022-12-01 09:27:07.080745,Mouse,1879.0,64.0,,
2022-12-01 09:27:07.100929,Mouse,1874.0,63.0,,
2022-12-01 09:27:07.120681,Mouse,1866.0,62.0,,
2022-12-01 09:27:07.130700,Mouse,1862.0,60.0,,
2022-12-01 09:27:07.150688,Mouse,1854.0,60.0,,
2022-12-01 09:27:07.160825,Mouse,1851.0,60.0,,
2022-12-01 09:27:07.170990,Mouse,1848.0,59.0,,
2022-12-01 09:27:07.190672,Mouse,1842.0,58.0,,
2022-12-01 09:27:07.200704,Mouse,1839.0,57.0,,
2022-12-01 09:27:07.210713,Mouse,1835.0,57.0,,
2022-12-01 09:27:07.231854,Mouse,1830.0,56.0,,
2022-12-01 09:27:07.241969,Mouse,1825.0,56.0,,
2022-12-01 09:27:07.261688,Mouse,1819.0,56.0,,
2022-12-01 09:27:07.271811,Mouse,1818.0,56.0,,
2022-12-01 09:27:07.291646,Mouse,1811.0,56.0,,
2022-12-01 09:27:07.301695,Mouse,1808.0,56.0,,
2022-12-01 09:27:07.321638,Mouse,1794.0,56.0,,
2022-12-01 09:27:07.331768,Mouse,1787.0,56.0,,
2022-12-01 09:27:07.350689,Mouse,1773.0,56.0,,
2022-12-01 09:27:07.361954,Mouse,1767.0,56.0,,
2022-12-01 09:27:07.381664,Mouse,1756.0,56.0,,
2022-12-01 09:27:07.401820,Mouse,1752.0,57.0,,
2022-12-01 09:27:07.421672,Mouse,1751.0,57.0,,
2022-12-01 09:27:07.451739,Mouse,1751.0,57.0,,
2022-12-01 09:27:07.471810,Mouse,1749.0,57.0,,
2022-12-01 09:27:07.491719,Mouse,1747.0,57.0,,
2022-12-01 09:27:07.501742,Mouse,1746.0,57.0,,
2022-12-01 09:27:07.520656,Mouse,1742.0,57.0,,
2022-12-01 09:27:07.531853,Mouse,1740.0,57.0,,
2022-12-01 09:27:07.551678,Mouse,1735.0,57.0,,
2022-12-01 09:27:07.561902,Mouse,1733.0,57.0,,
2022-12-01 09:27:07.572732,Mouse,1731.0,57.0,,
2022-12-01 09:27:07.592707,Mouse,1728.0,57.0,,
2022-12-01 09:27:07.602739,Mouse,1725.0,57.0,,
2022-12-01 09:27:07.622728,Mouse,1720.0,57.0,,
2022-12-01 09:27:07.632741,Mouse,1717.0,57.0,,
2022-12-01 09:27:07.652655,Mouse,1710.0,57.0,,
2022-12-01 09:27:07.662902,Mouse,1706.0,57.0,,
2022-12-01 09:27:07.682651,Mouse,1699.0,57.0,,
2022-12-01 09:27:07.702699,Mouse,1696.0,57.0,,
2022-12-01 09:27:07.722684,Mouse,1692.0,58.0,,
2022-12-01 09:27:07.732697,Mouse,1691.0,58.0,,
2022-12-01 09:27:07.743687,Mouse,1690.0,58.0,,
2022-12-01 09:27:07.763729,Mouse,1685.0,58.0,,
2022-12-01 09:27:07.783649,Mouse,1681.0,58.0,,
2022-12-01 09:27:07.793674,Mouse,1678.0,59.0,,
2022-12-01 09:27:07.803682,Mouse,1675.0,59.0,,
2022-12-01 09:27:07.813697,Mouse,1672.0,59.0,,
2022-12-01 09:27:07.823948,Mouse,1670.0,59.0,,
2022-12-01 09:27:07.843657,Mouse,1665.0,60.0,,
2022-12-01 09:27:07.853668,Mouse,1662.0,60.0,,
2022-12-01 09:27:07.873720,Mouse,1655.0,60.0,,
2022-12-01 09:27:07.893649,Mouse,1647.0,60.0,,
2022-12-01 09:27:07.913683,Mouse,1637.0,60.0,,
2022-12-01 09:27:07.923723,Mouse,1629.0,60.0,,
2022-12-01 09:27:07.933922,Mouse,1621.0,60.0,,
2022-12-01 09:27:07.953800,Mouse,1605.0,60.0,,
2022-12-01 09:27:07.963928,Mouse,1599.0,60.0,,
2022-12-01 09:27:07.983653,Mouse,1586.0,60.0,,
2022-12-01 09:27:07.993718,Mouse,1581.0,60.0,,
2022-12-01 09:27:08.013615,Mouse,1574.0,60.0,,
2022-12-01 09:27:08.032592,Mouse,1568.0,60.0,,
2022-12-01 09:27:08.043781,Mouse,1565.0,60.0,,
